nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
A052__00010.1,8.416642194867656,44.708229884999994,A052,_,00010,1
A052__00430.1,8.474198969226052,44.65051596000001,A052,_,00430,1
A052__00410.1,8.470323426105017,44.658520855,A052,_,00410,1
A052__00400.1,8.46145947248787,44.65637392,A052,_,00400,1
A052__00350.1,8.480804634514737,44.664652225,A052,_,00350,1
A052__00330.1,8.44538063634108,44.66237918,A052,_,00330,1
A052__00320.1,8.492551249057062,44.67986887,A052,_,00320,1
A052__00310.1,8.484087909324728,44.679226075,A052,_,00310,1
A052__00290.1,8.465867856673784,44.67401666,A052,_,00290,1
A052__00280.1,8.465837646340434,44.676297435,A052,_,00280,1
A052__00260.1,8.45156184423109,44.6757762,A052,_,00260,1
A052__00220.1,8.432013105282453,44.68191421,A052,_,00220,1
A052__00180.1,8.49192121792553,44.689001475,A052,_,00180,1
A052__00170.1,8.477457914752222,44.691813095,A052,_,00170,1
A052__00160.1,8.463991829209757,44.691711665,A052,_,00160,1
A052__00150.1,8.455083747490885,44.69388932,A052,_,00150,1
A052__00130.1,8.43099608034878,44.695454915,A052,_,00130,1
A052__00090.1,8.490429587841026,44.701676835,A052,_,00090,1
A052__00070.1,8.470580457364619,44.702489560000004,A052,_,00070,1
A052__00060.1,8.453426575896232,44.700221505,A052,_,00060,1
A052__00040.1,8.441308412668912,44.706003100000004,A052,_,00040,1
A052__00030.1,8.429479093913166,44.70863812,A052,_,00030,1
A052__00020.1,8.410785865597367,44.702802274999996,A052,_,00020,1
A052__00010.10,8.409195971240685,44.7060527,A052,_,00010,10
A052__00430.10,8.474190538176522,44.649142870000006,A052,_,00430,10
A052__00400.10,8.463190652518108,44.65516626,A052,_,00400,10
A052__00310.10,8.488154036995779,44.679527745,A052,_,00310,10
A052__0030.10,8.472621010700848,44.67744619,A052,_,0030,10
A052__00270.10,8.468513453293479,44.67783081,A052,_,00270,10
A052__00260.10,8.454472184475103,44.67566292,A052,_,00260,10
A052__00250.10,8.448723950849033,44.67565897,A052,_,00250,10
A052__00230.10,8.454515574129664,44.681619125,A052,_,00230,10
A052__00220.10,8.433351541486486,44.681178865,A052,_,00220,10
A052__00180.10,8.49527347326816,44.68778459,A052,_,00180,10
A052__00150.10,8.454942614627246,44.69255728,A052,_,00150,10
A052__00140.10,8.442174992070129,44.69398682,A052,_,00140,10
A052__00130.10,8.430370624351443,44.694699584999995,A052,_,00130,10
A052__00090.10,8.489749772329073,44.69839279,A052,_,00090,10
A052__00080.10,8.484537383751064,44.70275926,A052,_,00080,10
A052__00070.10,8.474112348349639,44.701705265,A052,_,00070,10
A052__00060.10,8.45535430140768,44.69997839,A052,_,00060,10
A052__00040.10,8.443676076325236,44.70345139,A052,_,00040,10
A052__00030.10,8.433802969127065,44.710400039999996,A052,_,00030,10
A052__00010.100,8.423473421324946,44.707435759999996,A052,_,00010,100
A052__00410.100,8.476367670025486,44.65770697,A052,_,00410,100
A052__00400.100,8.469323998908322,44.65225142,A052,_,00400,100
A052__0035.100,8.47507590551211,44.662168515000005,A052,_,0035,100
A052__00330.100,8.454130479803212,44.66170415,A052,_,00330,100
A052__00320.100,8.501572844087047,44.6753493,A052,_,00320,100
A052__00310.100,8.488842004070548,44.671172055,A052,_,00310,100
A052__00300.100,8.480098345541272,44.67190402,A052,_,00300,100
A052__00280.100,8.46961709514742,44.674844175000004,A052,_,00280,100
