nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E790__00010.1,7.906132953035108,45.98759674,E790,_,00010,1
E790__00450.1,7.943621285589118,45.91486533,E790,_,00450,1
E790__00440.1,7.9718685847452,45.927978960000004,E790,_,00440,1
E790__00430.1,7.945288639596082,45.933433265,E790,_,00430,1
E790__00420.1,8.01851013156805,45.944881835000004,E790,_,00420,1
E790__00410.1,7.980963537152774,45.940356825,E790,_,00410,1
E790__00400.1,7.945963536260592,45.94057599,E790,_,00400,1
E790__00390.1,7.9174965388911485,45.93518709,E790,_,00390,1
E790__00380.1,7.888701599531622,45.934909610000005,E790,_,00380,1
E790__00370.1,8.025533328287924,45.960065279999995,E790,_,00370,1
E790__00360.1,7.99487842763968,45.95556071,E790,_,00360,1
E790__00350.1,7.986009175326444,45.95903548,E790,_,00350,1
E790__00340.1,7.974246304481592,45.959171604999995,E790,_,00340,1
E790__00330.1,7.941916416933113,45.96642219500001,E790,_,00330,1
E790__00320.1,7.926192192052744,45.96477066,E790,_,00320,1
E790__00310.1,7.896317222136144,45.9518115,E790,_,00310,1
E790__00300.1,8.028290046515153,45.968485435,E790,_,00300,1
E790__00290.1,8.027732086869545,45.96449957,E790,_,00290,1
E790__00280.1,8.015930973129695,45.961499905,E790,_,00280,1
E790__00270.1,8.007149904000926,45.960611455,E790,_,00270,1
E790__00260.1,7.998016807754084,45.960702225,E790,_,00260,1
E790__00250.1,7.986333497619645,45.959253835,E790,_,00250,1
E790__00230.1,7.981991840673162,45.966243765,E790,_,00230,1
E790__00220.1,7.976739080733996,45.96410712,E790,_,00220,1
E790__00210.1,7.971459987059831,45.96512063,E790,_,00210,1
E790__00200.1,7.968373951553778,45.965954345,E790,_,00200,1
E790__00180.1,7.963493981151727,45.966892015,E790,_,00180,1
E790__00170.1,7.96582136480355,45.971590745,E790,_,00170,1
E790__00160.1,7.957208637224335,45.968777585,E790,_,00160,1
E790__00150.1,7.962321413565295,45.97267961,E790,_,00150,1
E790__00140.1,7.945976791717752,45.969740595,E790,_,00140,1
E790__00130.1,7.9531827282027585,45.974566355,E790,_,00130,1
E790__00120.1,7.9523445719812536,45.97424952,E790,_,00120,1
E790__00110.1,7.939792717163172,45.97150489,E790,_,00110,1
E790__00100.1,7.937491125971343,45.971239135000005,E790,_,00100,1
E790__00090.1,7.890329684631588,45.96832612,E790,_,00090,1
E790__00080.1,8.03578037469226,45.973161024999996,E790,_,00080,1
E790__00070.1,8.010523657682612,45.979251675,E790,_,00070,1
E790__00060.1,7.999763539711904,45.98348933,E790,_,00060,1
E790__00050.1,7.978860273683704,45.996624815000004,E790,_,00050,1
E790__00040.1,7.956561586379484,45.99208971,E790,_,00040,1
E790__00030.1,7.9429422355038515,45.991387335,E790,_,00030,1
E790__00020.1,7.919646966824136,45.99121563,E790,_,00020,1
E790__00020.10,7.931752100763122,45.977470839999995,E790,_,00020,10
E790__00430.10,7.959867814543681,45.9202529,E790,_,00430,10
E790__00420.10,8.031378218865807,45.94545787,E790,_,00420,10
E790__00410.10,7.995624967399688,45.936155705000004,E790,_,00410,10
E790__00400.10,7.9778366811827786,45.94011347,E790,_,00400,10
E790__00370.10,8.032675780676573,45.95636235,E790,_,00370,10
E790__00350.10,7.986328409885077,45.958759275000006,E790,_,00350,10
E790__00340.10,7.97788543743389,45.95468178,E790,_,00340,10
E790__00330.10,7.947684540130936,45.961660280000004,E790,_,00330,10
E790__00320.10,7.932936160091505,45.960731925000005,E790,_,00320,10
E790__00300.10,8.030209583140394,45.968611335,E790,_,00300,10
E790__00290.10,8.022683409307962,45.96224876,E790,_,00290,10
E790__00280.10,8.01553975580314,45.961015035,E790,_,00280,10
E790__00270.10,8.008994805014702,45.959973059999996,E790,_,00270,10
E790__00260.10,8.005312666616046,45.96087355,E790,_,00260,10
E790__00250.10,7.9869173704245355,45.958803974999995,E790,_,00250,10
E790__00240.10,7.988332239039133,45.96158573,E790,_,00240,10
E790__00230.10,7.981017005072093,45.965357895,E790,_,00230,10
E790__00210.10,7.9718894793124395,45.96462036,E790,_,00210,10
E790__00190.10,7.9732041773740185,45.96822152,E790,_,00190,10
E790__00160.10,7.958722312054887,45.96838745,E790,_,00160,10
E790__00150.10,7.962551529452982,45.972356435,E790,_,00150,10
E790__00140.10,7.947766631308333,45.969878935,E790,_,00140,10
E790__00130.10,7.95236245649625,45.974013045,E790,_,00130,10
E790__00120.10,7.947558357333996,45.97347629,E790,_,00120,10
E790__00110.10,7.942009083818422,45.970375725,E790,_,00110,10
E790__00100.10,7.936234545402714,45.9702369,E790,_,00100,10
E790__00090.10,7.899520600204163,45.963173285,E790,_,00090,10
E790__00080.10,8.035021759119072,45.97244266,E790,_,00080,10
E790__00070.10,8.019406806952576,45.971925615,E790,_,00070,10
E790__00060.10,7.990608129834842,45.96932539,E790,_,00060,10
E790__00050.10,7.978882606932259,45.97819777,E790,_,00050,10
E790__00040.10,7.960711851572402,45.983663495,E790,_,00040,10
E790__00030.10,7.941386758968388,45.983589859999995,E790,_,00030,10
E790__00020.100,7.924697274604803,45.966112405,E790,_,00020,100
E790__00350.100,7.986082652979194,45.95573186,E790,_,00350,100
E790__00300.100,8.030246263264285,45.967553845,E790,_,00300,100
E790__00290.100,8.021759061019893,45.961868620000004,E790,_,00290,100
E790__00280.100,8.014155121605429,45.960037505,E790,_,00280,100
E790__00270.100,8.01127703663947,45.959078015,E790,_,00270,100
E790__00260.100,7.9995718087189545,45.95804381,E790,_,00260,100
E790__00250.100,7.986933943436006,45.958019,E790,_,00250,100
E790__00240.100,7.990958399661189,45.960626625,E790,_,00240,100
E790__00230.100,7.9854624578994144,45.962280615,E790,_,00230,100
E790__00220.100,7.979497402539513,45.96315444,E790,_,00220,100
E790__00210.100,7.975072481563959,45.96380129,E790,_,00210,100
E790__00200.100,7.969089439428005,45.96316566,E790,_,00200,100
E790__00190.100,7.973114938115103,45.96611291,E790,_,00190,100
E790__00180.100,7.963545940684993,45.96652688499999,E790,_,00180,100
E790__00170.100,7.966428651702056,45.969971,E790,_,00170,100
E790__00160.100,7.959508424883835,45.964979650000004,E790,_,00160,100
E790__00150.100,7.958932473136118,45.97096066,E790,_,00150,100
