nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E880__00010.1,8.462726245351467,45.515960344999996,E880,_,00010,1
E880__00110.1,8.462522203665841,45.495377475,E880,_,00110,1
E880__00100.1,8.47209462738123,45.4986398,E880,_,00100,1
E880__00090.1,8.469142147528034,45.49897789,E880,_,00090,1
E880__00080.1,8.457740991316557,45.496900005,E880,_,00080,1
E880__00070.1,8.44559203447613,45.50222582000001,E880,_,00070,1
E880__00060.1,8.448064409268653,45.504952495,E880,_,00060,1
E880__00050.1,8.450185156816552,45.507871825,E880,_,00050,1
E880__00040.1,8.459975760066058,45.504322904999995,E880,_,00040,1
E880__00030.1,8.470124075686318,45.506980850000005,E880,_,00030,1
E880__00010.10,8.460843276166544,45.51145176,E880,_,00010,10
E880__00110.10,8.47523552440877,45.491225035,E880,_,00110,10
E880__00100.10,8.475726847103665,45.501346135000006,E880,_,00100,10
E880__00090.10,8.474688047468138,45.4967566,E880,_,00090,10
E880__00070.10,8.441887527650852,45.499269775,E880,_,00070,10
E880__00060.10,8.450610803643354,45.503466795,E880,_,00060,10
E880__00050.10,8.45494634624842,45.506577555,E880,_,00050,10
E880__00040.10,8.46516306885989,45.50336016,E880,_,00040,10
E880__00030.10,8.475087204326147,45.508073025,E880,_,00030,10
E880__00020.10,8.462366283263838,45.510233075,E880,_,00020,10
E880__00050.100,8.460396898554519,45.49757217,E880,_,00050,100
E880__00100.100,8.47775762550011,45.502661475,E880,_,00100,100
E880__00080.100,8.457602766472487,45.49444992,E880,_,00080,100
E880__00050.101,8.45578016657694,45.504496435,E880,_,00050,101
E880__00100.101,8.477238018194996,45.502024145,E880,_,00100,101
E880__00100.102,8.47791590398597,45.50236625,E880,_,00100,102
E880__00050.103,8.45673943004067,45.500655234999996,E880,_,00050,103
E880__00100.103,8.477503219775661,45.50176938,E880,_,00100,103
E880__00050.104,8.45592822245722,45.500509065,E880,_,00050,104
E880__00100.104,8.478088619348362,45.502031795,E880,_,00100,104
E880__00080.104,8.455102206479964,45.495483039999996,E880,_,00080,104
E880__00050.105,8.45606336985028,45.503294975,E880,_,00050,105
E880__00100.105,8.4777636225405,45.50145502,E880,_,00100,105
E880__00100.106,8.478324808523368,45.50157619,E880,_,00100,106
E880__00080.107,8.457611485583074,45.49390712,E880,_,00080,107
E880__00100.107,8.478025650442637,45.501178585000005,E880,_,00100,107
E880__00080.108,8.459764106818536,45.494778925,E880,_,00080,108
E880__00100.108,8.478304426882339,45.500955995,E880,_,00100,108
E880__00100.109,8.476800405457091,45.502387985,E880,_,00100,109
E880__00010.11,8.459624424825638,45.50933263,E880,_,00010,11
E880__00110.11,8.462470631782843,45.492936845,E880,_,00110,11
E880__00100.11,8.47622792878605,45.501063020000004,E880,_,00100,11
E880__00090.11,8.474799316705976,45.496185945,E880,_,00090,11
E880__00080.11,8.46104262856176,45.496023145,E880,_,00080,11
E880__00070.11,8.440957213202267,45.500289225,E880,_,00070,11
E880__00060.11,8.450146782830132,45.502962175,E880,_,00060,11
E880__00050.11,8.455811231461045,45.50519920000001,E880,_,00050,11
E880__00040.11,8.464000746095898,45.500926774999996,E880,_,00040,11
E880__00030.11,8.475185999783566,45.50805803,E880,_,00030,11
E880__00080.110,8.460032773311958,45.494643444999994,E880,_,00080,110
E880__00100.110,8.476862662579247,45.501915600000004,E880,_,00100,110
E880__00050.111,8.457564568793629,45.49914312,E880,_,00050,111
E880__00100.111,8.477610692517477,45.49732277,E880,_,00100,111
E880__00100.112,8.478249069404303,45.497536010000005,E880,_,00100,112
E880__00050.113,8.455762976898555,45.50623849,E880,_,00050,113
E880__00100.113,8.479468034983055,45.497503370000004,E880,_,00100,113
E880__00050.114,8.456365701383953,45.50584599,E880,_,00050,114
E880__00100.114,8.480443626655115,45.496116015,E880,_,00100,114
E880__00080.114,8.459468712218882,45.494741155,E880,_,00080,114
E880__00050.115,8.455956619921537,45.50701748,E880,_,00050,115
E880__00100.115,8.474068831766601,45.49699896,E880,_,00100,115
E880__00080.115,8.459426832686306,45.49454117,E880,_,00080,115
E880__00050.116,8.449964800707027,45.506496235,E880,_,00050,116
E880__00100.116,8.474062401285718,45.497086769999996,E880,_,00100,116
E880__00080.116,8.45968261495803,45.494568900000004,E880,_,00080,116
E880__00100.117,8.473447791391592,45.499041485,E880,_,00100,117
E880__00050.118,8.452356624158629,45.504372215000004,E880,_,00050,118
E880__00100.118,8.474636825284977,45.497166495,E880,_,00100,118
E880__00080.118,8.460184122108256,45.494448225,E880,_,00080,118
E880__00050.119,8.453287964074693,45.50447434,E880,_,00050,119
E880__00100.119,8.475154671789712,45.49737449,E880,_,00100,119
E880__00010.12,8.459067844703366,45.512405345,E880,_,00010,12
E880__00110.12,8.463514548991277,45.494090404999994,E880,_,00110,12
E880__00100.12,8.476511456684168,45.501594155,E880,_,00100,12
E880__00090.12,8.473699535020293,45.49572591,E880,_,00090,12
E880__00070.12,8.440751053468555,45.500741995,E880,_,00070,12
E880__00060.12,8.450733135384036,45.502550835,E880,_,00060,12
E880__00040.12,8.462141800093562,45.501247185,E880,_,00040,12
E880__00030.12,8.474349433392202,45.505544305,E880,_,00030,12
E880__00020.12,8.466680646979064,45.509382790000004,E880,_,00020,12
E880__00050.120,8.452514174171478,45.50408737,E880,_,00050,120
E880__00100.120,8.478293869148532,45.500350355,E880,_,00100,120
E880__00080.120,8.459769166421635,45.494335019999994,E880,_,00080,120
E880__00100.121,8.480349455392261,45.498291155000004,E880,_,00100,121
E880__00100.122,8.478223820520952,45.499889455,E880,_,00100,122
E880__00050.123,8.452012970803846,45.504311134999995,E880,_,00050,123
E880__00100.123,8.477211098951312,45.495660889999996,E880,_,00100,123
E880__00080.123,8.458918157758877,45.49433399,E880,_,00080,123
E880__00050.124,8.460452397306453,45.49692344,E880,_,00050,124
E880__00100.124,8.477465601380086,45.49560957,E880,_,00100,124
E880__00050.125,8.461198977979144,45.49652219,E880,_,00050,125
E880__00100.125,8.477623396047724,45.496165454999996,E880,_,00100,125
E880__00050.126,8.451137357400576,45.504663015,E880,_,00050,126
E880__00100.126,8.478128669905875,45.496406065,E880,_,00100,126
E880__00080.126,8.459639393613987,45.493863075,E880,_,00080,126
E880__00080.127,8.459928746896043,45.49401383,E880,_,00080,127
E880__00100.127,8.478432305388306,45.496516545,E880,_,00100,127
