nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E970A_00010.1,11.674048445983171,45.773580225,E970,A,00010,1
E970D_00090.1,11.66627173922039,45.784266255,E970,D,00090,1
E970D_00080.1,11.652709848407806,45.78425507,E970,D,00080,1
E970D_00070.1,11.648114551729902,45.78091307,E970,D,00070,1
E970D_00060.1,11.659487442934804,45.798168645000004,E970,D,00060,1
E970D_00050.1,11.652511338633744,45.79299818,E970,D,00050,1
E970D_00030.1,11.633499775243198,45.771860915,E970,D,00030,1
E970D_00020.1,11.627710782586092,45.770802565,E970,D,00020,1
E970D_00010.1,11.640060688125065,45.77876847,E970,D,00010,1
E970B_00110.1,11.649551817580331,45.75946315,E970,B,00110,1
E970B_00100.1,11.628947405441107,45.76011546,E970,B,00100,1
E970B_00080.1,11.600622062083195,45.764666295,E970,B,00080,1
E970B_00070.1,11.593736223145006,45.76425773,E970,B,00070,1
E970B_00060.1,11.616465932150998,45.767063969999995,E970,B,00060,1
E970B_00050.1,11.602454396568866,45.773320639999994,E970,B,00050,1
E970B_00030.1,11.638575412769097,45.786052240000004,E970,B,00030,1
E970B_00010.1,11.60154624445946,45.7795364,E970,B,00010,1
E970A_00140.1,11.67015339485657,45.742407805,E970,A,00140,1
E970A_00110.1,11.647316935214548,45.742711125,E970,A,00110,1
E970A_00100.1,11.668669136758623,45.748707519999996,E970,A,00100,1
E970A_00090.1,11.657277138750551,45.747442385,E970,A,00090,1
E970A_0008.1,11.652562893053341,45.749616665,E970,A,0008,1
E970A_00070.1,11.636200427664676,45.74741573,E970,A,00070,1
E970A_00060.1,11.689967801934877,45.76023868,E970,A,00060,1
E970A_00050.1,11.660884217893539,45.760630410000005,E970,A,00050,1
E970A_00040.1,11.649941255376753,45.75627532,E970,A,00040,1
E970A_00030.1,11.688853633901003,45.76845206,E970,A,00030,1
E970A_00020.1,11.663826207911281,45.765680149999994,E970,A,00020,1
E970A_00020.10,11.663707359906027,45.764776975000004,E970,A,00020,10
E970D_00090.10,11.666441405025623,45.78328693,E970,D,00090,10
E970D_00070.10,11.651778248590038,45.780785105,E970,D,00070,10
E970D_00060.10,11.656027564708086,45.797482125,E970,D,00060,10
E970D_00050.10,11.648012088605384,45.791429205,E970,D,00050,10
E970D_00030.10,11.634104608961644,45.77170659,E970,D,00030,10
E970D_00020.10,11.63192399482394,45.770834745,E970,D,00020,10
E970D_00010.10,11.64134467217047,45.778768485,E970,D,00010,10
E970B_00110.10,11.650869878681162,45.75831828,E970,B,00110,10
E970B_00100.10,11.629351823775192,45.7562437,E970,B,00100,10
E970B_00090.10,11.612471846185715,45.759095465,E970,B,00090,10
E970B_00080.10,11.60357932886837,45.7638689,E970,B,00080,10
E970B_00060.10,11.618803045724306,45.765832395000004,E970,B,00060,10
E970B_00050.10,11.603474655863069,45.77321544,E970,B,00050,10
E970B_00040.10,11.615085512989612,45.77249314,E970,B,00040,10
E970B_00030.10,11.634377155470528,45.783755760000005,E970,B,00030,10
E970B_00020.10,11.631842023890284,45.782504665000005,E970,B,00020,10
E970B_00010.10,11.610869993191423,45.780045779999995,E970,B,00010,10
E970A_00140.10,11.673589876464963,45.742758249999994,E970,A,00140,10
E970A_00110.10,11.646086995677026,45.74186507,E970,A,00110,10
E970A_00090.10,11.658174103301818,45.74797838,E970,A,00090,10
E970A_00070.10,11.637538038538008,45.747198159999996,E970,A,00070,10
E970A_00060.10,11.687359520350999,45.757740735,E970,A,00060,10
E970A_00040.10,11.644747283885243,45.75557551,E970,A,00040,10
E970A_00030.10,11.69071876293279,45.7668865,E970,A,00030,10
E970A_00010.100,11.678214084401715,45.766537045,E970,A,00010,100
E970D_00100.100,11.659678137793307,45.768765275,E970,D,00100,100
