nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F022__00010.1,13.405773957768535,42.162878395,F022,_,00010,1
F022__00560.1,13.414545642902564,42.07404663,F022,_,00560,1
F022__00510.1,13.413668902588594,42.0826201,F022,_,00510,1
F022__00500.1,13.411513412874172,42.079820485,F022,_,00500,1
F022__00490.1,13.404675302501948,42.081914655,F022,_,00490,1
F022__00480.1,13.407824431775936,42.087067160000004,F022,_,00480,1
F022__00470.1,13.386039969452504,42.08414951,F022,_,00470,1
F022__00430.1,13.423690456363481,42.091476209999996,F022,_,00430,1
F022__00420.1,13.409719049107153,42.094973655000004,F022,_,00420,1
F022__00410.1,13.40320033419426,42.093052854999996,F022,_,00410,1
F022__00400.1,13.46368131778992,42.097060495,F022,_,00400,1
F022__00390.1,13.447146794096174,42.104700855,F022,_,00390,1
F022__00380.1,13.440711026983205,42.102436645,F022,_,00380,1
F022__00370.1,13.435915934535693,42.099545205,F022,_,00370,1
F022__00360.1,13.418332565810148,42.10004191,F022,_,00360,1
F022__00350.1,13.395524347808454,42.093112665,F022,_,00350,1
F022__00340.1,13.39181840637696,42.09969168,F022,_,00340,1
F022__00330.1,13.464785091012672,42.10670457,F022,_,00330,1
F022__00320.1,13.451856805121494,42.107909414999995,F022,_,00320,1
F022__00300.1,13.440716936118875,42.114170189999996,F022,_,00300,1
F022__00290.1,13.421258854301456,42.103759565000004,F022,_,00290,1
F022__00280.1,13.411150908104998,42.106082135,F022,_,00280,1
F022__00270.1,13.407742118887326,42.106966255,F022,_,00270,1
F022__00260.1,13.390642993560217,42.11347294,F022,_,00260,1
F022__00240.1,13.387804990502367,42.111701984999996,F022,_,00240,1
F022__00230.1,13.3672036932296,42.11437085,F022,_,00230,1
F022__0022.1,13.445146826400872,42.114373584999996,F022,_,0022,1
F022__00210.1,13.424996987224997,42.121737445,F022,_,00210,1
F022__00200.1,13.413974381592126,42.11346373,F022,_,00200,1
F022__00190.1,13.396843744269715,42.122654295000004,F022,_,00190,1
F022__00180.1,13.396374433449804,42.12278048,F022,_,00180,1
F022__00170.1,13.379294624756515,42.12040432,F022,_,00170,1
F022__00160.1,13.369272423441917,42.126183085,F022,_,00160,1
F022__00150.1,13.47803418764827,42.11552966,F022,_,00150,1
F022__00140.1,13.44995594644925,42.118404569999996,F022,_,00140,1
F022__00130.1,13.437332871203356,42.122298875,F022,_,00130,1
F022__00120.1,13.422925765842269,42.123819845,F022,_,00120,1
F022__00110.1,13.420170429629003,42.126167495000004,F022,_,00110,1
F022__00100.1,13.405757580050835,42.127407265,F022,_,00100,1
F022__00090.1,13.385601649427638,42.124601785,F022,_,00090,1
F022__00070.1,13.466507438747175,42.131704115,F022,_,00070,1
F022__00060.1,13.450149012960484,42.14675946,F022,_,00060,1
