nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F139__00010.1,12.176323617585428,44.05037235,F139,_,00010,1
F139__01150.1,12.238637151076736,43.91684081,F139,_,01150,1
F139__01130.1,12.252830273347431,43.932077809999996,F139,_,01130,1
F139__01110.1,12.241565943628236,43.93250672,F139,_,01110,1
F139__01100.1,12.251184930316292,43.941511094999996,F139,_,01100,1
F139__01090.1,12.247736476960723,43.948791075,F139,_,01090,1
F139__01080.1,12.240447708943563,43.947412459999995,F139,_,01080,1
F139__01060.1,12.216893960421837,43.941429805,F139,_,01060,1
F139__01050.1,12.207619874282162,43.939126310000006,F139,_,01050,1
F139__01040.1,12.206201583629854,43.94729093,F139,_,01040,1
F139__01030.1,12.197869405897249,43.944373955,F139,_,01030,1
F139__01020.1,12.188290989609893,43.948655599999995,F139,_,01020,1
F139__01010.1,12.170249887186575,43.947505275,F139,_,01010,1
F139__01000.1,12.159097286694372,43.950067345,F139,_,01000,1
F139__00980.1,12.11388348907479,43.945152300000004,F139,_,00980,1
F139__00960.1,12.200526512922782,43.95478463,F139,_,00960,1
F139__00950.1,12.197699437143177,43.958644585,F139,_,00950,1
F139__00940.1,12.187501260873034,43.954368275,F139,_,00940,1
F139__00930.1,12.181574795744421,43.95412776,F139,_,00930,1
F139__00920.1,12.164202375436847,43.95601333,F139,_,00920,1
F139__00910.1,12.1339572816732,43.958206135,F139,_,00910,1
F139__00900.1,12.202788778742693,43.963326755,F139,_,00900,1
F139__00890.1,12.193006910906213,43.962416765,F139,_,00890,1
F139__00880.1,12.176371590327081,43.96217751499999,F139,_,00880,1
F139__00870.1,12.164441873070995,43.963801114999995,F139,_,00870,1
F139__00860.1,12.188321214459005,43.968582510000005,F139,_,00860,1
F139__00850.1,12.165148040925477,43.966510885,F139,_,00850,1
F139__00840.1,12.156909655530484,43.970624125,F139,_,00840,1
F139__00830.1,12.13477564321516,43.963898334999996,F139,_,00830,1
F139__00820.1,12.13104546554601,43.971405884999996,F139,_,00820,1
F139__00810.1,12.204869474032343,43.971961585,F139,_,00810,1
F139__00800.1,12.176970709244149,43.973408140000004,F139,_,00800,1
F139__00790.1,12.161535025636768,43.97641756,F139,_,00790,1
F139__00780.1,12.151613039186849,43.97945711,F139,_,00780,1
F139__00770.1,12.147016501136715,43.974279370000005,F139,_,00770,1
F139__00760.1,12.131302810988153,43.9712885,F139,_,00760,1
F139__00750.1,12.12954345105036,43.975193405,F139,_,00750,1
F139__00740.1,12.123251530167305,43.977082075,F139,_,00740,1
F139__00730.1,12.204757925847044,43.980063575,F139,_,00730,1
F139__00710.1,12.181593303114504,43.980901375,F139,_,00710,1
F139__00700.1,12.174263218457614,43.984648215,F139,_,00700,1
F139__00690.1,12.165778922221872,43.983712475000004,F139,_,00690,1
F139__00680.1,12.15290486499211,43.986749505,F139,_,00680,1
F139__00670.1,12.142828824644926,43.986424615,F139,_,00670,1
F139__00660.1,12.136015589692109,43.985939515,F139,_,00660,1
F139__00650.1,12.122471880019983,43.98702614,F139,_,00650,1
F139__00640.1,12.10551407789714,43.981581399999996,F139,_,00640,1
F139__00620.1,12.083436851444386,43.98315606,F139,_,00620,1
F139__00610.1,12.205943327674316,43.990031474999995,F139,_,00610,1
F139__00590.1,12.184917297442592,43.987735545,F139,_,00590,1
F139__00570.1,12.170176459157176,43.989155339999996,F139,_,00570,1
F139__00560.1,12.150998739545626,43.992651824999996,F139,_,00560,1
F139__00550.1,12.110282657968849,43.99145822,F139,_,00550,1
F139__00540.1,12.108440347215037,43.99775632,F139,_,00540,1
F139__00530.1,12.086602231856617,43.99054894,F139,_,00530,1
F139__00520.1,12.089174258800004,43.9972092,F139,_,00520,1
F139__00510.1,12.080138910133364,43.997172115,F139,_,00510,1
F139__00490.1,12.21240526573235,43.997535655,F139,_,00490,1
F139__00480.1,12.190632565790361,44.00024278,F139,_,00480,1
F139__00460.1,12.178380681271577,43.997911814999995,F139,_,00460,1
F139__00450.1,12.163026970988778,44.001867615,F139,_,00450,1
F139__00440.1,12.146778935358126,44.00032227,F139,_,00440,1
F139__00430.1,12.134688261367106,43.996489905000004,F139,_,00430,1
F139__00410.1,12.118286470730979,44.00307235,F139,_,00410,1
F139__00400.1,12.095792536599692,44.001351305,F139,_,00400,1
F139__00390.1,12.190357278830195,44.00726552,F139,_,00390,1
F139__00380.1,12.178848447356172,44.00517409,F139,_,00380,1
F139__00370.1,12.172100925094956,44.008460625,F139,_,00370,1
F139__00360.1,12.157499045239934,44.01079884,F139,_,00360,1
F139__00350.1,12.15567618563087,44.01036218,F139,_,00350,1
F139__00330.1,12.137193269652407,44.009120065000005,F139,_,00330,1
F139__00310.1,12.121622219271629,44.01402761,F139,_,00310,1
F139__00300.1,12.105670570067316,44.00811875,F139,_,00300,1
F139__00280.1,12.097168111649378,44.0132473,F139,_,00280,1
F139__00270.1,12.187547827212462,44.01444282,F139,_,00270,1
F139__00260.1,12.18297573448943,44.01551903,F139,_,00260,1
F139__00250.1,12.168026153092583,44.017592675,F139,_,00250,1
F139__00230.1,12.151402385860992,44.017740555,F139,_,00230,1
