nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F278__00010.1,15.258170137868477,40.272932014999995,F278,_,00010,1
F278__00120.1,15.270648209209039,40.244006299999995,F278,_,00120,1
F278__00110.1,15.262039576698207,40.246516459999995,F278,_,00110,1
F278__00100.1,15.257643728500005,40.24401593,F278,_,00100,1
F278__00090.1,15.27098786829048,40.254530540000005,F278,_,00090,1
F278__00070.1,15.285820877067973,40.256173415000006,F278,_,00070,1
F278__00060.1,15.273006679303434,40.26138256,F278,_,00060,1
F278__00050.1,15.256284569203338,40.254953145,F278,_,00050,1
F278__00040.1,15.251563912791326,40.257742745,F278,_,00040,1
F278__00030.1,15.261819992812239,40.26519182,F278,_,00030,1
F278__00010.10,15.266286564037838,40.266088769999996,F278,_,00010,10
F278__00120.10,15.270844573887137,40.24294332,F278,_,00120,10
F278__00110.10,15.26100982483332,40.24534849,F278,_,00110,10
F278__00100.10,15.258017963669126,40.242575974999994,F278,_,00100,10
F278__00090.10,15.271139132584366,40.25327764,F278,_,00090,10
F278__00080.10,15.254497016923207,40.24945051,F278,_,00080,10
F278__00060.10,15.279066485294662,40.25829725,F278,_,00060,10
F278__00050.10,15.2583841370854,40.254795955000006,F278,_,00050,10
F278__00040.10,15.250007983911033,40.256053415,F278,_,00040,10
F278__00030.10,15.261324722247464,40.26307554,F278,_,00030,10
F278__00010.100,15.26987953028351,40.265696755,F278,_,00010,100
F278__00120.100,15.276496860400815,40.243481575000004,F278,_,00120,100
F278__00110.100,15.268318019508555,40.24290263,F278,_,00110,100
F278__00080.100,15.249611983881358,40.243124679999994,F278,_,00080,100
F278__00070.100,15.290575172952094,40.24944951,F278,_,00070,100
F278__00060.100,15.273269676656668,40.25596058,F278,_,00060,100
F278__00050.100,15.269152805202504,40.254653595,F278,_,00050,100
F278__00040.100,15.242185314112492,40.25247971,F278,_,00040,100
F278__00030.100,15.269232258567985,40.26209247,F278,_,00030,100
F278__00120.1000,15.280756551289567,40.241517325000004,F278,_,00120,1000
F278__00120.1001,15.280894164784424,40.241509574999995,F278,_,00120,1001
F278__00090.1002,15.269819070792673,40.246251865000005,F278,_,00090,1002
F278__00120.1002,15.280930137933515,40.24150958,F278,_,00120,1002
F278__00120.1003,15.280785679593977,40.241350365,F278,_,00120,1003
F278__00120.1004,15.280867637972346,40.24134239,F278,_,00120,1004
F278__00120.1005,15.280901984768738,40.241355955,F278,_,00120,1005
F278__00090.1006,15.266173984986736,40.250067715,F278,_,00090,1006
F278__00120.1006,15.280803081557824,40.241249305,F278,_,00120,1006
F278__00120.1007,15.280838899579884,40.241245645,F278,_,00120,1007
F278__00120.1008,15.280982175038975,40.24114874,F278,_,00120,1008
F278__0009.1009,15.269397981930716,40.25061042,F278,_,0009,1009
F278__00120.1009,15.280859280214873,40.241179880000004,F278,_,00120,1009
F278__00010.101,15.270159053880548,40.26569437,F278,_,00010,101
F278__00120.101,15.277509288193471,40.2437755,F278,_,00120,101
