nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F477__00010.1,12.704730224798936,41.88955404,F477,_,00010,1
F477__05000.1,12.737788560883686,41.81047547,F477,_,05000,1
F477__00310.1,12.737058259182245,41.81097988,F477,_,00310,1
F477__00290.1,12.732320517820114,41.79889862,F477,_,00290,1
F477__00280.1,12.72239176942482,41.802045115,F477,_,00280,1
F477__00250.1,12.73093452701893,41.81038796,F477,_,00250,1
F477__00240.1,12.75976498529906,41.814219885,F477,_,00240,1
F477__00230.1,12.74346586879686,41.81405574,F477,_,00230,1
F477__00210.1,12.75178459919173,41.82510918,F477,_,00210,1
F477__00190.1,12.727552997891667,41.82272858,F477,_,00190,1
F477__00180.1,12.74022156502,41.833370020000004,F477,_,00180,1
F477__00170.1,12.72679471439043,41.826753225000004,F477,_,00170,1
F477__00130.1,12.733799040820346,41.854121155,F477,_,00130,1
F477__00120.1,12.743564286882416,41.858355454999995,F477,_,00120,1
F477__00110.1,12.720555053568166,41.862248765000004,F477,_,00110,1
F477__00100.1,12.721074821377595,41.862933065,F477,_,00100,1
F477__00090.1,12.705485514746387,41.86532955,F477,_,00090,1
F477__00080.1,12.727468310684046,41.868062525,F477,_,00080,1
F477__00070.1,12.729961183697604,41.87320559,F477,_,00070,1
F477__00060.1,12.721285294738337,41.873484399999995,F477,_,00060,1
F477__00040.1,12.721661014775236,41.87872123,F477,_,00040,1
F477__00030.1,12.70373985109736,41.878670635,F477,_,00030,1
F477__00020.1,12.715216349985342,41.886713055,F477,_,00020,1
F477__00010.10,12.69992508635465,41.889573764999994,F477,_,00010,10
F477__05000.10,12.738581443032874,41.810635575,F477,_,05000,10
F477__00310.10,12.73741925064094,41.81079167,F477,_,00310,10
F477__00300.10,12.73199255566535,41.788013145,F477,_,00300,10
F477__00290.10,12.730687794849601,41.79215733,F477,_,00290,10
F477__00280.10,12.728073732661425,41.799408805,F477,_,00280,10
F477__00260.10,12.745531346758977,41.799569355,F477,_,00260,10
F477__00250.10,12.732924108097286,41.80931942,F477,_,00250,10
F477__00240.10,12.75443179886276,41.81347187,F477,_,00240,10
F477__00230.10,12.74489494252311,41.813903095,F477,_,00230,10
F477__00220.10,12.730734070636728,41.8177951,F477,_,00220,10
F477__00210.10,12.753317926633079,41.82395268,F477,_,00210,10
F477__00200.10,12.749343880829862,41.826142465000004,F477,_,00200,10
F477__00180.10,12.740454162352535,41.832345540000006,F477,_,00180,10
F477__00170.10,12.729776926881307,41.827577059999996,F477,_,00170,10
F477__00160.10,12.723226675752276,41.832014900000004,F477,_,00160,10
F477__00150.10,12.716115520374759,41.840210705000004,F477,_,00150,10
F477__00140.10,12.740015979145149,41.83819766,F477,_,00140,10
F477__00130.10,12.731435252552181,41.85207326,F477,_,00130,10
F477__00110.10,12.72111987883809,41.857959715,F477,_,00110,10
F477__00100.10,12.728633831982526,41.8602586,F477,_,00100,10
F477__00080.10,12.727081827869341,41.869606215,F477,_,00080,10
F477__00070.10,12.739219122352388,41.874347189999995,F477,_,00070,10
F477__00060.10,12.724484078665565,41.868050535,F477,_,00060,10
F477__00050.10,12.71593110117368,41.872597655,F477,_,00050,10
F477__00040.10,12.726913421647193,41.87376804,F477,_,00040,10
F477__00030.10,12.715456151042368,41.87741098,F477,_,00030,10
F477__00020.10,12.724245095181145,41.88339154,F477,_,00020,10
F477__00010.100,12.70321296972975,41.884191349999995,F477,_,00010,100
F477__05000.100,12.738185063571047,41.80982264,F477,_,05000,100
F477__00310.100,12.73891814019505,41.810681509999995,F477,_,00310,100
F477__00290.100,12.737115618109382,41.793261205,F477,_,00290,100
F477__00280.100,12.727986252259374,41.798207305,F477,_,00280,100
F477__00260.100,12.74430814255856,41.802217085,F477,_,00260,100
F477__00250.100,12.732515953902439,41.810086465,F477,_,00250,100
F477__00240.100,12.75207202509182,41.811436125,F477,_,00240,100
F477__00230.100,12.743718089393166,41.811739265,F477,_,00230,100
F477__00220.100,12.73305251677191,41.815887000000004,F477,_,00220,100
F477__00210.100,12.75276539102412,41.821752175,F477,_,00210,100
