nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F496__00010.1,13.449222582656706,43.44598911,F496,_,00010,1
F496__00380.1,13.393907954056854,43.392231519999996,F496,_,00380,1
F496__00370.1,13.396033699914636,43.393068920000005,F496,_,00370,1
F496__00360.1,13.383695215274667,43.393720404999996,F496,_,00360,1
F496__00350.1,13.430400236617722,43.398377769999996,F496,_,00350,1
F496__00340.1,13.421974151204934,43.39967668,F496,_,00340,1
F496__00330.1,13.410717396981175,43.403194065,F496,_,00330,1
F496__00320.1,13.392874945477473,43.40051445,F496,_,00320,1
F496__00310.1,13.380065801509183,43.401174874999995,F496,_,00310,1
F496__00300.1,13.373996104923691,43.40002719,F496,_,00300,1
F496__00290.1,13.358974268608932,43.40556955,F496,_,00290,1
F496__00280.1,13.446003005568194,43.413291599999994,F496,_,00280,1
F496__00270.1,13.432028427205385,43.409063630000006,F496,_,00270,1
F496__00250.1,13.409333162701882,43.405286880000006,F496,_,00250,1
F496__00240.1,13.366357505972196,43.40846626,F496,_,00240,1
F496__00230.1,13.396071346131977,43.414066995,F496,_,00230,1
F496__00210.1,13.377664692673711,43.414794515,F496,_,00210,1
F496__00200.1,13.437974283292784,43.41261724,F496,_,00200,1
F496__00190.1,13.450723747046714,43.42057004,F496,_,00190,1
F496__00180.1,13.431939776176216,43.41921193,F496,_,00180,1
F496__00170.1,13.420458562112,43.421930630000006,F496,_,00170,1
F496__00160.1,13.407388463080299,43.41818313,F496,_,00160,1
F496__00150.1,13.398542645607627,43.421626035,F496,_,00150,1
F496__00130.1,13.43755161447487,43.424900205,F496,_,00130,1
F496__00120.1,13.425513726772273,43.426588575,F496,_,00120,1
F496__00090.1,13.473198651341779,43.438505815,F496,_,00090,1
F496__00080.1,13.462180933223468,43.4384476,F496,_,00080,1
F496__00070.1,13.457243533851948,43.430669005,F496,_,00070,1
F496__00060.1,13.432852906073316,43.429311174999995,F496,_,00060,1
F496__00040.1,13.413154544920271,43.43448655500001,F496,_,00040,1
F496__00030.1,13.454639292196628,43.438995375000005,F496,_,00030,1
F496__00020.1,13.441877963099486,43.441341085000005,F496,_,00020,1
F496__00010.10,13.449009796576465,43.439754255,F496,_,00010,10
F496__00370.10,13.399663421277943,43.39162,F496,_,00370,10
F496__00360.10,13.383020323357377,43.385258435,F496,_,00360,10
F496__00350.10,13.432955909238677,43.397221845000004,F496,_,00350,10
F496__00340.10,13.418345963574804,43.398441295,F496,_,00340,10
F496__00320.10,13.38768954556632,43.39777196,F496,_,00320,10
F496__00300.10,13.36652813835526,43.397115165,F496,_,00300,10
F496__00290.10,13.3717429875005,43.400634735,F496,_,00290,10
F496__00260.10,13.428098801279756,43.40789914,F496,_,00260,10
F496__00250.10,13.404801360854918,43.404510314999996,F496,_,00250,10
F496__00220.10,13.380307106803883,43.415146039999996,F496,_,00220,10
F496__00210.10,13.377792190690716,43.41211481,F496,_,00210,10
F496__00190.10,13.440551998891689,43.418470425,F496,_,00190,10
F496__00180.10,13.43052003472358,43.41725325,F496,_,00180,10
F496__00170.10,13.418725563878349,43.417128195000004,F496,_,00170,10
F496__00160.10,13.41271432088865,43.41708345,F496,_,00160,10
F496__00150.10,13.398240670315126,43.41918588,F496,_,00150,10
F496__00140.10,13.454598173019793,43.42454965,F496,_,00140,10
F496__00130.10,13.437470877906033,43.424061685,F496,_,00130,10
F496__00120.10,13.422895698870144,43.423425555,F496,_,00120,10
F496__00110.10,13.420415416476748,43.42258712,F496,_,00110,10
F496__00100.10,13.410286322174823,43.427779575,F496,_,00100,10
F496__00090.10,13.475910069585556,43.433670875000004,F496,_,00090,10
F496__00080.10,13.460400115479114,43.437210934999996,F496,_,00080,10
F496__00070.10,13.457655746229978,43.428586365,F496,_,00070,10
F496__00060.10,13.430393175240127,43.427022715,F496,_,00060,10
F496__00050.10,13.424422258053074,43.431604844999995,F496,_,00050,10
F496__00040.10,13.41383235163492,43.43253935,F496,_,00040,10
F496__00020.10,13.43637384891272,43.43529389,F496,_,00020,10
F496__00010.100,13.450310912387877,43.445404690000004,F496,_,00010,100
F496__00380.100,13.387804114308835,43.3851076,F496,_,00380,100
F496__00370.100,13.399336408045459,43.391053315,F496,_,00370,100
F496__00360.100,13.38815104410742,43.392386845000004,F496,_,00360,100
F496__00350.100,13.43558746319474,43.389157374999996,F496,_,00350,100
F496__00340.100,13.416782512129124,43.391185455,F496,_,00340,100
F496__00330.100,13.413811285447723,43.40254039,F496,_,00330,100
F496__00310.100,13.3769693582605,43.39517355,F496,_,00310,100
F496__00300.100,13.378542540661346,43.397696965,F496,_,00300,100
F496__00260.100,13.421399426862536,43.40355248,F496,_,00260,100
F496__00240.100,13.36722892553431,43.406843574999996,F496,_,00240,100
F496__00230.100,13.405319954004202,43.405448805,F496,_,00230,100
F496__00200.100,13.436727280189885,43.411202795,F496,_,00200,100
F496__00190.100,13.442979160046729,43.413602985,F496,_,00190,100
F496__00180.100,13.435128919764729,43.41043349,F496,_,00180,100
F496__00170.100,13.419454328947793,43.417724135,F496,_,00170,100
F496__00150.100,13.399867735602932,43.41317902,F496,_,00150,100
F496__00130.100,13.45125163476601,43.422795570000005,F496,_,00130,100
F496__00090.100,13.472355839344853,43.42935405,F496,_,00090,100
F496__00080.100,13.463075016387661,43.42906687,F496,_,00080,100
F496__00080.101,13.462664751818181,43.42897121,F496,_,00080,101
F496__00380.101,13.38761247619106,43.385244905,F496,_,00380,101
F496__00350.101,13.435883990478198,43.38921755,F496,_,00350,101
F496__00340.101,13.414667050225624,43.39019396,F496,_,00340,101
F496__00330.101,13.411515830017045,43.399429655000006,F496,_,00330,101
F496__00320.101,13.401244407484459,43.396952735,F496,_,00320,101
F496__00310.101,13.379350809445683,43.39534211,F496,_,00310,101
F496__00260.101,13.422837250523003,43.403670355,F496,_,00260,101
F496__00220.101,13.381421303690477,43.416168175,F496,_,00220,101
F496__00200.101,13.436766560665605,43.411252405,F496,_,00200,101
F496__00190.101,13.443074940004522,43.413613010000006,F496,_,00190,101
F496__00180.101,13.435170082469865,43.41031821,F496,_,00180,101
F496__00170.101,13.41758922023472,43.41218634,F496,_,00170,101
F496__00160.101,13.410163677365869,43.40559733,F496,_,00160,101
F496__00150.101,13.39930314620776,43.41448843,F496,_,00150,101
F496__00130.101,13.436747797924664,43.422410345,F496,_,00130,101
F496__00090.101,13.472384462986584,43.42905546,F496,_,00090,101
F496__00090.102,13.478608532544126,43.431088814999995,F496,_,00090,102
F496__00350.102,13.436272465050248,43.38932949,F496,_,00350,102
F496__00340.102,13.417013591819234,43.389770805,F496,_,00340,102
F496__00330.102,13.411148367651975,43.390160845,F496,_,00330,102
F496__00260.102,13.423706938240176,43.403591635,F496,_,00260,102
F496__00240.102,13.368509678293341,43.406524225,F496,_,00240,102
F496__00230.102,13.406089399787541,43.405315540000004,F496,_,00230,102
F496__00220.102,13.378884984252789,43.415741374999996,F496,_,00220,102
F496__00200.102,13.436901944356212,43.411308655,F496,_,00200,102
F496__00190.102,13.443116793070462,43.413653625,F496,_,00190,102
F496__00180.102,13.435149870286246,43.410253325,F496,_,00180,102
F496__00170.102,13.418326502931608,43.41042579,F496,_,00170,102
F496__00160.102,13.411097680674816,43.406172505,F496,_,00160,102
F496__00130.102,13.437064056687863,43.422737865,F496,_,00130,102
F496__00090.103,13.478490132386783,43.43022629,F496,_,00090,103
F496__00370.103,13.398577443994535,43.39044068,F496,_,00370,103
F496__00340.103,13.417024315502161,43.38940914,F496,_,00340,103
F496__00330.103,13.409497293286028,43.39297396,F496,_,00330,103
F496__00300.103,13.37773619991786,43.397469335,F496,_,00300,103
F496__00280.103,13.435898402534072,43.403307485,F496,_,00280,103
F496__00250.103,13.407120867613692,43.40472195,F496,_,00250,103
F496__00230.103,13.408625451340146,43.405907895,F496,_,00230,103
F496__00220.103,13.379994159674736,43.415637364999995,F496,_,00220,103
F496__00200.103,13.43694987314375,43.411321615,F496,_,00200,103
F496__00190.103,13.44317276268777,43.413675455,F496,_,00190,103
F496__00180.103,13.4350730072961,43.41031769999999,F496,_,00180,103
F496__00160.103,13.410903810222514,43.405708375,F496,_,00160,103
F496__00150.103,13.4005569893285,43.416199969999994,F496,_,00150,103
F496__00130.103,13.451803025011612,43.42222524,F496,_,00130,103
F496__00090.104,13.4785543178074,43.429959275,F496,_,00090,104
F496__00370.104,13.398326850514115,43.390972035000004,F496,_,00370,104
F496__00360.104,13.383139508212082,43.387191485,F496,_,00360,104
F496__00350.104,13.437324639404064,43.389285295,F496,_,00350,104
F496__00340.104,13.415842320007473,43.389341805,F496,_,00340,104
F496__00330.104,13.40932310549485,43.392636495000005,F496,_,00330,104
F496__00300.104,13.377800029922724,43.398460330000006,F496,_,00300,104
F496__00280.104,13.437347952517943,43.404017195,F496,_,00280,104
F496__00260.104,13.423877866612347,43.403490285000004,F496,_,00260,104
F496__00250.104,13.407420387065045,43.40474089,F496,_,00250,104
F496__00240.104,13.37038826462334,43.40860838,F496,_,00240,104
F496__00230.104,13.403178543226876,43.4050295,F496,_,00230,104
F496__00220.104,13.378880108797038,43.415498029999995,F496,_,00220,104
F496__00200.104,13.436987437947337,43.41133299,F496,_,00200,104
F496__00190.104,13.443221049370397,43.413699640000004,F496,_,00190,104
F496__00180.104,13.435078310149237,43.41022959,F496,_,00180,104
F496__00160.104,13.411926684653748,43.4061195,F496,_,00160,104
F496__00150.104,13.388219122643564,43.416016015,F496,_,00150,104
F496__00010.105,13.44969331973508,43.444034775,F496,_,00010,105
F496__00370.105,13.398714563334739,43.390734885,F496,_,00370,105
F496__00360.105,13.382431761177388,43.388114995,F496,_,00360,105
F496__00350.105,13.437511545017287,43.389378574999995,F496,_,00350,105
F496__00340.105,13.420729888367603,43.39030925,F496,_,00340,105
F496__00330.105,13.409762437924648,43.38937764,F496,_,00330,105
F496__00300.105,13.378184944940784,43.39833478,F496,_,00300,105
F496__00270.105,13.432013851349744,43.398072080000006,F496,_,00270,105
F496__00250.105,13.407618083249154,43.404724135,F496,_,00250,105
F496__00220.105,13.387133590886307,43.403794045,F496,_,00220,105
F496__00190.105,13.443302555820006,43.413735215,F496,_,00190,105
F496__00180.105,13.435013566042624,43.410200545,F496,_,00180,105
F496__00170.105,13.417855693459412,43.409362220000006,F496,_,00170,105
F496__00160.105,13.411924864270063,43.405833025,F496,_,00160,105
F496__00150.105,13.398337473030145,43.419491934999996,F496,_,00150,105
F496__00130.105,13.4481115562739,43.420737224999996,F496,_,00130,105
F496__00100.105,13.41129606027937,43.428131315,F496,_,00100,105
F496__00090.105,13.478475494789318,43.42990568,F496,_,00090,105
F496__00080.106,13.464090386635489,43.438925595,F496,_,00080,106
F496__00370.106,13.398191378272376,43.390537144999996,F496,_,00370,106
F496__00350.106,13.424518150467634,43.389563345,F496,_,00350,106
F496__00330.106,13.409932446159257,43.38927965,F496,_,00330,106
F496__00320.106,13.400823523251896,43.39696288499999,F496,_,00320,106
F496__00280.106,13.438531390441263,43.40309986,F496,_,00280,106
