nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F801__00020.1,9.387548217204735,45.392049735,F801,_,00020,1
F801__00180.1,9.42615655501237,45.347865415,F801,_,00180,1
F801__00170.1,9.422680735434945,45.354100975,F801,_,00170,1
F801__00160.1,9.420172210121354,45.35508508,F801,_,00160,1
F801__00150.1,9.423469724417266,45.363685770000004,F801,_,00150,1
F801__00140.1,9.418703856438544,45.35836442,F801,_,00140,1
F801__00130.1,9.414893107567845,45.367307515,F801,_,00130,1
F801__00120.1,9.400500004294617,45.363923385,F801,_,00120,1
F801__00110.1,9.397262918005984,45.357832915,F801,_,00110,1
F801__00100.1,9.387392695460234,45.370423689999996,F801,_,00100,1
F801__00070.1,9.392276453449075,45.380845875000006,F801,_,00070,1
F801__00060.1,9.384788522512187,45.380797404999996,F801,_,00060,1
F801__00040.1,9.39341184390495,45.389513585,F801,_,00040,1
F801__00030.1,9.382167257383077,45.38756198,F801,_,00030,1
F801A_00190.10,9.411070778682502,45.383326945,F801,A,00190,10
F801__00180.10,9.429873249208583,45.34588803,F801,_,00180,10
F801__00170.10,9.43278213995784,45.355090295,F801,_,00170,10
F801__00160.10,9.414302875962989,45.353133125,F801,_,00160,10
F801__00150.10,9.422934418122628,45.35982086,F801,_,00150,10
F801__00140.10,9.419914629129533,45.357853735,F801,_,00140,10
F801__00130.10,9.414574887128804,45.36546163,F801,_,00130,10
F801__00120.10,9.400462637662805,45.361434315,F801,_,00120,10
F801__00110.10,9.382399608002828,45.352548165,F801,_,00110,10
F801__00100.10,9.387051587382476,45.36879224,F801,_,00100,10
F801__00090.10,9.405865480139969,45.37487344,F801,_,00090,10
F801__00080.10,9.394539600625503,45.37627279,F801,_,00080,10
F801__00070.10,9.40442077951652,45.381025445000006,F801,_,00070,10
F801__00060.10,9.391267443980603,45.379390795,F801,_,00060,10
F801__00050.10,9.379419402654005,45.376407395,F801,_,00050,10
F801__00040.10,9.401571902640228,45.388964815,F801,_,00040,10
F801__00030.10,9.39095219590481,45.38965612,F801,_,00030,10
F801__00020.10,9.388443260448836,45.392311665,F801,_,00020,10
F801__00010.100,9.394093904548912,45.391431620000006,F801,_,00010,100
F801__00170.100,9.436929865128825,45.348970625,F801,_,00170,100
F801__00160.100,9.420655250324012,45.34512821,F801,_,00160,100
F801__00140.100,9.414314536908837,45.356856730000004,F801,_,00140,100
F801__00120.100,9.409472079352431,45.35763477,F801,_,00120,100
F801__00090.100,9.403297342588758,45.37448012,F801,_,00090,100
F801__00070.100,9.404575617860665,45.375674715,F801,_,00070,100
F801__00060.100,9.393868799166205,45.374070065,F801,_,00060,100
F801__00040.100,9.390513729876204,45.3903843,F801,_,00040,100
F801__00030.100,9.388970684183246,45.390192475,F801,_,00030,100
F801__00020.100,9.387476460023427,45.390385275,F801,_,00020,100
F801__00080.1000,9.399366728573957,45.376237055,F801,_,00080,1000
F801__00080.1006,9.398812450407908,45.37441785,F801,_,00080,1006
F801__00080.1009,9.398834666295976,45.377032805,F801,_,00080,1009
F801__00010.101,9.395023427154278,45.3907709,F801,_,00010,101
F801__00170.101,9.438792206295638,45.348545220000005,F801,_,00170,101
F801__00160.101,9.417947003859549,45.353863985000004,F801,_,00160,101
F801__00140.101,9.414525720547656,45.35709628,F801,_,00140,101
F801__00120.101,9.409545059476974,45.357647935,F801,_,00120,101
F801__00100.101,9.392433123391559,45.370244670000005,F801,_,00100,101
F801__00080.101,9.396312394738391,45.374809334999995,F801,_,00080,101
F801__00070.101,9.404643921348722,45.37558544,F801,_,00070,101
F801__00060.101,9.394112532594777,45.374125525,F801,_,00060,101
F801__00040.101,9.390734921011648,45.39037289,F801,_,00040,101
F801__00030.101,9.389163242105043,45.39033983,F801,_,00030,101
F801__00080.1011,9.399152267912674,45.37667477,F801,_,00080,1011
F801__00080.1013,9.39466144108038,45.374956795,F801,_,00080,1013
F801__00080.1014,9.402304220770517,45.374842564999994,F801,_,00080,1014
F801__00080.1015,9.402208469721492,45.374751135,F801,_,00080,1015
F801__00080.1016,9.402129945463738,45.374773215000005,F801,_,00080,1016
F801__00080.1017,9.400381083844312,45.371967385000005,F801,_,00080,1017
F801__00080.1018,9.39973091589006,45.3765746,F801,_,00080,1018
F801__00080.1019,9.399377206892002,45.376541325000005,F801,_,00080,1019
F801__00010.102,9.395856937072452,45.391747165,F801,_,00010,102
