nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F806__0005.1,10.328198751469609,45.70496701,F806,_,0005,1
F806__00060.1,10.345997747093751,45.71506236,F806,_,00060,1
F806__00050.10,10.32721053248447,45.705658075,F806,_,00050,10
F806__00060.10,10.34714810138378,45.711991555,F806,_,00060,10
F806__00050.100,10.33500205736763,45.707898244999996,F806,_,00050,100
F806__00060.100,10.34398590185173,45.709213045,F806,_,00060,100
F806__00040.1000,10.34822425055669,45.71938288,F806,_,00040,1000
F806__00040.1001,10.347909946177321,45.719395605,F806,_,00040,1001
F806__00050.1001,10.324251673154803,45.703322055,F806,_,00050,1001
F806__00040.1002,10.355469425915683,45.71963164,F806,_,00040,1002
F806__00050.1002,10.324512174497182,45.70299491,F806,_,00050,1002
F806__00040.1003,10.347748618894562,45.71949162,F806,_,00040,1003
F806__00050.1003,10.322731859254352,45.704014915,F806,_,00050,1003
F806__00050.1005,10.33629154196463,45.70665855,F806,_,00050,1005
F806__00070.1005,10.350794533407958,45.7081403,F806,_,00070,1005
F806__00040.1006,10.343466088302197,45.72284028,F806,_,00040,1006
F806__00050.1006,10.336702724819393,45.70673397,F806,_,00050,1006
F806__00050.1007,10.326646339688615,45.702167689999996,F806,_,00050,1007
F806__00070.1007,10.357681898570153,45.702388415,F806,_,00070,1007
F806__00040.1008,10.356633695975628,45.71902005,F806,_,00040,1008
F806__00050.1008,10.326733043818134,45.70184073,F806,_,00050,1008
F806__00040.1009,10.34952274951759,45.720105955,F806,_,00040,1009
F806__00050.1009,10.327139611311619,45.702031184999996,F806,_,00050,1009
F806__00040.101,10.351169688417603,45.716662975000006,F806,_,00040,101
F806__00050.101,10.32746786701968,45.70156496,F806,_,00050,101
F806__00040.1010,10.349435815786562,45.720089225,F806,_,00040,1010
F806__00050.1010,10.326749976179855,45.70163547,F806,_,00050,1010
F806__00040.1011,10.358063344447308,45.71833819,F806,_,00040,1011
F806__00050.1011,10.327247618449071,45.70162225,F806,_,00050,1011
F806__00040.1012,10.345876229211044,45.72159377,F806,_,00040,1012
F806__00040.1013,10.35851425502579,45.71690518,F806,_,00040,1013
F806__00040.1014,10.346488228515183,45.721769359999996,F806,_,00040,1014
F806__00050.1014,10.329396318311847,45.702907620000005,F806,_,00050,1014
F806__00040.1015,10.354297919884843,45.71849621,F806,_,00040,1015
F806__00050.1015,10.33021025221897,45.702544110000005,F806,_,00050,1015
F806__00040.1016,10.353214138464118,45.717959025,F806,_,00040,1016
F806__0005.1016,10.329916050658476,45.706168649999995,F806,_,0005,1016
F806__00060.1017,10.338216694707276,45.712862990000005,F806,_,00060,1017
F806__00040.1018,10.344435447954972,45.72139191,F806,_,00040,1018
F806__00040.1019,10.350463054851625,45.718611845,F806,_,00040,1019
