nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F992__00010.1,8.010268395034426,45.55660348,F992,_,00010,1
F992__00100.1,8.025727294857038,45.54271613,F992,_,00100,1
F992__00090.1,8.014968141989552,45.544017374999996,F992,_,00090,1
F992__00070.1,8.02064231353137,45.549608025,F992,_,00070,1
F992__00040.1,8.019904145428484,45.554093570000006,F992,_,00040,1
F992__00030.1,8.01051319279819,45.55313362,F992,_,00030,1
F992__00040.10,8.02148587232745,45.554381545,F992,_,00040,10
F992__00100.10,8.026396228210633,45.54324726,F992,_,00100,10
F992__00090.10,8.017698654829257,45.543667639999995,F992,_,00090,10
F992__00080.10,8.027120290132062,45.55001251,F992,_,00080,10
F992__00060.10,8.015954231077803,45.550423679999994,F992,_,00060,10
F992__00050.10,8.025777172708342,45.556828575,F992,_,00050,10
F992__00050.100,8.025130262970334,45.553216105000004,F992,_,00050,100
F992__00100.100,8.030529922321524,45.540510465,F992,_,00100,100
F992__00090.100,8.019548844260292,45.540930715,F992,_,00090,100
F992__00080.100,8.026390080625438,45.546462555000005,F992,_,00080,100
F992__00060.100,8.016305063181981,45.547574125,F992,_,00060,100
F992__00040.1000,8.021670469719822,45.554276810000005,F992,_,00040,1000
F992__00040.1001,8.02177223653186,45.55417382,F992,_,00040,1001
F992__00040.1002,8.024618397880104,45.553961735,F992,_,00040,1002
F992__00040.1003,8.024734632290679,45.55376855,F992,_,00040,1003
F992__00040.1004,8.0229794879304,45.549904405,F992,_,00040,1004
F992__00020.101,8.016563600875486,45.555789195,F992,_,00020,101
F992__00090.101,8.019463915597026,45.540691285,F992,_,00090,101
F992__00080.101,8.026538354891013,45.545873985,F992,_,00080,101
F992__00050.101,8.025264921118325,45.55308317,F992,_,00050,101
F992__00030.101,8.01474574355085,45.54990003,F992,_,00030,101
F992__00040.1011,8.022465953007362,45.553678115,F992,_,00040,1011
F992__00040.1012,8.023102276198664,45.5497358,F992,_,00040,1012
F992__00040.1014,8.021560283128336,45.5539991,F992,_,00040,1014
F992__00040.1019,8.02027469107016,45.55255632,F992,_,00040,1019
F992__00040.102,8.02069736363352,45.55362348,F992,_,00040,102
F992__00100.102,8.030751864950496,45.54075891,F992,_,00100,102
F992__00090.102,8.019292704310896,45.540241015,F992,_,00090,102
F992__00080.102,8.026726016544018,45.546255705,F992,_,00080,102
F992__00070.102,8.022895651990599,45.54490398,F992,_,00070,102
F992__00050.102,8.025123787025557,45.552934629999996,F992,_,00050,102
F992__00040.1020,8.020060829276886,45.5525159,F992,_,00040,1020
F992__00040.1021,8.022121871145247,45.55293277,F992,_,00040,1021
F992__00040.1022,8.02480147877562,45.550827505,F992,_,00040,1022
F992__00040.1023,8.025069619043865,45.55071196,F992,_,00040,1023
F992__00040.1024,8.024873025477628,45.55064501,F992,_,00040,1024
F992__00040.1025,8.0244853029199,45.55073297,F992,_,00040,1025
F992__00040.1026,8.024511760756962,45.550620820000006,F992,_,00040,1026
F992__00040.1027,8.024537085525797,45.550511795000006,F992,_,00040,1027
F992__00040.1028,8.02001312171226,45.55228169,F992,_,00040,1028
F992__00040.1029,8.020108302858096,45.552326745,F992,_,00040,1029
F992__00040.103,8.020594351558879,45.553744085000005,F992,_,00040,103
F992__00090.103,8.019675510579315,45.540186745,F992,_,00090,103
F992__00080.103,8.026889497703387,45.546663975,F992,_,00080,103
F992__00070.103,8.02279264755235,45.545596759999995,F992,_,00070,103
F992__00060.103,8.016571045725337,45.54685818,F992,_,00060,103
F992__00040.1030,8.02016963549478,45.552323365,F992,_,00040,1030
F992__00040.1032,8.019955941584715,45.552247165,F992,_,00040,1032
F992__00040.1033,8.019996231707267,45.552237235,F992,_,00040,1033
F992__00040.1034,8.019967275993618,45.55220506,F992,_,00040,1034
F992__00040.1037,8.021407626109454,45.552821495,F992,_,00040,1037
F992__00040.1038,8.02152879701449,45.552678740000005,F992,_,00040,1038
F992__00040.1039,8.022848560841895,45.551975455000004,F992,_,00040,1039
F992__00020.104,8.01695701091312,45.55600249,F992,_,00020,104
F992__00090.104,8.020202350265667,45.540956205,F992,_,00090,104
F992__00080.104,8.027009628422123,45.54608551,F992,_,00080,104
F992__00050.104,8.02542040248455,45.552794309999996,F992,_,00050,104
F992__00030.104,8.01391436372634,45.54902982,F992,_,00030,104
F992__00040.1040,8.023034857138384,45.551895675,F992,_,00040,1040
F992__00040.1042,8.023072883355681,45.551951945,F992,_,00040,1042
F992__00040.1043,8.022894157282314,45.551870435,F992,_,00040,1043
F992__00040.1045,8.023185511766549,45.551751635,F992,_,00040,1045
F992__00040.1047,8.023316254025268,45.55171518,F992,_,00040,1047
F992__00040.1048,8.023158469633323,45.551632075,F992,_,00040,1048
F992__00040.1049,8.023062387973734,45.551630515,F992,_,00040,1049
F992__00010.105,8.016424421998948,45.555220435,F992,_,00010,105
F992__00090.105,8.020040982658458,45.540272415000004,F992,_,00090,105
F992__00080.105,8.027021186471599,45.54697645,F992,_,00080,105
F992__00070.105,8.023091119915208,45.545456545,F992,_,00070,105
F992__00050.105,8.02566939374083,45.55254188,F992,_,00050,105
F992__00020.105,8.016820834008254,45.555747069999995,F992,_,00020,105
F992__00040.1051,8.023318190433766,45.55136575,F992,_,00040,1051
F992__00040.1052,8.0234207879571,45.55140434,F992,_,00040,1052
F992__00040.1059,8.02429381453005,45.549440024999996,F992,_,00040,1059
F992__00070.106,8.0200525416443,45.54444223,F992,_,00070,106
F992__00090.106,8.020441109095255,45.540013650000006,F992,_,00090,106
F992__00080.106,8.027083122079372,45.546663975,F992,_,00080,106
F992__00040.1061,8.02357345528888,45.55356286,F992,_,00040,1061
F992__00040.1062,8.02383560834257,45.55370163,F992,_,00040,1062
F992__00040.1064,8.023841538606565,45.551770555000004,F992,_,00040,1064
F992__00040.1067,8.02192470089262,45.5532802,F992,_,00040,1067
F992__00040.1068,8.023342038266932,45.549474255,F992,_,00040,1068
F992__00040.1069,8.021569901334715,45.554246695,F992,_,00040,1069
F992__00040.107,8.020739948143909,45.553738245000005,F992,_,00040,107
F992__00100.107,8.030683490372532,45.54031374,F992,_,00100,107
F992__00090.107,8.020709742159811,45.540991125,F992,_,00090,107
F992__00080.107,8.027201995277274,45.546101645,F992,_,00080,107
F992__00070.107,8.020549638700823,45.54456157,F992,_,00070,107
F992__00050.107,8.025845395375644,45.552796265,F992,_,00050,107
F992__00040.1070,8.024045262388874,45.55148174,F992,_,00040,1070
F992__00040.1071,8.01892946127515,45.553567465,F992,_,00040,1071
F992__00040.1072,8.01899215982338,45.553363715,F992,_,00040,1072
F992__00040.1073,8.023358364983059,45.550450839999996,F992,_,00040,1073
F992__00040.1074,8.022675978252847,45.550401365,F992,_,00040,1074
F992__00040.1075,8.022682693702876,45.550319105,F992,_,00040,1075
F992__00040.1076,8.023337211045165,45.551965615,F992,_,00040,1076
F992__00040.1079,8.021306059718086,45.553730125,F992,_,00040,1079
F992__00030.108,8.013836507648953,45.54807277,F992,_,00030,108
F992__00100.108,8.030699186386688,45.540391174999996,F992,_,00100,108
F992__00090.108,8.020878633871831,45.540780405,F992,_,00090,108
F992__00080.108,8.027333565408055,45.546633825,F992,_,00080,108
F992__00070.108,8.0203454984544,45.544270995,F992,_,00070,108
F992__00050.108,8.025960233590776,45.55260941,F992,_,00050,108
F992__00040.1080,8.024412148544812,45.551564955,F992,_,00040,1080
F992__00040.1081,8.024317855864815,45.5517674,F992,_,00040,1081
F992__00040.1082,8.024119367820198,45.551905435,F992,_,00040,1082
F992__00040.1083,8.021918364259609,45.552148375,F992,_,00040,1083
F992__00040.1084,8.019786511271425,45.55279359,F992,_,00040,1084
F992__00010.109,8.016541678474589,45.555630300000004,F992,_,00010,109
F992__00080.109,8.027630404504194,45.546495405,F992,_,00080,109
F992__00070.109,8.020758440823233,45.54431409,F992,_,00070,109
F992__00060.109,8.017972111169133,45.547649775,F992,_,00060,109
F992__00050.109,8.026131498568807,45.552352275000004,F992,_,00050,109
F992__00040.1090,8.018932537432853,45.553754194999996,F992,_,00040,1090
F992__00040.1091,8.019488965396976,45.552697975,F992,_,00040,1091
F992__00040.1094,8.020150240616491,45.554199940000004,F992,_,00040,1094
F992__00040.1095,8.02033531222499,45.554144019999995,F992,_,00040,1095
F992__00080.11,8.02735908301794,45.549969225,F992,_,00080,11
F992__00100.11,8.026568191893602,45.5433303,F992,_,00100,11
F992__00090.11,8.01785683545041,45.543695655,F992,_,00090,11
F992__00050.110,8.025945809920344,45.55301226,F992,_,00050,110
F992__00100.110,8.030819917386797,45.540318915,F992,_,00100,110
F992__00090.110,8.02138162047046,45.54068139,F992,_,00090,110
F992__00080.110,8.027889181124984,45.54651267,F992,_,00080,110
F992__00070.110,8.021113851079647,45.544290045,F992,_,00070,110
F992__00060.110,8.017801941043828,45.548015129999996,F992,_,00060,110
F992__00040.1100,8.0203973049763,45.55383424,F992,_,00040,1100
F992__00040.1101,8.020341961020382,45.553755975,F992,_,00040,1101
F992__00040.1103,8.02042123217359,45.55353451,F992,_,00040,1103
F992__00040.1106,8.020788434136179,45.553859255,F992,_,00040,1106
F992__00040.1108,8.020879139771655,45.553739185,F992,_,00040,1108
