nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G056__00010.1,8.96311099681649,45.76204674,G056,_,00010,1
G056__00010.10,8.964506735813057,45.76055306,G056,_,00010,10
G056__00050.100,8.973430211105034,45.75308975,G056,_,00050,100
G056__00020.1000,8.976082733311138,45.757714895,G056,_,00020,1000
G056__00020.1001,8.976146864814698,45.757722920000006,G056,_,00020,1001
G056__00020.1004,8.974705958794011,45.756796595,G056,_,00020,1004
G056__00030.1008,8.979687903780519,45.756284425,G056,_,00030,1008
G056__00030.1009,8.979775212417053,45.755933645,G056,_,00030,1009
G056__00030.101,8.976914312189908,45.75678776,G056,_,00030,101
G056__00070.1010,8.983274028041771,45.756217910000004,G056,_,00070,1010
G056__00060.1011,8.979719986064943,45.755330335,G056,_,00060,1011
G056__00060.1012,8.979876294844095,45.75503501,G056,_,00060,1012
G056__00060.1015,8.979890134088674,45.75373519,G056,_,00060,1015
G056__00070.1016,8.986067581239286,45.755829135,G056,_,00070,1016
G056__00020.1020,8.975560709155058,45.755879515000004,G056,_,00020,1020
G056__00020.1021,8.975674036903797,45.756111675,G056,_,00020,1021
G056__00020.1022,8.975673821604644,45.75604633,G056,_,00020,1022
G056__00020.1023,8.975673587096988,45.75597344,G056,_,00020,1023
G056__00020.1024,8.975499982621386,45.755812065,G056,_,00020,1024
G056__00020.1025,8.975478653101668,45.755776420000004,G056,_,00020,1025
G056__00010.1030,8.960488291222902,45.75881688,G056,_,00010,1030
G056__00010.1033,8.964940902691563,45.759217320000005,G056,_,00010,1033
G056__00010.1034,8.963831833264095,45.759829395,G056,_,00010,1034
G056__00010.1035,8.964377654071303,45.759411459999995,G056,_,00010,1035
G056__00030.1039,8.978934637217277,45.758091335,G056,_,00030,1039
G056__00020.104,8.974063338359437,45.757586555,G056,_,00020,104
G056__00020.1040,8.975218336099873,45.756858855,G056,_,00020,1040
G056__00020.1043,8.975215676404453,45.756776795,G056,_,00020,1043
G056__00020.1044,8.975131515814544,45.756723824999995,G056,_,00020,1044
G056__00010.1045,8.964583366429679,45.759677839999995,G056,_,00010,1045
G056__00010.1047,8.964890120273934,45.76106987,G056,_,00010,1047
G056__00070.1049,8.985266730110236,45.75685714,G056,_,00070,1049
G056__00020.105,8.974601817006437,45.757391785,G056,_,00020,105
G056__00070.1050,8.985619733343745,45.7562737,G056,_,00070,1050
G056__00020.1054,8.975130608474029,45.75622831,G056,_,00020,1054
G056__00020.1055,8.975433603049115,45.756139649999994,G056,_,00020,1055
G056__00020.1056,8.975534125451158,45.75611474,G056,_,00020,1056
G056__00020.1057,8.975220759819749,45.756137155,G056,_,00020,1057
G056__00020.1058,8.975171488513212,45.756070445,G056,_,00020,1058
G056__00020.1059,8.975385229914837,45.756070890000004,G056,_,00020,1059
G056__00020.1060,8.975364550565555,45.75603003,G056,_,00020,1060
G056__00020.1061,8.975487496024641,45.75604591,G056,_,00020,1061
G056__00020.1062,8.975438053596672,45.7560267,G056,_,00020,1062
G056__00020.1063,8.975245891174144,45.756214715,G056,_,00020,1063
G056__00020.1064,8.975628855654577,45.756112404999996,G056,_,00020,1064
G056__00020.1065,8.975615828380192,45.756040755,G056,_,00020,1065
G056__00020.1066,8.97562629850756,45.755963030000004,G056,_,00020,1066
G056__00020.1067,8.975224550643805,45.755955555,G056,_,00020,1067
G056__00020.1068,8.975551658153645,45.75591654,G056,_,00020,1068
G056__00020.107,8.974726681942993,45.757597055000005,G056,_,00020,107
G056__00020.1070,8.975458250338006,45.755738345,G056,_,00020,1070
G056__00020.1071,8.97543852359594,45.755699835,G056,_,00020,1071
G056__00030.1075,8.976225916471073,45.757997615,G056,_,00030,1075
G056__00020.1076,8.974559789543665,45.757939295,G056,_,00020,1076
G056__00030.1077,8.982116705799605,45.756050715,G056,_,00030,1077
G056__00030.1078,8.982670578470868,45.755966215,G056,_,00030,1078
G056__00020.1079,8.974565207213145,45.755838795,G056,_,00020,1079
G056__00020.108,8.974950239186985,45.757559380000004,G056,_,00020,108
G056__00010.1080,8.971090818475455,45.759129279999996,G056,_,00010,1080
G056__00060.1087,8.979336669293614,45.753397245,G056,_,00060,1087
G056__00060.1088,8.979110877365148,45.753609069999996,G056,_,00060,1088
G056__00050.109,8.97463475005695,45.754789349999996,G056,_,00050,109
G056__00060.1091,8.980021485619208,45.752974789999996,G056,_,00060,1091
G056__00060.1092,8.980078089618532,45.752589235,G056,_,00060,1092
G056__00060.1093,8.979929840881319,45.75271047,G056,_,00060,1093
G056__00060.1094,8.980188600113479,45.752724764999996,G056,_,00060,1094
G056__00060.1095,8.980279327479934,45.752769615,G056,_,00060,1095
G056__00030.1096,8.982247326209045,45.75724742,G056,_,00030,1096
G056__00030.1097,8.982495999960129,45.756862125,G056,_,00030,1097
G056__00030.1098,8.982184261203422,45.756795205,G056,_,00030,1098
G056__00030.1099,8.982170652380534,45.75688242,G056,_,00030,1099
G056__00020.11,8.975107774954093,45.757752055,G056,_,00020,11
G056__00020.110,8.975145714478199,45.757554205000005,G056,_,00020,110
G056__00010.1100,8.97038604232041,45.75974932,G056,_,00010,1100
G056__00010.1101,8.97063525854917,45.759517585,G056,_,00010,1101
G056__00010.1102,8.970784279880462,45.759312555,G056,_,00010,1102
G056__00010.1103,8.970936424256356,45.759236924999996,G056,_,00010,1103
G056__00020.1104,8.973788994752525,45.75734761,G056,_,00020,1104
G056__00020.1107,8.972885410492102,45.75677531,G056,_,00020,1107
G056__00020.111,8.975181671928555,45.757404825,G056,_,00020,111
G056__00020.112,8.974906675079282,45.75739111,G056,_,00020,112
G056__00020.1120,8.974635352163524,45.75806378,G056,_,00020,1120
G056__00020.1122,8.973834403213583,45.758205364999995,G056,_,00020,1122
G056__00020.1123,8.974711262262332,45.758293914999996,G056,_,00020,1123
G056__00020.1124,8.974403959746816,45.75853525,G056,_,00020,1124
G056__00030.1126,8.97679264320002,45.758298495000005,G056,_,00030,1126
G056__00030.1127,8.977827087384142,45.75827602,G056,_,00030,1127
G056__00030.1128,8.978259091189685,45.758300320000004,G056,_,00030,1128
G056__00020.113,8.974994817245895,45.7575088,G056,_,00020,113
G056__00030.1132,8.977783206228674,45.75844548,G056,_,00030,1132
G056__00050.1133,8.97343882692149,45.750341825,G056,_,00050,1133
G056__00020.1139,8.973731122114284,45.75758031,G056,_,00020,1139
G056__00010.114,8.970290284774473,45.758316615,G056,_,00010,114
G056__00020.1142,8.973193125616907,45.7575296,G056,_,00020,1142
G056__00020.1143,8.972948170108001,45.757546225,G056,_,00020,1143
G056__00020.1144,8.972693556018303,45.757523660000004,G056,_,00020,1144
G056__00020.1146,8.972717241656836,45.75725965,G056,_,00020,1146
G056__00020.1147,8.973115641720106,45.757332745,G056,_,00020,1147
G056__00010.115,8.970737895668004,45.758274400000005,G056,_,00010,115
G056__00020.1151,8.973347491827965,45.757544825,G056,_,00020,1151
G056__00020.1152,8.97425465596025,45.757683674999996,G056,_,00020,1152
G056__00020.1153,8.97421474565012,45.757498104999996,G056,_,00020,1153
G056__00010.116,8.970657812201832,45.757915815000004,G056,_,00010,116
G056__00020.1161,8.974705702784956,45.756715465,G056,_,00020,1161
G056__00070.1167,8.985256390516483,45.756399965,G056,_,00070,1167
