nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G110__00010.1,16.413960202718876,40.120740215,G110,_,00010,1
G110__00720.1,16.437290742110754,39.98351728,G110,_,00720,1
G110__00710.1,16.444299173593034,40.014515225,G110,_,00710,1
G110__00700.1,16.515614960448808,40.012351615,G110,_,00700,1
G110__00690.1,16.520393558896686,40.021669515,G110,_,00690,1
G110__00680.1,16.517201969168205,40.03095221,G110,_,00680,1
G110__00670.1,16.499903972787756,40.02039062,G110,_,00670,1
G110__00660.1,16.500195094891573,40.018355220000004,G110,_,00660,1
G110__00650.1,16.48927656037406,40.022565869999994,G110,_,00650,1
G110__00630.1,16.47050690781768,40.017820035,G110,_,00630,1
G110__00610.1,16.51268585658513,40.037545025,G110,_,00610,1
G110__00600.1,16.502140423764757,40.031686485,G110,_,00600,1
G110__00580.1,16.47563530782851,40.02788586,G110,_,00580,1
G110__00570.1,16.46478757957464,40.02190186,G110,_,00570,1
G110__00560.1,16.44854362092945,40.016201530000004,G110,_,00560,1
G110__00550.1,16.509702862905534,40.041511875,G110,_,00550,1
G110__00540.1,16.494059451499027,40.039259095,G110,_,00540,1
G110__00530.1,16.491369785715342,40.03919105999999,G110,_,00530,1
G110__00520.1,16.44918766830532,40.032158429999996,G110,_,00520,1
G110__00510.1,16.426065169589307,40.028658865,G110,_,00510,1
G110__00490.1,16.48825195194306,40.047351485,G110,_,00490,1
G110__00480.1,16.472878621001307,40.042485885,G110,_,00480,1
G110__00450.1,16.432389984079162,40.04386502,G110,_,00450,1
G110__00440.1,16.429263836690815,40.04325813,G110,_,00440,1
G110__00430.1,16.407422685346724,40.040242475,G110,_,00430,1
G110__00410.1,16.42934369859461,40.051782485000004,G110,_,00410,1
G110__00400.1,16.40441298158514,40.048615825,G110,_,00400,1
G110__00390.1,16.505776630517914,40.05184025,G110,_,00390,1
G110__00380.1,16.500289743369212,40.054301445,G110,_,00380,1
G110__00370.1,16.48477261516503,40.05912678,G110,_,00370,1
G110__00360.1,16.47293855024364,40.050734829999996,G110,_,00360,1
G110__00350.1,16.46803789021044,40.05527655,G110,_,00350,1
G110__00300.1,16.427319870920904,40.054341685,G110,_,00300,1
G110__00290.1,16.415397178999783,40.057915805,G110,_,00290,1
G110__00280.1,16.415623737614176,40.05745055,G110,_,00280,1
G110__00270.1,16.5190772669422,40.063087565,G110,_,00270,1
G110__00250.1,16.483151403845433,40.06252248,G110,_,00250,1
G110__00240.1,16.473258938379004,40.067469270000004,G110,_,00240,1
G110__00230.1,16.46668369088072,40.068239385,G110,_,00230,1
G110__00220.1,16.49059929129825,40.070721535,G110,_,00220,1
G110__00210.1,16.475125165981517,40.069522305,G110,_,00210,1
G110__00200.1,16.456052615175153,40.072453875,G110,_,00200,1
G110__00180.1,16.446570398447307,40.06618546,G110,_,00180,1
G110__00170.1,16.430202840954177,40.06452729,G110,_,00170,1
G110__00160.1,16.404985825338642,40.06302728,G110,_,00160,1
G110__00150.1,16.45709198542295,40.083669915,G110,_,00150,1
G110__00140.1,16.44426850668482,40.08062896,G110,_,00140,1
G110__00130.1,16.43877965535856,40.074978305,G110,_,00130,1
G110__00120.1,16.42193357331728,40.079444275,G110,_,00120,1
G110__00110.1,16.418798164070473,40.071407125,G110,_,00110,1
G110__00100.1,16.413647730499132,40.079763645,G110,_,00100,1
G110__00090.1,16.44710966988425,40.087816995,G110,_,00090,1
G110__00080.1,16.435274380805918,40.084381015,G110,_,00080,1
G110__00070.1,16.41586868354707,40.08633529,G110,_,00070,1
G110__00060.1,16.440841888122314,40.093862625,G110,_,00060,1
G110__00040.1,16.41488735286113,40.10018061,G110,_,00040,1
G110__00030.1,16.432555829823556,40.106650744999996,G110,_,00030,1
G110__00020.1,16.418602165279534,40.116912165,G110,_,00020,1
G110__00010.10,16.41600725733769,40.119269025,G110,_,00010,10
G110__00710.10,16.440213414470914,40.0016329,G110,_,00710,10
G110__00700.10,16.528235208286866,40.00340743,G110,_,00700,10
G110__00690.10,16.52008489483356,40.01995344,G110,_,00690,10
G110__00680.10,16.513003752434123,40.02347327,G110,_,00680,10
G110__00670.10,16.505785217173504,40.016369615,G110,_,00670,10
G110__00660.10,16.50254911262076,40.010406259999996,G110,_,00660,10
G110__00650.10,16.49206669706868,40.01877828,G110,_,00650,10
G110__00640.10,16.482358822474595,40.02204002,G110,_,00640,10
G110__00620.10,16.46031691198938,40.008664005,G110,_,00620,10
G110__00610.10,16.503089550485534,40.032029050000006,G110,_,00610,10
G110__00600.10,16.491961320409146,40.027520714999994,G110,_,00600,10
G110__00580.10,16.4666327226656,40.018831295,G110,_,00580,10
G110__00560.10,16.446250343477796,40.01223124,G110,_,00560,10
G110__00550.10,16.511542295406386,40.040028500000005,G110,_,00550,10
G110__00540.10,16.502647533237038,40.03435554,G110,_,00540,10
G110__00530.10,16.492207944371387,40.038145585,G110,_,00530,10
G110__00520.10,16.47474436206227,40.02946917,G110,_,00520,10
G110__00510.10,16.425147537940262,40.028203335,G110,_,00510,10
