nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G157__00010.1,13.416902318433536,43.518785305,G157,_,00010,1
G157__01010.1,13.494589865439856,43.449635025,G157,_,01010,1
G157__01000.1,13.473351673261456,43.45273802,G157,_,01000,1
G157__00990.1,13.443541551900093,43.449757225,G157,_,00990,1
G157__00950.1,13.505920164396123,43.459733799999995,G157,_,00950,1
G157__00930.1,13.48996532182775,43.45950036,G157,_,00930,1
G157__00900.1,13.475943138337978,43.458957215,G157,_,00900,1
G157__00880.1,13.460540924993246,43.465231435,G157,_,00880,1
G157__00850.1,13.438786573463393,43.45877915,G157,_,00850,1
G157__00840.1,13.427336798531112,43.457933185,G157,_,00840,1
G157__00830.1,13.515871066638333,43.47220281,G157,_,00830,1
G157__00810.1,13.510856179968444,43.47404393,G157,_,00810,1
G157__00770.1,13.494184705285944,43.469448165,G157,_,00770,1
G157__00740.1,13.450585597930214,43.4667325,G157,_,00740,1
G157__00730.1,13.442597565555989,43.46750377,G157,_,00730,1
G157__00720.1,13.42183370631073,43.464740635,G157,_,00720,1
G157__00710.1,13.4124074761346,43.465987975000004,G157,_,00710,1
G157__00700.1,13.523590563804536,43.477722985,G157,_,00700,1
G157__00690.1,13.51238175768416,43.484198405,G157,_,00690,1
G157__00670.1,13.499225660862837,43.480924619999996,G157,_,00670,1
G157__00660.1,13.493663597300303,43.48369171,G157,_,00660,1
G157__00650.1,13.478932746702885,43.481432215,G157,_,00650,1
G157__00640.1,13.442482458726207,43.47398827,G157,_,00640,1
G157__00630.1,13.409402933790323,43.475220945000004,G157,_,00630,1
G157__00600.1,13.507426951612615,43.491878405,G157,_,00600,1
G157__00580.1,13.47820212128553,43.487432795000004,G157,_,00580,1
G157__00560.1,13.461010233858818,43.479256160000006,G157,_,00560,1
G157__00510.1,13.403495762298887,43.484213905,G157,_,00510,1
G157__00490.1,13.370515378326001,43.485137519999995,G157,_,00490,1
G157__00460.1,13.54974546946233,43.504005675,G157,_,00460,1
G157__00450.1,13.53201412681934,43.50171492,G157,_,00450,1
G157__00440.1,13.511439560738516,43.501695175,G157,_,00440,1
G157__00430.1,13.500802774624038,43.502412335,G157,_,00430,1
G157__00400.1,13.477323492447779,43.488463585000005,G157,_,00400,1
G157__00390.1,13.451133153585197,43.49258146,G157,_,00390,1
G157__00380.1,13.443079558792665,43.49663776,G157,_,00380,1
G157__00360.1,13.394378160892717,43.492650765,G157,_,00360,1
G157__00310.1,13.478455511540835,43.489424455000005,G157,_,00310,1
G157__00300.1,13.456622853436102,43.504982695,G157,_,00300,1
G157__00290.1,13.440579296597877,43.50175633,G157,_,00290,1
G157__00280.1,13.431855239258576,43.499033749999995,G157,_,00280,1
G157__00250.1,13.401129908472234,43.498772925,G157,_,00250,1
G157__00230.1,13.389365742332327,43.502774384999995,G157,_,00230,1
G157__00220.1,13.380976990362118,43.497886495,G157,_,00220,1
G157__00190.1,13.348211475752908,43.496881560000006,G157,_,00190,1
G157__00180.1,13.522292912936152,43.521752515,G157,_,00180,1
G157__00160.1,13.49006550120123,43.512415634999996,G157,_,00160,1
G157__00130.1,13.432577593918715,43.50744095,G157,_,00130,1
G157__00110.1,13.4239570587578,43.51218639,G157,_,00110,1
G157__00100.1,13.403812936459362,43.50966112,G157,_,00100,1
G157__00090.1,13.509289123501913,43.53210425,G157,_,00090,1
G157__00080.1,13.502059853396698,43.532778195000006,G157,_,00080,1
G157__00070.1,13.486911608694228,43.531508285,G157,_,00070,1
G157__00060.1,13.47624205686137,43.53358204,G157,_,00060,1
G157__00050.1,13.48835690275232,43.517812570000004,G157,_,00050,1
G157__00040.1,13.460734739229004,43.51898117499999,G157,_,00040,1
G157__00020.1,13.424582548892992,43.51638766,G157,_,00020,1
G157__00020.10,13.433763243489032,43.51661055,G157,_,00020,10
G157__01050.10,13.499478899068688,43.44289295,G157,_,01050,10
G157__01030.10,13.45424665697359,43.445028295,G157,_,01030,10
G157__01020.10,13.436177085258805,43.439302705,G157,_,01020,10
G157__01010.10,13.496983599729042,43.445358825,G157,_,01010,10
G157__01000.10,13.479016174309555,43.451967115,G157,_,01000,10
G157__00990.10,13.443336704737927,43.449496545,G157,_,00990,10
G157__00980.10,13.446083432521554,43.44450293,G157,_,00980,10
G157__00970.10,13.432686974480426,43.44760649,G157,_,00970,10
G157__00940.10,13.504939777756835,43.454091195000004,G157,_,00940,10
