nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G526__00020.1,7.5806440754808335,44.35146504,G526,_,00020,1
G526__00570.1,7.60619411675513,44.24885189,G526,_,00570,1
G526__00560.1,7.610146132332879,44.259683735,G526,_,00560,1
G526__00550.1,7.647519448957615,44.27321551,G526,_,00550,1
G526__00540.1,7.633474718670438,44.276358970000004,G526,_,00540,1
G526__00530.1,7.593052817550989,44.278770345,G526,_,00530,1
G526__00520.1,7.592596291962183,44.287960725,G526,_,00520,1
G526__00510.1,7.623785114263097,44.283453865,G526,_,00510,1
G526__00500.1,7.631968758837841,44.286819255,G526,_,00500,1
G526__00490.1,7.637515889750178,44.278590185,G526,_,00490,1
G526__00480.1,7.64487374740366,44.294045525,G526,_,00480,1
G526__00470.1,7.63606575199127,44.294481875,G526,_,00470,1
G526__00460.1,7.6400243584817655,44.299519759999995,G526,_,00460,1
G526__00450.1,7.646503114627475,44.310443275,G526,_,00450,1
G526__00440.1,7.653835502251947,44.322638595,G526,_,00440,1
G526__00410.1,7.617922595915811,44.311216485,G526,_,00410,1
G526__00400.1,7.604040375510625,44.307226885,G526,_,00400,1
G526__00390.1,7.592638622436917,44.302342385,G526,_,00390,1
G526__00380.1,7.583443669051826,44.302288295,G526,_,00380,1
G526__00370.1,7.584087509593477,44.31437847,G526,_,00370,1
G526__00350.1,7.594045527423595,44.31202031,G526,_,00350,1
G526__00340.1,7.606431837926608,44.313518134999995,G526,_,00340,1
G526__00330.1,7.621258915397112,44.32606576,G526,_,00330,1
G526__00320.1,7.610278192493596,44.32584426,G526,_,00320,1
G526__00310.1,7.589469291234412,44.32407861,G526,_,00310,1
G526__00300.1,7.581610572042314,44.323890245,G526,_,00300,1
G526__00290.1,7.582318942603449,44.33426073,G526,_,00290,1
G526__00280.1,7.592258811554483,44.333697395,G526,_,00280,1
G526__00260.1,7.607066024204785,44.33409944,G526,_,00260,1
G526__00250.1,7.623401636492499,44.33303395,G526,_,00250,1
G526__00240.1,7.633408253156363,44.32933575,G526,_,00240,1
G526__00220.1,7.635409691085238,44.33104694,G526,_,00220,1
G526__00200.1,7.643148640028703,44.346713875000006,G526,_,00200,1
G526__00190.1,7.640539882329229,44.344744739999996,G526,_,00190,1
G526__00180.1,7.632433179912406,44.343806545,G526,_,00180,1
G526__00170.1,7.622419299060672,44.34735483,G526,_,00170,1
G526__00160.1,7.635358796355202,44.353934855,G526,_,00160,1
G526__00150.1,7.621957474630856,44.35238498,G526,_,00150,1
G526__00140.1,7.612209154079894,44.34998711,G526,_,00140,1
G526__00100.1,7.6082502985314875,44.37641362,G526,_,00100,1
G526__00090.1,7.600123771210146,44.36111398,G526,_,00090,1
G526__00080.1,7.595414581969727,44.362348565000005,G526,_,00080,1
G526__00070.1,7.605417781183288,44.35457803,G526,_,00070,1
G526__00050.1,7.604046601787494,44.339508,G526,_,00050,1
G526__00030.1,7.579889738392202,44.34552824,G526,_,00030,1
G526__00010.10,7.58299691928557,44.354393525,G526,_,00010,10
G526__00560.10,7.641219091353541,44.263868155,G526,_,00560,10
G526__00550.10,7.646968790416758,44.272341315000006,G526,_,00550,10
G526__00530.10,7.600717804207981,44.278868665,G526,_,00530,10
G526__00520.10,7.6137674001591655,44.288175190000004,G526,_,00520,10
G526__00510.10,7.620974384143099,44.28580619,G526,_,00510,10
G526__00500.10,7.625696798632358,44.287289795,G526,_,00500,10
G526__00490.10,7.645282936750616,44.27658287,G526,_,00490,10
G526__00480.10,7.645922058288687,44.29372849,G526,_,00480,10
G526__00470.10,7.63847912258705,44.29393617,G526,_,00470,10
G526__00460.10,7.638325755481787,44.298624275,G526,_,00460,10
G526__00450.10,7.649131957468869,44.30565892,G526,_,00450,10
G526__00440.10,7.6543217938358445,44.31955965,G526,_,00440,10
G526__00420.10,7.629766410939435,44.304658515,G526,_,00420,10
G526__00410.10,7.619785619228337,44.310552985,G526,_,00410,10
G526__00400.10,7.603586136478915,44.306277245000004,G526,_,00400,10
G526__00390.10,7.596596730115313,44.301803899999996,G526,_,00390,10
G526__00370.10,7.5857547831157195,44.314513160000004,G526,_,00370,10
G526__00360.10,7.595879458169597,44.316412475,G526,_,00360,10
G526__00350.10,7.595700561406947,44.311500620000004,G526,_,00350,10
G526__00340.10,7.609413574696162,44.312586695,G526,_,00340,10
G526__00320.10,7.611954615474575,44.326017275,G526,_,00320,10
G526__00300.10,7.586050115430668,44.324971065,G526,_,00300,10
G526__00280.10,7.594129744628259,44.333354645,G526,_,00280,10
G526__00270.10,7.621089581504372,44.332577025000006,G526,_,00270,10
G526__00260.10,7.609013527282685,44.332323445,G526,_,00260,10
G526__00240.10,7.634534520474527,44.327621235,G526,_,00240,10
G526__00230.10,7.644039705309645,44.32567019,G526,_,00230,10
G526__00220.10,7.634316020054191,44.332647265,G526,_,00220,10
G526__00200.10,7.645241846349675,44.34867165,G526,_,00200,10
G526__00190.10,7.640283349795677,44.34280063,G526,_,00190,10
G526__00180.10,7.6344140373903,44.34559151,G526,_,00180,10
G526__00170.10,7.624047729417102,44.346838485,G526,_,00170,10
G526__00160.10,7.63295805146719,44.35186308,G526,_,00160,10
G526__00150.10,7.626024973336474,44.353756355,G526,_,00150,10
G526__00140.10,7.616397723828634,44.350799505,G526,_,00140,10
G526__00130.10,7.607836895374971,44.356597609999994,G526,_,00130,10
G526__00110.10,7.619492162666818,44.36851335,G526,_,00110,10
G526__00100.10,7.606653866661958,44.371834774999996,G526,_,00100,10
G526__00090.10,7.601427215708307,44.359992015,G526,_,00090,10
G526__00080.10,7.5907888455221215,44.359541975,G526,_,00080,10
G526__00070.10,7.607223222262093,44.35276645,G526,_,00070,10
G526__00060.10,7.609986634080979,44.34339822,G526,_,00060,10
G526__00050.10,7.605504147420104,44.33840308,G526,_,00050,10
G526__00020.10,7.584447155154047,44.352082805,G526,_,00020,10
G526__00010.100,7.584523424936153,44.352499699999996,G526,_,00010,100
G526__00520.100,7.606462910466076,44.281511755,G526,_,00520,100
G526__00500.100,7.627205164745789,44.287051685,G526,_,00500,100
G526__00480.100,7.64953840989207,44.293367265,G526,_,00480,100
G526__00470.100,7.636652167258362,44.291590935,G526,_,00470,100
G526__00450.100,7.65241282301664,44.301916395,G526,_,00450,100
G526__00440.100,7.645931297062745,44.312731215,G526,_,00440,100
G526__00430.100,7.632739896365781,44.31455985,G526,_,00430,100
G526__00420.100,7.636922931387835,44.306388325,G526,_,00420,100
G526__00410.100,7.624152163870615,44.310010610000006,G526,_,00410,100
G526__00400.100,7.607889334988206,44.301544485,G526,_,00400,100
G526__00390.100,7.599924025724673,44.30233323,G526,_,00390,100
G526__00380.100,7.589467484272616,44.296418215,G526,_,00380,100
G526__00370.100,7.5851254026571855,44.309125535,G526,_,00370,100
G526__00360.100,7.596758831801759,44.31717682,G526,_,00360,100
G526__00330.100,7.621318604598324,44.32437775,G526,_,00330,100
G526__00320.100,7.6207568257897425,44.322908510000005,G526,_,00320,100
G526__00310.100,7.594337478138362,44.322472915,G526,_,00310,100
G526__00300.100,7.579516035186881,44.318694535,G526,_,00300,100
G526__00290.100,7.586624113326819,44.32980173,G526,_,00290,100
G526__00280.100,7.593880193128729,44.327099155,G526,_,00280,100
G526__00260.100,7.612159658715591,44.334439925,G526,_,00260,100
G526__00250.100,7.6316678312105015,44.328850454999994,G526,_,00250,100
G526__00240.100,7.6310720266048495,44.323719784999994,G526,_,00240,100
G526__00230.100,7.645743791373893,44.31991107,G526,_,00230,100
G526__00220.100,7.644767788236271,44.332942935,G526,_,00220,100
G526__00210.100,7.649120332189637,44.336361929999995,G526,_,00210,100
G526__00190.100,7.644569324815744,44.339101445,G526,_,00190,100
G526__00180.100,7.6348312969670555,44.33951287,G526,_,00180,100
G526__00170.100,7.62962229362666,44.347452095,G526,_,00170,100
G526__00160.100,7.636807560902801,44.349461465,G526,_,00160,100
G526__00140.100,7.618688880278906,44.342593835,G526,_,00140,100
G526__00130.100,7.608210967587535,44.356875215,G526,_,00130,100
G526__00120.100,7.627876165984139,44.361825365,G526,_,00120,100
G526__00110.100,7.622471107398962,44.364642425,G526,_,00110,100
G526__00100.100,7.614198395276344,44.369707805000004,G526,_,00100,100
G526__00080.100,7.59292822962275,44.35276683,G526,_,00080,100
G526__00070.100,7.604311130021516,44.34879897,G526,_,00070,100
G526__00060.100,7.609130035750717,44.33990112,G526,_,00060,100
G526__00050.100,7.610924752788701,44.337473245,G526,_,00050,100
G526__00040.100,7.596087147352397,44.341581675,G526,_,00040,100
G526__00030.100,7.588541864411733,44.344547774999995,G526,_,00030,100
G526__00040.1000,7.594306958742414,44.34532867,G526,_,00040,1000
G526__00470.1000,7.640479461818817,44.290329045,G526,_,00470,1000
G526__00330.1000,7.622228639239532,44.324196279999995,G526,_,00330,1000
G526__00310.1000,7.5913988808812904,44.321052745,G526,_,00310,1000
G526__00270.1000,7.613531898933906,44.329268400000004,G526,_,00270,1000
G526__00030.1001,7.589982691435379,44.341461965,G526,_,00030,1001
G526__00470.1001,7.640549264602711,44.290435915,G526,_,00470,1001
G526__00330.1001,7.622909850613272,44.323184095,G526,_,00330,1001
