nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G600__00010.1,8.23144394665493,46.03425636,G600,_,00010,1
G600__00220.1,8.232846504188222,46.013324985,G600,_,00220,1
G600__00210.1,8.236311155140452,46.016517055,G600,_,00210,1
G600__00200.1,8.233610473446598,46.01729208,G600,_,00200,1
G600__00180.1,8.273589570096796,46.0283739,G600,_,00180,1
G600__00170.1,8.265668877610356,46.03016727,G600,_,00170,1
G600__00150.1,8.255086081835177,46.024973364999994,G600,_,00150,1
G600__00140.1,8.254718764551887,46.032328535000005,G600,_,00140,1
G600__00130.1,8.254108900659205,46.02224536,G600,_,00130,1
G600__00120.1,8.251207260252649,46.028597845,G600,_,00120,1
G600__00100.1,8.243910501534153,46.024571355000006,G600,_,00100,1
G600__00090.1,8.236532972525364,46.023252264999996,G600,_,00090,1
G600__00080.1,8.241606476353,46.027600085,G600,_,00080,1
G600__00070.1,8.234198225020148,46.02539755,G600,_,00070,1
G600__00060.1,8.269434412280344,46.03316723499999,G600,_,00060,1
G600__00050.1,8.26578390860019,46.03377535,G600,_,00050,1
G600__00040.1,8.26715272578582,46.035735605,G600,_,00040,1
G600__00030.1,8.25581646750101,46.036885495,G600,_,00030,1
G600__00020.1,8.250473151174656,46.035391065,G600,_,00020,1
G600__00020.10,8.252648378270083,46.034208930000005,G600,_,00020,10
G600__00210.10,8.23759480248015,46.01380482,G600,_,00210,10
G600__00200.10,8.231710735349697,46.015801675000006,G600,_,00200,10
G600__00170.10,8.266000398466307,46.029296994999996,G600,_,00170,10
G600__00150.10,8.257770705626491,46.02431704,G600,_,00150,10
G600__00140.10,8.254784277249264,46.03199795,G600,_,00140,10
G600__00130.10,8.254104244580416,46.021887480000004,G600,_,00130,10
G600__00120.10,8.252841267018226,46.02826817,G600,_,00120,10
G600__00110.10,8.244518756373736,46.022174835,G600,_,00110,10
G600__00100.10,8.244295055275199,46.024336614999996,G600,_,00100,10
G600__00090.10,8.237372801732906,46.022180805000005,G600,_,00090,10
G600__00070.10,8.23442049251873,46.024364665,G600,_,00070,10
G600__00030.10,8.257892568601587,46.03673617,G600,_,00030,10
G600__00010.100,8.237861442824745,46.03248181,G600,_,00010,100
G600__00180.100,8.267311875403603,46.02507081,G600,_,00180,100
G600__00160.100,8.259483482686,46.02551796,G600,_,00160,100
G600__00150.100,8.256189671995875,46.023335535,G600,_,00150,100
G600__00140.100,8.258709847525395,46.029560204999996,G600,_,00140,100
G600__00130.100,8.251749270581422,46.019612644999995,G600,_,00130,100
G600__00120.100,8.251972544807643,46.025078300000004,G600,_,00120,100
G600__00110.100,8.242504554075154,46.020646805,G600,_,00110,100
