nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G674A_00010.1,7.290778707204472,44.971082565,G674,A,00010,1
G674B_00110.1,7.298184646035354,44.884188225,G674,B,00110,1
G674B_00090.1,7.282846567856804,44.885356765,G674,B,00090,1
G674B_00070.1,7.29535292700371,44.89469038,G674,B,00070,1
G674B_00060.1,7.302563881732454,44.89280249,G674,B,00060,1
G674B_00050.1,7.306213632684658,44.89662745,G674,B,00050,1
G674B_00040.1,7.297931475286669,44.90224426,G674,B,00040,1
G674B_00030.1,7.2826366948079535,44.89746404,G674,B,00030,1
G674B_00020.1,7.29228036751414,44.904567705000005,G674,B,00020,1
G674B_00010.1,7.282860849471776,44.907053739999995,G674,B,00010,1
G674A_00800.1,7.384050853352474,44.86953244,G674,A,00800,1
G674A_00790.1,7.3690867227544565,44.87052224,G674,A,00790,1
G674A_00750.1,7.349060569858671,44.87500856,G674,A,00750,1
G674A_00710.1,7.381484892599891,44.862019525,G674,A,00710,1
G674A_00700.1,7.377480180136335,44.857326244999996,G674,A,00700,1
G674A_00690.1,7.367632716296024,44.856897419999996,G674,A,00690,1
G674A_00680.1,7.36793886200978,44.849618230000004,G674,A,00680,1
G674A_00670.1,7.354272954563573,44.855085105,G674,A,00670,1
G674A_00660.1,7.341405758090547,44.862382425,G674,A,00660,1
G674A_00650.1,7.35009417754233,44.868647565,G674,A,00650,1
G674A_00640.1,7.3352192326427375,44.868268205,G674,A,00640,1
G674A_00630.1,7.347484370246475,44.8757846,G674,A,00630,1
G674A_00610.1,7.332314379346252,44.879946425,G674,A,00610,1
G674A_00590.1,7.32762508909352,44.88111788,G674,A,00590,1
G674A_00580.1,7.32437926680108,44.870270149999996,G674,A,00580,1
G674A_00570.1,7.311614907089103,44.877433025,G674,A,00570,1
G674A_00560.1,7.315978262113902,44.881345335,G674,A,00560,1
G674A_00550.1,7.314504587287312,44.885496355,G674,A,00550,1
G674A_00530.1,7.335024005825405,44.88736141,G674,A,00530,1
G674A_00520.1,7.327942843719427,44.890310865000004,G674,A,00520,1
G674A_00510.1,7.324080523295014,44.888453084999995,G674,A,00510,1
G674A_00480.1,7.3381429376441325,44.885845665,G674,A,00480,1
G674A_00470.1,7.347462327251665,44.886134170000005,G674,A,00470,1
G674A_00460.1,7.346347838025805,44.891374565,G674,A,00460,1
G674A_00450.1,7.359533358657757,44.88970893,G674,A,00450,1
G674A_00420.1,7.376016349667002,44.88690673,G674,A,00420,1
G674A_00410.1,7.373597147616467,44.89242781,G674,A,00410,1
G674A_00390.1,7.384201052697517,44.894558180000004,G674,A,00390,1
G674A_00370.1,7.391716490328054,44.889712995,G674,A,00370,1
G674A_00360.1,7.405720529745595,44.89326382,G674,A,00360,1
G674A_00340.1,7.411367090758178,44.91009021000001,G674,A,00340,1
G674A_00330.1,7.403144050407599,44.91346772,G674,A,00330,1
G674A_00320.1,7.400105457721214,44.907422170000004,G674,A,00320,1
G674A_00300.1,7.388010744809748,44.906946884999996,G674,A,00300,1
G674A_00290.1,7.391219569820171,44.89908077,G674,A,00290,1
G674A_00280.1,7.38098365675833,44.90264876,G674,A,00280,1
G674A_00270.1,7.375141268155417,44.897087925,G674,A,00270,1
