nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G771__00020.1,13.127374298152871,43.543007375,G771,_,00020,1
G771__00140.1,13.050772560412769,43.503814895,G771,_,00140,1
G771__00130.1,13.044067565207554,43.50902517,G771,_,00130,1
G771__00120.1,13.0654035706367,43.50607398,G771,_,00120,1
G771__00100.1,13.073698232333522,43.517900155,G771,_,00100,1
G771__00090.1,13.075326242961822,43.51626496,G771,_,00090,1
G771__00080.1,13.070881929455872,43.521810645,G771,_,00080,1
G771__00070.1,13.086642206869694,43.516611115,G771,_,00070,1
G771__00060.1,13.096121183412052,43.523614425,G771,_,00060,1
G771__00040.1,13.111774748441114,43.53299944,G771,_,00040,1
G771__00030.1,13.137679734655467,43.538932419999995,G771,_,00030,1
G771__00010.10,13.120771190460626,43.545008225000004,G771,_,00010,10
G771__00140.10,13.055029028059987,43.501209579999994,G771,_,00140,10
G771__00120.10,13.071419825420307,43.506665835,G771,_,00120,10
G771__00110.10,13.062545894393018,43.515451565000006,G771,_,00110,10
G771__00100.10,13.073119602470435,43.51436331,G771,_,00100,10
G771__00090.10,13.078932257193387,43.51563146,G771,_,00090,10
G771__00030.10,13.129168815533504,43.533350125,G771,_,00030,10
G771__00020.100,13.13072564953506,43.536905250000004,G771,_,00020,100
G771__00130.100,13.043552219921219,43.502387479999996,G771,_,00130,100
G771__00120.100,13.066632724229766,43.4991431,G771,_,00120,100
G771__00090.100,13.078003859126827,43.511988065,G771,_,00090,100
G771__00070.100,13.09519412258716,43.513957669999996,G771,_,00070,100
G771__00050.100,13.11689038173504,43.528040215000004,G771,_,00050,100
G771__00040.100,13.1049005329286,43.521342774999994,G771,_,00040,100
G771__00020.101,13.13205839692484,43.537544775,G771,_,00020,101
G771__00140.101,13.050575937461723,43.49521645,G771,_,00140,101
G771__00130.101,13.046238216755885,43.500561845,G771,_,00130,101
G771__00120.101,13.0669518606068,43.499695165000006,G771,_,00120,101
G771__00110.101,13.054410448444802,43.50618048,G771,_,00110,101
G771__00100.101,13.0783993215753,43.51150818,G771,_,00100,101
G771__00080.101,13.065098255028012,43.510424619999995,G771,_,00080,101
G771__00050.101,13.118119198789856,43.52725084,G771,_,00050,101
G771__00010.102,13.114010557317808,43.53988246,G771,_,00010,102
G771__00140.102,13.051277633030347,43.50142813,G771,_,00140,102
G771__00120.102,13.067441223087718,43.499695155,G771,_,00120,102
G771__00110.102,13.054716614620492,43.506271444999996,G771,_,00110,102
G771__00100.102,13.07790076489558,43.51079718,G771,_,00100,102
G771__00070.102,13.097342946238058,43.514929769999995,G771,_,00070,102
G771__00060.102,13.09515748924483,43.522004949999996,G771,_,00060,102
G771__00040.102,13.108550492240571,43.525470685,G771,_,00040,102
G771__00020.102,13.121242879091756,43.53154264,G771,_,00020,102
G771__00010.103,13.113891867346162,43.53946355,G771,_,00010,103
