nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G801__00100.100,10.499054035124209,45.53893264,G801,_,00100,100
G801__00050.1000,10.50660196586344,45.55003273,G801,_,00050,1000
G801__00050.1001,10.506493114489395,45.550353099999995,G801,_,00050,1001
G801__00050.1002,10.506744536194704,45.550542495,G801,_,00050,1002
G801__00050.1004,10.506518526470979,45.5504582,G801,_,00050,1004
G801__00050.1006,10.50647631881396,45.550645095,G801,_,00050,1006
G801__00070.1007,10.506646183655963,45.54951294,G801,_,00070,1007
G801__00050.1008,10.507574994040848,45.549577015,G801,_,00050,1008
G801__00050.1009,10.506171361306727,45.55046019,G801,_,00050,1009
G801__00100.101,10.499067816032575,45.538037509999995,G801,_,00100,101
G801__00050.1010,10.506199172839416,45.550326084999995,G801,_,00050,1010
G801__00010.1011,10.51347958898709,45.553937239999996,G801,_,00010,1011
G801__00050.1013,10.506142114816136,45.54986803,G801,_,00050,1013
G801__00050.1015,10.505746395458083,45.54961193,G801,_,00050,1015
G801__00050.1017,10.505934307824962,45.549512935,G801,_,00050,1017
G801__00100.102,10.498568128950286,45.538818045,G801,_,00100,102
G801__00050.1020,10.505572579244074,45.549537889999996,G801,_,00050,1020
G801__00050.1021,10.505753423436989,45.54931528,G801,_,00050,1021
G801__00070.1025,10.506903743605768,45.547770415,G801,_,00070,1025
G801__00040.1026,10.504285141373984,45.552815735,G801,_,00040,1026
G801__00100.103,10.498537347834523,45.53867511,G801,_,00100,103
G801__00070.1032,10.511567027168741,45.548556915000006,G801,_,00070,1032
G801__00040.1034,10.504971098559142,45.5541794,G801,_,00040,1034
G801__00070.1037,10.512026939841364,45.547606525,G801,_,00070,1037
G801__00040.1038,10.504552268255885,45.554275875,G801,_,00040,1038
G801__00070.1039,10.510208521278965,45.54867922,G801,_,00070,1039
G801__00040.1040,10.506348025668387,45.5553739,G801,_,00040,1040
G801__00070.1041,10.509689618757257,45.548119705000005,G801,_,00070,1041
G801__00040.1045,10.50549955860393,45.55542778,G801,_,00040,1045
G801__00040.1046,10.505754576642923,45.55399938,G801,_,00040,1046
G801__00070.1050,10.511624239016037,45.551573115,G801,_,00070,1050
G801__00070.1052,10.511797121778297,45.551309579999995,G801,_,00070,1052
G801__00070.1053,10.511852889131763,45.551478015,G801,_,00070,1053
G801__00050.1056,10.510792354603076,45.55317767,G801,_,00050,1056
G801__00010.1057,10.511299572307344,45.553273974999996,G801,_,00010,1057
G801__00010.1059,10.510595476466754,45.553577215,G801,_,00010,1059
G801__00010.1061,10.509691881737918,45.553836245,G801,_,00010,1061
G801__00050.1062,10.509523748215624,45.55363081,G801,_,00050,1062
G801__00050.1063,10.50957197148184,45.55345505,G801,_,00050,1063
G801__00010.1064,10.51020108365492,45.55404536,G801,_,00010,1064
G801__00010.1070,10.510735429361016,45.554365250000004,G801,_,00010,1070
G801__00010.1072,10.510923555735532,45.553882085,G801,_,00010,1072
G801__00010.1074,10.51063847562615,45.55518021,G801,_,00010,1074
G801__00010.1075,10.512719077644858,45.55416778,G801,_,00010,1075
G801__00010.1076,10.512601114817603,45.553180510000004,G801,_,00010,1076
G801__00010.1078,10.511162526751047,45.55488579,G801,_,00010,1078
G801__00010.1084,10.512671023494429,45.55473631,G801,_,00010,1084
G801__00050.1086,10.50365691537856,45.5525752,G801,_,00050,1086
G801__00040.1088,10.503645130805193,45.552973210000005,G801,_,00040,1088
G801__00040.1089,10.504447854113806,45.552210735,G801,_,00040,1089
G801__00100.109,10.50050859207246,45.538001445000006,G801,_,00100,109
G801__00050.1091,10.50414886905614,45.552076775,G801,_,00050,1091
G801__00040.1093,10.507788049655606,45.553682175,G801,_,00040,1093
G801__00050.1096,10.508188858363184,45.55356128,G801,_,00050,1096
G801__00010.1097,10.511768907008424,45.558453025000006,G801,_,00010,1097
G801__00040.1098,10.507264878897137,45.5566272,G801,_,00040,1098
G801__00040.1099,10.506395184969657,45.55664919,G801,_,00040,1099
G801__00060.11,10.502771631129182,45.546811825000006,G801,_,00060,11
G801__00040.1103,10.50553747362543,45.556139205,G801,_,00040,1103
G801__00040.1106,10.506356325944653,45.5559985,G801,_,00040,1106
G801__00040.1109,10.50410845083597,45.555401535,G801,_,00040,1109
G801__00040.1111,10.503753675170291,45.552990385,G801,_,00040,1111
G801__00040.1121,10.505340579205443,45.55503177,G801,_,00040,1121
G801__00040.1122,10.505921573432076,45.555223765,G801,_,00040,1122
G801__00040.1123,10.506536199746964,45.55418974,G801,_,00040,1123
G801__00040.1125,10.507187388457808,45.55435174,G801,_,00040,1125
G801__00040.1129,10.504254056279443,45.552475900000005,G801,_,00040,1129
G801__00050.1136,10.507911656881173,45.553111455,G801,_,00050,1136
G801__00050.1137,10.508257361139156,45.553267175,G801,_,00050,1137
G801__00050.1140,10.507781221925512,45.552819389999996,G801,_,00050,1140
G801__00050.1144,10.50806320642415,45.55284388,G801,_,00050,1144
G801__00050.1145,10.508068937531478,45.55275718,G801,_,00050,1145
G801__00050.1148,10.508110939372028,45.552934205,G801,_,00050,1148
G801__00100.115,10.498960443090391,45.5373936,G801,_,00100,115
G801__00050.1150,10.508053558716085,45.552642215,G801,_,00050,1150
G801__00010.1157,10.50982900961246,45.55726888,G801,_,00010,1157
G801__00010.1162,10.511736278896292,45.557319155,G801,_,00010,1162
G801__00010.1163,10.510699732274603,45.556847165,G801,_,00010,1163
G801__00010.1167,10.510022332412728,45.556282935,G801,_,00010,1167
G801__00010.1168,10.510150816880385,45.55783892,G801,_,00010,1168
G801__00010.1169,10.510581777642042,45.55783705,G801,_,00010,1169
G801__00010.1170,10.510929214541186,45.5575055,G801,_,00010,1170
G801__00010.1171,10.51124795284241,45.55759817,G801,_,00010,1171
G801__00010.1172,10.51099259731653,45.558462465,G801,_,00010,1172
G801__00010.1178,10.512986287948292,45.55919053,G801,_,00010,1178
G801__00030.1179,10.490898331335572,45.54605118,G801,_,00030,1179
G801__00010.1180,10.513488084897503,45.55917934,G801,_,00010,1180
G801__00010.1186,10.512242829953475,45.558711685,G801,_,00010,1186
G801__00010.1189,10.512563636185641,45.55916714,G801,_,00010,1189
G801__00010.1196,10.512758473202375,45.55723725,G801,_,00010,1196
G801__00100.120,10.499564592529804,45.538016979999995,G801,_,00100,120
G801__00010.1201,10.513460866794624,45.556573665,G801,_,00010,1201
G801__00010.1203,10.508697304350488,45.555605655,G801,_,00010,1203
G801__00010.1209,10.509955134697023,45.557933135,G801,_,00010,1209
G801__00010.1218,10.512882095112548,45.552586160000004,G801,_,00010,1218
G801__00100.122,10.498596095768729,45.537766075,G801,_,00100,122
G801__00070.1228,10.511805479077521,45.552066865,G801,_,00070,1228
G801__00030.1233,10.486170729465131,45.548059425000005,G801,_,00030,1233
G801__00040.1236,10.505192177965004,45.557278845,G801,_,00040,1236
G801__00040.1237,10.50445790430485,45.557417244999996,G801,_,00040,1237
G801__00040.1238,10.502623502490223,45.55715207,G801,_,00040,1238
G801__00040.1239,10.502284704877614,45.55745222,G801,_,00040,1239
G801__00040.1244,10.499871414669158,45.550736,G801,_,00040,1244
G801__00010.1248,10.512715223090925,45.55531721,G801,_,00010,1248
G801__00040.1249,10.499917616664394,45.55091291,G801,_,00040,1249
G801__00010.1250,10.512606172801116,45.55563806,G801,_,00010,1250
G801__00040.1251,10.49974459600726,45.55089853,G801,_,00040,1251
