nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H034__00010.1,11.863306858269784,44.03698221,H034,_,00010,1
H034__01040.1,11.72454469824516,43.91878656,H034,_,01040,1
H034__01030.1,11.721865296470295,43.913703545,H034,_,01030,1
H034__01020.1,11.766415579551294,43.92469474,H034,_,01020,1
H034__01010.1,11.75394027027513,43.929804884999996,H034,_,01010,1
H034__01000.1,11.745684523415836,43.928975539999996,H034,_,01000,1
H034__00990.1,11.742158466953313,43.92811203,H034,_,00990,1
H034__00980.1,11.7250105861805,43.923722119999994,H034,_,00980,1
H034__00970.1,11.716490713014398,43.93096874,H034,_,00970,1
H034__00960.1,11.697740300895733,43.935621025,H034,_,00960,1
H034__00950.1,11.779952365976591,43.933524055,H034,_,00950,1
H034__00940.1,11.7775560098124,43.94089149,H034,_,00940,1
H034__00920.1,11.766469307776239,43.939731045,H034,_,00920,1
H034__00910.1,11.759795935980936,43.944546869999996,H034,_,00910,1
H034__00900.1,11.742050339874286,43.935422715,H034,_,00900,1
H034__00890.1,11.726473989408976,43.93809815,H034,_,00890,1
H034__00880.1,11.727175060411383,43.932475405,H034,_,00880,1
H034__00870.1,11.721939083271405,43.94143193,H034,_,00870,1
H034__00860.1,11.720072915815802,43.941447845,H034,_,00860,1
H034__00850.1,11.71017898845708,43.94163321,H034,_,00850,1
H034__00840.1,11.693693699920072,43.940709585,H034,_,00840,1
H034__00830.1,11.68872813259282,43.94587333,H034,_,00830,1
H034__00820.1,11.69646466369517,43.94355424,H034,_,00820,1
H034__00810.1,11.782749166029458,43.94613125,H034,_,00810,1
H034__00800.1,11.779246443479543,43.94635238,H034,_,00800,1
H034__00790.1,11.759570698315056,43.951019515,H034,_,00790,1
H034__00780.1,11.764158371929458,43.953154295000004,H034,_,00780,1
H034__00770.1,11.750725368050757,43.957544205000005,H034,_,00770,1
H034__00750.1,11.743792187916164,43.952127505,H034,_,00750,1
H034__00740.1,11.729079494843923,43.947143635,H034,_,00740,1
H034__00730.1,11.718829760142972,43.949908985,H034,_,00730,1
H034__00720.1,11.730860223582887,43.955611205,H034,_,00720,1
H034__00700.1,11.695780080767676,43.953204025000005,H034,_,00700,1
H034__00690.1,11.698017141570148,43.954937575,H034,_,00690,1
H034__00680.1,11.82965538938732,43.962939365,H034,_,00680,1
H034__00670.1,11.824671380528297,43.959145085,H034,_,00670,1
H034__00660.1,11.821035666172946,43.952475815,H034,_,00660,1
H034__00650.1,11.806101052575752,43.95980058,H034,_,00650,1
H034__00640.1,11.805815484298034,43.954013835,H034,_,00640,1
H034__00630.1,11.79340782964588,43.963934545,H034,_,00630,1
H034__00620.1,11.782933050342754,43.952841515,H034,_,00620,1
H034__00610.1,11.773447986180116,43.964485415,H034,_,00610,1
H034__00600.1,11.760365575277277,43.96383953,H034,_,00600,1
H034__00590.1,11.751175429449301,43.95968426,H034,_,00590,1
H034__00580.1,11.737713994380158,43.968767174999996,H034,_,00580,1
H034__00570.1,11.725698963596647,43.96820578,H034,_,00570,1
H034__00560.1,11.72255840935458,43.966354194999994,H034,_,00560,1
H034__00550.1,11.704370993940937,43.963282335,H034,_,00550,1
H034__00540.1,11.843011466092591,43.97210989,H034,_,00540,1
H034__00530.1,11.835878051221389,43.974459605,H034,_,00530,1
H034__00520.1,11.823932464251591,43.973417,H034,_,00520,1
H034__00510.1,11.818549984818848,43.966816655,H034,_,00510,1
H034__00500.1,11.812744678121529,43.97325612,H034,_,00500,1
H034__00490.1,11.797644238511218,43.972711884999995,H034,_,00490,1
H034__00480.1,11.782008718498274,43.968340375,H034,_,00480,1
H034__00470.1,11.780587909591567,43.976853335,H034,_,00470,1
H034__00450.1,11.766605261099503,43.970844655,H034,_,00450,1
H034__00440.1,11.75470767104475,43.969460505,H034,_,00440,1
H034__00430.1,11.742853582844921,43.972680315,H034,_,00430,1
H034__00420.1,11.748523854727157,43.980795635,H034,_,00420,1
H034__00410.1,11.737362663062612,43.97728188,H034,_,00410,1
H034__00400.1,11.843409084946943,43.98840458,H034,_,00400,1
H034__00390.1,11.844429127630608,43.9786433,H034,_,00390,1
H034__00380.1,11.834267855052355,43.985898375,H034,_,00380,1
H034__00360.1,11.812772484665015,43.983548895,H034,_,00360,1
H034__00350.1,11.797880214908357,43.981606395,H034,_,00350,1
H034__00340.1,11.781544093576986,43.97742673,H034,_,00340,1
H034__00320.1,11.781511664085599,43.97921108,H034,_,00320,1
H034__00310.1,11.760973557152212,43.976752864999995,H034,_,00310,1
H034__00300.1,11.763102160444424,43.9830132,H034,_,00300,1
H034__00290.1,11.75902481379449,43.98416343,H034,_,00290,1
H034__00280.1,11.864545088969294,43.99248734,H034,_,00280,1
H034__00270.1,11.856478226975138,43.991605335,H034,_,00270,1
H034__00260.1,11.847836479616479,43.997290875000004,H034,_,00260,1
H034__00250.1,11.829431583292553,43.99443292,H034,_,00250,1
H034__00240.1,11.813000169968522,43.991596995,H034,_,00240,1
H034__00220.1,11.78500286265165,43.994473305,H034,_,00220,1
H034__00210.1,11.777468868059243,43.99904692,H034,_,00210,1
H034__00200.1,11.770718830053276,43.99495139,H034,_,00200,1
H034__00190.1,11.853742261903669,43.99829044,H034,_,00190,1
H034__00180.1,11.83521503700032,44.001284195,H034,_,00180,1
H034__00170.1,11.825640322971898,43.999119575,H034,_,00170,1
H034__00160.1,11.813606259144043,44.000331689999996,H034,_,00160,1
H034__00150.1,11.803653866797447,43.995900715,H034,_,00150,1
H034__00130.1,11.78343559773344,44.00782403,H034,_,00130,1
H034__00120.1,11.85329691189646,44.01251895,H034,_,00120,1
H034__00110.1,11.838582759982263,44.012246625,H034,_,00110,1
H034__00100.1,11.824264376532652,44.01450991,H034,_,00100,1
H034__00090.1,11.822781948621087,44.00684176,H034,_,00090,1
H034__00080.1,11.815887871443847,44.014598155,H034,_,00080,1
H034__00050.1,11.839515245855829,44.021298305,H034,_,00050,1
H034__00040.1,11.828315820044207,44.022684874999996,H034,_,00040,1
H034__00030.1,11.824852801966582,44.021346910000005,H034,_,00030,1
H034__00020.1,11.842563037872058,44.030383055,H034,_,00020,1
H034__00010.10,11.860357154139432,44.0346689,H034,_,00010,10
H034__01040.10,11.734219482347278,43.916658305,H034,_,01040,10
H034__01030.10,11.725797169574914,43.911189750000005,H034,_,01030,10
H034__01020.10,11.77249801817289,43.92059066,H034,_,01020,10
H034__01010.10,11.762785019177162,43.926073985,H034,_,01010,10
H034__01000.10,11.748341386085169,43.920286535,H034,_,01000,10
H034__00990.10,11.738903163624519,43.92174233,H034,_,00990,10
H034__00980.10,11.725248814458752,43.921253485,H034,_,00980,10
H034__00970.10,11.714546877684253,43.927868075,H034,_,00970,10
H034__00960.10,11.693515666686793,43.930106935,H034,_,00960,10
H034__00950.10,11.770266068835562,43.929579770000004,H034,_,00950,10
H034__00940.10,11.775590572622477,43.93633432,H034,_,00940,10
H034__00920.10,11.763783388550308,43.93677934,H034,_,00920,10
H034__00910.10,11.75539119337824,43.938702065,H034,_,00910,10
H034__00900.10,11.749668058351649,43.934465195,H034,_,00900,10
H034__00890.10,11.733016625068913,43.938349375,H034,_,00890,10
H034__00870.10,11.720995118468583,43.938535685000005,H034,_,00870,10
H034__00860.10,11.721017289210824,43.939791655,H034,_,00860,10
H034__00850.10,11.700783609193802,43.93690366,H034,_,00850,10
H034__00840.10,11.700015596382098,43.93793444,H034,_,00840,10
H034__00830.10,11.691192136881156,43.941314315,H034,_,00830,10
H034__00820.10,11.690773054499893,43.9441735,H034,_,00820,10
H034__00810.10,11.78678691894224,43.945165945,H034,_,00810,10
H034__00800.10,11.770354001923675,43.942523545,H034,_,00800,10
H034__00790.10,11.765595156929265,43.94925877,H034,_,00790,10
H034__00780.10,11.7669837235831,43.95312645,H034,_,00780,10
H034__00770.10,11.760294144804273,43.954675075,H034,_,00770,10
H034__00760.10,11.746158834487037,43.944552115,H034,_,00760,10
H034__00740.10,11.735592559355315,43.941379299999994,H034,_,00740,10
H034__00730.10,11.717483729532026,43.947333224999994,H034,_,00730,10
H034__00720.10,11.723244951616621,43.954769365000004,H034,_,00720,10
H034__00710.10,11.714158688323328,43.947724345,H034,_,00710,10
H034__00700.10,11.700550492652313,43.949762565,H034,_,00700,10
H034__00690.10,11.69849490427215,43.952408145,H034,_,00690,10
H034__00680.10,11.829772834715628,43.96225715,H034,_,00680,10
H034__00670.10,11.828178234862534,43.959482455,H034,_,00670,10
H034__00660.10,11.815934599965312,43.951715525,H034,_,00660,10
H034__00650.10,11.809531496701625,43.959256405000005,H034,_,00650,10
H034__00640.10,11.799280681214437,43.95266452,H034,_,00640,10
H034__00630.10,11.803875509792253,43.96157287,H034,_,00630,10
H034__00620.10,11.789453006016565,43.95055232,H034,_,00620,10
H034__00610.10,11.780237181875545,43.96193391,H034,_,00610,10
H034__00600.10,11.761870675432265,43.961234485000006,H034,_,00600,10
H034__00590.10,11.746960099685474,43.959306045000005,H034,_,00590,10
H034__00580.10,11.736770386018032,43.96495708,H034,_,00580,10
H034__00570.10,11.728823643357783,43.963797639999996,H034,_,00570,10
H034__00560.10,11.714803161840948,43.964039575,H034,_,00560,10
H034__00550.10,11.707718373531561,43.961893935000006,H034,_,00550,10
H034__00540.10,11.838644905915416,43.969488035,H034,_,00540,10
H034__00530.10,11.8282103395793,43.9709113,H034,_,00530,10
H034__00520.10,11.828513948200314,43.973246079999996,H034,_,00520,10
H034__00510.10,11.816799093103933,43.96050057,H034,_,00510,10
H034__00490.10,11.800247536862958,43.97140645,H034,_,00490,10
H034__00480.10,11.788278528381184,43.964491785,H034,_,00480,10
H034__00470.10,11.779460747389484,43.975239095,H034,_,00470,10
H034__00460.10,11.767510381950878,43.971523469999994,H034,_,00460,10
H034__00450.10,11.766234422133591,43.97022405,H034,_,00450,10
H034__00440.10,11.760621739824046,43.96832356,H034,_,00440,10
H034__00430.10,11.744620381635709,43.971351245,H034,_,00430,10
H034__00420.10,11.748531719758297,43.977960625,H034,_,00420,10
H034__00410.10,11.741715402673016,43.97148043,H034,_,00410,10
H034__00400.10,11.84064383478647,43.987148875,H034,_,00400,10
H034__00390.10,11.852265777858776,43.977583249999995,H034,_,00390,10
H034__00380.10,11.835772071952961,43.984178125,H034,_,00380,10
H034__00370.10,11.82984423867006,43.986760434999994,H034,_,00370,10
H034__00360.10,11.814572812330297,43.98261548,H034,_,00360,10
H034__00350.10,11.805661456084687,43.97913441,H034,_,00350,10
H034__00340.10,11.78618740284822,43.977986635,H034,_,00340,10
H034__00330.10,11.782978809207101,43.985656254999995,H034,_,00330,10
H034__00310.10,11.772425598487253,43.97593765,H034,_,00310,10
H034__00300.10,11.76977515738703,43.980982964999995,H034,_,00300,10
H034__00290.10,11.754736555110242,43.980448225,H034,_,00290,10
H034__00280.10,11.859327482425545,43.988961825000004,H034,_,00280,10
H034__00270.10,11.850491181017812,43.988069249999995,H034,_,00270,10
H034__00260.10,11.848059035057776,43.995647555000005,H034,_,00260,10
H034__00250.10,11.834050102750354,43.99367565,H034,_,00250,10
H034__00240.10,11.828769124565564,43.992046025,H034,_,00240,10
H034__00230.10,11.795485514556368,43.98641651,H034,_,00230,10
H034__00220.10,11.789297004945315,43.992033225,H034,_,00220,10
H034__00210.10,11.784835303274118,43.995231610000005,H034,_,00210,10
H034__00200.10,11.764269141752292,43.992127354999994,H034,_,00200,10
H034__00190.10,11.853781590213869,44.000486085,H034,_,00190,10
H034__00180.10,11.839310378228475,44.000168200000005,H034,_,00180,10
H034__00170.10,11.825832010298157,43.997957435000004,H034,_,00170,10
H034__00160.10,11.812771311145248,43.99934934,H034,_,00160,10
H034__00150.10,11.802456203525491,43.993568464999996,H034,_,00150,10
H034__00140.10,11.796485764278064,44.003396445,H034,_,00140,10
H034__00130.10,11.782413931583523,44.005395050000004,H034,_,00130,10
H034__00120.10,11.853219646344089,44.009920885,H034,_,00120,10
H034__00110.10,11.847023650663727,44.00279524,H034,_,00110,10
H034__00100.10,11.826752889294694,44.01157688,H034,_,00100,10
