nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H185__00010.1,11.600020582729815,43.35119493,H185,_,00010,1
H185__01120.1,11.64039272423248,43.226617655,H185,_,01120,1
H185__01110.1,11.661923094807054,43.238061515,H185,_,01110,1
H185__01100.1,11.650206440861178,43.23456392,H185,_,01100,1
H185__01090.1,11.641565267214819,43.235640745,H185,_,01090,1
H185__01080.1,11.64558615654214,43.237966715,H185,_,01080,1
H185__01070.1,11.639492502522714,43.241543025,H185,_,01070,1
H185__01050.1,11.617572515099987,43.240553590000005,H185,_,01050,1
H185__01040.1,11.661108566140449,43.24884279,H185,_,01040,1
H185__01020.1,11.641367305920102,43.245339095,H185,_,01020,1
H185__01010.1,11.629460323384503,43.247695825,H185,_,01010,1
H185__01000.1,11.617817326837354,43.245181040000006,H185,_,01000,1
H185__00980.1,11.654664233384292,43.2605508,H185,_,00980,1
H185__00970.1,11.651235301076145,43.258570309999996,H185,_,00970,1
H185__00930.1,11.619488219358576,43.258246240000005,H185,_,00930,1
H185__00910.1,11.603008941892426,43.251208344999995,H185,_,00910,1
H185__00900.1,11.594989047882308,43.25550322,H185,_,00900,1
H185__00880.1,11.585887496718492,43.261067395,H185,_,00880,1
H185__00870.1,11.660552015978684,43.266571135,H185,_,00870,1
H185__00840.1,11.645277519214934,43.270822255,H185,_,00840,1
H185__00830.1,11.619970458488703,43.268926050000005,H185,_,00830,1
H185__00820.1,11.615768184536766,43.268014705,H185,_,00820,1
H185__00810.1,11.604877965386894,43.268831315,H185,_,00810,1
H185__00770.1,11.657777046682462,43.276719400000005,H185,_,00770,1
H185__00760.1,11.644911813350316,43.281875055,H185,_,00760,1
H185__00740.1,11.636565089582902,43.279522345000004,H185,_,00740,1
H185__00730.1,11.623503036003893,43.273736535,H185,_,00730,1
H185__00720.1,11.625749046812643,43.2810371,H185,_,00720,1
H185__00710.1,11.613787082831509,43.275541645000004,H185,_,00710,1
H185__00700.1,11.610375711820168,43.280917495,H185,_,00700,1
H185__00690.1,11.590913686941844,43.27993184,H185,_,00690,1
H185__00680.1,11.582406352441026,43.280131525,H185,_,00680,1
H185__00670.1,11.57785380025216,43.28202832,H185,_,00670,1
H185__00660.1,11.580638108780203,43.288267075,H185,_,00660,1
H185__00650.1,11.665234779225344,43.288732855000006,H185,_,00650,1
