nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H187__00010.1,15.46832280587985,40.889007864999996,H187,_,00010,1
H187__00300.1,15.501262864524428,40.83752561,H187,_,00300,1
H187__00290.1,15.493607363300521,40.829101255,H187,_,00290,1
H187__00280.1,15.49042239146766,40.837189745,H187,_,00280,1
H187__00250.1,15.487296047588732,40.843383364999994,H187,_,00250,1
H187__00240.1,15.478678313318511,40.843401135,H187,_,00240,1
H187__00220.1,15.50922609982879,40.85330139,H187,_,00220,1
H187__00210.1,15.5018705034737,40.84875341,H187,_,00210,1
H187__00170.1,15.527476973404092,40.863182535,H187,_,00170,1
H187__00160.1,15.517143716765997,40.86171383,H187,_,00160,1
H187__00150.1,15.501895917647113,40.859831585,H187,_,00150,1
H187__00140.1,15.494202305509155,40.85901264,H187,_,00140,1
H187__00120.1,15.516508138057198,40.871387395,H187,_,00120,1
H187__00110.1,15.510677136418753,40.87487952,H187,_,00110,1
H187__00090.1,15.499489560436201,40.884759555,H187,_,00090,1
H187__00080.1,15.48864181089434,40.876155095,H187,_,00080,1
H187__00070.1,15.474990353340075,40.874948505,H187,_,00070,1
H187__00060.1,15.480939725892304,40.883184525000004,H187,_,00060,1
H187__00040.1,15.468632762056053,40.88073376,H187,_,00040,1
H187__00030.1,15.48870720362898,40.893199525,H187,_,00030,1
H187__00020.1,15.478339593679038,40.89200775,H187,_,00020,1
H187__00010.10,15.476734930179926,40.89092782,H187,_,00010,10
H187__00290.10,15.500677670098984,40.83105653,H187,_,00290,10
H187__00280.10,15.494294168880883,40.83668221,H187,_,00280,10
H187__00260.10,15.508048736629165,40.845160574999994,H187,_,00260,10
H187__00250.10,15.489854681741207,40.843026615,H187,_,00250,10
H187__00230.10,15.52561897623264,40.849614745,H187,_,00230,10
H187__00210.10,15.502219942681918,40.848476579999996,H187,_,00210,10
H187__00200.10,15.499718356365612,40.848085850000004,H187,_,00200,10
H187__00180.10,15.49111976674251,40.855635785000004,H187,_,00180,10
H187__00160.10,15.516332466916008,40.85940868,H187,_,00160,10
H187__00150.10,15.505410472588792,40.85697982,H187,_,00150,10
H187__00140.10,15.495430042858988,40.85681555,H187,_,00140,10
H187__00130.10,15.485451149920035,40.86214916,H187,_,00130,10
H187__00120.10,15.519635724887872,40.870831625,H187,_,00120,10
H187__00090.10,15.495804543973179,40.879442855,H187,_,00090,10
H187__00070.10,15.479733847339205,40.872357234999996,H187,_,00070,10
H187__00060.10,15.485204660302015,40.882689295000006,H187,_,00060,10
H187__00050.10,15.480612147406617,40.8809818,H187,_,00050,10
H187__00040.10,15.47738376283424,40.8765342,H187,_,00040,10
H187__00030.10,15.490300289201059,40.890488545,H187,_,00030,10
H187__00010.100,15.471312334763844,40.88252597,H187,_,00010,100
H187__00300.100,15.51080990812035,40.82855175,H187,_,00300,100
H187__00290.100,15.502055318113634,40.82536452,H187,_,00290,100
H187__00280.100,15.496891919986737,40.836258735,H187,_,00280,100
H187__00260.100,15.51070762925994,40.843328955000004,H187,_,00260,100
H187__00250.100,15.496330629533034,40.84233072,H187,_,00250,100
H187__00230.100,15.518676773182479,40.843612605000004,H187,_,00230,100
H187__00220.100,15.516350732960255,40.84489026,H187,_,00220,100
