nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H287__00030.1,15.574948317791137,41.71964389,H287,_,00030,1
H287__00450.1,15.593586456087133,41.620686695,H287,_,00450,1
H287__00430.1,15.607483291877877,41.63472648,H287,_,00430,1
H287__00420.1,15.603655545999805,41.649619935,H287,_,00420,1
H287__00400.1,15.58129393077117,41.644762415,H287,_,00400,1
H287__00390.1,15.566447040014761,41.65177243,H287,_,00390,1
H287__00380.1,15.558643343112543,41.648537145,H287,_,00380,1
H287__00360.1,15.636755161054642,41.65450827,H287,_,00360,1
H287__00350.1,15.620246049326344,41.672173025,H287,_,00350,1
H287__00340.1,15.602660771953264,41.667684210000004,H287,_,00340,1
H287__00320.1,15.566251118184407,41.662909365000004,H287,_,00320,1
H287__00310.1,15.563572965719843,41.65580218,H287,_,00310,1
H287__00300.1,15.562165000478688,41.66383768,H287,_,00300,1
H287__00290.1,15.55780044979971,41.665860984999995,H287,_,00290,1
H287__00280.1,15.622229311225194,41.67796361,H287,_,00280,1
H287__00260.1,15.596565050648234,41.671162045,H287,_,00260,1
H287__00250.1,15.606748832931643,41.677802645,H287,_,00250,1
H287__00240.1,15.587375154342313,41.676906145000004,H287,_,00240,1
H287__00220.1,15.568423204286244,41.670589855,H287,_,00220,1
H287__00210.1,15.553276549019074,41.681419455,H287,_,00210,1
H287__00200.1,15.549557087972431,41.680317654999996,H287,_,00200,1
H287__00190.1,15.54469820494419,41.676235520000006,H287,_,00190,1
H287__00180.1,15.621540079832295,41.689332955,H287,_,00180,1
H287__00170.1,15.612464380521534,41.687271125,H287,_,00170,1
H287__00150.1,15.588026070822833,41.678671890000004,H287,_,00150,1
H287__00140.1,15.554611167838475,41.69329889,H287,_,00140,1
H287__00130.1,15.547445881045823,41.68818891,H287,_,00130,1
H287__00110.1,15.61141550989447,41.700460655,H287,_,00110,1
H287__00100.1,15.604273034212675,41.69725767,H287,_,00100,1
H287__00090.1,15.582173907759792,41.69717158,H287,_,00090,1
H287__00080.1,15.560375271702682,41.697232834999994,H287,_,00080,1
H287__00070.1,15.591062891735167,41.706418049999996,H287,_,00070,1
H287__00060.1,15.579535368758757,41.70793179,H287,_,00060,1
H287__00050.1,15.569563661019938,41.704735685,H287,_,00050,1
H287__00040.1,15.535621440327265,41.702317205,H287,_,00040,1
H287__00010.10,15.556766162299287,41.71128247,H287,_,00010,10
H287__00450.10,15.619570098654048,41.609505490000004,H287,_,00450,10
H287__00410.10,15.592227251979129,41.64194641,H287,_,00410,10
H287__00400.10,15.572657570439073,41.641872155,H287,_,00400,10
H287__00390.10,15.570168571013367,41.65350778,H287,_,00390,10
H287__00380.10,15.569592731574122,41.639829275,H287,_,00380,10
H287__00370.10,15.547708522969781,41.63341872,H287,_,00370,10
H287__00360.10,15.620051274794692,41.64864112,H287,_,00360,10
H287__00350.10,15.622071764112714,41.66228579,H287,_,00350,10
H287__00340.10,15.606185083206062,41.666455979999995,H287,_,00340,10
H287__00330.10,15.598154080625608,41.66652165,H287,_,00330,10
H287__00320.10,15.569988062643539,41.662233979999996,H287,_,00320,10
H287__00310.10,15.562920849613043,41.654072655,H287,_,00310,10
H287__00290.10,15.540915283505509,41.64408489,H287,_,00290,10
H287__00280.10,15.63338988205718,41.67626292,H287,_,00280,10
H287__00250.10,15.596525121975857,41.678260895,H287,_,00250,10
H287__00240.10,15.58711814929499,41.6761447,H287,_,00240,10
H287__00230.10,15.569096858518005,41.676814,H287,_,00230,10
H287__00220.10,15.568989822653478,41.66830745,H287,_,00220,10
H287__00210.10,15.555500685113811,41.679473785,H287,_,00210,10
H287__00190.10,15.542520127811777,41.659746174999995,H287,_,00190,10
H287__00170.10,15.614867670661733,41.687159505,H287,_,00170,10
H287__00160.10,15.594308751839154,41.687042535,H287,_,00160,10
H287__00150.10,15.590895250124014,41.686738425,H287,_,00150,10
H287__00140.10,15.556891781362651,41.68544135,H287,_,00140,10
H287__00130.10,15.547833917942894,41.686858165,H287,_,00130,10
H287__00110.10,15.60859661444928,41.697162695,H287,_,00110,10
H287__00100.10,15.603339533343501,41.694126885,H287,_,00100,10
H287__00090.10,15.58669320332072,41.697244005,H287,_,00090,10
H287__00080.10,15.559725106916796,41.695801555,H287,_,00080,10
H287__00070.10,15.593354811123577,41.70548855,H287,_,00070,10
H287__00060.10,15.57418053697716,41.70589345,H287,_,00060,10
H287__00050.10,15.563677907663171,41.701547774999995,H287,_,00050,10
H287__00040.10,15.529615629572046,41.69312150499999,H287,_,00040,10
H287__00020.10,15.565227444615775,41.71530225,H287,_,00020,10
H287__00070.100,15.607324481593228,41.698812965,H287,_,00070,100
H287__00450.100,15.594075678670755,41.62097877,H287,_,00450,100
H287__00420.100,15.605439517828785,41.634955055000006,H287,_,00420,100
H287__00410.100,15.581586394260544,41.632172865,H287,_,00410,100
H287__00400.100,15.574194633306043,41.636387215,H287,_,00400,100
H287__00390.100,15.58398094890525,41.64482145,H287,_,00390,100
H287__00370.100,15.548945816136218,41.63948082,H287,_,00370,100
H287__00340.100,15.60278489108451,41.6559572,H287,_,00340,100
H287__00320.100,15.588242241389588,41.658696045,H287,_,00320,100
H287__00250.100,15.588052815716186,41.67503931,H287,_,00250,100
H287__00240.100,15.587621391047906,41.67490197,H287,_,00240,100
H287__00230.100,15.568413867535389,41.663448575000004,H287,_,00230,100
H287__00210.100,15.55454964571105,41.67836975,H287,_,00210,100
H287__00200.100,15.554574966512384,41.676967635,H287,_,00200,100
H287__00160.100,15.60515220948606,41.685274359999994,H287,_,00160,100
H287__00140.100,15.565476250932798,41.676907514999996,H287,_,00140,100
H287__00120.100,15.525971224080163,41.678747295,H287,_,00120,100
H287__00110.100,15.611547276034578,41.687445455,H287,_,00110,100
H287__00100.100,15.601265588215426,41.69376,H287,_,00100,100
H287__00090.100,15.582835567071177,41.690718125000004,H287,_,00090,100
H287__00080.100,15.570339434942289,41.689432585,H287,_,00080,100
H287__00150.1000,15.588618642793701,41.68095199,H287,_,00150,1000
H287__00150.1001,15.588601949166108,41.68132618,H287,_,00150,1001
H287__00150.1003,15.589040991233853,41.681538755000005,H287,_,00150,1003
H287__00150.1004,15.588785100339987,41.68148335,H287,_,00150,1004
H287__00150.1005,15.588707372113468,41.6815196,H287,_,00150,1005
H287__00150.1007,15.588340178089851,41.681251155,H287,_,00150,1007
H287__00150.1008,15.588198245885753,41.68168041,H287,_,00150,1008
H287__00060.101,15.576799005508759,41.700251685,H287,_,00060,101
H287__00450.101,15.594196570629437,41.620804025,H287,_,00450,101
H287__00430.101,15.592154833344644,41.62324699,H287,_,00430,101
H287__00410.101,15.580793564483098,41.63209696,H287,_,00410,101
H287__00370.101,15.54744498276786,41.638327965,H287,_,00370,101
H287__00340.101,15.603329860845628,41.656577799999994,H287,_,00340,101
H287__00330.101,15.593116619313829,41.661421434999994,H287,_,00330,101
H287__00320.101,15.571293868128524,41.65675181,H287,_,00320,101
H287__00250.101,15.588116397324697,41.67503931,H287,_,00250,101
H287__00230.101,15.568993110926375,41.663399670000004,H287,_,00230,101
H287__00200.101,15.553691786939948,41.67670588,H287,_,00200,101
