nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H366__00020.1,8.015716430076393,44.96388926,H366,_,00020,1
H366__00070.1,8.032394846048996,44.95358601,H366,_,00070,1
H366__00060.1,8.008643054226273,44.946026079999996,H366,_,00060,1
H366__00050.1,7.99971024557799,44.94840567,H366,_,00050,1
H366__00040.1,8.000694244330283,44.95366021,H366,_,00040,1
H366__00030.1,8.001487956853047,44.960020615000005,H366,_,00030,1
H366__00010.10,8.029655469369866,44.964355115000004,H366,_,00010,10
H366__00070.10,8.034488513162295,44.950685985,H366,_,00070,10
H366__00050.10,8.002427867343306,44.949408774999995,H366,_,00050,10
H366__00040.10,8.004532257742039,44.952526175,H366,_,00040,10
H366__00030.10,8.003150573125417,44.95867831,H366,_,00030,10
H366__00020.10,8.01611686318725,44.96318375,H366,_,00020,10
H366__00010.100,8.030596584957667,44.96070154,H366,_,00010,100
H366__00060.100,8.017644763138438,44.9454713,H366,_,00060,100
H366__00050.100,8.008715383096806,44.943388745,H366,_,00050,100
H366__00040.100,8.002824038269996,44.95000585,H366,_,00040,100
H366__00030.100,8.005074635620026,44.959606109999996,H366,_,00030,100
H366__00020.100,8.018607012619597,44.95768329,H366,_,00020,100
H366__00010.101,8.03096116618384,44.96110364,H366,_,00010,101
H366__00070.101,8.027195825208615,44.950038615,H366,_,00070,101
H366__00060.101,8.017325772994866,44.94564087,H366,_,00060,101
H366__00040.101,8.003115887013484,44.950034085,H366,_,00040,101
H366__00030.101,8.006186194605764,44.959987585,H366,_,00030,101
H366__00020.101,8.020859085632335,44.95851678,H366,_,00020,101
H366__00010.102,8.031449363927509,44.961301985,H366,_,00010,102
H366__00070.102,8.027014881263394,44.950033399999995,H366,_,00070,102
H366__00060.102,8.017110212769953,44.946205405,H366,_,00060,102
H366__00040.102,8.003534900328356,44.949989345,H366,_,00040,102
H366__00030.102,8.00645445278115,44.959760715,H366,_,00030,102
H366__00020.102,8.020546439824336,44.95878454,H366,_,00020,102
H366__00010.103,8.032027673486805,44.961296435,H366,_,00010,103
H366__00070.103,8.02716492046131,44.949736895,H366,_,00070,103
H366__00060.103,8.018009029847134,44.94589844,H366,_,00060,103
H366__00040.103,8.002833308016005,44.950301304999996,H366,_,00040,103
H366__00030.103,8.007688865278887,44.959442554999995,H366,_,00030,103
H366__00020.103,8.021068855262541,44.959018715,H366,_,00020,103
H366__00010.104,8.032118794189817,44.96096191,H366,_,00010,104
H366__00060.104,8.017819480184064,44.94614837,H366,_,00060,104
H366__00040.104,8.00323508389186,44.95036818,H366,_,00040,104
H366__00030.104,8.007919492623001,44.959910969999996,H366,_,00030,104
H366__00020.104,8.021232440574998,44.95888895,H366,_,00020,104
H366__00010.105,8.03103588517444,44.960629510000004,H366,_,00010,105
H366__00070.105,8.026807803986472,44.950065065000004,H366,_,00070,105
H366__00060.105,8.017511430853116,44.94630825,H366,_,00060,105
H366__00040.105,8.003293330126128,44.95070363,H366,_,00040,105
H366__00030.105,8.008347117178664,44.960213304999996,H366,_,00030,105
H366__00020.105,8.021343430259556,44.958783245,H366,_,00020,105
H366__00010.106,8.032076424796411,44.96020866,H366,_,00010,106
H366__00060.106,8.017412002802331,44.94652799,H366,_,00060,106
H366__00040.106,8.003890333755717,44.950361505000004,H366,_,00040,106
H366__00030.106,8.008820900683148,44.960286714999995,H366,_,00030,106
H366__00020.106,8.021635710344562,44.958894369999996,H366,_,00020,106
H366__00010.107,8.03210222708189,44.959996535,H366,_,00010,107
H366__00060.107,8.017304264784102,44.946750025,H366,_,00060,107
H366__00050.107,8.009303349655765,44.943476915000005,H366,_,00050,107
H366__00040.107,8.004742659172322,44.950128295,H366,_,00040,107
H366__00030.107,8.008879797327367,44.95894954,H366,_,00030,107
H366__00020.107,8.02159463068568,44.95872258,H366,_,00020,107
H366__00010.108,8.032218537609488,44.959777779999996,H366,_,00010,108
H366__00070.108,8.025285337015546,44.950232305,H366,_,00070,108
H366__00060.108,8.017110528573754,44.946857855000005,H366,_,00060,108
H366__00050.108,8.009044140867477,44.94342744,H366,_,00050,108
H366__00040.108,8.005282119816206,44.949830485,H366,_,00040,108
H366__00030.108,8.009686537615647,44.958947644999995,H366,_,00030,108
H366__00020.108,8.023092489753662,44.959014795,H366,_,00020,108
H366__00010.109,8.032264708732445,44.95957201,H366,_,00010,109
H366__00070.109,8.025081506667187,44.949799325,H366,_,00070,109
H366__00060.109,8.017223953367218,44.94711188,H366,_,00060,109
H366__00040.109,8.005490463573127,44.949517645,H366,_,00040,109
H366__00030.109,8.010111316775324,44.95920033,H366,_,00030,109
H366__00020.109,8.02507210800345,44.959979114999996,H366,_,00020,109
H366__00010.11,8.030160239871353,44.964000335,H366,_,00010,11
