nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H451__00010.1,8.248330765805017,44.615516389999996,H451,_,00010,1
H451__00270.1,8.278558060061194,44.566453370000005,H451,_,00270,1
H451__00260.1,8.26710688571873,44.57123588,H451,_,00260,1
H451__00250.1,8.283219580982731,44.579944409999996,H451,_,00250,1
H451__00240.1,8.291492992302611,44.570030665,H451,_,00240,1
H451__00230.1,8.29010872719488,44.582194130000005,H451,_,00230,1
H451__00220.1,8.296432303290441,44.582668784999996,H451,_,00220,1
H451__00200.1,8.305734039533418,44.59039057,H451,_,00200,1
H451__00170.1,8.269194604382193,44.587433905,H451,_,00170,1
H451__00160.1,8.2639392758597,44.581190559999996,H451,_,00160,1
H451__00150.1,8.2562320708048,44.594483665,H451,_,00150,1
H451__00140.1,8.269779144825076,44.59035783,H451,_,00140,1
H451__00130.1,8.271947387320598,44.59299961,H451,_,00130,1
H451__00110.1,8.249416071920937,44.60582971,H451,_,00110,1
H451__00100.1,8.272342953996606,44.606825665,H451,_,00100,1
H451__00090.1,8.290522946002916,44.608455774999996,H451,_,00090,1
H451__00080.1,8.304808847462738,44.610102620000006,H451,_,00080,1
H451__00070.1,8.312211178383773,44.621085355000005,H451,_,00070,1
H451__00060.1,8.29926761352461,44.62394577,H451,_,00060,1
H451__00050.1,8.284399715618067,44.61771066,H451,_,00050,1
H451__00040.1,8.279110478777916,44.62342409,H451,_,00040,1
H451__00030.1,8.27015824676888,44.620350720000005,H451,_,00030,1
H451__00020.1,8.256980481519157,44.617269175,H451,_,00020,1
H451__00010.10,8.24862920904473,44.614627915,H451,_,00010,10
H451__00270.10,8.278022234878225,44.56545766000001,H451,_,00270,10
H451__00250.10,8.279336723472213,44.5788002,H451,_,00250,10
H451__00240.10,8.291255700253709,44.568625235,H451,_,00240,10
H451__00230.10,8.293656257253776,44.581413595,H451,_,00230,10
H451__00220.10,8.296815085502267,44.581180605,H451,_,00220,10
H451__00210.10,8.310185690601589,44.580772825,H451,_,00210,10
H451__00200.10,8.305195072742622,44.587552790000004,H451,_,00200,10
H451__00190.10,8.30143073743817,44.593824715,H451,_,00190,10
H451__00170.10,8.267003774442715,44.58638105,H451,_,00170,10
H451__00160.10,8.264506914690095,44.580751805000006,H451,_,00160,10
H451__00150.10,8.26004635355563,44.590556995,H451,_,00150,10
H451__00140.10,8.270576614013097,44.5878804,H451,_,00140,10
H451__00130.10,8.272165924167856,44.59291852,H451,_,00130,10
H451__00120.10,8.266217274563822,44.59890405,H451,_,00120,10
H451__00110.10,8.25244799221888,44.60317915,H451,_,00110,10
H451__00100.10,8.272763097373092,44.604751934999996,H451,_,00100,10
H451__00090.10,8.290998452935217,44.606112350000004,H451,_,00090,10
H451__00080.10,8.30514632526747,44.60792963,H451,_,00080,10
H451__00070.10,8.311579928662706,44.62007086,H451,_,00070,10
H451__00060.10,8.301592558480287,44.621974405,H451,_,00060,10
H451__00050.10,8.284646168796215,44.615407145000006,H451,_,00050,10
H451__00040.10,8.278788560513043,44.621936205,H451,_,00040,10
H451__00030.10,8.274802370797044,44.62059244,H451,_,00030,10
H451__00020.10,8.25752910805774,44.616627665,H451,_,00020,10
H451__00010.100,8.24652207512488,44.612040914999994,H451,_,00010,100
H451__00270.100,8.282090740133919,44.56255127,H451,_,00270,100
H451__00260.100,8.271117069521601,44.566660764999995,H451,_,00260,100
H451__00250.100,8.283630719878783,44.571884765,H451,_,00250,100
H451__00240.100,8.288758191144229,44.563387055,H451,_,00240,100
H451__00230.100,8.291288026144995,44.576238270000005,H451,_,00230,100
H451__00220.100,8.295367961541452,44.577330669999995,H451,_,00220,100
H451__00210.100,8.302789647105874,44.57612762,H451,_,00210,100
H451__00200.100,8.310091275186995,44.58292496,H451,_,00200,100
H451__00190.100,8.300392581548724,44.591417809999996,H451,_,00190,100
H451__00180.100,8.292735743397465,44.589680195,H451,_,00180,100
H451__00170.100,8.279945557706784,44.58303096,H451,_,00170,100
H451__00160.100,8.27145271618678,44.583961,H451,_,00160,100
H451__00150.100,8.264253236735266,44.590170635,H451,_,00150,100
H451__00140.100,8.28728999029266,44.593203085,H451,_,00140,100
H451__00130.100,8.272876681874461,44.59286654,H451,_,00130,100
H451__00120.100,8.276543477223212,44.60070695,H451,_,00120,100
H451__00110.100,8.261193185026137,44.60072123,H451,_,00110,100
H451__00100.100,8.281716127524586,44.606245525,H451,_,00100,100
H451__00080.100,8.311617200584733,44.60731229,H451,_,00080,100
H451__00070.100,8.325651488500167,44.620360855,H451,_,00070,100
H451__00060.100,8.304565358759277,44.618289669999996,H451,_,00060,100
H451__00050.100,8.280775305412256,44.614105975,H451,_,00050,100
H451__00040.100,8.297244698232157,44.623605805,H451,_,00040,100
H451__00030.100,8.27005026953681,44.614403765,H451,_,00030,100
H451__00020.100,8.267038098385424,44.616981295,H451,_,00020,100
H451__00010.101,8.246838191454575,44.612005425,H451,_,00010,101
H451__00270.101,8.282201094436395,44.562281215,H451,_,00270,101
H451__00260.101,8.27080045845549,44.566608705,H451,_,00260,101
H451__00250.101,8.28391879042518,44.572135724999995,H451,_,00250,101
H451__00240.101,8.289185547844315,44.56427637,H451,_,00240,101
H451__00230.101,8.292146398192697,44.576180005,H451,_,00230,101
H451__00220.101,8.295940479486525,44.577627914999994,H451,_,00220,101
H451__00210.101,8.304045478728005,44.576945265,H451,_,00210,101
H451__00200.101,8.308946001496343,44.58315863,H451,_,00200,101
H451__00190.101,8.300653801618585,44.591609180000006,H451,_,00190,101
H451__00180.101,8.29283055971099,44.590049205,H451,_,00180,101
H451__00170.101,8.28040915843669,44.582036075,H451,_,00170,101
H451__00160.101,8.27350339908247,44.58175036,H451,_,00160,101
