nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H525__00010.1,10.12931026064469,45.549826805,H525,_,00010,1
H525__00170.1,10.163039565943588,45.526922920000004,H525,_,00170,1
H525__00160.1,10.150893706386846,45.52562114,H525,_,00160,1
H525__00150.1,10.147232247890443,45.52423764,H525,_,00150,1
H525__00130.1,10.150376453569752,45.529238085,H525,_,00130,1
H525__00100.1,10.162558295105736,45.53049101,H525,_,00100,1
H525__00090.1,10.16990720610221,45.535692420000004,H525,_,00090,1
H525__00080.1,10.156117883142715,45.538532925,H525,_,00080,1
H525__00070.1,10.14823219864855,45.540238044999995,H525,_,00070,1
H525__00040.1,10.115831462725588,45.540607955,H525,_,00040,1
H525__00030.1,10.178293537369107,45.545935345000004,H525,_,00030,1
H525__00020.1,10.141407613411324,45.549495504999996,H525,_,00020,1
H525__00020.10,10.148718034285672,45.54882604,H525,_,00020,10
H525__00170.10,10.158701585147842,45.52599132,H525,_,00170,10
H525__00160.10,10.156686444165706,45.525471929999995,H525,_,00160,10
H525__00150.10,10.14857354797289,45.52416276,H525,_,00150,10
H525__00140.10,10.139647210440955,45.519943115000004,H525,_,00140,10
H525__00120.10,10.145511104033853,45.529521685,H525,_,00120,10
H525__00080.10,10.163979393163963,45.536776785,H525,_,00080,10
H525__00050.10,10.130103693992131,45.53693807,H525,_,00050,10
H525__00040.10,10.117904724689287,45.540109235,H525,_,00040,10
H525__00030.10,10.177537104450447,45.543389945,H525,_,00030,10
H525__00010.100,10.130135863490995,45.54213464,H525,_,00010,100
H525__00170.100,10.155702065430187,45.524192264999996,H525,_,00170,100
H525__00160.100,10.15156693066098,45.523413039999994,H525,_,00160,100
H525__00150.100,10.145551975137687,45.524501875,H525,_,00150,100
H525__00130.100,10.157688692774943,45.52601357,H525,_,00130,100
H525__00120.100,10.149463854353526,45.528199045,H525,_,00120,100
H525__00070.100,10.144992518133277,45.531894615,H525,_,00070,100
H525__00060.100,10.137874475507825,45.531532515,H525,_,00060,100
H525__00020.100,10.146100252700503,45.546998465,H525,_,00020,100
H525__00010.101,10.133746048402001,45.54149994,H525,_,00010,101
H525__00170.101,10.15595167869037,45.52393098,H525,_,00170,101
H525__00160.101,10.15163645267971,45.523422225,H525,_,00160,101
H525__00150.101,10.145512189452472,45.524218884999996,H525,_,00150,101
H525__00130.101,10.157794236180305,45.5261438,H525,_,00130,101
