nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H727A_00020.1,7.440719016561593,44.633054665,H727,A,00020,1
H727__00810.1,7.479642064955363,44.647746235,H727,_,00810,1
H727__00800.1,7.52500126670715,44.630972455000006,H727,_,00800,1
H727__00790.1,7.515754694983839,44.63658401,H727,_,00790,1
H727__00780.1,7.506712195292669,44.633068300000005,H727,_,00780,1
H727__00770.1,7.492422412217657,44.62368673,H727,_,00770,1
H727__00760.1,7.4987913923076,44.638528265000005,H727,_,00760,1
H727__00750.1,7.493242041047108,44.62764948,H727,_,00750,1
H727__00730.1,7.470415685000001,44.63902974,H727,_,00730,1
H727__00720.1,7.469585025437269,44.618177110000005,H727,_,00720,1
H727__00710.1,7.444549508247413,44.618987655,H727,_,00710,1
H727__00700.1,7.444651138273736,44.619674265,H727,_,00700,1
H727__00690.1,7.454876472192753,44.62656759,H727,_,00690,1
H727__00680.1,7.456804104595497,44.630150815,H727,_,00680,1
H727__00670.1,7.456037015925954,44.645658525,H727,_,00670,1
H727__00650.1,7.439544416319503,44.641405395,H727,_,00650,1
H727__00640.1,7.441715444611761,44.65081854,H727,_,00640,1
H727__00630.1,7.458478803395984,44.652599124999995,H727,_,00630,1
H727__00600.1,7.485626250633219,44.647927975,H727,_,00600,1
H727__00590.1,7.497942580916986,44.640787625,H727,_,00590,1
H727__00580.1,7.508614884048929,44.647329165,H727,_,00580,1
H727__00570.1,7.518989241911873,44.64619201,H727,_,00570,1
H727__00560.1,7.532187657011059,44.646987295,H727,_,00560,1
H727__00540.1,7.514602414238308,44.648754285,H727,_,00540,1
H727__00530.1,7.534376750113799,44.66917142,H727,_,00530,1
H727__00510.1,7.520604927030265,44.659889625,H727,_,00510,1
H727__00500.1,7.51206492725086,44.659285745000005,H727,_,00500,1
H727__00470.1,7.510217823086127,44.67074554,H727,_,00470,1
H727__00460.1,7.491766052240022,44.66773202500001,H727,_,00460,1
H727__00440.1,7.482129076056753,44.66890458,H727,_,00440,1
H727__00400.1,7.459710184255396,44.6783939,H727,_,00400,1
H727__00390.1,7.461926095816468,44.66609613,H727,_,00390,1
H727__00380.1,7.458176069757318,44.655066829999996,H727,_,00380,1
H727__00370.1,7.450280575157748,44.660425935,H727,_,00370,1
H727__00360.1,7.452960816120371,44.675811534999994,H727,_,00360,1
H727__00350.1,7.458193130511369,44.685400564999995,H727,_,00350,1
H727__00340.1,7.46401681432451,44.687475309999996,H727,_,00340,1
H727__00330.1,7.471308501846048,44.687771425,H727,_,00330,1
H727__00320.1,7.479861000143945,44.689668104999996,H727,_,00320,1
H727__00310.1,7.475405678234856,44.677772465000004,H727,_,00310,1
H727__00300.1,7.492953710976279,44.69010833,H727,_,00300,1
H727__00290.1,7.497248268772399,44.678116175,H727,_,00290,1
H727__00280.1,7.50337405817194,44.691890994999994,H727,_,00280,1
H727__00270.1,7.515734897140465,44.684452555,H727,_,00270,1
H727__00260.1,7.51467315493926,44.67320831,H727,_,00260,1
H727__00240.1,7.516711732411009,44.68947611,H727,_,00240,1
H727__00230.1,7.517876640147513,44.698407024999995,H727,_,00230,1
H727__00220.1,7.515515384469637,44.708502185,H727,_,00220,1
H727__00190.1,7.496339033933031,44.707270215,H727,_,00190,1
H727__00180.1,7.477825556544503,44.705002795,H727,_,00180,1
H727__00150.1,7.4626077573471505,44.700103909999996,H727,_,00150,1
H727__00140.1,7.454056299258474,44.69574857,H727,_,00140,1
H727__00130.1,7.456751365387543,44.708607810000004,H727,_,00130,1
H727__00120.1,7.458843366727531,44.709604885,H727,_,00120,1
H727__00090.1,7.478194545246804,44.710146734999995,H727,_,00090,1
H727__00080.1,7.4978101711497525,44.71556882,H727,_,00080,1
H727__00070.1,7.509498277565578,44.71649345,H727,_,00070,1
H727__00060.1,7.505671953202453,44.725040445000005,H727,_,00060,1
