nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H825__00010.1,15.967238487169924,39.76378934,H825,_,00010,1
H825__00560.1,16.117702211776937,39.670215995,H825,_,00560,1
H825__00550.1,16.111576313912103,39.669874585,H825,_,00550,1
H825__00540.1,16.062281069471744,39.673156275,H825,_,00540,1
H825__00530.1,16.097972147293092,39.67786933,H825,_,00530,1
H825__00520.1,16.103096711360312,39.686207635,H825,_,00520,1
H825__00500.1,16.084121716625617,39.684950615000005,H825,_,00500,1
H825__00490.1,16.07697553635078,39.67822527,H825,_,00490,1
H825__00470.1,16.065114076579533,39.68351668,H825,_,00470,1
H825__00460.1,16.050228539877146,39.677554674999996,H825,_,00460,1
H825__00450.1,16.050163782344406,39.684735185,H825,_,00450,1
H825__00440.1,16.09059384766605,39.693658189999994,H825,_,00440,1
H825__00410.1,16.06125355447798,39.694743355,H825,_,00410,1
H825__00400.1,16.049610537713257,39.688923195,H825,_,00400,1
H825__00390.1,16.081617512555695,39.6955732,H825,_,00390,1
H825__00380.1,16.069795132572274,39.704931875,H825,_,00380,1
H825__00370.1,16.06182284353722,39.704062570000005,H825,_,00370,1
H825__00360.1,16.057303304748203,39.70153954,H825,_,00360,1
H825__00340.1,16.044435235772283,39.699407765000004,H825,_,00340,1
H825__00330.1,16.028581922685866,39.695988795000005,H825,_,00330,1
H825__00300.1,16.046158531912653,39.70960563,H825,_,00300,1
H825__00290.1,16.037073111823872,39.70397973,H825,_,00290,1
H825__00260.1,16.050049980360626,39.71284961,H825,_,00260,1
H825__00240.1,16.043598558180975,39.71525575,H825,_,00240,1
H825__00230.1,16.022978429895645,39.72039902,H825,_,00230,1
H825__00220.1,16.01898759026057,39.715128025,H825,_,00220,1
H825__00210.1,15.99903481821428,39.707524219999996,H825,_,00210,1
H825__00200.1,16.052827990014137,39.723115324999995,H825,_,00200,1
H825__00190.1,16.06019681574074,39.727782905,H825,_,00190,1
H825__00180.1,16.05140909296757,39.731994235,H825,_,00180,1
H825__00170.1,16.04769024786345,39.727621334999995,H825,_,00170,1
H825__00160.1,16.043172682764904,39.72639073,H825,_,00160,1
H825__00150.1,16.03791690930885,39.733134125,H825,_,00150,1
H825__00140.1,16.00944659480089,39.731796145000004,H825,_,00140,1
H825__00130.1,16.000424941532962,39.719747049999995,H825,_,00130,1
H825__00120.1,16.061708250334817,39.738879975,H825,_,00120,1
H825__00110.1,16.04908132385361,39.738513235,H825,_,00110,1
H825__00100.1,16.049950901425973,39.744155989999996,H825,_,00100,1
H825__00090.1,16.0550715454115,39.7485268,H825,_,00090,1
H825__00080.1,16.03157111428164,39.752025835,H825,_,00080,1
H825__00070.1,16.022622642177556,39.756139129999994,H825,_,00070,1
H825__00060.1,15.975783984103408,39.75077418,H825,_,00060,1
H825__00050.1,15.965895513858253,39.75232277,H825,_,00050,1
H825__00040.1,15.995913197873154,39.74969848,H825,_,00040,1
H825__00030.1,16.045732363940054,39.758081445,H825,_,00030,1
H825__00010.10,15.96924318552805,39.751445005,H825,_,00010,10
H825__00550.10,16.10967566440393,39.66929092,H825,_,00550,10
