nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H955__00010.1,14.52787486480307,41.284010015,H955,_,00010,1
H955__00140.1,14.529046097634023,41.25204025,H955,_,00140,1
H955__00120.1,14.538944131693114,41.26101482,H955,_,00120,1
H955__00100.1,14.552049761832606,41.26617326,H955,_,00100,1
H955__00080.1,14.540320572846896,41.26700242,H955,_,00080,1
H955__00070.1,14.52047162619591,41.268723495,H955,_,00070,1
H955__00050.1,14.540865499424687,41.27878581,H955,_,00050,1
H955__00040.1,14.524725541470058,41.274242545,H955,_,00040,1
H955__00030.1,14.5229597524416,41.27787824,H955,_,00030,1
H955__00020.1,14.520411179870504,41.28064098,H955,_,00020,1
H955__00010.10,14.552304760673515,41.290223999999995,H955,_,00010,10
H955__00130.10,14.549306803071843,41.25509728,H955,_,00130,10
H955__00120.10,14.542489781915117,41.26119776,H955,_,00120,10
H955__00100.10,14.554007047030282,41.26491375,H955,_,00100,10
H955__00090.10,14.541135735993114,41.270077435000005,H955,_,00090,10
H955__00060.10,14.55081778370683,41.279868105,H955,_,00060,10
H955__00030.10,14.529618035423102,41.27932851,H955,_,00030,10
H955__00020.10,14.518271566814875,41.278023965,H955,_,00020,10
H955__00020.100,14.523511543987716,41.273103385,H955,_,00020,100
H955__00140.100,14.532982040923597,41.245725595,H955,_,00140,100
H955__00130.100,14.555048151344927,41.256874005,H955,_,00130,100
H955__00120.100,14.544884243610769,41.258187665,H955,_,00120,100
H955__00100.100,14.55559976396254,41.261316445,H955,_,00100,100
H955__00090.100,14.551632922734182,41.27021503,H955,_,00090,100
H955__00080.100,14.54491197912563,41.26447781,H955,_,00080,100
H955__00070.100,14.536389502118855,41.26791857,H955,_,00070,100
H955__00060.100,14.541262823575584,41.271183045,H955,_,00060,100
H955__00050.100,14.54207558465004,41.27705827,H955,_,00050,100
H955__00040.100,14.542266203687943,41.274754255000005,H955,_,00040,100
H955__00030.100,14.539010901888748,41.278672224999994,H955,_,00030,100
H955__00080.1000,14.539963942840725,41.26438794,H955,_,00080,1000
H955__00120.1000,14.547205188655159,41.26004048,H955,_,00120,1000
H955__00110.1000,14.535029258751056,41.25567467,H955,_,00110,1000
H955__00080.1001,14.539971029560508,41.264270225000004,H955,_,00080,1001
H955__00120.1001,14.54731952491149,41.26005043,H955,_,00120,1001
H955__00110.1001,14.53454411281799,41.256815945,H955,_,00110,1001
H955__00080.1002,14.539983006160615,41.264065314999996,H955,_,00080,1002
H955__00120.1002,14.542631883616393,41.253893975,H955,_,00120,1002
H955__00080.1003,14.540104753606471,41.264375955,H955,_,00080,1003
H955__00120.1003,14.540067216329003,41.253387974999995,H955,_,00120,1003
H955__00080.1004,14.54014680826679,41.26426246,H955,_,00080,1004
H955__00120.1004,14.540400018738374,41.25377115,H955,_,00120,1004
H955__00080.1005,14.540139093550039,41.26404982,H955,_,00080,1005
H955__00080.1006,14.540169555032744,41.2646644,H955,_,00080,1006
H955__00120.1006,14.538943937375684,41.25208362,H955,_,00120,1006
H955__00080.1007,14.540233658294923,41.264652345,H955,_,00080,1007
H955__00120.1007,14.53924237950272,41.252087645,H955,_,00120,1007
H955__00110.1007,14.534618491423622,41.255900569999994,H955,_,00110,1007
H955__00080.1008,14.540161281785272,41.26451522,H955,_,00080,1008
H955__00120.1008,14.538868920913188,41.260322474999995,H955,_,00120,1008
H955__00080.1009,14.540299486256458,41.26454534,H955,_,00080,1009
H955__00120.1009,14.539423653251164,41.25912337,H955,_,00120,1009
H955__00110.1009,14.534664341652551,41.25667629,H955,_,00110,1009
H955__00010.101,14.540787052493329,41.2840465,H955,_,00010,101
H955__00140.101,14.533587834589,41.24553105,H955,_,00140,101
H955__00130.101,14.550950954400028,41.25583123,H955,_,00130,101
H955__00110.101,14.532544844909918,41.25573192,H955,_,00110,101
H955__00100.101,14.55642307706308,41.26138181,H955,_,00100,101
H955__00090.101,14.551969293862006,41.270403439999995,H955,_,00090,101
H955__00060.101,14.543201544143383,41.27093968,H955,_,00060,101
H955__00050.101,14.542218539618412,41.27703204,H955,_,00050,101
H955__00040.101,14.537143238370835,41.275141239999996,H955,_,00040,101
H955__00030.101,14.538830787350442,41.27888402,H955,_,00030,101
H955__00020.101,14.52343233829494,41.27354525,H955,_,00020,101
H955__00080.1010,14.54335541746649,41.262476344999996,H955,_,00080,1010
H955__00110.1010,14.53491122661498,41.256089415,H955,_,00110,1010
H955__00080.1011,14.543444028117797,41.262476344999996,H955,_,00080,1011
H955__00120.1011,14.546499220332608,41.261886695,H955,_,00120,1011
H955__00110.1011,14.534223877623438,41.256386684999995,H955,_,00110,1011
H955__00080.1012,14.55011003382058,41.26311552999999,H955,_,00080,1012
H955__00120.1012,14.547639552644991,41.260421565,H955,_,00120,1012
H955__00110.1012,14.533306545409133,41.262963805,H955,_,00110,1012
H955__00080.1013,14.55031941335108,41.26253491999999,H955,_,00080,1013
H955__00120.1013,14.544283800529737,41.2592612,H955,_,00120,1013
H955__00110.1013,14.533709086468324,41.263028045,H955,_,00110,1013
H955__00080.1014,14.550219642161668,41.26291448,H955,_,00080,1014
H955__00080.1015,14.550281458081924,41.262798114999995,H955,_,00080,1015
H955__00120.1015,14.544707113524465,41.258071985,H955,_,00120,1015
H955__00110.1015,14.532230601714115,41.25905444,H955,_,00110,1015
H955__00110.1016,14.538175096952871,41.25889268,H955,_,00110,1016
H955__00120.1016,14.539832500629016,41.26013315,H955,_,00120,1016
H955__00080.1017,14.544417013738826,41.262668340000005,H955,_,00080,1017
H955__00110.1017,14.53629191970121,41.256079119999995,H955,_,00110,1017
H955__00080.1018,14.534340877483448,41.262585695,H955,_,00080,1018
H955__00120.1018,14.538633187886964,41.260322474999995,H955,_,00120,1018
H955__00080.1019,14.534685610980548,41.262505005,H955,_,00080,1019
H955__00110.1019,14.531617259488929,41.252435485,H955,_,00110,1019
H955__00010.102,14.540402353765817,41.28402792,H955,_,00010,102
H955__00140.102,14.529297896757958,41.24504642,H955,_,00140,102
H955__00130.102,14.551190505834132,41.25583123,H955,_,00130,102
H955__00120.102,14.545336887334011,41.257101735,H955,_,00120,102
H955__00110.102,14.532327812830577,41.255503565,H955,_,00110,102
H955__00100.102,14.55695616554388,41.262267545,H955,_,00100,102
H955__00090.102,14.54855119272728,41.265456515,H955,_,00090,102
H955__00070.102,14.536958217201661,41.268091944999995,H955,_,00070,102
H955__00060.102,14.542453324628571,41.271285785,H955,_,00060,102
H955__00050.102,14.542198214207206,41.276982829999994,H955,_,00050,102
H955__00040.102,14.537008741019136,41.275703655,H955,_,00040,102
H955__00030.102,14.538981833414866,41.278993675,H955,_,00030,102
H955__00020.102,14.524153196691618,41.27403946,H955,_,00020,102
H955__00080.1020,14.54150605921231,41.26540516,H955,_,00080,1020
H955__00110.1020,14.531048421071201,41.25247865,H955,_,00110,1020
H955__00110.1021,14.538207224892448,41.257548875,H955,_,00110,1021
H955__00120.1022,14.539935995077677,41.2520199,H955,_,00120,1022
H955__00110.1023,14.53820485752913,41.25820613,H955,_,00110,1023
H955__00120.1023,14.546656517972838,41.26190687,H955,_,00120,1023
H955__00110.1025,14.538595141682833,41.258105275,H955,_,00110,1025
H955__00110.1026,14.53514246220033,41.252916655,H955,_,00110,1026
H955__00110.1027,14.535056324957381,41.25276963,H955,_,00110,1027
H955__00110.1028,14.5369949636885,41.256008145,H955,_,00110,1028
H955__00110.1029,14.536890277660806,41.25585239,H955,_,00110,1029
H955__00010.103,14.539862642947678,41.284302894999996,H955,_,00010,103
H955__00140.103,14.530389493018573,41.244960085,H955,_,00140,103
H955__00120.103,14.545726891124165,41.257071025,H955,_,00120,103
H955__00100.103,14.557236553106074,41.26209872,H955,_,00100,103
H955__00090.103,14.54872420594888,41.265369815,H955,_,00090,103
H955__00060.103,14.549845235148,41.281534519999994,H955,_,00060,103
H955__00050.103,14.542323449729288,41.27721486,H955,_,00050,103
H955__00030.103,14.534298364877857,41.2758423,H955,_,00030,103
H955__00020.103,14.524898781010522,41.273442755000005,H955,_,00020,103
H955__00110.1030,14.536972312687768,41.255387145,H955,_,00110,1030
H955__00110.1031,14.537344255306504,41.255562600000005,H955,_,00110,1031
H955__00110.1032,14.530142718851039,41.261703125,H955,_,00110,1032
H955__00110.1033,14.53003865834422,41.26133303,H955,_,00110,1033
H955__00110.1034,14.531699578404524,41.252991304999995,H955,_,00110,1034
H955__00080.1036,14.54636863764955,41.262872535,H955,_,00080,1036
H955__00080.1037,14.546546527612762,41.26285715,H955,_,00080,1037
H955__00080.1038,14.546692706197113,41.262962885,H955,_,00080,1038
H955__00080.1039,14.546884983140437,41.26292248,H955,_,00080,1039
H955__00020.104,14.52236190772862,41.272321614999996,H955,_,00020,104
H955__00130.104,14.55178191341626,41.25542734,H955,_,00130,104
H955__00120.104,14.545405297187495,41.256830625,H955,_,00120,104
H955__00100.104,14.557642387964862,41.2624035,H955,_,00100,104
H955__00090.104,14.54930573868989,41.265644475,H955,_,00090,104
H955__00080.104,14.535196011735367,41.26308917,H955,_,00080,104
H955__00060.104,14.544577480240722,41.27652386,H955,_,00060,104
H955__00050.104,14.542351265718981,41.277134645000004,H955,_,00050,104
H955__00040.104,14.54203751672219,41.2745028,H955,_,00040,104
H955__00030.104,14.534430161934718,41.27597227,H955,_,00030,104
H955__00080.1040,14.546829620177164,41.263077165,H955,_,00080,1040
H955__00080.1044,14.546660968935287,41.26442322,H955,_,00080,1044
H955__00110.1044,14.529970243513,41.253386675,H955,_,00110,1044
H955__00080.1045,14.548082577365207,41.265199355,H955,_,00080,1045
H955__00110.1045,14.530322229747556,41.25418960499999,H955,_,00110,1045
H955__00080.1046,14.547879683821987,41.264832915,H955,_,00080,1046
H955__00080.1047,14.547742692563038,41.264722019999994,H955,_,00080,1047
H955__00110.1047,14.530395428531406,41.254183065,H955,_,00110,1047
H955__00080.1048,14.549399020791437,41.262780895000006,H955,_,00080,1048
H955__00080.1049,14.549856140615347,41.26276816,H955,_,00080,1049
H955__00110.1049,14.530229073942433,41.253805595,H955,_,00110,1049
H955__00010.105,14.540161874336633,41.284394305,H955,_,00010,105
H955__00130.105,14.551274688191697,41.25507211,H955,_,00130,105
H955__00120.105,14.543538620201641,41.25610512,H955,_,00120,105
H955__00110.105,14.531122877839426,41.254997505,H955,_,00110,105
H955__00100.105,14.557849190405268,41.26294105,H955,_,00100,105
H955__00090.105,14.549492006015944,41.26551215,H955,_,00090,105
H955__00080.105,14.53565472049625,41.262130655,H955,_,00080,105
H955__00070.105,14.535297652870382,41.267402395000005,H955,_,00070,105
H955__00060.105,14.548054016458572,41.27483376,H955,_,00060,105
H955__00050.105,14.542386953622852,41.277334069999995,H955,_,00050,105
H955__00030.105,14.534066522997398,41.276365135,H955,_,00030,105
H955__00020.105,14.522646331224824,41.272403139999994,H955,_,00020,105
H955__00080.1050,14.550121785431678,41.26240724,H955,_,00080,1050
H955__00110.1050,14.530223257756358,41.253751855000004,H955,_,00110,1050
H955__00080.1051,14.549647343644235,41.26249583,H955,_,00080,1051
H955__00110.1051,14.530050361077606,41.2543187,H955,_,00110,1051
H955__00080.1052,14.549823820621969,41.262507645,H955,_,00080,1052
H955__00110.1053,14.53050052470899,41.254068455,H955,_,00110,1053
H955__00080.1054,14.53970487867256,41.266908525,H955,_,00080,1054
H955__00110.1055,14.530424356599063,41.256253189999995,H955,_,00110,1055
H955__00080.1056,14.542182607326195,41.264417775,H955,_,00080,1056
H955__00110.1056,14.530334404652624,41.255890925,H955,_,00110,1056
H955__00080.1057,14.541011963224268,41.26650056,H955,_,00080,1057
H955__00110.1057,14.525453549041387,41.26144879,H955,_,00110,1057
H955__00080.1058,14.541038232579316,41.266259305,H955,_,00080,1058
H955__00110.1058,14.525537035,41.261012745,H955,_,00110,1058
H955__00080.1059,14.541455535549492,41.266258335,H955,_,00080,1059
H955__00110.1059,14.531650820582366,41.258431805,H955,_,00110,1059
H955__00020.106,14.522894950488158,41.27244204,H955,_,00020,106
H955__00140.106,14.52859307843934,41.244759880000004,H955,_,00140,106
H955__00120.106,14.543333175188918,41.255730705,H955,_,00120,106
H955__00100.106,14.558060354837497,41.2625335,H955,_,00100,106
H955__00090.106,14.542150553115155,41.26919788,H955,_,00090,106
H955__00070.106,14.533182925620592,41.26456619,H955,_,00070,106
H955__00050.106,14.542485188110984,41.277341539999995,H955,_,00050,106
H955__00040.106,14.541588041812156,41.276758805,H955,_,00040,106
H955__00030.106,14.534292221552477,41.276437845000004,H955,_,00030,106
H955__00080.1060,14.541024456058953,41.266109165,H955,_,00080,1060
H955__00080.1061,14.549620898180297,41.26237151,H955,_,00080,1061
H955__00120.1061,14.539103916915666,41.25912337,H955,_,00120,1061
H955__00080.1062,14.549881173850457,41.262395760000004,H955,_,00080,1062
H955__00120.1062,14.54454152020164,41.25764548,H955,_,00120,1062
H955__00110.1063,14.53006627375165,41.253379925000004,H955,_,00110,1063
H955__00120.1063,14.544706989349923,41.257746125,H955,_,00120,1063
H955__00080.1064,14.54256838581069,41.263628530000005,H955,_,00080,1064
H955__00110.1064,14.529969580178989,41.253459230000004,H955,_,00110,1064
H955__00110.1065,14.530103059876838,41.253582625,H955,_,00110,1065
H955__00120.1065,14.544850054443835,41.25803365,H955,_,00120,1065
H955__00120.1066,14.544745431388241,41.25811852,H955,_,00120,1066
H955__00110.1067,14.53031356544587,41.253751425000004,H955,_,00110,1067
H955__00120.1067,14.545055958042884,41.257979975,H955,_,00120,1067
H955__00110.1068,14.53023961553557,41.253665845,H955,_,00110,1068
H955__00080.1069,14.536367529876198,41.265577930000006,H955,_,00080,1069
H955__00120.1069,14.544877240616284,41.257703039999996,H955,_,00120,1069
H955__00110.1069,14.530360747418424,41.253747285,H955,_,00110,1069
H955__00020.107,14.52312977352067,41.272506615,H955,_,00020,107
H955__00140.107,14.52952776202174,41.2445797,H955,_,00140,107
H955__00130.107,14.552611123256565,41.255624585,H955,_,00130,107
H955__00120.107,14.54444335407097,41.256108135000005,H955,_,00120,107
H955__00100.107,14.557996422913888,41.26221025,H955,_,00100,107
H955__00090.107,14.55320491962109,41.26852389,H955,_,00090,107
H955__00070.107,14.534418151363472,41.26518122,H955,_,00070,107
H955__00050.107,14.542423488981342,41.27729775,H955,_,00050,107
H955__00030.107,14.53249343092124,41.27545734,H955,_,00030,107
H955__00080.1070,14.536118149236431,41.265294499999996,H955,_,00080,1070
H955__00110.1070,14.530350086266587,41.2536652,H955,_,00110,1070
H955__00110.1071,14.530464104053836,41.253745745,H955,_,00110,1071
H955__00120.1071,14.544767543040976,41.258093715,H955,_,00120,1071
H955__00080.1072,14.536691775456736,41.26559975,H955,_,00080,1072
H955__00120.1072,14.544869951218661,41.258096359999996,H955,_,00120,1072
H955__00110.1072,14.530454898609054,41.253662625000004,H955,_,00110,1072
H955__00080.1073,14.543016482120471,41.26491222,H955,_,00080,1073
H955__00120.1073,14.544740580695114,41.258079949999996,H955,_,00120,1073
H955__00080.1075,14.53687474490011,41.265544295,H955,_,00080,1075
H955__00110.1075,14.532560432570584,41.25761903,H955,_,00110,1075
H955__00080.1076,14.536504535119466,41.265608535,H955,_,00080,1076
H955__00110.1076,14.532516485945832,41.257887925,H955,_,00110,1076
H955__00080.1077,14.536738277567043,41.265248815,H955,_,00080,1077
H955__00110.1077,14.529262959388955,41.26110615,H955,_,00110,1077
H955__00080.1078,14.536314077925367,41.26520151,H955,_,00080,1078
H955__00120.1078,14.539578687746307,41.26013315,H955,_,00120,1078
H955__00110.1078,14.529139836058798,41.260848495000005,H955,_,00110,1078
H955__00080.1079,14.535348796542074,41.263640505,H955,_,00080,1079
H955__00020.108,14.523389230303362,41.272591555000005,H955,_,00020,108
H955__00130.108,14.553665109466795,41.25582446,H955,_,00130,108
H955__00120.108,14.544499479468087,41.25578415,H955,_,00120,108
H955__00110.108,14.53103811884573,41.25415428,H955,_,00110,108
H955__00100.108,14.558204990124484,41.261895185,H955,_,00100,108
H955__00090.108,14.552751257562644,41.268718905,H955,_,00090,108
H955__00080.108,14.536911461871096,41.26267072,H955,_,00080,108
H955__00070.108,14.535342142311478,41.26554771,H955,_,00070,108
H955__00050.108,14.54240185644639,41.277260909999995,H955,_,00050,108
H955__00080.1080,14.53516224276106,41.26373797,H955,_,00080,1080
H955__00080.1081,14.543405190205167,41.264031735,H955,_,00080,1081
H955__00120.1081,14.547365867546116,41.260386425,H955,_,00120,1081
H955__00120.1082,14.538677290491695,41.257516785,H955,_,00120,1082
H955__00120.1083,14.544148259226068,41.261485164999996,H955,_,00120,1083
H955__00120.1084,14.538192701066926,41.25692586,H955,_,00120,1084
H955__00120.1085,14.544743778788384,41.254646655,H955,_,00120,1085
H955__00080.1086,14.543059215977436,41.265173985000004,H955,_,00080,1086
H955__00120.1086,14.544758482572501,41.25245893,H955,_,00120,1086
H955__00080.1087,14.543654179463706,41.26535695,H955,_,00080,1087
H955__00120.1087,14.544550326267624,41.252413415,H955,_,00120,1087
H955__00120.1088,14.54463760156084,41.252361885,H955,_,00120,1088
H955__00080.1089,14.542976444658276,41.26590428,H955,_,00080,1089
H955__00120.1089,14.54163540219973,41.250672800000004,H955,_,00120,1089
H955__00020.109,14.522531674866956,41.271899205,H955,_,00020,109
H955__00140.109,14.531645871404304,41.24384879,H955,_,00140,109
H955__00130.109,14.55390173584597,41.25639826,H955,_,00130,109
H955__00110.109,14.531996416856277,41.253985775000004,H955,_,00110,109
H955__00100.109,14.550641661533412,41.261849865,H955,_,00100,109
H955__00070.109,14.534940970694539,41.265239005,H955,_,00070,109
H955__00050.109,14.542515488434892,41.277199190000005,H955,_,00050,109
H955__00080.1090,14.542499880416457,41.265804985,H955,_,00080,1090
H955__00080.1091,14.543474098100997,41.264962425,H955,_,00080,1091
H955__00120.1091,14.54155045579371,41.250401075,H955,_,00120,1091
H955__00080.1092,14.543310270462028,41.26494359,H955,_,00080,1092
H955__00080.1093,14.54282969760358,41.264445705,H955,_,00080,1093
H955__00120.1095,14.539694687846442,41.25485257,H955,_,00120,1095
H955__00120.1096,14.539062394757558,41.25491487,H955,_,00120,1096
H955__00010.11,14.551438240489723,41.289308915,H955,_,00010,11
H955__00130.11,14.548680622775542,41.254331345,H955,_,00130,11
H955__00110.11,14.525274449801097,41.261506865,H955,_,00110,11
H955__00100.11,14.555344530482554,41.266120575,H955,_,00100,11
H955__00090.11,14.540896665743537,41.270306605,H955,_,00090,11
H955__00070.11,14.522980108778562,41.26834651,H955,_,00070,11
H955__00060.11,14.549975117736036,41.27883937,H955,_,00060,11
H955__00020.11,14.518563670077015,41.2777536,H955,_,00020,11
H955__00010.110,14.543177273181797,41.282151375,H955,_,00010,110
H955__00120.110,14.543339078768314,41.255416925,H955,_,00120,110
