nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H975__00030.1,14.989158532878966,40.98144974,H975,_,00030,1
H975__00130.1,14.951836508216456,40.94841023,H975,_,00130,1
H975__00110.1,14.951917578725446,40.955449720000004,H975,_,00110,1
H975__00090.1,14.9742086550059,40.96401316,H975,_,00090,1
H975__00080.1,14.951911308490601,40.964856350000005,H975,_,00080,1
H975__00070.1,14.941503962980327,40.966244599999996,H975,_,00070,1
H975__00050.1,15.0012915322389,40.97291407,H975,_,00050,1
H975__00030.10,14.989988400054877,40.981342055,H975,_,00030,10
H975__00130.10,14.951892439789198,40.94772048,H975,_,00130,10
H975__00120.10,14.96683798949152,40.95509351,H975,_,00120,10
H975__00110.10,14.951530673141654,40.954823489999995,H975,_,00110,10
H975__00100.10,14.973382890595296,40.961188865,H975,_,00100,10
H975__00080.10,14.95354517366661,40.962186845,H975,_,00080,10
H975__00070.10,14.942108545618588,40.96324868000001,H975,_,00070,10
H975__00060.10,14.947748772129685,40.972650395,H975,_,00060,10
H975__00040.10,14.990603898293564,40.97388017,H975,_,00040,10
H975__00020.100,14.988162705519589,40.975183505000004,H975,_,00020,100
H975__00130.100,14.95847371451843,40.94619416,H975,_,00130,100
H975__00110.100,14.956656921036842,40.95453374,H975,_,00110,100
H975__00100.100,14.979297862884497,40.961076115,H975,_,00100,100
H975__00080.100,14.962239344643685,40.96213682,H975,_,00080,100
H975__00070.100,14.94899952908812,40.9616653,H975,_,00070,100
H975__00060.100,14.947585350423553,40.969325615,H975,_,00060,100
H975__00050.100,15.00418930451773,40.97033487,H975,_,00050,100
H975__00040.100,14.990206887117253,40.970794170000005,H975,_,00040,100
H975__00030.100,15.001323388430045,40.97947577,H975,_,00030,100
H975__00020.1000,14.981113615070393,40.96891775,H975,_,00020,1000
H975__00120.1000,14.968966271285144,40.954361735000006,H975,_,00120,1000
H975__00100.1000,14.975099242600905,40.961305589999995,H975,_,00100,1000
H975__00080.1000,14.958711746428573,40.95869125,H975,_,00080,1000
H975__00040.1000,14.989794404124499,40.96359743,H975,_,00040,1000
H975__00030.1000,15.001376243028467,40.97839318,H975,_,00030,1000
H975__00010.1001,14.967465316736815,40.972964544999996,H975,_,00010,1001
H975__00130.1001,14.967577528209127,40.94553257,H975,_,00130,1001
H975__00120.1001,14.96863959657845,40.954086875,H975,_,00120,1001
H975__00110.1001,14.96420498754729,40.956341035,H975,_,00110,1001
H975__00090.1001,14.976230869252177,40.962866775,H975,_,00090,1001
H975__00060.1001,14.945183290957235,40.96709399,H975,_,00060,1001
H975__00050.1001,15.000355959643194,40.9677559,H975,_,00050,1001
H975__00030.1001,15.001245550909186,40.978791900000004,H975,_,00030,1001
H975__00020.1001,14.980709561936614,40.96873077,H975,_,00020,1001
H975__00010.1002,14.967164436468217,40.97299853,H975,_,00010,1002
H975__00130.1002,14.967697608592495,40.945160305,H975,_,00130,1002
H975__00120.1002,14.968582755046892,40.954088335,H975,_,00120,1002
H975__00110.1002,14.963920032651423,40.956384535,H975,_,00110,1002
H975__00100.1002,14.975098677358975,40.961351205,H975,_,00100,1002
H975__00080.1002,14.969463213377043,40.95826643,H975,_,00080,1002
H975__00060.1002,14.945520869800987,40.96721615,H975,_,00060,1002
H975__00050.1002,15.00023973325092,40.967777745,H975,_,00050,1002
H975__00040.1002,14.989306914526937,40.963872620000004,H975,_,00040,1002
H975__00030.1002,15.001190817150977,40.978957640000004,H975,_,00030,1002
H975__00020.1002,14.981837067422246,40.969119975,H975,_,00020,1002
H975__00020.1003,14.980778579717464,40.968613365,H975,_,00020,1003
H975__00130.1003,14.968008639438345,40.94542333,H975,_,00130,1003
H975__00120.1003,14.968817500523539,40.9543203,H975,_,00120,1003
H975__00080.1003,14.969869835828373,40.95887698,H975,_,00080,1003
H975__00060.1003,14.945838007951066,40.967192765,H975,_,00060,1003
H975__00040.1003,14.989460895699995,40.963862625,H975,_,00040,1003
H975__00030.1003,15.001362185599511,40.979000709999994,H975,_,00030,1003
H975__00010.1004,14.97438508136705,40.96613696,H975,_,00010,1004
H975__00130.1004,14.957381478099565,40.94073673,H975,_,00130,1004
H975__00120.1004,14.969070730273355,40.954391305,H975,_,00120,1004
H975__00100.1004,14.975173052452185,40.96128534,H975,_,00100,1004
H975__00090.1004,14.97598720021459,40.96274316,H975,_,00090,1004
H975__00080.1004,14.970069417233576,40.958663545,H975,_,00080,1004
H975__00040.1004,14.98983433408047,40.963788935,H975,_,00040,1004
H975__00030.1004,15.001403599737412,40.97870891,H975,_,00030,1004
H975__00020.1004,14.981828411167061,40.9689895,H975,_,00020,1004
H975__00020.1005,14.98086192978111,40.96856423,H975,_,00020,1005
H975__00130.1005,14.957945583218883,40.940149245,H975,_,00130,1005
H975__00120.1005,14.969032426353385,40.95427791,H975,_,00120,1005
H975__00110.1005,14.963667134233784,40.956268635,H975,_,00110,1005
