nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
H982__00170.1,14.702412096677271,38.08460785,H982,_,00170,1
H982__00440.1,14.709710597627348,38.047722715,H982,_,00440,1
H982__00430.1,14.708075768936181,38.048178795,H982,_,00430,1
H982__00420.1,14.691942209260603,38.044272655,H982,_,00420,1
H982__00410.1,14.730887252611364,38.05018467,H982,_,00410,1
H982__00400.1,14.72357196372906,38.058496614999996,H982,_,00400,1
H982__00390.1,14.721462187769298,38.058421609999996,H982,_,00390,1
H982__00380.1,14.708822875142358,38.06124656,H982,_,00380,1
H982__00370.1,14.696687573305521,38.05305284,H982,_,00370,1
H982__00360.1,14.683686857338284,38.05448618,H982,_,00360,1
H982__00350.1,14.730235992891288,38.069712505,H982,_,00350,1
H982__00340.1,14.708575463850615,38.06780189,H982,_,00340,1
H982__00330.1,14.700524054913124,38.06910675,H982,_,00330,1
H982__00320.1,14.69246125950039,38.055424405,H982,_,00320,1
H982__00310.1,14.683897042165752,38.06198758,H982,_,00310,1
H982__00300.1,14.722943748321962,38.076528495000005,H982,_,00300,1
H982__00290.1,14.707905099374411,38.07075398,H982,_,00290,1
H982__00280.1,14.690113140927739,38.077132565,H982,_,00280,1
H982__00270.1,14.684933031120082,38.07250037,H982,_,00270,1
H982__00260.1,14.681475794370584,38.069968415,H982,_,00260,1
H982__00240.1,14.71083155438108,38.085103090000004,H982,_,00240,1
H982__00230.1,14.703829550839611,38.07821979,H982,_,00230,1
H982__00220.1,14.697387939255602,38.078159015,H982,_,00220,1
H982__00210.1,14.690840838826066,38.083988500000004,H982,_,00210,1
H982__00110.10,14.705328393354588,38.089998435,H982,_,00110,10
H982__00440.10,14.711325650567321,38.044745085,H982,_,00440,10
H982__00430.10,14.706518172085946,38.041181525,H982,_,00430,10
H982__00420.10,14.696853380474714,38.044367375,H982,_,00420,10
H982__00410.10,14.737213004265293,38.052073175000004,H982,_,00410,10
H982__00400.10,14.735220021819725,38.057241305,H982,_,00400,10
H982__00390.10,14.720489830363412,38.05491143,H982,_,00390,10
H982__00380.10,14.711623072543713,38.06156743,H982,_,00380,10
H982__00370.10,14.697755130973327,38.05339979,H982,_,00370,10
H982__00360.10,14.691791231058787,38.049691825,H982,_,00360,10
H982__00350.10,14.727481403563727,38.064471365,H982,_,00350,10
H982__00340.10,14.70915017897933,38.066725825,H982,_,00340,10
H982__00320.10,14.695289928275766,38.05500712,H982,_,00320,10
H982__00310.10,14.688912963208232,38.06280938,H982,_,00310,10
H982__00300.10,14.723809218065892,38.075686055000006,H982,_,00300,10
H982__00290.10,14.704094012555537,38.072341315,H982,_,00290,10
H982__00280.10,14.691681009066293,38.07645203,H982,_,00280,10
H982__00270.10,14.683680613786235,38.071852835,H982,_,00270,10
H982__00240.10,14.71107516019553,38.081570185000004,H982,_,00240,10
H982__00230.10,14.709293390355926,38.078145774999996,H982,_,00230,10
H982__00220.10,14.698939950977486,38.077990535,H982,_,00220,10
H982__00210.10,14.689918497557159,38.08394328,H982,_,00210,10
H982__00170.10,14.704642108297111,38.084592755,H982,_,00170,10
H982__00110.100,14.706440488714149,38.087411599999996,H982,_,00110,100
H982__00440.100,14.710777548162802,38.04094041,H982,_,00440,100
H982__00420.100,14.694633057249582,38.04436314,H982,_,00420,100
H982__00400.100,14.729157892957293,38.052547415,H982,_,00400,100
H982__00390.100,14.720637007044814,38.055448745,H982,_,00390,100
H982__00380.100,14.709483248869926,38.055669915,H982,_,00380,100
H982__00370.100,14.706376844880669,38.05399405,H982,_,00370,100
H982__00340.100,14.713177799686662,38.065388014999996,H982,_,00340,100
H982__00330.100,14.706827997115408,38.06561365,H982,_,00330,100
H982__00310.100,14.692772125128847,38.0604077,H982,_,00310,100
H982__00300.100,14.721568900810858,38.069251795,H982,_,00300,100
H982__00290.100,14.708798847618135,38.070579445,H982,_,00290,100
H982__00280.100,14.69391930527402,38.07377303,H982,_,00280,100
H982__00260.100,14.68833550846069,38.064626945,H982,_,00260,100
H982__00240.100,14.7165296491767,38.078970780000006,H982,_,00240,100
H982__00230.100,14.702718116625825,38.074076489999996,H982,_,00230,100
H982__00220.100,14.697727638401687,38.07494904,H982,_,00220,100
H982__00170.100,14.699921979900974,38.078760245,H982,_,00170,100
H982__00290.1000,14.710814984243083,38.069505475,H982,_,00290,1000
H982__00340.1000,14.7150902221955,38.062759375,H982,_,00340,1000
H982__00330.1000,14.700195023604671,38.06234395,H982,_,00330,1000
H982__00280.1001,14.696389944250276,38.069076025,H982,_,00280,1001
H982__00340.1001,14.711256150658922,38.062937559999995,H982,_,00340,1001
H982__00290.1001,14.710785048510484,38.069640795,H982,_,00290,1001
H982__00290.1002,14.710635755923455,38.069384195,H982,_,00290,1002
H982__00340.1002,14.7192937564109,38.063030495,H982,_,00340,1002
H982__00330.1002,14.69999253961781,38.062119195,H982,_,00330,1002
H982__00290.1003,14.711145061057106,38.069086150000004,H982,_,00290,1003
H982__00340.1003,14.719365900759513,38.062771065,H982,_,00340,1003
H982__00330.1003,14.702774716587935,38.06419343,H982,_,00330,1003
H982__00290.1004,14.708989663436505,38.07207574,H982,_,00290,1004
H982__00340.1004,14.71430786820968,38.065223895,H982,_,00340,1004
H982__00330.1004,14.702883106762375,38.06414354,H982,_,00330,1004
H982__00290.1005,14.708942213447557,38.07227316,H982,_,00290,1005
H982__00340.1005,14.714525880891198,38.065182345,H982,_,00340,1005
H982__00280.1006,14.696517762924636,38.074584185,H982,_,00280,1006
H982__00340.1006,14.725430468251531,38.063681165000006,H982,_,00340,1006
H982__00290.1006,14.708724523712426,38.072295464999996,H982,_,00290,1006
H982__00290.1007,14.708707392870611,38.07220955,H982,_,00290,1007
H982__00340.1007,14.724762026755814,38.063247375,H982,_,00340,1007
H982__00330.1007,14.698266175805013,38.060418675,H982,_,00330,1007
H982__00290.1008,14.709421668618393,38.072450565,H982,_,00290,1008
H982__00340.1008,14.724933209616518,38.062959955,H982,_,00340,1008
H982__00330.1008,14.698115418822416,38.06021676,H982,_,00330,1008
H982__00330.1009,14.703009949819428,38.064254165,H982,_,00330,1009
H982__00340.1009,14.7246227996893,38.06289553,H982,_,00340,1009
H982__00110.101,14.70628331854873,38.087415605000004,H982,_,00110,101
H982__00440.101,14.711137714086652,38.04106573999999,H982,_,00440,101
H982__00420.101,14.692431168475569,38.044145845,H982,_,00420,101
H982__00400.101,14.729526463366795,38.0527722,H982,_,00400,101
H982__00390.101,14.720791632284937,38.054979465,H982,_,00390,101
H982__00380.101,14.708988078442538,38.056145745,H982,_,00380,101
H982__00370.101,14.700827926336583,38.05211373,H982,_,00370,101
H982__00340.101,14.713354829626915,38.066335865,H982,_,00340,101
H982__00330.101,14.70712384240764,38.065563745,H982,_,00330,101
H982__00320.101,14.695858284160405,38.05295011,H982,_,00320,101
H982__00260.101,14.688512744379853,38.064535750000005,H982,_,00260,101
H982__00240.101,14.716452954455729,38.07845998,H982,_,00240,101
H982__00230.101,14.702747834898588,38.073709935,H982,_,00230,101
H982__00220.101,14.697795641992979,38.074950575,H982,_,00220,101
H982__00290.1010,14.70920866498292,38.072612805000006,H982,_,00290,1010
H982__00340.1010,14.724125892703047,38.06274051,H982,_,00340,1010
H982__00330.1010,14.702989278753254,38.06415999,H982,_,00330,1010
H982__00280.1011,14.695621561423636,38.07001313,H982,_,00280,1011
H982__00340.1011,14.724164803512672,38.06233734,H982,_,00340,1011
H982__00330.1011,14.703009762907765,38.064133175,H982,_,00330,1011
H982__00290.1011,14.708804622467786,38.072510914999995,H982,_,00290,1011
H982__00330.1012,14.703073263703773,38.06444121,H982,_,00330,1012
H982__00340.1012,14.723972232729754,38.06208167,H982,_,00340,1012
H982__00280.1013,14.6952084732481,38.069435535,H982,_,00280,1013
H982__00340.1013,14.723821921619129,38.062007315,H982,_,00340,1013
H982__00290.1014,14.708881486485161,38.07267242,H982,_,00290,1014
H982__00340.1014,14.723634705783876,38.061914845,H982,_,00340,1014
H982__00330.1014,14.705539124068602,38.069084970000006,H982,_,00330,1014
H982__00280.1015,14.69599814148349,38.075244305,H982,_,00280,1015
H982__00330.1015,14.705432528690341,38.06498576,H982,_,00330,1015
H982__00290.1015,14.707704155019188,38.066581389999996,H982,_,00290,1015
H982__00280.1016,14.696148196605876,38.07521668,H982,_,00280,1016
H982__00340.1016,14.709512241231668,38.065185674999995,H982,_,00340,1016
H982__00330.1016,14.705976842590356,38.06933649,H982,_,00330,1016
H982__00290.1016,14.707812906233329,38.066364715000006,H982,_,00290,1016
H982__00280.1017,14.695525757861507,38.075132124999996,H982,_,00280,1017
H982__00340.1017,14.709565373273895,38.06514336,H982,_,00340,1017
H982__00290.1017,14.708049640252181,38.066454765,H982,_,00290,1017
H982__00280.1018,14.701084950360997,38.071173470000005,H982,_,00280,1018
H982__00330.1018,14.705910733189398,38.06930195,H982,_,00330,1018
H982__00290.1018,14.708296435010443,38.066372720000004,H982,_,00290,1018
H982__00280.1019,14.690489844202434,38.07696425,H982,_,00280,1019
H982__00330.1019,14.705856488008804,38.0693907,H982,_,00330,1019
H982__00290.1019,14.708372842855319,38.066359055,H982,_,00290,1019
H982__00110.102,14.708831922412985,38.09331265,H982,_,00110,102
H982__00440.102,14.722042716498793,38.030926199999996,H982,_,00440,102
H982__00400.102,14.72640097082848,38.05663969,H982,_,00400,102
H982__00390.102,14.720856876993071,38.05476088,H982,_,00390,102
H982__00380.102,14.71015009700439,38.056791495,H982,_,00380,102
