nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I019__00010.1,14.578495391794021,40.784182044999994,I019,_,00010,1
I019__00060.1,14.563157900312627,40.771141220000004,I019,_,00060,1
I019__00040.1,14.587342030142837,40.776714385,I019,_,00040,1
I019__00030.1,14.564700854868835,40.77536523,I019,_,00030,1
I019__00030.10,14.568574974396075,40.778301,I019,_,00030,10
I019__00060.10,14.566283877984382,40.7695975,I019,_,00060,10
I019__00040.10,14.587337216631681,40.776301435,I019,_,00040,10
I019__00010.100,14.581653725762639,40.780806185,I019,_,00010,100
I019__00050.100,14.58586672951002,40.771223695,I019,_,00050,100
I019__00040.100,14.5882215501228,40.775596815,I019,_,00040,100
I019__00030.100,14.575964865459186,40.774004245,I019,_,00030,100
I019__00020.100,14.595622302530593,40.77857243,I019,_,00020,100
I019__00030.1000,14.573917267207975,40.77674037,I019,_,00030,1000
I019__00060.1000,14.579307348646697,40.768217935,I019,_,00060,1000
I019__00050.1000,14.584447565343654,40.770022804999996,I019,_,00050,1000
I019__00010.1001,14.582339090955749,40.7814541,I019,_,00010,1001
I019__00060.1001,14.579168878800353,40.768005075000005,I019,_,00060,1001
I019__00050.1001,14.584453192612461,40.769856149999995,I019,_,00050,1001
I019__00030.1001,14.57408235101031,40.77675437,I019,_,00030,1001
I019__00020.1001,14.591197203939071,40.780121120000004,I019,_,00020,1001
I019__00020.1002,14.586499486476328,40.77991777,I019,_,00020,1002
I019__00050.1002,14.584458202103495,40.76971142,I019,_,00050,1002
I019__00030.1002,14.573974221519789,40.776621500000005,I019,_,00030,1002
I019__00020.1003,14.585779972900593,40.779783300000005,I019,_,00020,1003
I019__00050.1003,14.584099745600021,40.76961914,I019,_,00050,1003
I019__00030.1003,14.574077617166452,40.776643605000004,I019,_,00030,1003
I019__00030.1004,14.57399334222767,40.77652524,I019,_,00030,1004
I019__00020.1005,14.58964314125151,40.780685070000004,I019,_,00020,1005
I019__00030.1005,14.574147433777597,40.77656452,I019,_,00030,1005
I019__00020.1006,14.589603932610382,40.7805557,I019,_,00020,1006
I019__00050.1006,14.585708955690105,40.770292845,I019,_,00050,1006
I019__00050.1007,14.58954787969064,40.775845565,I019,_,00050,1007
I019__00010.1008,14.578050928538973,40.777033265,I019,_,00010,1008
I019__00030.1008,14.574435551699292,40.776585165,I019,_,00030,1008
I019__00010.1009,14.578301995451703,40.777007775,I019,_,00010,1009
I019__00050.1009,14.594469642087926,40.76951106,I019,_,00050,1009
I019__00030.101,14.576104275452325,40.773451179999995,I019,_,00030,101
I019__00050.101,14.59311681409078,40.77035608,I019,_,00050,101
I019__00040.101,14.588379913630769,40.77571735,I019,_,00040,101
I019__00030.1010,14.565965404572436,40.770832025000004,I019,_,00030,1010
I019__00050.1010,14.58518909426703,40.775380514999995,I019,_,00050,1010
I019__00010.1011,14.582228750835963,40.77801646,I019,_,00010,1011
I019__00030.1011,14.5662526467848,40.7711891,I019,_,00030,1011
I019__00010.1012,14.582548512927145,40.77750758,I019,_,00010,1012
I019__00050.1012,14.583591987323812,40.771598235,I019,_,00050,1012
I019__00030.1012,14.566248754139629,40.770935914999995,I019,_,00030,1012
I019__00010.1013,14.582452458150339,40.778035349999996,I019,_,00010,1013
I019__00050.1013,14.585803548572656,40.76574623,I019,_,00050,1013
I019__00030.1013,14.566069097881389,40.77079008,I019,_,00030,1013
I019__00020.1013,14.586043535660263,40.780165014999994,I019,_,00020,1013
I019__00020.1014,14.58627009042197,40.78022946,I019,_,00020,1014
I019__00060.1014,14.574545253654108,40.766700595,I019,_,00060,1014
I019__00050.1014,14.586974129714822,40.768212094999996,I019,_,00050,1014
I019__00030.1014,14.566446352955277,40.771118005,I019,_,00030,1014
I019__00020.1015,14.586017083063936,40.780728319999994,I019,_,00020,1015
I019__00050.1015,14.586995460466664,40.768053935,I019,_,00050,1015
I019__00030.1015,14.566431632230117,40.770864489999994,I019,_,00030,1015
I019__00010.1016,14.582915521117082,40.776931985000004,I019,_,00010,1016
I019__00030.1016,14.566245090115672,40.770668810000004,I019,_,00030,1016
I019__00020.1016,14.586237711177382,40.7807044,I019,_,00020,1016
I019__00050.1017,14.587636460802761,40.768244124999995,I019,_,00050,1017
I019__00050.1018,14.587637156894708,40.768087754999996,I019,_,00050,1018
I019__00020.1019,14.585115402836891,40.782929214999996,I019,_,00020,1019
I019__00030.1019,14.566811031802523,40.770974115,I019,_,00030,1019
I019__00030.102,14.576191089523178,40.7743292,I019,_,00030,102
I019__00040.102,14.588297379187768,40.775596815,I019,_,00040,102
I019__00030.1020,14.56639134669966,40.77056395,I019,_,00030,1020
I019__00060.1020,14.580948032569072,40.7714049,I019,_,00060,1020
I019__00050.1020,14.58715575303503,40.767935955,I019,_,00050,1020
I019__00030.1021,14.566908065975436,40.770953305,I019,_,00030,1021
I019__00060.1021,14.581286678489338,40.771439735,I019,_,00060,1021
I019__00010.1022,14.585232029032323,40.77678517,I019,_,00010,1022
I019__00060.1022,14.57311313087722,40.76798883,I019,_,00060,1022
I019__00010.1023,14.585351733418868,40.776795695000004,I019,_,00010,1023
I019__00060.1023,14.573209374424493,40.767393095,I019,_,00060,1023
I019__00050.1023,14.586690625071565,40.767949745,I019,_,00050,1023
I019__00030.1023,14.571249125471141,40.776665875,I019,_,00030,1023
I019__00020.1023,14.58928492774438,40.782175955,I019,_,00020,1023
I019__00030.1024,14.565805019252057,40.77341766,I019,_,00030,1024
I019__00060.1024,14.581122581662134,40.771126675,I019,_,00060,1024
I019__00050.1024,14.586808385509825,40.767988105,I019,_,00050,1024
I019__00010.1025,14.585477567388521,40.776806795,I019,_,00010,1025
I019__00050.1025,14.595357723686966,40.771441055,I019,_,00050,1025
I019__00020.1025,14.593174036290307,40.77962496,I019,_,00020,1025
I019__00010.1026,14.582787715097293,40.776684085,I019,_,00010,1026
I019__00050.1026,14.589301784755627,40.76918863,I019,_,00050,1026
I019__00020.1026,14.58692758901463,40.780243595,I019,_,00020,1026
I019__00020.1027,14.586873171217494,40.78072998,I019,_,00020,1027
I019__00020.1028,14.586824375720122,40.780232850000004,I019,_,00020,1028
I019__00060.1028,14.5753738773743,40.76943813,I019,_,00060,1028
I019__00010.1029,14.581843875171463,40.77904529,I019,_,00010,1029
I019__00060.1029,14.57496554046513,40.769514314999995,I019,_,00060,1029
I019__00050.1029,14.590242497904686,40.771428330000006,I019,_,00050,1029
I019__00030.1029,14.57155397610528,40.773705750000005,I019,_,00030,1029
I019__00020.1029,14.594542072912187,40.782045894999996,I019,_,00020,1029
I019__00040.103,14.588117819313595,40.775469404999996,I019,_,00040,103
I019__00060.103,14.56974584096604,40.76808208,I019,_,00060,103
I019__00020.1030,14.594918246724045,40.78228362,I019,_,00020,1030
I019__00060.1030,14.57538509549256,40.767676335000004,I019,_,00060,1030
I019__00050.1030,14.59324838277474,40.770222575,I019,_,00050,1030
I019__00030.1030,14.569068110464269,40.774957055,I019,_,00030,1030
I019__00030.1031,14.57204456887553,40.77544648,I019,_,00030,1031
I019__00060.1031,14.575471510106038,40.767680874999996,I019,_,00060,1031
I019__00050.1031,14.59341082294015,40.769924785,I019,_,00050,1031
I019__00010.1032,14.583056205336899,40.77743201,I019,_,00010,1032
I019__00060.1032,14.575553458101886,40.76767504,I019,_,00060,1032
I019__00050.1032,14.593629785144495,40.769853205000004,I019,_,00050,1032
I019__00030.1032,14.564027378410401,40.77326362,I019,_,00030,1032
I019__00020.1032,14.59528083065323,40.781678185000004,I019,_,00020,1032
I019__00030.1033,14.56402858566349,40.77346497,I019,_,00030,1033
I019__00050.1033,14.593324138630525,40.778822039999994,I019,_,00050,1033
I019__00010.1034,14.58258983341425,40.776738325,I019,_,00010,1034
I019__00060.1034,14.575375256873048,40.76752205,I019,_,00060,1034
I019__00030.1034,14.564006059094144,40.773726429999996,I019,_,00030,1034
I019__00020.1034,14.595363863084398,40.782555450000004,I019,_,00020,1034
I019__00010.1035,14.584040147457603,40.777286845,I019,_,00010,1035
I019__00060.1035,14.575461699678321,40.767524570000006,I019,_,00060,1035
I019__00030.1035,14.564224073766887,40.773599105,I019,_,00030,1035
I019__00020.1035,14.59503687997355,40.782038445,I019,_,00020,1035
I019__00020.1036,14.594817181995106,40.782424160000005,I019,_,00020,1036
I019__00060.1036,14.575452449166892,40.767385469999994,I019,_,00060,1036
I019__00030.1036,14.564662976056908,40.773626594999996,I019,_,00030,1036
I019__00010.1037,14.57935302960672,40.778309469999996,I019,_,00010,1037
I019__00060.1037,14.57554407436189,40.76752613,I019,_,00060,1037
I019__00050.1037,14.595679183717323,40.773951600000004,I019,_,00050,1037
I019__00030.1037,14.56963548851214,40.775051335,I019,_,00030,1037
I019__00020.1037,14.59455165458921,40.78238712,I019,_,00020,1037
I019__00020.1038,14.594887449842536,40.781562905,I019,_,00020,1038
I019__00050.1038,14.59007549336248,40.777230315,I019,_,00050,1038
I019__00020.1039,14.595148188280499,40.781235165,I019,_,00020,1039
I019__00060.1039,14.563154905038601,40.7707466,I019,_,00060,1039
I019__00040.104,14.588168569730161,40.77551824,I019,_,00040,104
I019__00060.104,14.570186000652084,40.768292425,I019,_,00060,104
I019__00050.104,14.59027609545651,40.77026117,I019,_,00050,104
I019__00020.1040,14.597885997199212,40.782330130000005,I019,_,00020,1040
I019__00060.1040,14.574483339405031,40.769967525,I019,_,00060,1040
I019__00050.1040,14.589967943491931,40.770901505,I019,_,00050,1040
I019__00020.1041,14.597172685218716,40.782514295,I019,_,00020,1041
I019__00010.1042,14.578588701674423,40.78311676,I019,_,00010,1042
I019__00020.1042,14.587983199926665,40.77978427,I019,_,00020,1042
I019__00010.1043,14.58017222500649,40.78106316,I019,_,00010,1043
I019__00060.1043,14.5746652061861,40.770256445,I019,_,00060,1043
I019__00050.1043,14.5923235243857,40.77139227,I019,_,00050,1043
I019__00020.1043,14.588148790512582,40.77981261,I019,_,00020,1043
I019__00010.1044,14.580133610011679,40.781273475,I019,_,00010,1044
I019__00050.1044,14.594767032493973,40.774099515,I019,_,00050,1044
I019__00050.1045,14.594968812158562,40.773987965,I019,_,00050,1045
I019__00060.1045,14.57490781325275,40.770039935,I019,_,00060,1045
I019__00010.1046,14.584504557396711,40.77692354,I019,_,00010,1046
I019__00050.1046,14.59500166730487,40.7742858,I019,_,00050,1046
I019__00020.1046,14.58926181533706,40.779524645,I019,_,00020,1046
I019__00010.1047,14.584367654012913,40.777030935,I019,_,00010,1047
I019__00060.1047,14.574650910239919,40.770051725,I019,_,00060,1047
I019__00050.1047,14.595352219739647,40.774329460000004,I019,_,00050,1047
I019__00020.1047,14.58911193210954,40.77949893,I019,_,00020,1047
I019__00010.1048,14.575970071066159,40.77852589,I019,_,00010,1048
I019__00020.1048,14.588899851777871,40.779474955,I019,_,00020,1048
I019__00010.1049,14.579082571812432,40.77691900000001,I019,_,00010,1049
I019__00060.1049,14.574552563657665,40.76997,I019,_,00060,1049
I019__00050.1049,14.595087385354038,40.773899475,I019,_,00050,1049
I019__00020.1049,14.588852553803576,40.77915344,I019,_,00020,1049
I019__00010.105,14.583136264365066,40.778977819999994,I019,_,00010,105
I019__00040.105,14.588251894939297,40.775570915,I019,_,00040,105
I019__00010.1050,14.580848959321273,40.77803581,I019,_,00010,1050
I019__00020.1050,14.589331193797438,40.778970400000006,I019,_,00020,1050
I019__00010.1051,14.580650416714935,40.77901218,I019,_,00010,1051
I019__00060.1051,14.574353965798995,40.77019626,I019,_,00060,1051
I019__00020.1051,14.589441892626734,40.779542715000005,I019,_,00020,1051
I019__00010.1052,14.581048539695585,40.777151165,I019,_,00010,1052
I019__00060.1052,14.57451486606584,40.77023656,I019,_,00060,1052
I019__00050.1052,14.58961856552127,40.772184499999995,I019,_,00050,1052
I019__00020.1052,14.589146612953222,40.778964815,I019,_,00020,1052
I019__00020.1053,14.589129168139062,40.77926742,I019,_,00020,1053
I019__00060.1053,14.574356596024145,40.76996455,I019,_,00060,1053
I019__00050.1053,14.589475206117552,40.772013709999996,I019,_,00050,1053
I019__00010.1054,14.5780327532662,40.778791205000005,I019,_,00010,1054
I019__00050.1054,14.589330209103238,40.771969775,I019,_,00050,1054
I019__00020.1054,14.58921222664561,40.778550465,I019,_,00020,1054
I019__00010.1055,14.581577849006683,40.783355365,I019,_,00010,1055
I019__00020.1055,14.58894201419854,40.778897125,I019,_,00020,1055
I019__00010.1056,14.581553735013618,40.783190219999994,I019,_,00010,1056
I019__00020.1056,14.589036607855718,40.77924879,I019,_,00020,1056
I019__00010.1057,14.578345081581062,40.78071828,I019,_,00010,1057
I019__00060.1057,14.581869141447097,40.769051265,I019,_,00060,1057
I019__00050.1057,14.58892002098925,40.77185522,I019,_,00050,1057
I019__00010.1058,14.578162140086388,40.780768710000004,I019,_,00010,1058
I019__00050.1058,14.593121546412936,40.77268474,I019,_,00050,1058
I019__00010.1059,14.581467156953437,40.781459510000005,I019,_,00010,1059
I019__00060.1059,14.581835648225454,40.769156775,I019,_,00060,1059
I019__00050.1059,14.593103980162109,40.772855844999995,I019,_,00050,1059
I019__00040.106,14.58827586498611,40.77553615,I019,_,00040,106
I019__00060.106,14.570457070190876,40.768146165000005,I019,_,00060,106
I019__00050.106,14.582673410378433,40.771339365,I019,_,00050,106
I019__00010.1060,14.581447328095411,40.781596379999996,I019,_,00010,1060
I019__00050.1060,14.592580207393132,40.77270017,I019,_,00050,1060
I019__00020.1060,14.587522965680744,40.780853484999994,I019,_,00020,1060
I019__00010.1061,14.57554257533192,40.777548395,I019,_,00010,1061
I019__00060.1061,14.582299197690977,40.769175785,I019,_,00060,1061
I019__00020.1061,14.595610329293358,40.781141435,I019,_,00020,1061
I019__00050.1062,14.592443735034127,40.777983905,I019,_,00050,1062
I019__00060.1062,14.58240266729982,40.769266540000004,I019,_,00060,1062
I019__00010.1063,14.581795907094035,40.77878836,I019,_,00010,1063
I019__00060.1063,14.581782936861059,40.769658855,I019,_,00060,1063
I019__00020.1063,14.595772510683513,40.78152518,I019,_,00020,1063
I019__00010.1065,14.58137606770632,40.77875104,I019,_,00010,1065
I019__00020.1065,14.598909002804707,40.78113645,I019,_,00020,1065
I019__00010.1066,14.5793026179738,40.776839885,I019,_,00010,1066
I019__00050.1066,14.584985931235678,40.775241285,I019,_,00050,1066
I019__00020.1066,14.598815604913423,40.78130322,I019,_,00020,1066
I019__00010.1067,14.578811061008318,40.778691429999995,I019,_,00010,1067
I019__00050.1067,14.584991331186131,40.77516414,I019,_,00050,1067
I019__00020.1067,14.59715785505215,40.77687702,I019,_,00020,1067
I019__00010.1068,14.57862204393664,40.778579719999996,I019,_,00010,1068
I019__00060.1068,14.578428273000036,40.767366765000006,I019,_,00060,1068
I019__00050.1068,14.594299239897323,40.771193685,I019,_,00050,1068
I019__00010.1069,14.583265595273051,40.778138584999994,I019,_,00010,1069
I019__00050.1069,14.594172555154508,40.771044720000006,I019,_,00050,1069
I019__00020.1069,14.597046985826896,40.77702162,I019,_,00020,1069
I019__00010.107,14.583410855986102,40.777331875,I019,_,00010,107
I019__00060.107,14.57069907936732,40.76818851,I019,_,00060,107
I019__00050.107,14.584936669584257,40.770442114999994,I019,_,00050,107
I019__00040.107,14.588368379002237,40.77556288,I019,_,00040,107
I019__00030.107,14.57703134512824,40.772711875,I019,_,00030,107
I019__00010.1070,14.583682181981557,40.778143515,I019,_,00010,1070
I019__00060.1070,14.579069429620628,40.766334035,I019,_,00060,1070
I019__00020.1070,14.595997897855106,40.781001745,I019,_,00020,1070
I019__00010.1071,14.583693335036633,40.777806175,I019,_,00010,1071
I019__00020.1071,14.59607215172392,40.7810295,I019,_,00020,1071
I019__00010.1072,14.58396206276314,40.777862925,I019,_,00010,1072
I019__00010.1073,14.583612683801713,40.777699165,I019,_,00010,1073
I019__00020.1074,14.594114207610588,40.779183634999995,I019,_,00020,1074
I019__00010.1075,14.58354288749981,40.77785121,I019,_,00010,1075
I019__00020.1075,14.594149116581324,40.77905983,I019,_,00020,1075
I019__00020.1076,14.59029990378582,40.78300443,I019,_,00020,1076
I019__00010.1078,14.578630553001052,40.778079795,I019,_,00010,1078
I019__00030.1078,14.57304138280552,40.777550805000004,I019,_,00030,1078
I019__00020.1078,14.59028235346216,40.78276467,I019,_,00020,1078
