nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I107__00020.1,11.658581649586289,45.64015487499999,I107,_,00020,1
I107__00180.1,11.675841051320567,45.601794514999995,I107,_,00180,1
I107__00170.1,11.66757070668195,45.602542619999994,I107,_,00170,1
I107__00160.1,11.643610816654657,45.59892867,I107,_,00160,1
I107__00150.1,11.683046583851535,45.608305205,I107,_,00150,1
I107__00120.1,11.648028466092843,45.606338795,I107,_,00120,1
I107__00100.1,11.674296984546533,45.6185026,I107,_,00100,1
I107__00090.1,11.657887604119695,45.618720045,I107,_,00090,1
I107__00080.1,11.655430924037198,45.617725875,I107,_,00080,1
I107__00070.1,11.650535622390251,45.622518639999996,I107,_,00070,1
I107__00040.1,11.647219333751952,45.6290338,I107,_,00040,1
I107__00030.1,11.669046761492899,45.639565285,I107,_,00030,1
I107__00020.10,11.661572993626603,45.63757672,I107,_,00020,10
I107__00200.10,11.693103545895347,45.594129710000004,I107,_,00200,10
I107__00170.10,11.673124062156202,45.60141288,I107,_,00170,10
I107__00160.10,11.64844184991587,45.596303235,I107,_,00160,10
I107__00110.10,11.669471234645265,45.614279705,I107,_,00110,10
I107__00090.10,11.661988707621195,45.619447855,I107,_,00090,10
I107__00050.10,11.662136686469388,45.627354034999996,I107,_,00050,10
I107__00040.10,11.652902235802854,45.628243205000004,I107,_,00040,10
I107__00030.10,11.668845784752794,45.639486340000005,I107,_,00030,10
I107__00030.100,11.67555083892632,45.640695435,I107,_,00030,100
I107__00200.100,11.693410568638036,45.593080154999996,I107,_,00200,100
I107__00180.100,11.687719948423602,45.599116605,I107,_,00180,100
I107__00170.100,11.6747670676369,45.59274955,I107,_,00170,100
I107__00160.100,11.658495692589925,45.595005165,I107,_,00160,100
I107__00110.100,11.679439034296632,45.612024965,I107,_,00110,100
I107__00100.100,11.690367695346406,45.612834635,I107,_,00100,100
I107__00060.100,11.678801714997768,45.62163684,I107,_,00060,100
I107__00050.100,11.672562373628562,45.621632925,I107,_,00050,100
I107__00040.100,11.647370624041935,45.627493955,I107,_,00040,100
I107__00050.1001,11.66595994336644,45.618824860000004,I107,_,00050,1001
I107__00090.1001,11.665883268506711,45.616382585,I107,_,00090,1001
I107__00050.1002,11.66647820385073,45.61873636,I107,_,00050,1002
I107__00090.1002,11.664877345457416,45.616206305000006,I107,_,00090,1002
I107__00050.1003,11.669393804090909,45.61593354,I107,_,00050,1003
I107__00090.1003,11.665776281013404,45.616115745,I107,_,00090,1003
I107__00050.1004,11.669249211578517,45.616599245,I107,_,00050,1004
I107__00140.1004,11.68098985371245,45.602311185,I107,_,00140,1004
I107__00090.1004,11.665681445041674,45.615957179999995,I107,_,00090,1004
I107__00050.1005,11.669435348959247,45.616155705,I107,_,00050,1005
I107__00090.1005,11.665768945676259,45.61624726,I107,_,00090,1005
I107__00050.1006,11.67073283965664,45.615699910000004,I107,_,00050,1006
I107__00090.1006,11.66600871179717,45.618016875,I107,_,00090,1006
I107__00050.1007,11.672987876197386,45.618428945000005,I107,_,00050,1007
I107__00090.1007,11.666202286938894,45.618048779999995,I107,_,00090,1007
I107__00050.1008,11.672996798374792,45.618295090000004,I107,_,00050,1008
I107__00140.1008,11.684870927489625,45.60288759,I107,_,00140,1008
I107__00090.1008,11.666148442165403,45.61777639,I107,_,00090,1008
I107__00090.1009,11.666339856898077,45.61784365,I107,_,00090,1009
I107__00140.1009,11.675081529977742,45.60960677,I107,_,00140,1009
I107__00030.101,11.675552201400759,45.64042139,I107,_,00030,101
I107__00200.101,11.693655167787142,45.593102349999995,I107,_,00200,101
I107__00190.101,11.70080025599674,45.603219265,I107,_,00190,101
I107__00180.101,11.687601204638934,45.598435269999996,I107,_,00180,101
I107__00170.101,11.67140339541207,45.594624525,I107,_,00170,101
I107__00150.101,11.697322063033834,45.60376273,I107,_,00150,101
I107__00140.101,11.680320634823415,45.605535965,I107,_,00140,101
I107__00130.101,11.665342599200965,45.60208739,I107,_,00130,101
I107__00110.101,11.67259279420308,45.61172748,I107,_,00110,101
I107__00090.101,11.665124154906236,45.612707725,I107,_,00090,101
I107__00060.101,11.679418706116376,45.62163684,I107,_,00060,101
I107__00040.101,11.648417439515962,45.626291685,I107,_,00040,101
I107__00090.1010,11.665926540802598,45.618365085,I107,_,00090,1010
I107__00140.1010,11.67495114498209,45.609319355,I107,_,00140,1010
I107__00050.1011,11.668062958744414,45.625096805,I107,_,00050,1011
I107__00090.1011,11.668565229688989,45.61188733,I107,_,00090,1011
I107__00050.1012,11.668039479231094,45.624749425,I107,_,00050,1012
I107__00140.1012,11.673706300694237,45.606202615,I107,_,00140,1012
I107__00090.1013,11.666969085392545,45.615745974999996,I107,_,00090,1013
I107__00140.1013,11.672475158459239,45.608190765,I107,_,00140,1013
I107__00050.1014,11.66811450037004,45.62533679,I107,_,00050,1014
I107__00140.1014,11.683849324629056,45.60205811,I107,_,00140,1014
I107__00090.1014,11.66364223629008,45.61635338000001,I107,_,00090,1014
I107__00050.1015,11.671049609942308,45.621732890000004,I107,_,00050,1015
I107__00140.1015,11.683573954716424,45.60205811,I107,_,00140,1015
I107__00090.1015,11.663946932675927,45.616358465000005,I107,_,00090,1015
I107__00050.1016,11.671743206239649,45.62162671,I107,_,00050,1016
I107__00090.1016,11.664371569390944,45.61635326,I107,_,00090,1016
I107__00090.1017,11.664714898990585,45.616343805,I107,_,00090,1017
I107__00050.1018,11.670872660704523,45.62131411,I107,_,00050,1018
I107__00140.1018,11.667598284218837,45.60714436,I107,_,00140,1018
I107__00090.1018,11.664965415362978,45.61595765,I107,_,00090,1018
I107__00090.1019,11.665266984934782,45.615948955,I107,_,00090,1019
