nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I164__00010.1,16.494630484368574,38.643773235,I164,_,00010,1
I164__00390.1,16.42868341391074,38.60306876,I164,_,00390,1
I164__00380.1,16.469266196544886,38.607780385,I164,_,00380,1
I164__00370.1,16.4627139494133,38.602347445,I164,_,00370,1
I164__00360.1,16.46559712914824,38.61082535,I164,_,00360,1
I164__00350.1,16.449735345389783,38.60803049,I164,_,00350,1
I164__00330.1,16.485914408248277,38.622067810000004,I164,_,00330,1
I164__00320.1,16.473994483302278,38.616177230000005,I164,_,00320,1
I164__00310.1,16.46628458625469,38.621435965,I164,_,00310,1
I164__00300.1,16.456501825473918,38.61953349,I164,_,00300,1
I164__00290.1,16.450182043411097,38.61959263,I164,_,00290,1
I164__00280.1,16.492309862800973,38.6245454,I164,_,00280,1
I164__00270.1,16.478981688797745,38.62907123,I164,_,00270,1
I164__00260.1,16.464450456778575,38.627783435,I164,_,00260,1
I164__00250.1,16.505483868335542,38.63269029,I164,_,00250,1
I164__00240.1,16.49985159285948,38.63250307,I164,_,00240,1
I164__00230.1,16.490931827126758,38.63245682,I164,_,00230,1
I164__00220.1,16.4935617763901,38.635489795,I164,_,00220,1
I164__00210.1,16.48370865443415,38.633510044999994,I164,_,00210,1
I164__00200.1,16.476253792834857,38.634424159999995,I164,_,00200,1
I164__00190.1,16.513746823717486,38.636701925,I164,_,00190,1
I164__00180.1,16.510771805313944,38.637215555,I164,_,00180,1
I164__00170.1,16.50621069466986,38.63824982,I164,_,00170,1
I164__00160.1,16.50222896895228,38.63905274,I164,_,00160,1
I164__00150.1,16.498822800827675,38.63917907,I164,_,00150,1
I164__00140.1,16.49379031993457,38.640736919999995,I164,_,00140,1
I164__00130.1,16.49107866579618,38.641487319999996,I164,_,00130,1
I164__00120.1,16.485898326609835,38.63726631,I164,_,00120,1
I164__00110.1,16.482708184678884,38.641442385000005,I164,_,00110,1
I164__00100.1,16.55360251241548,38.64673446,I164,_,00100,1
I164__00090.1,16.55160353817753,38.65418394,I164,_,00090,1
I164__00080.1,16.54990532966535,38.654142039999996,I164,_,00080,1
I164__00070.1,16.53180443766891,38.649003910000005,I164,_,00070,1
I164__00050.1,16.505103100776296,38.64291337,I164,_,00050,1
I164__00040.1,16.52030925945229,38.65032538,I164,_,00040,1
