nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I255__00010.1,11.859571300015373,42.07699839,I255,_,00010,1
I255__00270.1,11.971110881124066,42.004414825,I255,_,00270,1
I255__00260.1,12.009560569137822,42.02701247,I255,_,00260,1
I255__00250.1,11.987958858478514,42.01278476,I255,_,00250,1
I255__00240.1,11.979099100233904,42.016959015,I255,_,00240,1
I255__00230.1,11.966202003829393,42.02180086,I255,_,00230,1
I255__00220.1,11.959636166690995,42.024254209999995,I255,_,00220,1
I255__00210.1,11.941023440499036,42.03081803,I255,_,00210,1
I255__00200.1,11.91718656472943,42.038772565,I255,_,00200,1
I255__00190.1,11.870922224996747,42.037296395,I255,_,00190,1
I255__00180.1,11.86357963717946,42.035692420000004,I255,_,00180,1
I255__00170.1,11.84627021425316,42.03464643,I255,_,00170,1
I255__00150.1,11.832979684980511,42.032994705,I255,_,00150,1
I255__00130.1,11.88574385181459,42.04797393,I255,_,00130,1
I255__00120.1,11.875410406431241,42.047101749999996,I255,_,00120,1
I255__00110.1,11.856710375127047,42.04916445,I255,_,00110,1
I255__00070.1,11.899738169247978,42.06813074,I255,_,00070,1
I255__00060.1,11.885672807049247,42.062957960000006,I255,_,00060,1
I255__00050.1,11.838576035429803,42.060288405,I255,_,00050,1
I255__00040.1,11.828233399089441,42.060560159999994,I255,_,00040,1
I255__00030.1,11.891276774985299,42.080932675,I255,_,00030,1
I255__00030.10,11.886562846843816,42.076031515,I255,_,00030,10
I255__00270.10,11.970627635612459,42.009422905,I255,_,00270,10
I255__00260.10,12.010831710905496,42.001488815,I255,_,00260,10
I255__00220.10,11.952384738468247,42.02234708,I255,_,00220,10
I255__00210.10,11.9434029314795,42.02749764,I255,_,00210,10
I255__00190.10,11.874703355115585,42.03729287,I255,_,00190,10
I255__00180.10,11.864166280998695,42.03564687,I255,_,00180,10
I255__00160.10,11.840511096484418,42.03603465,I255,_,00160,10
I255__00150.10,11.839178129118672,42.031235735,I255,_,00150,10
I255__00140.10,11.90902491718013,42.04474189,I255,_,00140,10
I255__00130.10,11.888921357069169,42.04765195,I255,_,00130,10
I255__00110.10,11.85508223742795,42.040438859999995,I255,_,00110,10
I255__00100.10,11.849705835930685,42.036080240000004,I255,_,00100,10
I255__00090.10,11.839162429176147,42.036505434999995,I255,_,00090,10
I255__00080.10,11.827087098995044,42.043653675,I255,_,00080,10
I255__00070.10,11.904733661079394,42.06166863999999,I255,_,00070,10
I255__00060.10,11.866737539951492,42.05809082,I255,_,00060,10
I255__00050.10,11.848467976197941,42.052066775,I255,_,00050,10
I255__00040.10,11.819320713195008,42.056610765,I255,_,00040,10
I255__00010.100,11.858340463921783,42.066702385,I255,_,00010,100
I255__00230.100,11.958931585753806,42.016025185000004,I255,_,00230,100
I255__00220.100,11.956825952408542,42.02256996,I255,_,00220,100
I255__00210.100,11.937888343527419,42.02877248,I255,_,00210,100
I255__00200.100,11.930137141839179,42.03319806499999,I255,_,00200,100
I255__00190.100,11.867736210114554,42.03577966,I255,_,00190,100
I255__00180.100,11.864140575798412,42.033992235,I255,_,00180,100
I255__00160.100,11.843121242826328,42.031971075,I255,_,00160,100
I255__00150.100,11.840025348796498,42.030590294999996,I255,_,00150,100
I255__00140.100,11.90873909296988,42.04232528,I255,_,00140,100
I255__00130.100,11.900455469670016,42.040604735,I255,_,00130,100
I255__00080.100,11.830617727010704,42.042012065,I255,_,00080,100
I255__00070.100,11.90315921738702,42.055814749999996,I255,_,00070,100
I255__0006.100,11.867418757253004,42.05271123,I255,_,0006,100
I255__00020.100,11.878720542649575,42.064801259999996,I255,_,00020,100
I255__0006.1000,11.868875434864444,42.046173495000005,I255,_,0006,1000
I255__00210.1000,11.950625039195089,42.027458655000004,I255,_,00210,1000
I255__00110.1000,11.857056976335965,42.03562319,I255,_,00110,1000
I255__00100.1000,11.846966360343739,42.03698496,I255,_,00100,1000
I255__00090.1000,11.837862615883287,42.038056745,I255,_,00090,1000
I255__00080.1000,11.824339776573652,42.051350709999994,I255,_,00080,1000
I255__0006.1001,11.870742794875623,42.04562894,I255,_,0006,1001
I255__00210.1001,11.94293357492477,42.029216755,I255,_,00210,1001
I255__00110.1001,11.856917977232413,42.03569427,I255,_,00110,1001
I255__00100.1001,11.846878856417236,42.03698496,I255,_,00100,1001
I255__00090.1001,11.837743627332475,42.03813417,I255,_,00090,1001
I255__00080.1001,11.824429179398615,42.05142519,I255,_,00080,1001
I255__0006.1002,11.871053708732806,42.046039815,I255,_,0006,1002
I255__00210.1002,11.943348851360504,42.02916962,I255,_,00210,1002
I255__00110.1002,11.857118788571345,42.035548410000004,I255,_,00110,1002
I255__00100.1002,11.846442251151199,42.037995895,I255,_,00100,1002
I255__00090.1002,11.837952677173913,42.03828199,I255,_,00090,1002
I255__00080.1002,11.824552011511695,42.05152024,I255,_,00080,1002
I255__00090.1003,11.837958351871755,42.037998314999996,I255,_,00090,1003
I255__00220.1003,11.954389813784976,42.022176635,I255,_,00220,1003
I255__00210.1003,11.94344828130805,42.028943215,I255,_,00210,1003
I255__00150.1003,11.835809143200287,42.032217155,I255,_,00150,1003
I255__00110.1003,11.85597476007512,42.03681889,I255,_,00110,1003
I255__00100.1003,11.846899357898494,42.036114104999996,I255,_,00100,1003
I255__00080.1004,11.826348750459971,42.049572465,I255,_,00080,1004
I255__00220.1004,11.948640998849065,42.02453766,I255,_,00220,1004
I255__00120.1004,11.874346092726629,42.044861585,I255,_,00120,1004
I255__00110.1004,11.85574676573082,42.036606785000004,I255,_,00110,1004
I255__00100.1004,11.847538735983242,42.035388955,I255,_,00100,1004
I255__00090.1004,11.83811660727369,42.03802523,I255,_,00090,1004
I255__0006.1005,11.871046783465111,42.04489866,I255,_,0006,1005
I255__00210.1005,11.952529610442763,42.025593945,I255,_,00210,1005
I255__00120.1005,11.87448423671293,42.044866459999994,I255,_,00120,1005
I255__00110.1005,11.855884295347252,42.03633843,I255,_,00110,1005
I255__00100.1005,11.846718380005814,42.03631179,I255,_,00100,1005
I255__00090.1005,11.838075241880656,42.038247895,I255,_,00090,1005
I255__00080.1005,11.827422279646218,42.04959251,I255,_,00080,1005
I255__0006.1006,11.868632111197073,42.04626286,I255,_,0006,1006
I255__00220.1006,11.952339819297963,42.02084483,I255,_,00220,1006
I255__00210.1006,11.952565064897804,42.02571652,I255,_,00210,1006
I255__00120.1006,11.87224076789931,42.044590095000004,I255,_,00120,1006
I255__00100.1006,11.850835339497412,42.041432485,I255,_,00100,1006
I255__00090.1006,11.83609773649859,42.0355953,I255,_,00090,1006
I255__0006.1007,11.868639775811864,42.0459575,I255,_,0006,1007
I255__00220.1007,11.949647959296234,42.024216925,I255,_,00220,1007
I255__00210.1007,11.952568782676385,42.02547447,I255,_,00210,1007
I255__00110.1007,11.859636024116561,42.040309449999995,I255,_,00110,1007
I255__00100.1007,11.851035638831913,42.041709865,I255,_,00100,1007
I255__00090.1007,11.83570186816539,42.035601314999994,I255,_,00090,1007
I255__0006.1008,11.86891297474313,42.04618859,I255,_,0006,1008
I255__00210.1008,11.943940580697745,42.02605946,I255,_,00210,1008
I255__00110.1008,11.860317603114117,42.03722309,I255,_,00110,1008
I255__00100.1008,11.846510500912698,42.036510480000004,I255,_,00100,1008
I255__00090.1008,11.835622589495584,42.03569786,I255,_,00090,1008
I255__0006.1009,11.869403166575989,42.045840999999996,I255,_,0006,1009
I255__00210.1009,11.952765648800945,42.026066345000004,I255,_,00210,1009
I255__00150.1009,11.836660472874229,42.029563165,I255,_,00150,1009
I255__00110.1009,11.86053430022788,42.037242160000005,I255,_,00110,1009
I255__00100.1009,11.846571857136762,42.036678265,I255,_,00100,1009
