nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I417__00010.1,11.816796016435436,45.805668795,I417,_,00010,1
I417__00180.1,11.843760454291534,45.752201819999996,I417,_,00180,1
I417__00170.1,11.839889118616115,45.753827495,I417,_,00170,1
I417__00150.1,11.831999449856228,45.758207365000004,I417,_,00150,1
I417__00140.1,11.853812539232054,45.767907515000005,I417,_,00140,1
I417__00130.1,11.83136979945272,45.77028004,I417,_,00130,1
I417__00120.1,11.855045535052554,45.779762605,I417,_,00120,1
I417__00110.1,11.842634758982241,45.778122894999996,I417,_,00110,1
I417__00100.1,11.829151371488447,45.77763058,I417,_,00100,1
I417__00090.1,11.85080960343461,45.794102249999995,I417,_,00090,1
I417__00070.1,11.828406605857264,45.79051734,I417,_,00070,1
I417__00060.1,11.836327544952743,45.805457415,I417,_,00060,1
I417__00050.1,11.824080249092328,45.80534718,I417,_,00050,1
I417__00040.1,11.822394475079026,45.774352205,I417,_,00040,1
I417__00030.1,11.815189782853206,45.789920325,I417,_,00030,1
I417__00020.1,11.811201748367118,45.796617675,I417,_,00020,1
I417__00010.10,11.806165461818413,45.80614107,I417,_,00010,10
I417__00160.10,11.854205909320113,45.760354375000006,I417,_,00160,10
I417__00140.10,11.847722277179045,45.76621577,I417,_,00140,10
I417__00130.10,11.832716506604147,45.770315955,I417,_,00130,10
I417__00120.10,11.852952363898243,45.779580825,I417,_,00120,10
I417__00100.10,11.833361111262459,45.778511365,I417,_,00100,10
I417__00090.10,11.846975078730317,45.791644070000004,I417,_,00090,10
I417__00080.10,11.83586579139845,45.78897851,I417,_,00080,10
I417__00070.10,11.831132312366613,45.79131254,I417,_,00070,10
I417__00060.10,11.839046440314743,45.805453465,I417,_,00060,10
I417__00040.10,11.82633081221773,45.77568468,I417,_,00040,10
I417__00020.10,11.81575367993917,45.79774367,I417,_,00020,10
I417__00010.100,11.812187170925665,45.79811404,I417,_,00010,100
I417__00150.100,11.842901477125864,45.75442425,I417,_,00150,100
I417__00120.100,11.856210585558948,45.772797174999994,I417,_,00120,100
I417__00080.100,11.844122781780747,45.788532814999996,I417,_,00080,100
I417__00070.100,11.832519986419996,45.78510962,I417,_,00070,100
I417__00060.100,11.83909330546839,45.799851395000005,I417,_,00060,100
I417__00050.100,11.82770795739546,45.800709455,I417,_,00050,100
I417__00020.100,11.820788755550122,45.795949745,I417,_,00020,100
I417__00050.1000,11.830872759772035,45.791923615,I417,_,00050,1000
I417__00180.1000,11.847014601166553,45.75413246,I417,_,00180,1000
I417__00150.1000,11.844158654005193,45.75558762,I417,_,00150,1000
I417__00130.1000,11.838461032209203,45.768815270000005,I417,_,00130,1000
I417__00110.1000,11.848286788959541,45.77834154,I417,_,00110,1000
I417__00090.1000,11.853147670179988,45.783262910000005,I417,_,00090,1000
I417__00070.1000,11.836312800744043,45.783138019999996,I417,_,00070,1000
I417__00030.1001,11.823978939781433,45.77903832,I417,_,00030,1001
I417__00180.1001,11.847243467904175,45.754199125,I417,_,00180,1001
I417__00160.1001,11.862999026576436,45.75524863,I417,_,00160,1001
I417__00150.1001,11.844251882613808,45.755598615,I417,_,00150,1001
I417__00130.1001,11.839049443507223,45.768752555,I417,_,00130,1001
I417__00120.1001,11.85999219930609,45.769256185,I417,_,00120,1001
I417__00110.1001,11.84265421496736,45.776445205,I417,_,00110,1001
I417__00090.1001,11.84646151921067,45.790932065,I417,_,00090,1001
I417__00070.1001,11.82902590084289,45.785764,I417,_,00070,1001
I417__00050.1001,11.830643299500242,45.7923774,I417,_,00050,1001
I417__00030.1002,11.825433582328248,45.779226455,I417,_,00030,1002
I417__00180.1002,11.847476932385462,45.754262170000004,I417,_,00180,1002
I417__00160.1002,11.855118083826413,45.75569924,I417,_,00160,1002
I417__00150.1002,11.844447913124334,45.755652330000004,I417,_,00150,1002
I417__00130.1002,11.8406356872429,45.771005675,I417,_,00130,1002
I417__00120.1002,11.860102052631916,45.768903555,I417,_,00120,1002
I417__00110.1002,11.843838004152026,45.777103765,I417,_,00110,1002
I417__00090.1002,11.846585225031198,45.7909097,I417,_,00090,1002
I417__00070.1002,11.828906955559372,45.785515919999995,I417,_,00070,1002
I417__00050.1002,11.835705553743175,45.79613726,I417,_,00050,1002
I417__00030.1003,11.823362540884709,45.77922252,I417,_,00030,1003
