nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I429__00010.1,8.928632427910145,44.78734918000001,I429,_,00010,1
I429__00140.1,8.884412227136083,44.749593495,I429,_,00140,1
I429__00130.1,8.894270101113381,44.753342175,I429,_,00130,1
I429__00120.1,8.887635181739991,44.76300876,I429,_,00120,1
I429__00110.1,8.889398804715832,44.76328646,I429,_,00110,1
I429__00100.1,8.899974541799757,44.75733487,I429,_,00100,1
I429__00090.1,8.912848559609184,44.7614605,I429,_,00090,1
I429__00080.1,8.896938091981397,44.76114558,I429,_,00080,1
I429__00060.1,8.935976684664542,44.770071625,I429,_,00060,1
I429__00050.1,8.926504552769394,44.77731066,I429,_,00050,1
I429__00040.1,8.918642896920176,44.776524359999996,I429,_,00040,1
I429__00030.1,8.947325598106742,44.783885485,I429,_,00030,1
I429__00020.1,8.936192525792695,44.78572725,I429,_,00020,1
I429__00010.10,8.929674559960594,44.785951010000005,I429,_,00010,10
I429__00140.10,8.88863421951903,44.7469608,I429,_,00140,10
I429__00120.10,8.886947661859871,44.75985149,I429,_,00120,10
I429__00110.10,8.88890023432049,44.761427855,I429,_,00110,10
I429__00100.10,8.902517968309123,44.758697174999995,I429,_,00100,10
I429__00090.10,8.912660507252326,44.760349635,I429,_,00090,10
I429__00080.10,8.898314131668073,44.76084915,I429,_,00080,10
I429__00070.10,8.919507046269775,44.7647836,I429,_,00070,10
I429__00060.10,8.937214101230893,44.7705905,I429,_,00060,10
I429__00050.10,8.927330690704444,44.77565628,I429,_,00050,10
I429__00040.10,8.917667898718957,44.776028995000004,I429,_,00040,10
I429__00030.10,8.949173198606546,44.784006250000004,I429,_,00030,10
I429__00020.10,8.939964234320033,44.7856986,I429,_,00020,10
I429__00010.100,8.930243782113854,44.784492,I429,_,00010,100
I429__00140.100,8.890928794638004,44.747827815,I429,_,00140,100
I429__00130.100,8.89722639389543,44.75309576,I429,_,00130,100
I429__00120.100,8.886797123129286,44.755635165,I429,_,00120,100
I429__00110.100,8.894409598529222,44.753526745,I429,_,00110,100
I429__00100.100,8.906344321849144,44.75516216,I429,_,00100,100
I429__00090.100,8.916173824702181,44.758247945,I429,_,00090,100
I429__00080.100,8.899264268744131,44.75974742,I429,_,00080,100
I429__00070.100,8.925180786281398,44.763000275,I429,_,00070,100
