nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I629__01170.1,9.7251977418223,45.880798525,I629,_,01170,1
I629__02030.1,9.720883408460423,45.858677755,I629,_,02030,1
I629__01170.10,9.722898789781272,45.881585630000004,I629,_,01170,10
I629__02030.10,9.72026944984802,45.858673175,I629,_,02030,10
I629__01180.100,9.72821502886279,45.883297709999994,I629,_,01180,100
I629__02070.100,9.723041140373812,45.857462295000005,I629,_,02070,100
I629__0132.1000,9.728929281262243,45.86588641,I629,_,0132,1000
I629__02070.1001,9.73548168821448,45.85396842,I629,_,02070,1001
I629__0132.1002,9.728995705835292,45.86595092,I629,_,0132,1002
I629__02100.1002,9.732194788284907,45.842469484999995,I629,_,02100,1002
I629__0132.1003,9.728940448702529,45.866029355,I629,_,0132,1003
I629__02060.1003,9.71111128363027,45.854543215,I629,_,02060,1003
I629__0132.1004,9.728743347191987,45.866103685,I629,_,0132,1004
I629__02070.1004,9.738646705193908,45.853669055,I629,_,02070,1004
I629__0132.1005,9.728896062856336,45.86610535,I629,_,0132,1005
I629__02060.1005,9.712071244724143,45.854477290000005,I629,_,02060,1005
I629__0132.1006,9.728912725099242,45.86618665,I629,_,0132,1006
I629__02030.1006,9.718941750442308,45.86594017,I629,_,02030,1006
I629__0132.1007,9.728711991022166,45.86615786,I629,_,0132,1007
I629__02100.1007,9.734210970244982,45.84725443,I629,_,02100,1007
I629__0132.1008,9.728716372888808,45.866259705,I629,_,0132,1008
I629__0134.1009,9.731040775188402,45.873298704999996,I629,_,0134,1009
I629__02060.1009,9.713005222191196,45.85463944,I629,_,02060,1009
I629__01180.101,9.733693123600645,45.88120835,I629,_,01180,101
I629__0132.1010,9.728836749429732,45.86634688,I629,_,0132,1010
I629__02060.1010,9.721906903498049,45.857933360000004,I629,_,02060,1010
I629__0132.1011,9.728675439081982,45.86644826,I629,_,0132,1011
I629__02070.1011,9.733919685024441,45.85010864,I629,_,02070,1011
I629__0132.1012,9.72884531015076,45.866451444999996,I629,_,0132,1012
I629__02060.1012,9.721975337043538,45.854651505,I629,_,02060,1012
I629__0132.1013,9.728926171848649,45.86657411,I629,_,0132,1013
I629__0132.1014,9.728722795432724,45.866566155,I629,_,0132,1014
I629__02070.1014,9.723803274913227,45.853961285,I629,_,02070,1014
I629__0132.1016,9.728824943344648,45.866474554999996,I629,_,0132,1016
I629__0132.1017,9.729377280323213,45.86781096,I629,_,0132,1017
I629__02060.1017,9.71690141677275,45.85353805,I629,_,02060,1017
I629__0132.1018,9.728814171772408,45.867455680000006,I629,_,0132,1018
I629__02060.1018,9.716735441104255,45.854215915,I629,_,02060,1018
I629__0132.1019,9.72964607274185,45.867833845,I629,_,0132,1019
I629__02060.1019,9.71816824493688,45.85504487,I629,_,02060,1019
I629__02070.102,9.722967000659745,45.857158225,I629,_,02070,102
I629__02040.1021,9.723322293662479,45.85935486,I629,_,02040,1021
I629__0132.1022,9.729842750970926,45.868563120000005,I629,_,0132,1022
I629__02030.1022,9.721626553379362,45.861131485,I629,_,02030,1022
I629__0132.1023,9.72982957017918,45.867944365,I629,_,0132,1023
I629__0132.1024,9.72922438109339,45.868679975,I629,_,0132,1024
I629__02060.1024,9.712746832545681,45.855911629999994,I629,_,02060,1024
I629__0133.1025,9.72864446583171,45.86465498,I629,_,0133,1025
I629__02030.1025,9.721406032380692,45.864062829999995,I629,_,02030,1025
I629__0132.1026,9.72950892856123,45.867844325,I629,_,0132,1026
I629__02040.1026,9.723681803520925,45.862315685,I629,_,02040,1026
I629__0132.1027,9.729626676662466,45.867893385,I629,_,0132,1027
I629__02040.1027,9.723994156239218,45.86239397,I629,_,02040,1027
I629__0132.1028,9.729396669489853,45.86775119,I629,_,0132,1028
I629__0132.1029,9.729478411180615,45.867694979999996,I629,_,0132,1029
I629__02100.1029,9.732463926101056,45.84254489,I629,_,02100,1029
I629__01180.103,9.72720500634776,45.88348346,I629,_,01180,103
I629__02060.103,9.722690947475156,45.857158225,I629,_,02060,103
I629__0132.1030,9.729600501673179,45.86762399,I629,_,0132,1030
I629__02040.1030,9.724205646629901,45.860691355,I629,_,02040,1030
I629__0132.1032,9.729382603149176,45.86755278,I629,_,0132,1032
I629__02030.1032,9.719853039122563,45.858814214999995,I629,_,02030,1032
I629__0132.1034,9.729623125401364,45.86743966,I629,_,0132,1034
I629__02050.1034,9.704708026051982,45.85022839,I629,_,02050,1034
I629__01310.1036,9.72985712156484,45.870277875,I629,_,01310,1036
I629__02070.1036,9.729513314199373,45.852573,I629,_,02070,1036
I629__0134.1037,9.731392622766382,45.873870135,I629,_,0134,1037
I629__0132.1038,9.729011547556421,45.867572005,I629,_,0132,1038
I629__0133.1039,9.731028783283708,45.865005545,I629,_,0133,1039
I629__02100.1039,9.733109364966172,45.84520432,I629,_,02100,1039
I629__01180.104,9.73407656623321,45.881973765,I629,_,01180,104
I629__02060.104,9.721692994525082,45.856930410000004,I629,_,02060,104
I629__0132.1040,9.729663843960594,45.867256475000005,I629,_,0132,1040
I629__02100.1041,9.73429028396662,45.84384473,I629,_,02100,1041
I629__0132.1042,9.72937073029441,45.866285375000004,I629,_,0132,1042
I629__02100.1042,9.733301730601525,45.845443225,I629,_,02100,1042
I629__02100.1043,9.733507289255169,45.845298545,I629,_,02100,1043
I629__0132.1044,9.728968714186385,45.86638894,I629,_,0132,1044
I629__02100.1044,9.733367601281767,45.845081895,I629,_,02100,1044
I629__01170.1045,9.719779197795953,45.88143018,I629,_,01170,1045
I629__0132.1046,9.729040874321377,45.866253345000004,I629,_,0132,1046
I629__02070.1046,9.734281071072694,45.849737785,I629,_,02070,1046
I629__0132.1047,9.729041173602692,45.86615586,I629,_,0132,1047
I629__0132.1048,9.729120523327047,45.86607339,I629,_,0132,1048
I629__0132.1049,9.72914146612123,45.865970884999996,I629,_,0132,1049
I629__01180.105,9.728762903718733,45.883242225000004,I629,_,01180,105
I629__02060.105,9.721827933501714,45.857146445,I629,_,02060,105
I629__0132.1050,9.729363995552038,45.866144295,I629,_,0132,1050
I629__0132.1051,9.729496828466901,45.865902855,I629,_,0132,1051
I629__01290.1052,9.732829012506523,45.85930982,I629,_,01290,1052
I629__0132.1053,9.730250413851586,45.865308915,I629,_,0132,1053
I629__02030.1053,9.719973606186809,45.858411355,I629,_,02030,1053
I629__01290.1054,9.733243133689836,45.859067,I629,_,01290,1054
I629__02060.1054,9.715472744820907,45.857190790000004,I629,_,02060,1054
I629__0132.1055,9.730699294110456,45.865375565,I629,_,0132,1055
I629__02030.1055,9.719895165119365,45.858632915,I629,_,02030,1055
I629__0133.1056,9.729382122437682,45.865007285,I629,_,0133,1056
I629__02060.1056,9.7173025836235,45.85713225,I629,_,02060,1056
I629__02060.1057,9.715589207056631,45.85407615,I629,_,02060,1057
I629__01270.1058,9.732943810659194,45.863528529999996,I629,_,01270,1058
I629__02060.1058,9.721795194275753,45.858085055000004,I629,_,02060,1058
I629__0133.1059,9.728075191805955,45.8647564,I629,_,0133,1059
I629__01180.106,9.729229030219768,45.88473596,I629,_,01180,106
I629__02060.106,9.721944160999431,45.856814955000004,I629,_,02060,106
I629__01270.1060,9.733317366113694,45.86332866,I629,_,01270,1060
I629__02060.1060,9.714448428293704,45.85771879,I629,_,02060,1060
I629__0132.1061,9.72864840613024,45.86575915,I629,_,0132,1061
I629__0132.1062,9.728422369145814,45.865726245000005,I629,_,0132,1062
I629__02030.1062,9.720973292793316,45.858561385,I629,_,02030,1062
I629__02030.1063,9.720969375016727,45.858496275,I629,_,02030,1063
I629__0132.1064,9.72830272958599,45.865951875,I629,_,0132,1064
I629__02060.1064,9.714696168866057,45.853401364999996,I629,_,02060,1064
I629__0132.1065,9.727640189182925,45.865709315000004,I629,_,0132,1065
I629__02030.1065,9.720885595359654,45.858437995,I629,_,02030,1065
I629__0132.1066,9.728153098575307,45.866286110000004,I629,_,0132,1066
I629__02060.1066,9.715218638284572,45.85285019,I629,_,02060,1066
I629__0132.1067,9.727372909120316,45.8659855,I629,_,0132,1067
I629__02060.1067,9.714725170648054,45.852742615,I629,_,02060,1067
I629__02100.1068,9.732530753586454,45.842719065,I629,_,02100,1068
I629__01270.1069,9.72635364225406,45.866759654999996,I629,_,01270,1069
I629__02060.107,9.722622038621452,45.856858845000005,I629,_,02060,107
I629__01270.1070,9.726579224197291,45.866493500000004,I629,_,01270,1070
I629__02070.1070,9.724159032137052,45.854444130000005,I629,_,02070,1070
I629__01270.1071,9.726403374592762,45.86582023,I629,_,01270,1071
I629__02060.1071,9.71851803508919,45.854298775000004,I629,_,02060,1071
I629__01260.1072,9.721992275476136,45.86623238,I629,_,01260,1072
I629__02060.1072,9.717176646727257,45.853556415,I629,_,02060,1072
I629__02060.1073,9.717808777200519,45.853408189999996,I629,_,02060,1073
