nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I785__00020.1,15.096930472059459,37.111990160000005,I785,_,00020,1
I785__00140.1,15.102996022064527,37.10199178,I785,_,00140,1
I785__00130.1,15.099731056148658,37.10385852,I785,_,00130,1
I785__00120.1,15.086003992326212,37.098427040000004,I785,_,00120,1
I785__00110.1,15.1401731324658,37.102748115,I785,_,00110,1
I785__00100.1,15.135914065647922,37.107249894999995,I785,_,00100,1
I785__00080.1,15.116248247498966,37.10183165,I785,_,00080,1
I785__00070.1,15.109543401993802,37.10947703,I785,_,00070,1
I785__00050.1,15.07941248786677,37.104779925,I785,_,00050,1
I785__00040.1,15.12404568526525,37.113740050000004,I785,_,00040,1
I785__00030.1,15.107340666718503,37.11576871,I785,_,00030,1
I785__00010.10,15.087171246258343,37.111813760000004,I785,_,00010,10
I785__00160.10,15.135583815004125,37.09602992,I785,_,00160,10
I785__00130.10,15.092463659187661,37.10038924,I785,_,00130,10
I785__00090.10,15.117404875970823,37.106044190000006,I785,_,00090,10
I785__00080.10,15.11554736183676,37.101556895,I785,_,00080,10
I785__00070.10,15.11159076601497,37.10913328,I785,_,00070,10
I785__00060.10,15.096628405950192,37.1101509,I785,_,00060,10
I785__00010.100,15.08405865366851,37.10882085,I785,_,00010,100
I785__00160.100,15.13166649153437,37.092486495,I785,_,00160,100
I785__00130.100,15.09989984691345,37.098261550000004,I785,_,00130,100
I785__00120.100,15.090171347912928,37.099245554999996,I785,_,00120,100
I785__0007.100,15.114532429008992,37.102649095000004,I785,_,0007,100
I785__00060.100,15.093470106661771,37.105886955,I785,_,00060,100
I785__00050.100,15.087637045201706,37.100579065,I785,_,00050,100
I785__00040.100,15.123787043161958,37.10933763,I785,_,00040,100
I785__00030.100,15.111530130590399,37.112094729999995,I785,_,00030,100
I785__0007.1000,15.115631842896333,37.103102645,I785,_,0007,1000
I785__00150.1000,15.120886155351057,37.09609088,I785,_,00150,1000
I785__0007.1001,15.115721470350218,37.10316127,I785,_,0007,1001
I785__00150.1001,15.121011630835987,37.09625827,I785,_,00150,1001
I785__0009.1001,15.124863555234647,37.10362978,I785,_,0009,1001
I785__0007.1002,15.115706990403385,37.103176745,I785,_,0007,1002
I785__00150.1002,15.120835709949922,37.09620325,I785,_,00150,1002
I785__0007.1003,15.115987880813297,37.103330549999995,I785,_,0007,1003
I785__00150.1003,15.12110464775392,37.095890275,I785,_,00150,1003
I785__0009.1003,15.124870123390668,37.103567784999996,I785,_,0009,1003
I785__00080.1003,15.118999574558483,37.099726649999994,I785,_,00080,1003
I785__0009.1004,15.12261229020522,37.1039492,I785,_,0009,1004
I785__00150.1004,15.12124848911131,37.096203625,I785,_,00150,1004
I785__0009.1005,15.122752495656332,37.10403742,I785,_,0009,1005
I785__00150.1005,15.121100404833797,37.096232825,I785,_,00150,1005
I785__0009.1006,15.124261915290539,37.103750500000004,I785,_,0009,1006
I785__00150.1006,15.12083504652762,37.095717765,I785,_,00150,1006
I785__0007.1007,15.11142591676267,37.10075047,I785,_,0007,1007
I785__00150.1007,15.120942587500004,37.095919640000005,I785,_,00150,1007
I785__0007.1008,15.111416642945155,37.100765925000005,I785,_,0007,1008
I785__00150.1008,15.121552132208354,37.096417285,I785,_,00150,1008
I785__0009.1008,15.11862349474733,37.10328369,I785,_,0009,1008
I785__0007.1009,15.111768409459035,37.101134619999996,I785,_,0007,1009
I785__0009.1009,15.12256601074457,37.104013945000005,I785,_,0009,1009
I785__00010.101,15.089673548080498,37.111234929999995,I785,_,00010,101
I785__00150.101,15.122718587101538,37.09537417,I785,_,00150,101
I785__00130.101,15.095483727103485,37.09849788,I785,_,00130,101
I785__00120.101,15.092929037455862,37.09903306,I785,_,00120,101
I785__00060.101,15.102550912052735,37.10324956,I785,_,00060,101
I785__00030.101,15.112073407350069,37.112085320000006,I785,_,00030,101
I785__00080.1010,15.11901788216635,37.099383285,I785,_,00080,1010
I785__0007.1011,15.112064897835094,37.101467314999994,I785,_,0007,1011
I785__0007.1012,15.112067480121237,37.10150727,I785,_,0007,1012
I785__00150.1012,15.121119788895028,37.096405665,I785,_,00150,1012
I785__0007.1013,15.112275382623952,37.101704335,I785,_,0007,1013
I785__00150.1013,15.121315386957054,37.09660136,I785,_,00150,1013
I785__0009.1013,15.124455329954614,37.103370385000005,I785,_,0009,1013
I785__0009.1014,15.120809171909254,37.104020219999995,I785,_,0009,1014
I785__00150.1014,15.12119736093033,37.093218320000005,I785,_,00150,1014
I785__0009.1015,15.123278975701332,37.099136285,I785,_,0009,1015
I785__00150.1015,15.118189923922744,37.09401995,I785,_,00150,1015
I785__00010.102,15.090099381847033,37.112483319999996,I785,_,00010,102
I785__00150.102,15.122860373550655,37.09503832,I785,_,00150,102
I785__00120.102,15.09252471925586,37.098594934999994,I785,_,00120,102
I785__0009.102,15.12464422649474,37.102693425,I785,_,0009,102
I785__0007.102,15.115076525288831,37.10279699,I785,_,0007,102
I785__00060.102,15.103108061587507,37.103315460000005,I785,_,00060,102
I785__00040.102,15.124490781048461,37.10915781,I785,_,00040,102
I785__00030.102,15.11269112784618,37.111998375,I785,_,00030,102
I785__00020.102,15.102095025422239,37.111014714999996,I785,_,00020,102
I785__0009.1020,15.124353177167304,37.101568650000004,I785,_,0009,1020
I785__00150.1020,15.124530894509569,37.097001105000004,I785,_,00150,1020
I785__0015.1021,15.11718038390179,37.097874855,I785,_,0015,1021
I785__0007.1022,15.113468225655376,37.102578305,I785,_,0007,1022
I785__00150.1022,15.122700010484047,37.097669960000005,I785,_,00150,1022
I785__0007.1023,15.1134410056004,37.10256842,I785,_,0007,1023
I785__00150.1023,15.121382219760015,37.093248345,I785,_,00150,1023
I785__0009.1023,15.120323900033902,37.104087480000004,I785,_,0009,1023
I785__0007.1024,15.112280560907067,37.101702225,I785,_,0007,1024
I785__00150.1024,15.121196883662055,37.093374105,I785,_,00150,1024
I785__0009.1024,15.120277951749342,37.10400903,I785,_,0009,1024
I785__0007.1026,15.111339637014165,37.103294125,I785,_,0007,1026
I785__00150.1026,15.119158535676807,37.09544556,I785,_,00150,1026
I785__0009.1026,15.119165680095513,37.102350810000004,I785,_,0009,1026
I785__0007.1027,15.115786397774386,37.101915375000004,I785,_,0007,1027
I785__0009.1027,15.119325695230119,37.10232557,I785,_,0009,1027
I785__0015.1028,15.118915854401703,37.097272974999996,I785,_,0015,1028
I785__0007.1029,15.115355521798104,37.10292614,I785,_,0007,1029
I785__00010.103,15.091910484645961,37.111090255,I785,_,00010,103
I785__00140.103,15.111286878262064,37.09582436,I785,_,00140,103
I785__00130.103,15.095294402887212,37.097744265,I785,_,00130,103
I785__00110.103,15.1354330437023,37.098764525,I785,_,00110,103
I785__00100.103,15.131435639905758,37.104131935,I785,_,00100,103
I785__0009.103,15.124645487679837,37.10237369,I785,_,0009,103
I785__0007.103,15.115590084784568,37.102628055,I785,_,0007,103
I785__00060.103,15.102980544254345,37.103174249999995,I785,_,00060,103
I785__00050.103,15.088424527181886,37.100989334999994,I785,_,00050,103
I785__00040.103,15.124990103557057,37.109060174999996,I785,_,00040,103
I785__00030.103,15.113321595311184,37.112124394999995,I785,_,00030,103
I785__00020.103,15.101673409381462,37.11047116,I785,_,00020,103
I785__0007.1030,15.11252386301674,37.101513065,I785,_,0007,1030
I785__00070.1031,15.115850886955362,37.107441234999996,I785,_,00070,1031
I785__0015.1031,15.116705065205167,37.09828298,I785,_,0015,1031
I785__0009.1031,15.117595723974834,37.102766335,I785,_,0009,1031
I785__0007.1032,15.114119209148193,37.101158695,I785,_,0007,1032
I785__0009.1032,15.124563228755969,37.102905005,I785,_,0009,1032
I785__0009.1033,15.124646229760387,37.10290424,I785,_,0009,1033
I785__0007.1034,15.115161598626537,37.102869365000004,I785,_,0007,1034
I785__0009.1034,15.118463827897852,37.103534905000004,I785,_,0009,1034
I785__0007.1035,15.115137496761726,37.102692045,I785,_,0007,1035
I785__0015.1035,15.119962747268815,37.09803592,I785,_,0015,1035
I785__0009.1035,15.118246884339081,37.10354504,I785,_,0009,1035
I785__0007.1036,15.115014936380138,37.10280955,I785,_,0007,1036
I785__00150.1036,15.121307251864446,37.09773493,I785,_,00150,1036
I785__0009.1036,15.12337172071063,37.099104695,I785,_,0009,1036
I785__0009.1037,15.119665391425162,37.104078115,I785,_,0009,1037
I785__00070.1038,15.109840265537898,37.10996144,I785,_,00070,1038
I785__0015.1038,15.120540859174728,37.097758105,I785,_,0015,1038
I785__00080.1038,15.11947837515207,37.099836445,I785,_,00080,1038
I785__0009.1039,15.124117641992761,37.099611335,I785,_,0009,1039
I785__0015.1039,15.120646226914019,37.09770682,I785,_,0015,1039
I785__00010.104,15.087278174488508,37.1091105,I785,_,00010,104
I785__00150.104,15.1243849375503,37.095655795,I785,_,00150,104
I785__00130.104,15.094597091184356,37.097676405,I785,_,00130,104
I785__00100.104,15.131710940305666,37.103225095,I785,_,00100,104
I785__0009.104,15.117300121542842,37.10316657,I785,_,0009,104
I785__0007.104,15.11571985654745,37.102728580000004,I785,_,0007,104
I785__00060.104,15.090833560020027,37.106549895,I785,_,00060,104
I785__00050.104,15.087284242548563,37.100224595,I785,_,00050,104
I785__00040.104,15.125429153471314,37.108989955,I785,_,00040,104
I785__00030.104,15.11378635613881,37.112067675000006,I785,_,00030,104
I785__00020.104,15.107073010468001,37.110063495000006,I785,_,00020,104
I785__00070.1040,15.11018749638594,37.10995677,I785,_,00070,1040
I785__0015.1040,15.120749584505646,37.097650419999994,I785,_,0015,1040
I785__0009.1040,15.125434152820228,37.10233712,I785,_,0009,1040
I785__0015.1041,15.120864148677882,37.097587770000004,I785,_,0015,1041
I785__00080.1042,15.119601834489927,37.099781164999996,I785,_,00080,1042
I785__0015.1042,15.120991622468203,37.09754563,I785,_,0015,1042
I785__0009.1042,15.125544337711005,37.102317575,I785,_,0009,1042
I785__0009.1043,15.125495680027576,37.10248994,I785,_,0009,1043
I785__0015.1043,15.119171583851255,37.097528745000005,I785,_,0015,1043
I785__00070.1044,15.111754559207414,37.10997178,I785,_,00070,1044
I785__0009.1044,15.120588416675325,37.1043218,I785,_,0009,1044
I785__00070.1045,15.11104957141692,37.109926619999996,I785,_,00070,1045
I785__0015.1045,15.119305602646914,37.097981005,I785,_,0015,1045
I785__0009.1045,15.120557261803643,37.104248745,I785,_,0009,1045
I785__00070.1046,15.111484392665975,37.10993481,I785,_,00070,1046
I785__0015.1046,15.119480426941456,37.097836165000004,I785,_,0015,1046
I785__0009.1046,15.120531417045271,37.104195655,I785,_,0009,1046
I785__00070.1047,15.112576056470832,37.110201645000004,I785,_,00070,1047
I785__00070.1048,15.113303704272276,37.11034643,I785,_,00070,1048
I785__0015.1048,15.119584886176304,37.098133794999995,I785,_,0015,1048
