nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I824__00020.1,13.974596496923638,37.350259019999996,I824,_,00020,1
I824__00320.1,14.04388996116925,37.32125112,I824,_,00320,1
I824__00310.1,14.03966924080792,37.31805018,I824,_,00310,1
I824__00300.1,13.997567393161834,37.300958699999995,I824,_,00300,1
I824__00280.1,14.03072768534387,37.30973556,I824,_,00280,1
I824__00270.1,14.018962554339307,37.31581187,I824,_,00270,1
I824__00260.1,14.009481706732323,37.315471744999996,I824,_,00260,1
I824__00250.1,14.004870620562032,37.315703740000004,I824,_,00250,1
I824__00240.1,13.992544446236915,37.315448375,I824,_,00240,1
I824__00230.1,14.042343576981622,37.327318845,I824,_,00230,1
I824__00220.1,14.023117027844208,37.320496455,I824,_,00220,1
I824__00210.1,14.024769340108536,37.325220165000005,I824,_,00210,1
I824__00200.1,14.009755670767891,37.324663185,I824,_,00200,1
I824__00190.1,14.002361870438293,37.326625745,I824,_,00190,1
I824__00180.1,13.992387277020901,37.32982974,I824,_,00180,1
I824__00170.1,13.98046473188001,37.318004805,I824,_,00170,1
I824__00150.1,13.978508432384132,37.32428977,I824,_,00150,1
I824__00140.1,14.030209231625475,37.33571185,I824,_,00140,1
I824__00130.1,14.008558120872294,37.3323444,I824,_,00130,1
I824__0011.1,13.991172457546448,37.337073765,I824,_,0011,1
I824__00100.1,13.977064949300795,37.33284564,I824,_,00100,1
I824__00090.1,13.961978592440026,37.330467875,I824,_,00090,1
I824__00080.1,13.971461580525848,37.33690248,I824,_,00080,1
I824__00060.1,14.009696028124015,37.341959305,I824,_,00060,1
I824__0005.1,13.996243279434509,37.341598845,I824,_,0005,1
I824__00040.1,13.992406989136924,37.348388,I824,_,00040,1
I824__00030.1,13.98356650946676,37.350160495,I824,_,00030,1
I824__00010.10,13.967030621129263,37.34874868,I824,_,00010,10
I824__00320.10,14.044341759029574,37.308204685,I824,_,00320,10
I824__00310.10,14.03596172544271,37.31368501,I824,_,00310,10
I824__00300.10,14.011408781138417,37.28997178,I824,_,00300,10
I824__00280.10,14.034190176839871,37.307216025,I824,_,00280,10
I824__00260.10,14.015898238944537,37.31560654,I824,_,00260,10
I824__00250.10,14.006513800890836,37.315342375,I824,_,00250,10
I824__00240.10,13.996133764483236,37.314235735,I824,_,00240,10
I824__00230.10,14.047765554034143,37.326938555,I824,_,00230,10
I824__00220.10,14.024264363236199,37.31863194,I824,_,00220,10
I824__00210.10,14.029358333771075,37.326300625,I824,_,00210,10
I824__00190.10,14.0037327691493,37.326178545000005,I824,_,00190,10
I824__00180.10,13.995541397813579,37.326253005,I824,_,00180,10
I824__00170.10,13.986712035890509,37.317811515,I824,_,00170,10
I824__00160.10,13.991188470063962,37.331204604999996,I824,_,00160,10
I824__00150.10,13.972900883578896,37.323096899999996,I824,_,00150,10
I824__00140.10,14.030255968126284,37.33281029,I824,_,00140,10
I824__00130.10,14.016209813970924,37.332220405,I824,_,00130,10
I824__0011.10,13.991198182743442,37.3365544,I824,_,0011,10
I824__00100.10,13.980079652455798,37.334370504999995,I824,_,00100,10
I824__00090.10,13.97092425386602,37.331275379999994,I824,_,00090,10
I824__00070.10,13.96483589706689,37.338258984999996,I824,_,00070,10
I824__00060.10,14.012558531309983,37.341690465,I824,_,00060,10
I824__00050.10,14.00050219741545,37.341332765000004,I824,_,00050,10
I824__00040.10,13.993441376688331,37.347286265,I824,_,00040,10
I824__00030.10,13.984856195115896,37.34884175,I824,_,00030,10
I824__00020.10,13.97968261650909,37.346000155,I824,_,00020,10
I824__00010.100,13.96942939187673,37.345615235,I824,_,00010,100
I824__00300.100,14.002385527835639,37.29459059,I824,_,00300,100
I824__00270.100,14.030454123596492,37.30214842,I824,_,00270,100
I824__00260.100,14.017395504672043,37.314783165,I824,_,00260,100
I824__00250.100,14.00712580359697,37.307719675,I824,_,00250,100
I824__00220.100,14.028248914024408,37.316807080000004,I824,_,00220,100
I824__00210.100,14.032260851001645,37.324719474999995,I824,_,00210,100
I824__00200.100,14.00952415875787,37.31794685,I824,_,00200,100
I824__00180.100,13.995610409249451,37.322052315,I824,_,00180,100
I824__00170.100,13.98866042620202,37.310643425,I824,_,00170,100
I824__00160.100,13.989292544478168,37.3231651,I824,_,00160,100
I824__00150.100,13.974208121379107,37.320455665,I824,_,00150,100
I824__00140.100,14.043885523817838,37.329336705,I824,_,00140,100
I824__00130.100,14.018162300070161,37.32931132,I824,_,00130,100
I824__00120.100,14.016453524656654,37.326147184999996,I824,_,00120,100
I824__0011.100,13.990813614526386,37.33502614,I824,_,0011,100
I824__00100.100,13.971877749354192,37.329425994999994,I824,_,00100,100
I824__00090.100,13.971824914371402,37.322898925000004,I824,_,00090,100
I824__00080.100,13.974219981166165,37.333769085,I824,_,00080,100
I824__00060.100,14.01758473983644,37.33794705,I824,_,00060,100
I824__00040.100,14.004505540380748,37.346124425,I824,_,00040,100
I824__00030.100,13.986274177778082,37.34188883,I824,_,00030,100
I824__00020.100,13.97889167316253,37.341713215,I824,_,00020,100
I824__0005.1000,13.995446328416545,37.33876453,I824,_,0005,1000
I824__0011.1000,13.993177196324345,37.331043640000004,I824,_,0011,1000
I824__00050.1001,14.003492165589797,37.332860995000004,I824,_,00050,1001
I824__0011.1001,13.993212797047228,37.33100297,I824,_,0011,1001
I824__00050.1002,13.997530173403764,37.33906752,I824,_,00050,1002
I824__0011.1002,13.993228692325424,37.331075760000004,I824,_,0011,1002
I824__00050.1003,13.996609251616745,37.33822687,I824,_,00050,1003
I824__0011.1003,13.993264844579716,37.331034079999995,I824,_,0011,1003
I824__0005.1004,13.996710892397381,37.336529225,I824,_,0005,1004
I824__0011.1004,13.99326877904193,37.33110031,I824,_,0011,1004
I824__0011.1005,13.993317717089695,37.331066480000004,I824,_,0011,1005
I824__0005.1006,13.996682240938519,37.338038845,I824,_,0005,1006
I824__0011.1006,13.993355857544346,37.331172525,I824,_,0011,1006
I824__0005.1007,13.996744509317892,37.337936264999996,I824,_,0005,1007
I824__0011.1007,13.993437843421674,37.331229655,I824,_,0011,1007
I824__0005.1008,13.99654998273039,37.33789501,I824,_,0005,1008
I824__0011.1008,13.993494718137455,37.331247015,I824,_,0011,1008
I824__0005.1009,13.997118634825416,37.33653596,I824,_,0005,1009
I824__00010.101,13.969976193295814,37.345855154999995,I824,_,00010,101
I824__00300.101,14.00149275349991,37.294112425,I824,_,00300,101
I824__00270.101,14.030189514660947,37.30234093,I824,_,00270,101
I824__00260.101,14.017003267521687,37.31520404,I824,_,00260,101
I824__00250.101,14.002971479961316,37.30704128,I824,_,00250,101
I824__00240.101,13.995544217720898,37.314307685,I824,_,00240,101
I824__00220.101,14.028020743149792,37.31619209,I824,_,00220,101
I824__00210.101,14.032391042607376,37.3239856,I824,_,00210,101
I824__00200.101,14.009764788147049,37.318237575,I824,_,00200,101
I824__00190.101,14.004534578361543,37.319133435,I824,_,00190,101
I824__00180.101,13.995498369231075,37.320960435,I824,_,00180,101
I824__00170.101,13.984926802821429,37.314827655,I824,_,00170,101
I824__00160.101,13.990763463933384,37.32276472,I824,_,00160,101
I824__00150.101,13.974413441316248,37.32032494,I824,_,00150,101
