nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
I950__00010.1,18.193640167289928,40.237241929999996,I950,_,00010,1
I950__00170.1,18.22542819276197,40.2182858,I950,_,00170,1
I950__00160.1,18.215139978059128,40.2124742,I950,_,00160,1
I950__00140.1,18.232094443430164,40.223275220000005,I950,_,00140,1
I950__00130.1,18.223097627798307,40.22142374,I950,_,00130,1
I950__00120.1,18.21628476297733,40.221466934999995,I950,_,00120,1
I950__00100.1,18.224305735424196,40.234908935,I950,_,00100,1
I950__00090.1,18.202290101762003,40.22897287,I950,_,00090,1
I950__00080.1,18.19657762071287,40.223224834999996,I950,_,00080,1
I950__00070.1,18.223696745720503,40.24254684,I950,_,00070,1
I950__00040.1,18.222445992057494,40.241636575,I950,_,00040,1
I950__00030.1,18.20853636597002,40.23724926,I950,_,00030,1
I950__00010.10,18.18966311340806,40.23240576,I950,_,00010,10
I950__00170.10,18.224735443982766,40.214851845,I950,_,00170,10
I950__00160.10,18.219897596931904,40.21232447,I950,_,00160,10
I950__00150.10,18.237850483641974,40.226241485,I950,_,00150,10
I950__00140.10,18.23569189514409,40.22297784,I950,_,00140,10
I950__00120.10,18.220724662237714,40.221864685,I950,_,00120,10
I950__00110.10,18.237792179725567,40.2344159,I950,_,00110,10
I950__00100.10,18.227277149564316,40.233628795,I950,_,00100,10
I950__00090.10,18.2086126565576,40.228653535,I950,_,00090,10
I950__00080.10,18.201453712135404,40.223635290000004,I950,_,00080,10
I950__00060.10,18.22959224511636,40.2485468,I950,_,00060,10
I950__00040.10,18.218086612202942,40.239654105,I950,_,00040,10
I950__00030.10,18.216197919980083,40.233908275,I950,_,00030,10
I950__00020.10,18.20534912670268,40.237411195,I950,_,00020,10
I950__00010.100,18.192770463568213,40.235781215,I950,_,00010,100
I950__00170.100,18.231785632782533,40.209482955,I950,_,00170,100
I950__00160.100,18.22083960682709,40.207869795,I950,_,00160,100
I950__00150.100,18.24290833577861,40.21583289,I950,_,00150,100
I950__00130.100,18.224880863757555,40.21988517,I950,_,00130,100
I950__00120.100,18.213576456264235,40.216278865,I950,_,00120,100
I950__00100.100,18.22340337402396,40.225685475,I950,_,00100,100
I950__00090.100,18.220972814972185,40.22515371,I950,_,00090,100
I950__00070.100,18.236924571490825,40.235519855,I950,_,00070,100
I950__00060.100,18.230316815094927,40.249773000000005,I950,_,00060,100
I950__00020.100,18.20005618126561,40.237591210000005,I950,_,00020,100
I950__00130.1000,18.22440672757255,40.22032288,I950,_,00130,1000
I950__00140.1000,18.236138229890372,40.220427045,I950,_,00140,1000
I950__00130.1001,18.227710756380752,40.217612705,I950,_,00130,1001
I950__00140.1001,18.23443994758285,40.220669345000005,I950,_,00140,1001
I950__00130.1002,18.224519999865393,40.22060476,I950,_,00130,1002
I950__00140.1002,18.23446966395643,40.220837335,I950,_,00140,1002
I950__00130.1003,18.22449068917312,40.22067624,I950,_,00130,1003
I950__00140.1003,18.234117289137536,40.220776265,I950,_,00140,1003
I950__00130.1004,18.224157226834233,40.220686145,I950,_,00130,1004
I950__00140.1004,18.234999219697432,40.22063017,I950,_,00140,1004
I950__00130.1005,18.224045192013996,40.22085443,I950,_,00130,1005
I950__00140.1005,18.234956696908295,40.220728820000005,I950,_,00140,1005
I950__00130.1006,18.224091991219517,40.220755695,I950,_,00130,1006
I950__00140.1006,18.23451681724697,40.221463165,I950,_,00140,1006
I950__00130.1007,18.223961921754714,40.221022975,I950,_,00130,1007
I950__00140.1007,18.23465792445345,40.221135265,I950,_,00140,1007
I950__00130.1008,18.223914696884023,40.221120245,I950,_,00130,1008
I950__00140.1008,18.23914233626282,40.217270084999996,I950,_,00140,1008
I950__00130.1009,18.223771340597445,40.221022085,I950,_,00130,1009
I950__00140.1009,18.237292996033062,40.2186444,I950,_,00140,1009
I950__00010.101,18.194905545980184,40.236225865,I950,_,00010,101
I950__00170.101,18.2323734983164,40.20874815,I950,_,00170,101
I950__00160.101,18.220582740855978,40.20814661,I950,_,00160,101
I950__00150.101,18.24354207653124,40.216242255,I950,_,00150,101
I950__00130.101,18.224947656087522,40.219577755,I950,_,00130,101
I950__00120.101,18.21271649476099,40.215602435,I950,_,00120,101
I950__00100.101,18.22216242113941,40.22493607,I950,_,00100,101
I950__00090.101,18.21338731825727,40.223120725,I950,_,00090,101
I950__00070.101,18.234989278849866,40.23582892,I950,_,00070,101
I950__00060.101,18.229651556699274,40.25024444,I950,_,00060,101
I950__00050.101,18.228742460198795,40.242311505,I950,_,00050,101
I950__00020.101,18.199826283313282,40.23739218,I950,_,00020,101
I950__00140.1010,18.238162333723416,40.218941920000006,I950,_,00140,1010
I950__00130.1011,18.223521935946614,40.22093798,I950,_,00130,1011
I950__00140.1011,18.237956861811686,40.2192493,I950,_,00140,1011
I950__00130.1012,18.22387118229063,40.220751565,I950,_,00130,1012
I950__00140.1012,18.237907751690166,40.21931815,I950,_,00140,1012
I950__00130.1013,18.22445870381936,40.22075339,I950,_,00130,1013
I950__00140.1013,18.234054623753607,40.221751010000006,I950,_,00140,1013
