nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L009__00010.1,13.233494158443095,41.644706165,L009,_,00010,1
L009__00360.1,13.208681019349662,41.587743535,L009,_,00360,1
L009__00350.1,13.217910773481162,41.596866145,L009,_,00350,1
L009__00340.1,13.201168485911403,41.5952695,L009,_,00340,1
L009__00330.1,13.176441729639684,41.587851545,L009,_,00330,1
L009__00320.1,13.156010320949273,41.590782770000004,L009,_,00320,1
L009__00300.1,13.226420509726822,41.605778635,L009,_,00300,1
L009__00290.1,13.217114989603065,41.6037168,L009,_,00290,1
L009__00280.1,13.215969490986343,41.608217485,L009,_,00280,1
L009__00270.1,13.20493198817777,41.60726386,L009,_,00270,1
L009__00250.1,13.190245795372226,41.598585255,L009,_,00250,1
L009__00240.1,13.178221621262821,41.600467955,L009,_,00240,1
L009__00230.1,13.153089605698593,41.594998634999996,L009,_,00230,1
L009__00220.1,13.185632176004363,41.60738756,L009,_,00220,1
L009__00210.1,13.168756554312507,41.604842475,L009,_,00210,1
L009__00200.1,13.15844230142034,41.603501124999994,L009,_,00200,1
L009__00190.1,13.253219411987022,41.621452505,L009,_,00190,1
L009__00180.1,13.23822333095873,41.62048994,L009,_,00180,1
L009__00170.1,13.221619905175775,41.61846828,L009,_,00170,1
L009__00160.1,13.201969386976778,41.616670305,L009,_,00160,1
L009__00150.1,13.200174456688746,41.61763441,L009,_,00150,1
L009__00140.1,13.189753331772643,41.612257375,L009,_,00140,1
L009__00130.1,13.18725882179637,41.61735215,L009,_,00130,1
L009__00120.1,13.173353706260155,41.61705494,L009,_,00120,1
L009__00110.1,13.167408903256016,41.61613156,L009,_,00110,1
L009__00100.1,13.260065724508143,41.62901031,L009,_,00100,1
L009__00090.1,13.244932684510253,41.629634534999994,L009,_,00090,1
L009__00080.1,13.238234349949028,41.63139228,L009,_,00080,1
L009__00070.1,13.23220674627759,41.63007747,L009,_,00070,1
L009__00050.1,13.217402827526467,41.62501799,L009,_,00050,1
L009__00040.1,13.2531118110087,41.638351185,L009,_,00040,1
L009__00030.1,13.243915619611315,41.643055515,L009,_,00030,1
L009__00020.1,13.234570954848216,41.64005539,L009,_,00020,1
L009__00010.10,13.230595191843921,41.642214255,L009,_,00010,10
L009__00360.10,13.212901069190988,41.586498055,L009,_,00360,10
L009__00350.10,13.213092324300415,41.588925215,L009,_,00350,10
L009__00340.10,13.197341225776466,41.587673394999996,L009,_,00340,10
L009__00330.10,13.172767836971403,41.584842734999995,L009,_,00330,10
L009__00320.10,13.161362354550288,41.58597673,L009,_,00320,10
L009__00310.10,13.234909851550027,41.610921305,L009,_,00310,10
L009__00300.10,13.228389427281877,41.607363205,L009,_,00300,10
L009__00290.10,13.221620526029232,41.604741849999996,L009,_,00290,10
L009__00280.10,13.218729397099937,41.60997007,L009,_,00280,10
L009__00270.10,13.208540774897855,41.606678275,L009,_,00270,10
L009__00260.10,13.201363014283004,41.59802176,L009,_,00260,10
L009__00230.10,13.173092854504656,41.599654885,L009,_,00230,10
L009__00220.10,13.194667934793806,41.60913446,L009,_,00220,10
L009__00210.10,13.178403473467146,41.601979494999995,L009,_,00210,10
L009__00200.10,13.163413756528378,41.602749474999996,L009,_,00200,10
L009__00190.10,13.2574612929619,41.620871519999994,L009,_,00190,10
L009__00170.10,13.221947330238622,41.616431645000006,L009,_,00170,10
L009__00160.10,13.199069086329,41.614153145,L009,_,00160,10
L009__00150.10,13.215190230927206,41.621661035,L009,_,00150,10
L009__00130.10,13.19520635294188,41.615305655,L009,_,00130,10
L009__00100.10,13.263883020925238,41.628032105,L009,_,00100,10
L009__00090.10,13.247339592297378,41.628650655,L009,_,00090,10
L009__00060.10,13.229332699412257,41.631847045,L009,_,00060,10
L009__00050.10,13.220286815239866,41.62317596,L009,_,00050,10
L009__00030.10,13.247693320836142,41.64460666,L009,_,00030,10
L009__00020.10,13.238011796075014,41.639126015,L009,_,00020,10
L009__00020.100,13.242205549306131,41.63545601,L009,_,00020,100
L009__00370.100,13.22570887259607,41.60878002,L009,_,00370,100
L009__00310.100,13.24026194480189,41.60883624,L009,_,00310,100
L009__00300.100,13.23075777918115,41.60511499,L009,_,00300,100
L009__00280.100,13.220473701151953,41.608157379999994,L009,_,00280,100
L009__00270.100,13.206146394883532,41.605315059999995,L009,_,00270,100
L009__00220.100,13.190852605131678,41.602283830000005,L009,_,00220,100
L009__00190.100,13.24723328145246,41.607164694999994,L009,_,00190,100
L009__00180.100,13.234787634061764,41.616196845,L009,_,00180,100
L009__00170.100,13.217954635862785,41.61502654,L009,_,00170,100
L009__00140.100,13.198323697324835,41.612146495000005,L009,_,00140,100
L009__00100.100,13.258294807574602,41.62398038,L009,_,00100,100
L009__00090.100,13.238850271325298,41.620548575,L009,_,00090,100
L009__00080.100,13.236001963995434,41.624710164999996,L009,_,00080,100
L009__00070.100,13.225831594646692,41.621376765,L009,_,00070,100
L009__00060.100,13.224685419462103,41.627178744999995,L009,_,00060,100
L009__00040.100,13.251326837945989,41.631451595,L009,_,00040,100
L009__00030.100,13.249977301427112,41.635857005,L009,_,00030,100
L009__00080.1000,13.239744307511973,41.631033384999995,L009,_,00080,1000
L009__00080.1001,13.231520920490855,41.621461795,L009,_,00080,1001
L009__00080.1003,13.232188153220275,41.6219733,L009,_,00080,1003
L009__00180.1003,13.249180537196565,41.61888966,L009,_,00180,1003
L009__00080.1004,13.232057360771606,41.621104540000005,L009,_,00080,1004
L009__00180.1004,13.242995871191697,41.616822285,L009,_,00180,1004
L009__00080.1005,13.232288762041975,41.62134489,L009,_,00080,1005
L009__00180.1005,13.243157755909156,41.616875855,L009,_,00180,1005
L009__00080.1006,13.23259391591423,41.621698065000004,L009,_,00080,1006
L009__00180.1006,13.24338369118164,41.616876805,L009,_,00180,1006
L009__00080.1007,13.235347904503385,41.62295258,L009,_,00080,1007
L009__00180.1007,13.243222722714648,41.61688009,L009,_,00180,1007
L009__00080.1008,13.23523394758226,41.62288423,L009,_,00080,1008
L009__00180.1008,13.243281498233516,41.61645261,L009,_,00180,1008
L009__00080.1009,13.235522277786028,41.62277408,L009,_,00080,1009
L009__00180.1009,13.243319142282319,41.616450465,L009,_,00180,1009
L009__00010.101,13.231918460886146,41.64306097,L009,_,00010,101
L009__00370.101,13.22577178019111,41.608753835,L009,_,00370,101
L009__00310.101,13.240194936046736,41.608350349999995,L009,_,00310,101
L009__00300.101,13.229916432719483,41.60538775,L009,_,00300,101
L009__00280.101,13.220716581422717,41.60821545,L009,_,00280,101
L009__00190.101,13.250419903026945,41.607351585,L009,_,00190,101
L009__00180.101,13.234560803321889,41.615630955,L009,_,00180,101
L009__00170.101,13.218539524622333,41.61476751,L009,_,00170,101
L009__00140.101,13.198154629865712,41.61273505,L009,_,00140,101
L009__00100.101,13.257953116627867,41.6233299,L009,_,00100,101
L009__00070.101,13.228197838164878,41.622246855,L009,_,00070,101
L009__00060.101,13.224620872360827,41.627030875,L009,_,00060,101
L009__00040.101,13.251535625404834,41.631263875,L009,_,00040,101
L009__00030.101,13.250513047146052,41.63571725,L009,_,00030,101
L009__00020.101,13.231097412015483,41.63631984,L009,_,00020,101
L009__00080.1010,13.23549366633565,41.622734789999996,L009,_,00080,1010
L009__00180.1010,13.243235206073415,41.616523395,L009,_,00180,1010
L009__00080.1011,13.232522906316685,41.617906684999994,L009,_,00080,1011
L009__00180.1011,13.236881645759492,41.61415714,L009,_,00180,1011
L009__00180.1012,13.237102975644255,41.61389611,L009,_,00180,1012
L009__00080.1013,13.23526095278952,41.62590839,L009,_,00080,1013
L009__00080.1014,13.234863178375853,41.62564105,L009,_,00080,1014
L009__00080.1015,13.239525137825849,41.62849379,L009,_,00080,1015
L009__00180.1015,13.237873401459808,41.6193881,L009,_,00180,1015
L009__00180.1016,13.23772242344629,41.61941353,L009,_,00180,1016
L009__00080.1017,13.239331521169753,41.62525664,L009,_,00080,1017
L009__00370.1017,13.221896461569564,41.608291585,L009,_,00370,1017
L009__00180.1017,13.242439004899646,41.615382405000005,L009,_,00180,1017
L009__00080.1018,13.239047575475432,41.625184175,L009,_,00080,1018
L009__00180.1018,13.242374637941849,41.615121125,L009,_,00180,1018
L009__00010.102,13.232114718464533,41.642301485000004,L009,_,00010,102
L009__00370.102,13.225802961995216,41.60870211,L009,_,00370,102
L009__00310.102,13.239565038170614,41.608335235,L009,_,00310,102
L009__00300.102,13.229282385169675,41.605872285000004,L009,_,00300,102
L009__00280.102,13.220885541151006,41.60828612500001,L009,_,00280,102
L009__00270.102,13.206940093796558,41.605025575,L009,_,00270,102
L009__00190.102,13.248736651517373,41.605836245,L009,_,00190,102
L009__00180.102,13.233396562827249,41.61493589,L009,_,00180,102
L009__00170.102,13.218950093876792,41.614500019999994,L009,_,00170,102
L009__00160.102,13.209828549720871,41.6076847,L009,_,00160,102
L009__00140.102,13.193901425898156,41.610268039999994,L009,_,00140,102
L009__00090.102,13.241070302165415,41.621260695000004,L009,_,00090,102
L009__00070.102,13.22814444041485,41.621950850000005,L009,_,00070,102
L009__00060.102,13.225744213723107,41.62705973,L009,_,00060,102
L009__00030.102,13.250363742958282,41.636504845000005,L009,_,00030,102
L009__00020.102,13.231474888230792,41.635934539999994,L009,_,00020,102
L009__00080.1020,13.240929309473959,41.62783841,L009,_,00080,1020
L009__00180.1020,13.238189893507244,41.619130760000004,L009,_,00180,1020
