nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L014__00010.1,12.195210356222061,45.897643815,L014,_,00010,1
L014__00460.1,12.268409223088323,45.817331440000004,L014,_,00460,1
L014__00430.1,12.263782863278237,45.821583425,L014,_,00430,1
L014__00410.1,12.255318500190043,45.83700824,L014,_,00410,1
L014__00380.1,12.25185068684393,45.842330079999996,L014,_,00380,1
L014__00350.1,12.255271101582839,45.853920849999994,L014,_,00350,1
L014__00340.1,12.249042343461907,45.856306599999996,L014,_,00340,1
L014__00330.1,12.229830357895512,45.85222005999999,L014,_,00330,1
L014__00320.1,12.2528524993329,45.862820639999995,L014,_,00320,1
L014__00300.1,12.227203557914923,45.860556105,L014,_,00300,1
L014__00290.1,12.221074745435235,45.867742230000005,L014,_,00290,1
L014__00280.1,12.215163913735116,45.8624351,L014,_,00280,1
L014__00270.1,12.255310104280007,45.867250865,L014,_,00270,1
L014__00250.1,12.221708469288856,45.87449576,L014,_,00250,1
L014__00240.1,12.228068618146763,45.87903982,L014,_,00240,1
L014__00210.1,12.213651725399298,45.834254335,L014,_,00210,1
L014__00190.1,12.205514108282983,45.840834015,L014,_,00190,1
L014__00180.1,12.192772895554224,45.84127839,L014,_,00180,1
L014__00170.1,12.225623864826165,45.853595675,L014,_,00170,1
L014__00150.1,12.206567788498273,45.85273095,L014,_,00150,1
L014__00140.1,12.201746782034437,45.856723325000004,L014,_,00140,1
L014__00130.1,12.202380201117727,45.85677396,L014,_,00130,1
L014__00110.1,12.196176392612262,45.862318959999996,L014,_,00110,1
L014__00100.1,12.199001255567254,45.868951440000004,L014,_,00100,1
L014__00090.1,12.18556188624963,45.867770805,L014,_,00090,1
L014__00080.1,12.216960194072085,45.87304252,L014,_,00080,1
L014__00070.1,12.19995412291518,45.873704255,L014,_,00070,1
L014__00060.1,12.188484233856489,45.873300365000006,L014,_,00060,1
L014__00050.1,12.209305596544068,45.879268859999996,L014,_,00050,1
L014__00040.1,12.191630484953627,45.883326475000004,L014,_,00040,1
L014__00030.1,12.215644885999739,45.892861415,L014,_,00030,1
L014__00020.10,12.19346703174456,45.892738754999996,L014,_,00020,10
L014__00400.10,12.252161887218694,45.834208265,L014,_,00400,10
L014__00330.10,12.235052440709069,45.852759219999996,L014,_,00330,10
L014__00320.10,12.253787188843944,45.86264668,L014,_,00320,10
L014__00290.10,12.219026953720903,45.864097040000004,L014,_,00290,10
L014__00260.10,12.235513911978426,45.869250550000004,L014,_,00260,10
L014__00250.10,12.227332963524296,45.873922265,L014,_,00250,10
L014__00240.10,12.227756768744939,45.877953265,L014,_,00240,10
L014__00230.10,12.237246041808381,45.827239415,L014,_,00230,10
L014__00220.10,12.23041755957146,45.83445586,L014,_,00220,10
L014__00210.10,12.216328728988074,45.834013709999994,L014,_,00210,10
L014__00190.10,12.20766299941756,45.840510394999995,L014,_,00190,10
L014__00180.10,12.202111791706171,45.84265169,L014,_,00180,10
L014__00160.10,12.214053924172736,45.848096685,L014,_,00160,10
L014__00150.10,12.212109552486465,45.8475267,L014,_,00150,10
L014__00140.10,12.195227009953111,45.848600595,L014,_,00140,10
L014__00130.10,12.207616782561953,45.85658652,L014,_,00130,10
L014__00120.10,12.182985448330175,45.859856475,L014,_,00120,10
L014__00110.10,12.198555243885474,45.859599595000006,L014,_,00110,10
L014__00100.10,12.202110356460846,45.865267185,L014,_,00100,10
L014__00090.10,12.191161373577216,45.86575338,L014,_,00090,10
L014__00080.10,12.220348052174653,45.87241247,L014,_,00080,10
L014__00070.10,12.203079678292653,45.873098505,L014,_,00070,10
L014__0006.10,12.192803557654265,45.87376859,L014,_,0006,10
L014__00050.10,12.213470443142636,45.87930227,L014,_,00050,10
L014__00040.10,12.191735767972801,45.882391029999994,L014,_,00040,10
L014__00010.100,12.20264910998016,45.891734815,L014,_,00010,100
L014__00460.100,12.263141330689027,45.81434906,L014,_,00460,100
L014__00450.100,12.260069430226046,45.818176025,L014,_,00450,100
L014__00430.100,12.27483095748919,45.81911503,L014,_,00430,100
L014__00380.100,12.263292902685688,45.83830072,L014,_,00380,100
L014__00360.100,12.23513501072534,45.839761315000004,L014,_,00360,100
L014__00350.100,12.265039795097476,45.850413520000004,L014,_,00350,100
L014__0034.100,12.2506104875901,45.85087322,L014,_,0034,100
L014__0033.100,12.236994218527105,45.850879945,L014,_,0033,100
L014__00240.100,12.242598746280093,45.872194289999996,L014,_,00240,100
L014__00230.100,12.232548312114847,45.82715202,L014,_,00230,100
L014__00200.100,12.222779682318908,45.838620575,L014,_,00200,100
L014__00190.100,12.206565404152514,45.83608316,L014,_,00190,100
L014__00160.100,12.2165478320652,45.846046535,L014,_,00160,100
L014__00140.100,12.200867030790665,45.843934735000005,L014,_,00140,100
L014__00130.100,12.21551451202411,45.850850980000004,L014,_,00130,100
L014__00110.100,12.19505490521826,45.854602005000004,L014,_,00110,100
L014__00100.100,12.200049601442398,45.859831854999996,L014,_,00100,100
