nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L094__00010.1,10.455514880924369,46.313056540000005,L094,_,00010,1
L094__00370.1,10.479018213650992,46.20899052,L094,_,00370,1
L094__00360.1,10.474399090962715,46.22453048,L094,_,00360,1
L094__00340.1,10.478959880499033,46.234066585,L094,_,00340,1
L094__00330.1,10.472053828456492,46.238653670000005,L094,_,00330,1
L094__00320.1,10.455733171052106,46.240512460000005,L094,_,00320,1
L094__00280.1,10.474198161687209,46.244935405,L094,_,00280,1
L094__00270.1,10.467062461238584,46.243003425,L094,_,00270,1
L094__00260.1,10.475819369432529,46.2505801,L094,_,00260,1
L094__00250.1,10.465434916392905,46.248764415,L094,_,00250,1
L094__00240.1,10.458595800489793,46.249324384999994,L094,_,00240,1
L094__00230.1,10.4548836935803,46.248228444999995,L094,_,00230,1
L094__00220.1,10.4872917364208,46.254106355000005,L094,_,00220,1
L094__00210.1,10.476347822985193,46.250324875,L094,_,00210,1
L094__00200.1,10.48117784180834,46.252100799999994,L094,_,00200,1
L094__00190.1,10.475639237240845,46.253728075,L094,_,00190,1
L094__00180.1,10.47051607287552,46.252955005000004,L094,_,00180,1
L094__00170.1,10.468022672500204,46.250669735,L094,_,00170,1
L094__00160.1,10.458801348425174,46.251965909999996,L094,_,00160,1
L094__00150.1,10.449045983095303,46.25064793,L094,_,00150,1
L094__00130.1,10.48631031967394,46.258045055,L094,_,00130,1
L094__00120.1,10.489378823548632,46.25843431,L094,_,00120,1
L094__00110.1,10.477557312223981,46.257888885,L094,_,00110,1
L094__00100.1,10.470913902865252,46.256498815,L094,_,00100,1
L094__00090.1,10.466851852947022,46.25928698,L094,_,00090,1
L094__00080.1,10.468810030851305,46.266537424999996,L094,_,00080,1
L094__00070.1,10.499832072615542,46.26384464,L094,_,00070,1
L094__00060.1,10.4897772841793,46.262033185,L094,_,00060,1
L094__00040.1,10.4986889404441,46.293086825,L094,_,00040,1
L094__00030.1,10.47716114738988,46.286381685,L094,_,00030,1
