nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L132__00010.1,11.88956453033181,45.26761314,L132,_,00010,1
L132__00170.1,11.959303133891606,45.23612618,L132,_,00170,1
L132__00140.1,11.9132434355555,45.2445239,L132,_,00140,1
L132__00130.1,11.903041858640687,45.245114405,L132,_,00130,1
L132__00120.1,11.89353753431993,45.24785619,L132,_,00120,1
L132__00110.1,11.881668599110132,45.256128945,L132,_,00110,1
L132__00100.1,11.896948520366351,45.254462565,L132,_,00100,1
L132__00030.1,11.910564651887181,45.2631887,L132,_,00030,1
L132__00020.1,11.900260139604026,45.26504146,L132,_,00020,1
L132__00010.10,11.891599298558326,45.26641445,L132,_,00010,10
L132__00170.10,11.963601366850614,45.23864915,L132,_,00170,10
L132__00110.10,11.886338426463567,45.253779914999996,L132,_,00110,10
L132__00100.10,11.905248047375235,45.25426591,L132,_,00100,10
L132__00090.10,11.965489080725408,45.243554595,L132,_,00090,10
L132__00080.10,11.95908627010391,45.250477225,L132,_,00080,10
L132__00060.10,11.93947290451376,45.247036574999996,L132,_,00060,10
L132__00040.10,11.912160779081221,45.25208742,L132,_,00040,10
L132__00030.10,11.91511630673633,45.260335784999995,L132,_,00030,10
L132__00020.10,11.904371410018852,45.263872545,L132,_,00020,10
L132__00010.100,11.892225955573519,45.26085478,L132,_,00010,100
L132__00150.100,11.942113625180944,45.242848365,L132,_,00150,100
L132__00130.100,11.90252916733137,45.243915885,L132,_,00130,100
L132__00090.100,11.963877075441003,45.24532912,L132,_,00090,100
L132__00010.101,11.891849728115293,45.26032108,L132,_,00010,101
L132__00150.101,11.934093085118112,45.239583335,L132,_,00150,101
L132__00140.101,11.91478692301224,45.24406664,L132,_,00140,101
L132__00130.101,11.913800086206923,45.23775154,L132,_,00130,101
L132__00120.101,11.905471596417257,45.239046509999994,L132,_,00120,101
L132__00110.101,11.893638982662935,45.248807435,L132,_,00110,101
L132__00060.101,11.928069757170597,45.24704964,L132,_,00060,101
L132__00050.101,11.919344742387342,45.250444875,L132,_,00050,101
L132__00040.101,11.911150560446595,45.25115451,L132,_,00040,101
L132__00020.102,11.905406964245909,45.263668525,L132,_,00020,102
L132__00150.102,11.937942802727243,45.24166402,L132,_,00150,102
L132__00140.102,11.915304076453003,45.24420157,L132,_,00140,102
L132__00110.102,11.893013556069121,45.250530085,L132,_,00110,102
L132__00060.102,11.93016373778378,45.24642469,L132,_,00060,102
L132__00040.102,11.911018795525894,45.25092859,L132,_,00040,102
L132__00010.103,11.887324338430327,45.257262870000005,L132,_,00010,103
L132__00140.103,11.916337911628958,45.244507565,L132,_,00140,103
L132__00110.103,11.882514998897841,45.251050375000005,L132,_,00110,103
L132__00080.103,11.950642534373971,45.244581350000004,L132,_,00080,103
L132__00070.103,11.942172608746418,45.24843511,L132,_,00070,103
L132__00060.103,11.928757014167633,45.246930414999994,L132,_,00060,103
