nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L298__00010.1,9.099107244479605,44.54441661,L298,_,00010,1
L298__01340.1,9.130398095400473,44.486421275,L298,_,01340,1
L298__01330.1,9.121758710018495,44.48895322,L298,_,01330,1
L298__01320.1,9.114166958737325,44.48639595,L298,_,01320,1
L298__01310.1,9.152375042863564,44.490968445,L298,_,01310,1
L298__01300.1,9.14577139474541,44.493634119999996,L298,_,01300,1
L298__01290.1,9.145493100360266,44.49356901,L298,_,01290,1
L298__01280.1,9.137921814918627,44.488269625,L298,_,01280,1
L298__01270.1,9.12534761940774,44.49336634,L298,_,01270,1
L298__01260.1,9.123884673039537,44.496529190000004,L298,_,01260,1
L298__01250.1,9.122255245611473,44.49553962,L298,_,01250,1
L298__01240.1,9.114307543699042,44.491398465,L298,_,01240,1
L298__01230.1,9.115763633083137,44.49768145,L298,_,01230,1
L298__01220.1,9.111967363729313,44.498253835,L298,_,01220,1
L298__01210.1,9.108222157752394,44.499059505,L298,_,01210,1
L298__01200.1,9.10163942140062,44.493715505,L298,_,01200,1
L298__01190.1,9.099969222246788,44.500367485,L298,_,01190,1
L298__01180.1,9.151488974300516,44.497542530000004,L298,_,01180,1
L298__01170.1,9.134826317694763,44.4951201,L298,_,01170,1
L298__01150.1,9.143343345297474,44.50329151,L298,_,01150,1
L298__01140.1,9.139907422631662,44.507283625,L298,_,01140,1
L298__01130.1,9.132081356246097,44.50618727,L298,_,01130,1
L298__01120.1,9.132691586756138,44.499763169999994,L298,_,01120,1
L298__01100.1,9.1262344962925,44.504182955000005,L298,_,01100,1
L298__01090.1,9.11674342177636,44.503127975,L298,_,01090,1
L298__01080.1,9.11574452510038,44.504664399999996,L298,_,01080,1
L298__01070.1,9.110652807124014,44.50362117,L298,_,01070,1
L298__01050.1,9.10285228218665,44.504119755000005,L298,_,01050,1
L298__01040.1,9.09786106898678,44.504254085,L298,_,01040,1
L298__01030.1,9.097897868580198,44.50829421,L298,_,01030,1
L298__01020.1,9.095246777866215,44.505860185,L298,_,01020,1
L298__01010.1,9.209231755363986,44.50887048,L298,_,01010,1
L298__01000.1,9.199715163067507,44.49970711,L298,_,01000,1
L298__00990.1,9.192096081323236,44.509648185,L298,_,00990,1
L298__00980.1,9.185812445536543,44.49949192,L298,_,00980,1
L298__00970.1,9.190732331198623,44.510298705,L298,_,00970,1
L298__00960.1,9.178796665024358,44.511549955,L298,_,00960,1
L298__00950.1,9.158976160171932,44.504551145,L298,_,00950,1
L298__00930.1,9.163616436342675,44.51293587000001,L298,_,00930,1
L298__00920.1,9.153352911934647,44.518182100000004,L298,_,00920,1
L298__00900.1,9.146946511152315,44.512012385000006,L298,_,00900,1
L298__00890.1,9.142326490027523,44.511728505,L298,_,00890,1
L298__00880.1,9.141861858678526,44.5162046,L298,_,00880,1
L298__00870.1,9.133587601324628,44.51408277,L298,_,00870,1
L298__00860.1,9.12420510705452,44.512360224999995,L298,_,00860,1
L298__00850.1,9.128019081776884,44.50866264,L298,_,00850,1
L298__00840.1,9.119933844667685,44.50834443,L298,_,00840,1
L298__00830.1,9.114984287160429,44.50994895,L298,_,00830,1
L298__00820.1,9.115629704546862,44.51257742999999,L298,_,00820,1
L298__00810.1,9.111401095347196,44.51149074,L298,_,00810,1
L298__00800.1,9.113989899700432,44.517434545,L298,_,00800,1
L298__00790.1,9.108753912787664,44.51268195,L298,_,00790,1
L298__00780.1,9.104961115876776,44.512843020000005,L298,_,00780,1
L298__00770.1,9.105254465811612,44.51686308,L298,_,00770,1
L298__00760.1,9.101512854675015,44.51419767,L298,_,00760,1
L298__00750.1,9.092655909617324,44.511232695,L298,_,00750,1
L298__00740.1,9.096201914811147,44.515734105,L298,_,00740,1
L298__00730.1,9.209877638746987,44.512633539999996,L298,_,00730,1
L298__00720.1,9.214129910292307,44.51946513,L298,_,00720,1
L298__00710.1,9.211706600971649,44.522320359999995,L298,_,00710,1
L298__00700.1,9.211083364573167,44.52267764,L298,_,00700,1
L298__00690.1,9.206118117771762,44.51667426,L298,_,00690,1
L298__00680.1,9.20517063922821,44.51530151,L298,_,00680,1
L298__00670.1,9.199038397203676,44.51535154,L298,_,00670,1
L298__00660.1,9.204904622853324,44.52169499,L298,_,00660,1
L298__00650.1,9.193184046902527,44.51885475,L298,_,00650,1
L298__00640.1,9.189699309713776,44.523887895,L298,_,00640,1
L298__00630.1,9.176563672550532,44.527786015000004,L298,_,00630,1
L298__00620.1,9.172834588017057,44.51924124,L298,_,00620,1
L298__00610.1,9.165874584410734,44.52954444,L298,_,00610,1
L298__00590.1,9.157875328873505,44.525448014999995,L298,_,00590,1
L298__00580.1,9.156536918612844,44.52602483,L298,_,00580,1
L298__00570.1,9.15194711806495,44.530049315,L298,_,00570,1
L298__00560.1,9.151499383463381,44.531591065,L298,_,00560,1
L298__00550.1,9.139824067495898,44.52779666,L298,_,00550,1
L298__00540.1,9.133657050721613,44.51791813,L298,_,00540,1
L298__00530.1,9.126690311152096,44.51799331,L298,_,00530,1
L298__00520.1,9.126870345413874,44.522440785,L298,_,00520,1
L298__00510.1,9.120887960526357,44.518576714999995,L298,_,00510,1
L298__00500.1,9.116999467013272,44.520404305,L298,_,00500,1
L298__00490.1,9.121190795954417,44.52436161,L298,_,00490,1
L298__00480.1,9.115456742707053,44.526444514999994,L298,_,00480,1
L298__00470.1,9.112522075677202,44.523096355,L298,_,00470,1
L298__00460.1,9.108445518967361,44.523296450000004,L298,_,00460,1
L298__00450.1,9.111882747331684,44.52768426,L298,_,00450,1
L298__00440.1,9.10537107012276,44.52473793,L298,_,00440,1
L298__00430.1,9.10041191112903,44.52078981,L298,_,00430,1
L298__00420.1,9.099367030976964,44.527538305,L298,_,00420,1
L298__00410.1,9.20895170211929,44.527243435,L298,_,00410,1
L298__00400.1,9.210027941533031,44.531464215,L298,_,00400,1
L298__00390.1,9.19991086524586,44.52682238,L298,_,00390,1
L298__00380.1,9.202673975465759,44.531156984999996,L298,_,00380,1
L298__00370.1,9.193286440126212,44.527848745,L298,_,00370,1
L298__00360.1,9.200045699403063,44.53200774,L298,_,00360,1
L298__00330.1,9.174243442569713,44.533540615,L298,_,00330,1
L298__00320.1,9.178410488823529,44.541456205,L298,_,00320,1
L298__00310.1,9.156314032425607,44.5397545,L298,_,00310,1
L298__00300.1,9.14812805280282,44.54088732,L298,_,00300,1
L298__00290.1,9.135837087262395,44.54009826,L298,_,00290,1
L298__00280.1,9.133097818594967,44.529261039999994,L298,_,00280,1
L298__00270.1,9.123642192854227,44.526918385,L298,_,00270,1
L298__00260.1,9.114752533368495,44.52991824,L298,_,00260,1
L298__00250.1,9.12496503485813,44.535437495,L298,_,00250,1
L298__00240.1,9.116496224781667,44.538926125,L298,_,00240,1
L298__00230.1,9.11399141332927,44.534082185,L298,_,00230,1
L298__00220.1,9.110854532769709,44.52990794,L298,_,00220,1
L298__00210.1,9.1042557925858,44.53313361,L298,_,00210,1
