nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L302__00010.1,12.613447150150245,42.253235535,L302,_,00010,1
L302__00140.1,12.614567498571976,42.20662844,L302,_,00140,1
L302__00130.1,12.609774499019954,42.212437245000004,L302,_,00130,1
L302__00120.1,12.621568462781056,42.213850210000004,L302,_,00120,1
L302__00110.1,12.618884594741914,42.21597174,L302,_,00110,1
L302__00100.1,12.628356534155547,42.222581070000004,L302,_,00100,1
L302__00090.1,12.630895096567556,42.23595342,L302,_,00090,1
L302__00080.1,12.620346249403969,42.22964739,L302,_,00080,1
L302__00070.1,12.622617646563107,42.239044175000004,L302,_,00070,1
L302__00060.1,12.603845515093884,42.235679285,L302,_,00060,1
L302__00050.1,12.614976192778682,42.238645755,L302,_,00050,1
L302__00040.1,12.622183872720365,42.248697285000006,L302,_,00040,1
L302__00010.10,12.614981636705796,42.252330369999996,L302,_,00010,10
L302__00140.10,12.629436901080727,42.205899959999996,L302,_,00140,10
L302__00130.10,12.61442532017573,42.206668995,L302,_,00130,10
L302__00120.10,12.627403875746488,42.207570755,L302,_,00120,10
L302__00110.10,12.627129340676756,42.214229365,L302,_,00110,10
L302__00090.10,12.632258499628188,42.2361726,L302,_,00090,10
L302__00080.10,12.626160496036293,42.224363525,L302,_,00080,10
L302__00070.10,12.62380942311908,42.23793242,L302,_,00070,10
L302__00060.10,12.606587291197314,42.23635086,L302,_,00060,10
L302__00040.10,12.62359881578078,42.246853505000004,L302,_,00040,10
L302__00030.10,12.615987941206876,42.24602077,L302,_,00030,10
L302__00020.10,12.605111031916916,42.246348555,L302,_,00020,10
L302__00010.100,12.616515617878326,42.249186005,L302,_,00010,100
L302__00110.100,12.628327648439253,42.214447695000004,L302,_,00110,100
L302__00070.100,12.629807040997225,42.231514925,L302,_,00070,100
L302__00060.100,12.607873601096713,42.23535147,L302,_,00060,100
L302__00050.100,12.620226263914528,42.235235915000004,L302,_,00050,100
L302__00040.100,12.628681587689968,42.243807445,L302,_,00040,100
L302__00020.100,12.612275344127585,42.237926235,L302,_,00020,100
L302__00020.101,12.608171501687533,42.24217437,L302,_,00020,101
L302__00110.101,12.62939662835393,42.213528894999996,L302,_,00110,101
L302__00040.101,12.631000357808023,42.243990170000004,L302,_,00040,101
L302__00030.101,12.61921120619053,42.244896125,L302,_,00030,101
L302__00010.102,12.61735876920947,42.24935338,L302,_,00010,102
L302__00110.102,12.629364463528972,42.213304345,L302,_,00110,102
L302__00070.102,12.62972670057832,42.23054914,L302,_,00070,102
L302__00050.102,12.619015891572847,42.235708540000005,L302,_,00050,102
L302__00040.102,12.625415842141116,42.24185453,L302,_,00040,102
L302__00030.102,12.618916743253818,42.2404818,L302,_,00030,102
L302__00020.102,12.607658616390285,42.241936905,L302,_,00020,102
L302__00010.103,12.617554329746804,42.249513050000004,L302,_,00010,103
L302__00070.103,12.629804849022795,42.231354775,L302,_,00070,103
L302__00060.103,12.61995633238688,42.23461751000001,L302,_,00060,103
L302__00050.103,12.618641604755137,42.236416254999995,L302,_,00050,103
L302__00040.103,12.625267595755961,42.24209164,L302,_,00040,103
L302__00030.103,12.619609207104439,42.24032603,L302,_,00030,103
L302__00020.103,12.608700558055252,42.24265185,L302,_,00020,103
L302__00010.104,12.609541957253686,42.247245555,L302,_,00010,104
L302__00070.104,12.626489752738912,42.230723465,L302,_,00070,104
L302__00060.104,12.619703037301534,42.23438694,L302,_,00060,104
L302__00050.104,12.618851414627812,42.236579575,L302,_,00050,104
L302__00040.104,12.6230834835628,42.24100334,L302,_,00040,104
L302__00030.104,12.62136251695501,42.24052692,L302,_,00030,104
L302__00020.104,12.609471639908499,42.24290286,L302,_,00020,104
L302__00010.105,12.61738843033227,42.24631776,L302,_,00010,105
L302__00110.105,12.632063711687831,42.212454615,L302,_,00110,105
L302__00060.105,12.619589744730916,42.23432341,L302,_,00060,105
L302__00050.105,12.619028136232796,42.23655216,L302,_,00050,105
L302__00030.105,12.622041513530844,42.240680185,L302,_,00030,105
L302__00020.105,12.608743877601928,42.24229959,L302,_,00020,105
L302__00010.106,12.609719575662162,42.24707548,L302,_,00010,106
L302__00100.106,12.6296561073907,42.215335565000004,L302,_,00100,106
L302__00070.106,12.62447974758041,42.234337805,L302,_,00070,106
L302__00050.106,12.619045030179786,42.23646608,L302,_,00050,106
L302__00040.106,12.624642995885978,42.244491964999995,L302,_,00040,106
L302__00030.106,12.616890514945974,42.239771625,L302,_,00030,106
L302__00020.106,12.609745556789562,42.242761115,L302,_,00020,106
L302__00010.107,12.609590931454395,42.24671901,L302,_,00010,107
L302__00110.107,12.629000077152888,42.212254245,L302,_,00110,107
L302__00070.107,12.62437404252546,42.22925885,L302,_,00070,107
