nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L347__00070.1,12.820543988958443,46.213674475,L347,_,00070,1
L347__00210.1,12.873401780043759,46.179789765,L347,_,00210,1
L347__00190.1,12.87170022881196,46.189898345,L347,_,00190,1
L347__00180.1,12.851078054725084,46.18945634,L347,_,00180,1
L347__00170.1,12.832036851399105,46.185421285000004,L347,_,00170,1
L347__00160.1,12.878780416626311,46.201601444999994,L347,_,00160,1
L347__0015.1,12.865018462894941,46.19988607,L347,_,0015,1
L347__00140.1,12.840722998852677,46.194770535,L347,_,00140,1
L347__00130.1,12.819335928312064,46.198458675,L347,_,00130,1
L347__00100.1,12.834130159906088,46.203458330000004,L347,_,00100,1
L347__00090.1,12.830915961251165,46.209517155,L347,_,00090,1
L347__00080.1,12.82695599505745,46.208885910000006,L347,_,00080,1
L347__00070.10,12.823479863293258,46.212504464999995,L347,_,00070,10
L347__00200.10,12.868673007685766,46.18199564,L347,_,00200,10
L347__00190.10,12.873793385654235,46.18920185,L347,_,00190,10
L347__00180.10,12.853316791452453,46.189217909999996,L347,_,00180,10
L347__00170.10,12.834527662658772,46.186472519999995,L347,_,00170,10
L347__00160.10,12.881315781448329,46.201172510000006,L347,_,00160,10
L347__0015.10,12.864079886291123,46.199303105,L347,_,0015,10
L347__00140.10,12.844180616020035,46.19454115,L347,_,00140,10
L347__00130.10,12.820966777711472,46.197834945,L347,_,00130,10
L347__00100.10,12.83649314410841,46.203377255,L347,_,00100,10
L347__00090.10,12.834108169265306,46.21049539,L347,_,00090,10
L347__00080.10,12.83051566335149,46.208982535000004,L347,_,00080,10
L347__00030.100,12.844723670744305,46.234183455,L347,_,00030,100
L347__00210.100,12.88147872204293,46.17774315,L347,_,00210,100
L347__00200.100,12.8650523923058,46.177545995,L347,_,00200,100
L347__00190.100,12.882480366230148,46.186569,L347,_,00190,100
L347__00180.100,12.855439232123159,46.187205415,L347,_,00180,100
L347__00160.100,12.881193607684446,46.20029307,L347,_,00160,100
L347__0015.100,12.866687952116582,46.198466155000006,L347,_,0015,100
L347__00140.100,12.839798388350548,46.192504389999996,L347,_,00140,100
L347__00130.100,12.824781639592844,46.196225915,L347,_,00130,100
L347__00120.100,12.877897646967792,46.20525636,L347,_,00120,100
L347__00100.100,12.838718714035018,46.20116131,L347,_,00100,100
L347__00080.100,12.829909195471515,46.203458115000004,L347,_,00080,100
L347__00070.100,12.821781476388555,46.204579995,L347,_,00070,100
L347__00150.1000,12.862536181804359,46.19442383,L347,_,00150,1000
L347__00190.1000,12.87251979663958,46.186433570000005,L347,_,00190,1000
L347__00150.1001,12.862875881717708,46.194434295,L347,_,00150,1001
L347__0008.1002,12.827769582604791,46.201801015,L347,_,0008,1002
L347__00150.1002,12.863293606281154,46.19448776,L347,_,00150,1002
L347__00150.1003,12.864353208511174,46.194741495,L347,_,00150,1003
L347__00150.1004,12.864703472239839,46.194670044999995,L347,_,00150,1004
L347__00190.1005,12.881888823725745,46.18451196,L347,_,00190,1005
L347__00150.1006,12.84907389074655,46.193311574999996,L347,_,00150,1006
L347__00080.1007,12.832178641171101,46.19997861,L347,_,00080,1007
L347__00150.1007,12.849318940869866,46.19337982,L347,_,00150,1007
L347__00080.1008,12.832553191820171,46.199874335000004,L347,_,00080,1008
