nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L424J_00050.1,13.848931396528611,45.6644125,L424,J,00050,1
L424W_00080.1,13.825527156554744,45.672311395,L424,W,00080,1
L424M_00050.1,13.839588300223648,45.658672945,L424,M,00050,1
L424D_00130.1,13.863052018655587,45.64191201,L424,D,00130,1
L424B_00040.10,13.802776002739254,45.67836729,L424,B,00040,10
L424B_00030.101,13.803531552207044,45.67909918,L424,B,00030,101
L424M_00020.101,13.84256435536461,45.65656292,L424,M,00020,101
L424M_00020.102,13.842209148477036,45.656197065,L424,M,00020,102
L424B_00030.103,13.803594689857336,45.679805335,L424,B,00030,103
L424M_00020.103,13.841874910231912,45.655851170000005,L424,M,00020,103
L424B_00030.104,13.80393730254551,45.67981975,L424,B,00030,104
L424W_00080.105,13.825022274691364,45.674137575,L424,W,00080,105
L424B_00040.106,13.802030504628739,45.677420025,L424,B,00040,106
L424D_00130.106,13.864305087768154,45.643013625,L424,D,00130,106
L424B_00040.107,13.802600754789125,45.677004015,L424,B,00040,107
L424B_00030.108,13.804553165217733,45.68045673,L424,B,00030,108
L424B_00030.109,13.80484699298986,45.68027635,L424,B,00030,109
L424W_00080.109,13.823999804467935,45.674557394999994,L424,W,00080,109
L424B_00040.11,13.802710903064057,45.678327115,L424,B,00040,11
L424B_00030.110,13.804745311751017,45.680061745,L424,B,00030,110
L424B_00030.111,13.805221018179509,45.68005877,L424,B,00030,111
L424W_00080.111,13.82511301530711,45.674498265,L424,W,00080,111
L424W_00080.116,13.825027171987687,45.674598884999995,L424,W,00080,116
L424B_00030.117,13.806551363682527,45.67949753,L424,B,00030,117
L424W_00080.117,13.824981995536845,45.674670309999996,L424,W,00080,117
L424B_00040.118,13.803935108866046,45.678204875,L424,B,00040,118
L424B_00030.119,13.798879614417139,45.67358214,L424,B,00030,119
L424D_00130.119,13.863903595742531,45.64201726500001,L424,D,00130,119
L424M_00050.12,13.839715528354574,45.657859675,L424,M,00050,12
L424W_00080.12,13.826799456287905,45.671583569999996,L424,W,00080,12
L424B_00040.120,13.802321190078754,45.677194615,L424,B,00040,120
L424D_00130.121,13.864152756809354,45.64198686,L424,D,00130,121
L424B_00030.122,13.80344009523468,45.67658512,L424,B,00030,122
L424B_00030.123,13.804547741696183,45.675956619999994,L424,B,00030,123
L424W_00080.123,13.824845557840378,45.67459427,L424,W,00080,123
L424W_00080.124,13.824662516932868,45.674504345,L424,W,00080,124
L424B_00030.125,13.806103715761697,45.675279375,L424,B,00030,125
L424B_00030.126,13.80716232125993,45.67477911,L424,B,00030,126
L424W_00080.126,13.8248437088521,45.674507625000004,L424,W,00080,126
L424D_00130.127,13.864339563895523,45.64224552,L424,D,00130,127
L424M_00020.127,13.84482690638778,45.654965695,L424,M,00020,127
L424B_00030.128,13.807150275751347,45.67462722,L424,B,00030,128
L424M_00020.128,13.845105188372433,45.65492566,L424,M,00020,128
L424D_00130.128,13.864397052990132,45.64203623,L424,D,00130,128
L424B_00030.129,13.807770779201551,45.674330624999996,L424,B,00030,129
L424D_00130.129,13.864237871769127,45.64176159,L424,D,00130,129
L424B_00040.13,13.802743609096527,45.678261,L424,B,00040,13
L424B_00030.130,13.804001251686003,45.675594695,L424,B,00030,130
L424W_00080.130,13.824484962793179,45.67466177,L424,W,00080,130
L424M_00020.130,13.844302199571121,45.654458399999996,L424,M,00020,130
L424B_00030.131,13.805066870013025,45.67508068,L424,B,00030,131
L424W_00080.131,13.82423931812202,45.674635495000004,L424,W,00080,131
L424B_00030.132,13.80338554154958,45.675315805,L424,B,00030,132
L424B_00030.133,13.804271708915321,45.675125165,L424,B,00030,133
L424B_00030.134,13.804564376593257,45.6749121,L424,B,00030,134
L424B_00030.135,13.80278719643832,45.675786125,L424,B,00030,135
L424B_00030.138,13.804049803653601,45.67461511,L424,B,00030,138
L424B_00030.139,13.804405507274069,45.674397305,L424,B,00030,139
L424J_00050.14,13.848905246352123,45.66467002,L424,J,00050,14
L424B_00030.140,13.804834931787644,45.67417270999999,L424,B,00030,140
L424B_00030.141,13.805264650001007,45.67399992,L424,B,00030,141
