nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L437__00010.1,13.26880154247668,41.779390105000004,L437,_,00010,1
L437__00110.1,13.278249366844237,41.76046151,L437,_,00110,1
L437__00100.1,13.266928710251577,41.76297588,L437,_,00100,1
L437__00090.1,13.245928903078164,41.758107190000004,L437,_,00090,1
L437__00080.1,13.250424585476381,41.76666736,L437,_,00080,1
L437__00070.1,13.246232567649816,41.76937847,L437,_,00070,1
L437__00060.1,13.286114706104565,41.764737305,L437,_,00060,1
L437__00050.1,13.272562479865154,41.771993745,L437,_,00050,1
L437__00040.1,13.263266417157146,41.777236465,L437,_,00040,1
L437__00030.1,13.257499598746108,41.775255380000004,L437,_,00030,1
L437__00020.1,13.2859713546192,41.779032439999995,L437,_,00020,1
L437__00010.10,13.277974197282756,41.779767774999996,L437,_,00010,10
L437__00110.10,13.276900642688787,41.760338845,L437,_,00110,10
L437__00100.10,13.269336103496876,41.761886215,L437,_,00100,10
L437__00090.10,13.254769627676541,41.75722084,L437,_,00090,10
L437__00080.10,13.256792939736474,41.76579402,L437,_,00080,10
L437__00070.10,13.246354586543607,41.768838725,L437,_,00070,10
L437__00060.10,13.288134323934813,41.76327114,L437,_,00060,10
L437__00050.10,13.272984865165027,41.770880649999995,L437,_,00050,10
L437__00040.10,13.259582457276835,41.77628498,L437,_,00040,10
L437__00030.10,13.25799781886807,41.774905759999996,L437,_,00030,10
L437__00020.10,13.288735915990255,41.77866869,L437,_,00020,10
L437__00030.100,13.251275697166077,41.771336115,L437,_,00030,100
L437__00110.100,13.27706154937458,41.749702825,L437,_,00110,100
L437__00100.100,13.266251607741783,41.754625785,L437,_,00100,100
L437__00090.100,13.265455880939994,41.75299868,L437,_,00090,100
L437__00070.100,13.241323814294429,41.761131335,L437,_,00070,100
L437__00060.100,13.288589542125017,41.75929191,L437,_,00060,100
L437__00050.100,13.281355884748173,41.76944394,L437,_,00050,100
L437__00040.100,13.267314866389238,41.771985655,L437,_,00040,100
L437__00010.1000,13.275375656487622,41.771590715,L437,_,00010,1000
L437__00050.1000,13.283496164439622,41.768099230000004,L437,_,00050,1000
L437__00040.1000,13.262382992835455,41.76947118,L437,_,00040,1000
L437__00010.1001,13.26723133104831,41.77406872,L437,_,00010,1001
L437__00120.1001,13.27079418546844,41.77543526,L437,_,00120,1001
L437__00050.1001,13.283554586026483,41.767898654999996,L437,_,00050,1001
L437__00040.1001,13.262130703517842,41.76942817,L437,_,00040,1001
L437__00020.1001,13.288953976485264,41.76939193,L437,_,00020,1001
L437__00010.1002,13.274670592037163,41.77290109,L437,_,00010,1002
L437__00050.1002,13.283522526314933,41.767698815,L437,_,00050,1002
L437__00040.1002,13.26230001785687,41.769428770000005,L437,_,00040,1002
L437__00020.1002,13.288863523789068,41.769372485000005,L437,_,00020,1002
L437__00010.1003,13.27898327682568,41.772564349999996,L437,_,00010,1003
L437__00050.1003,13.283740818377694,41.767677705,L437,_,00050,1003
L437__00040.1003,13.262172404278932,41.76942817,L437,_,00040,1003
L437__00010.1004,13.284160647141078,41.771779214999995,L437,_,00010,1004
L437__00040.1004,13.269062649068292,41.769502305,L437,_,00040,1004
L437__00010.1005,13.27272952248397,41.772423035,L437,_,00010,1005
L437__00050.1005,13.286961296778493,41.76712224,L437,_,00050,1005
L437__00020.1005,13.286500764748062,41.77385348,L437,_,00020,1005
L437__00010.1006,13.280362996224186,41.771502815000005,L437,_,00010,1006
L437__00040.1006,13.269163757961469,41.769191410000005,L437,_,00040,1006
L437__00020.1006,13.286423451559038,41.773817230000006,L437,_,00020,1006
L437__00010.1007,13.2758909560307,41.77479309,L437,_,00010,1007
L437__00040.1007,13.269407385697157,41.769240545,L437,_,00040,1007
L437__00010.1008,13.275304598506139,41.774820455,L437,_,00010,1008
L437__00050.1008,13.268767981637682,41.765119715,L437,_,00050,1008
L437__00020.1008,13.287967599515701,41.76886308,L437,_,00020,1008
L437__00010.1009,13.27580609941446,41.774870875000005,L437,_,00010,1009
L437__00050.1009,13.269151629872944,41.76412937,L437,_,00050,1009
L437__00040.1009,13.261079975356665,41.774266655,L437,_,00040,1009
L437__00020.1009,13.284513879498736,41.773309455,L437,_,00020,1009
L437__00010.101,13.277536738319824,41.77879312,L437,_,00010,101
L437__00110.101,13.276762359753567,41.74897795,L437,_,00110,101
L437__00100.101,13.26649669603081,41.754115060000004,L437,_,00100,101
L437__00090.101,13.264647014481147,41.75309292,L437,_,00090,101
L437__00080.101,13.252575871335937,41.763146405,L437,_,00080,101
L437__00070.101,13.241368880702908,41.760513055000004,L437,_,00070,101
L437__00060.101,13.288570468062844,41.759208380000004,L437,_,00060,101
L437__00040.101,13.268003520532291,41.771993179999996,L437,_,00040,101
L437__00030.101,13.251824702160574,41.771689519999995,L437,_,00030,101
L437__00020.101,13.284371232452223,41.77338747,L437,_,00020,101
L437__00010.1010,13.276151169984395,41.774905605,L437,_,00010,1010
L437__00050.1010,13.269040348981717,41.7642241,L437,_,00050,1010
L437__00040.1010,13.26665244821904,41.767388929999996,L437,_,00040,1010
L437__00020.1010,13.284508685427555,41.773264955,L437,_,00020,1010
L437__00010.1011,13.276188807322598,41.77483933,L437,_,00010,1011
L437__00050.1011,13.268946733420906,41.764235905,L437,_,00050,1011
L437__00040.1011,13.266900639122685,41.767346015,L437,_,00040,1011
L437__00010.1012,13.276281872060697,41.774931710000004,L437,_,00010,1012
L437__00050.1012,13.268877108962013,41.764245075,L437,_,00050,1012
L437__00020.1012,13.284586927177966,41.773216605,L437,_,00020,1012
L437__00010.1013,13.276275502961711,41.774834639999995,L437,_,00010,1013
L437__00050.1013,13.273832147386365,41.768148534999995,L437,_,00050,1013
L437__00040.1013,13.265081826110858,41.77345614,L437,_,00040,1013
L437__00020.1013,13.284654318868615,41.77309995,L437,_,00020,1013
L437__00010.1014,13.276373450251247,41.774948795,L437,_,00010,1014
L437__00050.1014,13.273958329319996,41.767934885,L437,_,00050,1014
L437__00040.1014,13.268124354024707,41.769816885,L437,_,00040,1014
L437__00020.1014,13.284562398865749,41.77341576,L437,_,00020,1014
L437__00010.1015,13.276366755131955,41.77484101,L437,_,00010,1015
L437__00040.1015,13.267734286437793,41.76991745,L437,_,00040,1015
L437__00020.1015,13.28474063587112,41.77323554,L437,_,00020,1015
L437__00010.1016,13.276467459931702,41.77496606,L437,_,00010,1016
L437__00040.1016,13.265544772964304,41.772940995,L437,_,00040,1016
L437__00020.1016,13.2846529620535,41.77323554,L437,_,00020,1016
L437__00010.1017,13.276431612613393,41.775047985,L437,_,00010,1017
L437__00050.1017,13.269120594056943,41.76483117,L437,_,00050,1017
L437__00040.1017,13.265755758645806,41.77292879,L437,_,00040,1017
L437__00010.1018,13.276573424310104,41.774967045,L437,_,00010,1018
L437__00050.1018,13.269188229017278,41.76512907,L437,_,00050,1018
L437__00040.1018,13.265947830032768,41.772979415,L437,_,00040,1018
L437__00020.1018,13.284702844511674,41.773166035,L437,_,00020,1018
L437__00010.1019,13.27655844703801,41.775032350000004,L437,_,00010,1019
L437__00040.1019,13.266101341026527,41.773099134999995,L437,_,00040,1019
L437__00020.1019,13.284776243603634,41.773098925,L437,_,00020,1019
L437__00010.102,13.277968745251892,41.77908463,L437,_,00010,102
L437__00110.102,13.277608473039548,41.749295239999995,L437,_,00110,102
L437__00100.102,13.266660157325877,41.754231685,L437,_,00100,102
L437__00090.102,13.255746574327167,41.750859575,L437,_,00090,102
L437__00080.102,13.251949693089983,41.763163795,L437,_,00080,102
L437__00070.102,13.241842792338389,41.762146584999996,L437,_,00070,102
L437__00060.102,13.287839824615286,41.7587167,L437,_,00060,102
L437__00050.102,13.282430526306001,41.76922534,L437,_,00050,102
