nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L478__00010.1,14.184097893497745,38.019362785,L478,_,00010,1
L478__00360.1,14.262020600886263,37.958351969999995,L478,_,00360,1
L478__00350.1,14.247601608775648,37.959674504999995,L478,_,00350,1
L478__00340.1,14.26975199176221,37.966544285,L478,_,00340,1
L478__00330.1,14.268943649780407,37.97414444499999,L478,_,00330,1
L478__00320.1,14.259877221830575,37.971429810000004,L478,_,00320,1
L478__00310.1,14.24922689199343,37.96855961,L478,_,00310,1
L478__00290.1,14.264879682338254,37.982957459999994,L478,_,00290,1
L478__00270.1,14.245141303953588,37.976397875,L478,_,00270,1
L478__00260.1,14.225185434069843,37.97100325,L478,_,00260,1
L478__00230.1,14.260125568787842,37.98892627,L478,_,00230,1
L478__00220.1,14.256255183096215,37.990981005,L478,_,00220,1
L478__00210.1,14.238251919276735,37.98796804,L478,_,00210,1
L478__00200.1,14.236696055067501,37.987526685,L478,_,00200,1
L478__00190.1,14.229703699704551,37.987694805000004,L478,_,00190,1
L478__00180.1,14.223674532143335,37.995985895000004,L478,_,00180,1
L478__00170.1,14.211148842037275,37.993889089999996,L478,_,00170,1
L478__00160.1,14.276917430521483,38.000478115,L478,_,00160,1
L478__00150.1,14.26194654389839,38.00001556,L478,_,00150,1
L478__00140.1,14.249436604901911,38.00265211,L478,_,00140,1
L478__00130.1,14.24319409170386,38.00446754,L478,_,00130,1
L478__00120.1,14.234068787450134,38.0021842,L478,_,00120,1
L478__00110.1,14.221058168884584,38.004594085,L478,_,00110,1
L478__00100.1,14.210001927650865,38.0076786,L478,_,00100,1
L478__00090.1,14.190926862556768,38.00828069000001,L478,_,00090,1
L478__00080.1,14.267697333099415,38.01155059,L478,_,00080,1
L478__00070.1,14.259721494884678,38.009283800000006,L478,_,00070,1
L478__00060.1,14.256808875663282,38.008804485,L478,_,00060,1
L478__00050.1,14.251518384471057,38.009734859999995,L478,_,00050,1
L478__00040.1,14.2313624856656,38.009971345,L478,_,00040,1
L478__00030.1,14.217557765087088,38.012485615,L478,_,00030,1
L478__00020.1,14.196015073786832,38.015620795000004,L478,_,00020,1
L478__00020.10,14.196053941409318,38.015200410000006,L478,_,00020,10
L478__00360.10,14.266365727385988,37.955518765,L478,_,00360,10
L478__00350.10,14.24987200484991,37.958894105,L478,_,00350,10
L478__00340.10,14.272909299900377,37.962842745,L478,_,00340,10
L478__00330.10,14.268993467707293,37.97335192,L478,_,00330,10
L478__00320.10,14.260133885460835,37.97091112,L478,_,00320,10
L478__00310.10,14.250315353725004,37.96876037,L478,_,00310,10
L478__00300.10,14.245605994631855,37.959292635,L478,_,00300,10
L478__00280.10,14.260204415978297,37.982315255,L478,_,00280,10
L478__00270.10,14.245235973481783,37.97602442,L478,_,00270,10
L478__00260.10,14.227167274166767,37.97090909,L478,_,00260,10
L478__00250.10,14.23640730739831,37.97921862,L478,_,00250,10
L478__00240.10,14.211656297031475,37.98158773,L478,_,00240,10
L478__00230.10,14.259120377875206,37.988225615000005,L478,_,00230,10
L478__00220.10,14.252748254776193,37.990331729999994,L478,_,00220,10
L478__00210.10,14.238439450690105,37.98877212,L478,_,00210,10
L478__00200.10,14.236667123040197,37.986739615000005,L478,_,00200,10
L478__00190.10,14.23009210930497,37.98690374,L478,_,00190,10
L478__00180.10,14.223390182260875,37.995257304999996,L478,_,00180,10
L478__00170.10,14.213764752515797,37.993534445,L478,_,00170,10
L478__00160.10,14.272147615214678,37.9988185,L478,_,00160,10
L478__00150.10,14.261528479650444,37.997757055,L478,_,00150,10
L478__00140.10,14.250188717320903,38.001826550000004,L478,_,00140,10
L478__00120.10,14.232269873241542,38.000167475,L478,_,00120,10
L478__00110.10,14.22276405958725,38.00454621,L478,_,00110,10
L478__00100.10,14.216370784719732,38.006524325,L478,_,00100,10
L478__00090.10,14.204661584208045,38.005949855,L478,_,00090,10
L478__00080.10,14.274050119168677,38.00694165,L478,_,00080,10
L478__00070.10,14.265638558132565,38.009080775,L478,_,00070,10
L478__00060.10,14.258862143808141,38.00775858,L478,_,00060,10
L478__00050.10,14.250008124693672,38.01009543,L478,_,00050,10
L478__00030.10,14.226117375306625,38.010831640000006,L478,_,00030,10
L478__00010.100,14.193462705109102,38.014690290000004,L478,_,00010,100
L478__00350.100,14.252876143312927,37.95644172,L478,_,00350,100
L478__00340.100,14.27860775543925,37.961657775000006,L478,_,00340,100
L478__00320.100,14.265248451446809,37.970541784999995,L478,_,00320,100
L478__00310.100,14.249448879507476,37.96706124,L478,_,00310,100
L478__00300.100,14.241132688158334,37.955218855,L478,_,00300,100
L478__00290.100,14.272911364064662,37.979470085,L478,_,00290,100
L478__00280.100,14.261100857441777,37.977200845,L478,_,00280,100
L478__00270.100,14.24379082064042,37.975031900000005,L478,_,00270,100
L478__00260.100,14.232887730221748,37.971107079999996,L478,_,00260,100
L478__00250.100,14.226973572770499,37.974985634999996,L478,_,00250,100
L478__00230.100,14.264960413571615,37.98586061,L478,_,00230,100
L478__00220.100,14.254704611230927,37.987578395,L478,_,00220,100
L478__00200.100,14.236815288007449,37.985835955,L478,_,00200,100
L478__00190.100,14.226261960267149,37.98358569,L478,_,00190,100
L478__00180.100,14.217602549640887,37.990888505,L478,_,00180,100
L478__00170.100,14.214292727479734,37.991091205000004,L478,_,00170,100
L478__00160.100,14.280697754856728,37.99642592,L478,_,00160,100
L478__00150.100,14.26845353331286,37.99405235,L478,_,00150,100
L478__00140.100,14.254036718047884,37.998602250000005,L478,_,00140,100
L478__00130.100,14.241355422849765,37.998397265,L478,_,00130,100
L478__00120.100,14.237364159906779,38.00022352,L478,_,00120,100
L478__00110.100,14.226663177194727,38.00200044,L478,_,00110,100
L478__00100.100,14.215098263741407,38.006507735,L478,_,00100,100
L478__00090.100,14.205928443033557,37.99910255,L478,_,00090,100
L478__00080.100,14.272816085845626,38.001888775,L478,_,00080,100
L478__00070.100,14.26120378933149,38.009085865,L478,_,00070,100
L478__00060.100,14.258712585394598,38.008462145,L478,_,00060,100
L478__00050.100,14.250282571366604,38.009292725,L478,_,00050,100
L478__00030.100,14.230707987403237,38.009484560000004,L478,_,00030,100
L478__00020.100,14.212375219134199,38.009550435,L478,_,00020,100
L478__00030.1000,14.223233138718712,38.010535250000004,L478,_,00030,1000
L478__00210.1000,14.244056678611356,37.986951915,L478,_,00210,1000
L478__00200.1000,14.237924999312131,37.984473394999995,L478,_,00200,1000
L478__00180.1000,14.22060212029795,37.992002025,L478,_,00180,1000
