nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L538__00010.1,7.289994928163571,45.112510605,L538,_,00010,1
L538__00150.1,7.300632051477053,45.084684195,L538,_,00150,1
L538__00130.1,7.286848593204846,45.08633184,L538,_,00130,1
L538__00120.1,7.278464017390387,45.095393345,L538,_,00120,1
L538__00110.1,7.2889640096712185,45.093509155,L538,_,00110,1
L538__00100.1,7.292274025611147,45.087232165,L538,_,00100,1
L538__00090.1,7.296250854668273,45.094636335000004,L538,_,00090,1
L538__00080.1,7.298562263689836,45.100922085,L538,_,00080,1
L538__00060.1,7.282083455384859,45.103051745,L538,_,00060,1
L538__00050.1,7.288795642963249,45.100581945,L538,_,00050,1
L538__00030.1,7.302329855174586,45.10792612,L538,_,00030,1
L538__00020.1,7.283471907445861,45.107584125,L538,_,00020,1
L538__00010.10,7.294452957317683,45.1107085,L538,_,00010,10
L538__00120.10,7.286528467186079,45.09082221,L538,_,00120,10
L538__00110.10,7.292576285704342,45.092974795,L538,_,00110,10
L538__00100.10,7.296691907492953,45.086827505,L538,_,00100,10
L538__00090.10,7.297690685839338,45.09496536,L538,_,00090,10
L538__00080.10,7.300576324269402,45.099673214999996,L538,_,00080,10
L538__00060.10,7.282443785866089,45.101834925000006,L538,_,00060,10
L538__00050.10,7.2878054549144,45.102383235000005,L538,_,00050,10
L538__00030.10,7.298305537126891,45.10700153,L538,_,00030,10
L538__00020.10,7.285198429052123,45.10433621,L538,_,00020,10
L538__00010.100,7.29119837112048,45.10998714,L538,_,00010,100
L538__00110.100,7.293069258007029,45.089606035,L538,_,00110,100
L538__00100.100,7.298800206161027,45.089732025,L538,_,00100,100
L538__00090.100,7.302629283590708,45.0913959,L538,_,00090,100
L538__00080.100,7.305435094644336,45.096564470000004,L538,_,00080,100
L538__00070.100,7.2972913720473835,45.0957171,L538,_,00070,100
L538__00060.100,7.280552095839345,45.09969955,L538,_,00060,100
L538__00050.100,7.288307063442742,45.100884949999994,L538,_,00050,100
L538__00030.100,7.294874118705156,45.10427098,L538,_,00030,100
L538__00020.100,7.295649378303322,45.10582582,L538,_,00020,100
L538__00020.1001,7.295315944459626,45.106514325000006,L538,_,00020,1001
L538__00020.1002,7.295456456430138,45.10649529,L538,_,00020,1002
L538__00020.1003,7.291553124126001,45.105189304999996,L538,_,00020,1003
L538__00020.1004,7.291511971965987,45.105182645,L538,_,00020,1004
L538__00020.1005,7.2914545620264475,45.105245435,L538,_,00020,1005
L538__00020.1006,7.291588310709595,45.10526031,L538,_,00020,1006
L538__00020.1007,7.291582842724492,45.105211985,L538,_,00020,1007
L538__00020.1008,7.291616490556573,45.10515293,L538,_,00020,1008
L538__00020.1009,7.291497676809759,45.104986600000004,L538,_,00020,1009
L538__00010.101,7.291372732468503,45.1098756,L538,_,00010,101
L538__00110.101,7.2925896790118205,45.089464025,L538,_,00110,101
L538__00100.101,7.298530912776517,45.08969094,L538,_,00100,101
L538__00090.101,7.303007658200949,45.09154529,L538,_,00090,101
L538__00080.101,7.30490891718134,45.096503459999994,L538,_,00080,101
L538__00070.101,7.296217049726045,45.095400435,L538,_,00070,101
L538__00060.101,7.280468000233947,45.099861695,L538,_,00060,101
L538__00050.101,7.288208336035474,45.100946735,L538,_,00050,101
L538__00040.101,7.291649810229248,45.101353375,L538,_,00040,101
L538__00030.101,7.295093779192616,45.104374015000005,L538,_,00030,101
L538__00020.101,7.296557848251828,45.10578767,L538,_,00020,101
L538__00020.1010,7.29144519683466,45.103580525,L538,_,00020,1010
L538__00020.1011,7.291594157896567,45.10350343,L538,_,00020,1011
L538__00020.1012,7.291712215451389,45.10350518,L538,_,00020,1012
L538__00020.1013,7.29182894816319,45.10358971,L538,_,00020,1013
L538__00020.1014,7.291948415576922,45.10359214,L538,_,00020,1014
L538__00020.1015,7.291836384012073,45.10490095,L538,_,00020,1015
