nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L598__00010.1,13.382099494182059,41.469618170000004,L598,_,00010,1
L598__00370.1,13.413589018937653,41.40363931500001,L598,_,00370,1
L598__00360.1,13.415361243547537,41.40569368,L598,_,00360,1
L598__00350.1,13.400422763781139,41.41027646,L598,_,00350,1
L598__00340.1,13.391384891353532,41.41665048,L598,_,00340,1
L598__00330.1,13.36693583419125,41.409804925,L598,_,00330,1
L598__00320.1,13.35381507292493,41.40716383,L598,_,00320,1
L598__00310.1,13.361175508584218,41.416670885,L598,_,00310,1
L598__00300.1,13.424225874428593,41.41621551,L598,_,00300,1
L598__00290.1,13.407600066787394,41.417156895,L598,_,00290,1
L598__00280.1,13.42944337035635,41.419954835,L598,_,00280,1
L598__00270.1,13.415922983231688,41.426860975,L598,_,00270,1
L598__00260.1,13.396100543885893,41.42337337,L598,_,00260,1
L598__00250.1,13.38126561023449,41.419813015,L598,_,00250,1
L598__00240.1,13.37302921436732,41.423526255,L598,_,00240,1
L598__00220.1,13.41966577788925,41.437687929999996,L598,_,00220,1
L598__00210.1,13.409967493717769,41.437659464999996,L598,_,00210,1
L598__00200.1,13.400883052455798,41.434415349999995,L598,_,00200,1
L598__00190.1,13.379525579768929,41.428802395,L598,_,00190,1
L598__00180.1,13.389775090029316,41.435705655,L598,_,00180,1
L598__00170.1,13.420800843071653,41.44282222,L598,_,00170,1
L598__00160.1,13.408126262951683,41.444210659999996,L598,_,00160,1
L598__00140.1,13.39677935391052,41.448889640000004,L598,_,00140,1
L598__00130.1,13.386743076181817,41.44293747,L598,_,00130,1
L598__00120.1,13.413906115387359,41.45248839,L598,_,00120,1
L598__00110.1,13.415095423568703,41.456840795000005,L598,_,00110,1
L598__00100.1,13.400654640320013,41.45493649,L598,_,00100,1
L598__00090.1,13.392411125169746,41.458553585000004,L598,_,00090,1
L598__00080.1,13.428164316432412,41.465028535,L598,_,00080,1
L598__00070.1,13.412329833332151,41.46521191,L598,_,00070,1
L598__00060.1,13.399859778664085,41.466986795,L598,_,00060,1
L598__00050.1,13.388895588270337,41.465663085,L598,_,00050,1
L598__00040.1,13.418044329407408,41.469118574999996,L598,_,00040,1
L598__00030.1,13.397580245640455,41.475021795,L598,_,00030,1
L598__00020.1,13.393635298086927,41.47747538,L598,_,00020,1
L598__00010.10,13.38540522621545,41.475482345,L598,_,00010,10
L598__00370.10,13.411371536445277,41.4015837,L598,_,00370,10
L598__00360.10,13.417184638151195,41.406091419999996,L598,_,00360,10
L598__00350.10,13.403262286956668,41.40930751,L598,_,00350,10
L598__00340.10,13.389629570772916,41.41554946,L598,_,00340,10
L598__00330.10,13.372941391936287,41.4103132,L598,_,00330,10
L598__00320.10,13.359571041798326,41.405596525,L598,_,00320,10
L598__00310.10,13.357549310388114,41.413420715,L598,_,00310,10
L598__00300.10,13.416923146396517,41.413541425,L598,_,00300,10
L598__00290.10,13.409743951721403,41.416218099999995,L598,_,00290,10
L598__00280.10,13.4209977586359,41.41578389,L598,_,00280,10
L598__00270.10,13.4153657947654,41.425753935,L598,_,00270,10
L598__00260.10,13.3987799259375,41.422910045,L598,_,00260,10
L598__00250.10,13.379381511847097,41.41894375,L598,_,00250,10
L598__00240.10,13.369182050258301,41.417246205,L598,_,00240,10
L598__00230.10,13.423489868977356,41.428077619999996,L598,_,00230,10
L598__00220.10,13.42233312158692,41.437963780000004,L598,_,00220,10
L598__00210.10,13.413968073362973,41.437374295,L598,_,00210,10
L598__00190.10,13.385904505996233,41.424856105,L598,_,00190,10
L598__00180.10,13.398049467776726,41.432354360000005,L598,_,00180,10
L598__00170.10,13.426808542290289,41.44381847,L598,_,00170,10
L598__00160.10,13.410193528581372,41.44326461,L598,_,00160,10
L598__00150.10,13.401826813332816,41.447264295,L598,_,00150,10
L598__00130.10,13.393310939218779,41.435438695,L598,_,00130,10
L598__00120.10,13.413454330622564,41.45222561,L598,_,00120,10
L598__00110.10,13.418132929308506,41.455372780000005,L598,_,00110,10
L598__00100.10,13.403879044412383,41.45313512,L598,_,00100,10
L598__00090.10,13.3917984733218,41.457695355,L598,_,00090,10
L598__00080.10,13.424282776029703,41.462892659999994,L598,_,00080,10
L598__00070.10,13.412126296716593,41.46219279,L598,_,00070,10
L598__00050.10,13.394283494970974,41.459584065,L598,_,00050,10
L598__00040.10,13.413104274795938,41.46520404,L598,_,00040,10
L598__00030.10,13.399856232077681,41.471965935,L598,_,00030,10
L598__00020.10,13.39114351009065,41.476874875,L598,_,00020,10
L598__00010.100,13.386282976869127,41.470196365,L598,_,00010,100
L598__00350.100,13.404340724921134,41.405650609999995,L598,_,00350,100
L598__00340.100,13.386228337956933,41.41109578,L598,_,00340,100
L598__00330.100,13.376316672799263,41.408976225,L598,_,00330,100
L598__00270.100,13.41325419682403,41.42461328,L598,_,00270,100
L598__00260.100,13.40372548768432,41.41888557,L598,_,00260,100
L598__00250.100,13.375167052621133,41.41598683,L598,_,00250,100
L598__00240.100,13.369924993604076,41.412744935,L598,_,00240,100
L598__00230.100,13.433652837357318,41.428875685,L598,_,00230,100
L598__00220.100,13.424386887641656,41.43239676,L598,_,00220,100
L598__00210.100,13.417611834576933,41.434012015,L598,_,00210,100
L598__00200.100,13.40723494789972,41.42716552,L598,_,00200,100
