nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L612__00010.1,12.272319445429991,42.402437405,L612,_,00010,1
L612__00150.1,12.257371034392303,42.357984200000004,L612,_,00150,1
L612__00140.1,12.241307303313201,42.35995537,L612,_,00140,1
L612__00130.1,12.219802960625003,42.357207315,L612,_,00130,1
L612__00120.1,12.233853354754098,42.36337492,L612,_,00120,1
L612__00100.1,12.263893383819532,42.368578835,L612,_,00100,1
L612__00090.1,12.253970248355884,42.369082295,L612,_,00090,1
L612__00080.1,12.241037015404395,42.367979845,L612,_,00080,1
L612__00060.1,12.246832512231734,42.37698173,L612,_,00060,1
L612__00050.1,12.269832616662573,42.388312580000004,L612,_,00050,1
L612__00030.1,12.262861209252417,42.385082495000006,L612,_,00030,1
L612__00020.1,12.265980462027269,42.392547445,L612,_,00020,1
L612__00010.10,12.273064551824994,42.399904415,L612,_,00010,10
L612__00140.10,12.244511441842132,42.359688725,L612,_,00140,10
L612__00130.10,12.234637167485754,42.35435765,L612,_,00130,10
L612__00120.10,12.229881083224692,42.360816185000004,L612,_,00120,10
L612__00110.10,12.28013734227764,42.367402615,L612,_,00110,10
L612__00090.10,12.259993836786144,42.368712435,L612,_,00090,10
L612__00080.10,12.243861450949602,42.368000025,L612,_,00080,10
L612__00060.10,12.253491528547805,42.377462245000004,L612,_,00060,10
L612__00050.10,12.272611736551285,42.387071225,L612,_,00050,10
L612__00030.10,12.263486889226112,42.385200195,L612,_,00030,10
L612__00020.10,12.250525577662675,42.389914434999994,L612,_,00020,10
L612__00010.100,12.27531571597336,42.39314736,L612,_,00010,100
L612__00150.100,12.264893503005847,42.35043301,L612,_,00150,100
L612__00140.100,12.243134642061486,42.35921236,L612,_,00140,100
L612__00120.100,12.236861732459396,42.355451145,L612,_,00120,100
L612__00110.100,12.283619379366375,42.36247686,L612,_,00110,100
L612__00100.100,12.273165566148192,42.364193445,L612,_,00100,100
L612__00090.100,12.257362785518675,42.36459756,L612,_,00090,100
L612__00080.100,12.24534219263866,42.36095098,L612,_,00080,100
L612__00070.100,12.266995410648164,42.37024197,L612,_,00070,100
L612__00060.100,12.253715724372352,42.371901234999996,L612,_,00060,100
L612__00050.100,12.264329228154079,42.380975735,L612,_,00050,100
L612__00040.100,12.25712252484647,42.38027943,L612,_,00040,100
L612__00030.100,12.263342742631204,42.385169225,L612,_,00030,100
L612__00020.100,12.27022562159221,42.388947990000005,L612,_,00020,100
L612__00040.1000,12.254338589704268,42.380810010000005,L612,_,00040,1000
L612__00040.1001,12.25435946165888,42.382758485,L612,_,00040,1001
L612__00030.1002,12.261941729863654,42.383193425,L612,_,00030,1002
L612__00040.1002,12.254482582436047,42.382763405,L612,_,00040,1002
L612__00030.1003,12.261773574283001,42.383731865,L612,_,00030,1003
L612__00040.1003,12.255113670418723,42.383016915,L612,_,00040,1003
L612__00040.1005,12.255703047252604,42.382982049999995,L612,_,00040,1005
L612__00030.1006,12.26182412241667,42.383799624999995,L612,_,00030,1006
L612__00030.1007,12.262380500985369,42.383985165,L612,_,00030,1007
L612__00040.1007,12.261644066510957,42.381979935000004,L612,_,00040,1007
L612__00030.1008,12.261865895964327,42.383738425000004,L612,_,00030,1008
L612__00030.1009,12.26241159403861,42.383886329999996,L612,_,00030,1009
L612__00040.1009,12.260731151461513,42.383555965,L612,_,00040,1009
L612__00010.101,12.277195304922529,42.395511135,L612,_,00010,101
L612__00150.101,12.265303860026712,42.350732535000006,L612,_,00150,101
L612__00140.101,12.247545888422621,42.359956034999996,L612,_,00140,101
L612__00130.101,12.227858274243658,42.35652191,L612,_,00130,101
L612__00110.101,12.283438848160266,42.362173395,L612,_,00110,101
L612__00100.101,12.272385265358047,42.36369379,L612,_,00100,101
L612__00080.101,12.245934867839033,42.361385515,L612,_,00080,101
L612__00070.101,12.268096432065729,42.370387025,L612,_,00070,101
L612__00060.101,12.254174342937127,42.372003434999996,L612,_,00060,101
L612__00020.101,12.269518878945318,42.38941054,L612,_,00020,101
L612__00040.1010,12.255233081916199,42.38529898,L612,_,00040,1010
L612__00030.1011,12.262110410776746,42.38373709,L612,_,00030,1011
L612__00040.1011,12.255145555806848,42.38505173,L612,_,00040,1011
L612__00040.1012,12.255176642442311,42.385172395,L612,_,00040,1012
L612__00040.1013,12.250129844574804,42.38466375,L612,_,00040,1013
L612__00040.1014,12.250601327562624,42.384579695,L612,_,00040,1014
L612__00040.1015,12.250225411449534,42.38437865,L612,_,00040,1015
L612__00040.1016,12.250133383103005,42.384608035,L612,_,00040,1016
L612__00040.1017,12.250511966440111,42.384141,L612,_,00040,1017
L612__00030.1018,12.26197049421625,42.383708105,L612,_,00030,1018
L612__00040.1018,12.253389972615372,42.383540545,L612,_,00040,1018
L612__00010.102,12.272471595077121,42.39153331,L612,_,00010,102
L612__00150.102,12.264871547084098,42.350096085000004,L612,_,00150,102
L612__00140.102,12.24724725364932,42.355172010000004,L612,_,00140,102
L612__00130.102,12.228419264937049,42.35582678,L612,_,00130,102
L612__00120.102,12.235232261434883,42.354951495,L612,_,00120,102
L612__00110.102,12.283338085728634,42.361729025,L612,_,00110,102
L612__00100.102,12.273394696228298,42.363849744999996,L612,_,00100,102
L612__00090.102,12.258297403120542,42.36356286,L612,_,00090,102
L612__00080.102,12.246866996553337,42.361320195,L612,_,00080,102
L612__00070.102,12.26799548720305,42.369948910000005,L612,_,00070,102
L612__00060.102,12.254142203794213,42.371567255,L612,_,00060,102
L612__00050.102,12.264542228578158,42.381460860000004,L612,_,00050,102
L612__00040.102,12.257552311267705,42.38014703,L612,_,00040,102
L612__00030.102,12.263382916964963,42.385076115000004,L612,_,00030,102
L612__00020.102,12.270164773419147,42.389335145000004,L612,_,00020,102
L612__00040.1020,12.261928785757288,42.382007834999996,L612,_,00040,1020
L612__00040.1021,12.261743508492192,42.380926349999996,L612,_,00040,1021
L612__00030.1022,12.26170117560573,42.38382397,L612,_,00030,1022
