nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L741__00010.1,7.525847265207035,43.85127925,L741,_,00010,1
L741__00690.1,7.628427424855227,43.78947609,L741,_,00690,1
L741__00640.1,7.600081583287016,43.79315578,L741,_,00640,1
L741__00630.1,7.602589646486308,43.79714192,L741,_,00630,1
L741__00620.1,7.594940601824053,43.804680344999994,L741,_,00620,1
L741__00610.1,7.590847891970937,43.821193625,L741,_,00610,1
L741__00600.1,7.582110400883936,43.82007304,L741,_,00600,1
L741__00590.1,7.5783035052552705,43.811324755,L741,_,00590,1
L741__00580.1,7.58309672383214,43.803752335,L741,_,00580,1
L741__00570.1,7.576065738630147,43.807918005,L741,_,00570,1
L741__00560.1,7.583093061971967,43.797868210000004,L741,_,00560,1
L741__00550.1,7.563111105920418,43.79866648,L741,_,00550,1
L741__00540.1,7.54554046054812,43.796357295,L741,_,00540,1
L741__00530.1,7.54448413178917,43.790501575,L741,_,00530,1
L741__00520.1,7.538124966801772,43.791245645000004,L741,_,00520,1
L741__00510.1,7.530089290078404,43.7885325,L741,_,00510,1
L741__00500.1,7.526648217159936,43.794074815,L741,_,00500,1
L741__00490.1,7.5287777206298845,43.804653435000006,L741,_,00490,1
L741__00480.1,7.544257682422842,43.796739615,L741,_,00480,1
L741__00470.1,7.5418984539339196,43.80976737,L741,_,00470,1
L741__00460.1,7.550117143183439,43.81104467,L741,_,00460,1
L741__00440.1,7.569222491574492,43.808313865,L741,_,00440,1
L741__00430.1,7.5688137609933435,43.81115414,L741,_,00430,1
L741__00420.1,7.567335634560639,43.816239780000004,L741,_,00420,1
L741__00410.1,7.570939662957529,43.8246623,L741,_,00410,1
L741__00400.1,7.558236637755838,43.82605821,L741,_,00400,1
L741__00390.1,7.5431940436776586,43.82708187,L741,_,00390,1
L741__00380.1,7.545948231746816,43.813697489999996,L741,_,00380,1
L741__00370.1,7.5315095787991595,43.819622280000004,L741,_,00370,1
L741__00360.1,7.517579099978275,43.81280619,L741,_,00360,1
L741__00350.1,7.525153056114906,43.82397933,L741,_,00350,1
L741__00340.1,7.510952465833215,43.826651475,L741,_,00340,1
L741__00330.1,7.50785794698254,43.838450445,L741,_,00330,1
L741__00320.1,7.520097533281984,43.835647745,L741,_,00320,1
L741__00310.1,7.531995063540073,43.835772590000005,L741,_,00310,1
L741__00300.1,7.536273166405257,43.831915295,L741,_,00300,1
L741__00290.1,7.546623500014485,43.829470055,L741,_,00290,1
L741__00280.1,7.546514019656952,43.832967235,L741,_,00280,1
L741__0027.1,7.542238319827291,43.84336288,L741,_,0027,1
L741__00260.1,7.549905249734332,43.843258895000005,L741,_,00260,1
L741__00250.1,7.556891114653517,43.842503230000005,L741,_,00250,1
L741__00240.1,7.556769674474333,43.830287295,L741,_,00240,1
L741__00230.1,7.567733205213274,43.84094313,L741,_,00230,1
L741__00210.1,7.577772025439613,43.848110135,L741,_,00210,1
L741__00200.1,7.59155335271247,43.843475505,L741,_,00200,1
L741__00190.1,7.588683498609638,43.848383675,L741,_,00190,1
L741__00180.1,7.596617783351207,43.848384010000004,L741,_,00180,1
L741__00170.1,7.60305404501376,43.850656935,L741,_,00170,1
L741__00160.1,7.5862889367367,43.858487034999996,L741,_,00160,1
L741__00150.1,7.590456208664252,43.86572285,L741,_,00150,1
L741__00140.1,7.584047220997926,43.872245144999994,L741,_,00140,1
L741__00130.1,7.583207515424441,43.86314565,L741,_,00130,1
L741__00120.1,7.580645362790277,43.849854605000004,L741,_,00120,1
L741__00110.1,7.561472225024792,43.850988465,L741,_,00110,1
L741__00100.1,7.555496874527982,43.849559235,L741,_,00100,1
L741__00090.1,7.552316619264903,43.85312123,L741,_,00090,1
L741__00080.1,7.54892243007109,43.85051086,L741,_,00080,1
L741__00070.1,7.537937855589693,43.84884556,L741,_,00070,1
L741__00060.1,7.54163560881724,43.85243864,L741,_,00060,1
L741__00050.1,7.532057635809208,43.861294834999995,L741,_,00050,1
L741__00040.1,7.532175437689822,43.848712219999996,L741,_,00040,1
L741__00030.1,7.531555053590818,43.847985095,L741,_,00030,1
L741__00020.1,7.525395882630563,43.841791474999994,L741,_,00020,1
L741__00010.10,7.52624774488634,43.85052437,L741,_,00010,10
L741__00690.10,7.630324196370816,43.78845072,L741,_,00690,10
L741__00680.10,7.621396547521578,43.78881363,L741,_,00680,10
L741__00670.10,7.614799668015479,43.792739755,L741,_,00670,10
L741__00660.10,7.613879202371416,43.790407544999994,L741,_,00660,10
L741__00650.10,7.606253932805785,43.79373483,L741,_,00650,10
L741__00620.10,7.59617180415688,43.80436505,L741,_,00620,10
L741__00610.10,7.592979794337343,43.82120747,L741,_,00610,10
L741__00590.10,7.579449692802872,43.81226798,L741,_,00590,10
L741__00580.10,7.585422123963347,43.803162225,L741,_,00580,10
L741__00570.10,7.577002732029195,43.80770936,L741,_,00570,10
L741__00560.10,7.58519064958527,43.79670014,L741,_,00560,10
L741__00550.10,7.563690461868969,43.797780195,L741,_,00550,10
L741__00540.10,7.548999363316458,43.79439630500001,L741,_,00540,10
L741__00530.10,7.5446977510093385,43.789819545,L741,_,00530,10
L741__00520.10,7.538997226684451,43.790962719999996,L741,_,00520,10
L741__00510.10,7.532873397498349,43.788906635000004,L741,_,00510,10
L741__00500.10,7.528036381917946,43.79367998,L741,_,00500,10
L741__00490.10,7.529437137987371,43.802804214999995,L741,_,00490,10
L741__00480.10,7.542364666798717,43.796302104999995,L741,_,00480,10
L741__00470.10,7.543328741008853,43.805623925000006,L741,_,00470,10
L741__00460.10,7.550306369345062,43.811016925000004,L741,_,00460,10
L741__00450.10,7.562124556127129,43.8022203,L741,_,00450,10
L741__00440.10,7.570427012057454,43.80756058,L741,_,00440,10
L741__00430.10,7.568747951878819,43.80949057,L741,_,00430,10
L741__00420.10,7.566577227714639,43.814104404999995,L741,_,00420,10
