nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L795__00010.1,9.779379082002144,45.853632155,L795,_,00010,1
L795__00140.1,9.850094156085365,45.811366645,L795,_,00140,1
L795__00130.1,9.857062694746139,45.811698015000005,L795,_,00130,1
L795__00120.1,9.852265025017308,45.815523330000005,L795,_,00120,1
L795__00100.1,9.844921384833526,45.8245886,L795,_,00100,1
L795__00090.1,9.833971715789158,45.821024875,L795,_,00090,1
L795__00080.1,9.830078579138267,45.825753840000004,L795,_,00080,1
L795__00060.1,9.79551378743531,45.82446663,L795,_,00060,1
L795__00050.1,9.834918168760455,45.837491815,L795,_,00050,1
L795__00030.1,9.811599615154655,45.83924849500001,L795,_,00030,1
L795__00020.1,9.80025131416972,45.83728626,L795,_,00020,1
L795__00010.10,9.79116345216119,45.851137395,L795,_,00010,10
L795__00150.10,9.846487769605169,45.807950665,L795,_,00150,10
L795__00140.10,9.850219432649743,45.810758195000005,L795,_,00140,10
L795__00130.10,9.85670058813874,45.811158795,L795,_,00130,10
L795__00120.10,9.851325382669604,45.814180730000004,L795,_,00120,10
L795__00110.10,9.8461402975589,45.813681535,L795,_,00110,10
L795__00100.10,9.844278002522831,45.82389841,L795,_,00100,10
L795__00080.10,9.830396501796953,45.8261872,L795,_,00080,10
L795__00070.10,9.811896308538824,45.823696865,L795,_,00070,10
L795__00060.10,9.80556431604818,45.826024024999995,L795,_,00060,10
L795__00040.10,9.827515055677233,45.83690764,L795,_,00040,10
L795__00030.10,9.818545282311094,45.83827063,L795,_,00030,10
L795__00020.10,9.80706956200072,45.839523760000006,L795,_,00020,10
L795__00040.100,9.818504542901026,45.828678985,L795,_,00040,100
L795__00150.100,9.847360813205015,45.805767315,L795,_,00150,100
L795__00140.100,9.84966765920103,45.810262535,L795,_,00140,100
L795__00120.100,9.85554647606958,45.81197317,L795,_,00120,100
L795__00110.100,9.848821446752584,45.812986665,L795,_,00110,100
L795__00100.100,9.84604044605421,45.816961385,L795,_,00100,100
L795__00090.100,9.836873715442088,45.814918555,L795,_,00090,100
L795__00070.100,9.820287574655957,45.818055720000004,L795,_,00070,100
L795__00050.100,9.844270801688221,45.827423815,L795,_,00050,100
L795__00040.101,9.820147061528749,45.82860893,L795,_,00040,101
L795__00150.101,9.847733556702583,45.80756828,L795,_,00150,101
L795__00140.101,9.849386723128939,45.81016869,L795,_,00140,101
L795__00120.101,9.855791314390313,45.812229125,L795,_,00120,101
L795__00110.101,9.849030004003616,45.81306757,L795,_,00110,101
L795__00080.101,9.828975417056752,45.814083659999994,L795,_,00080,101
L795__00070.101,9.819856946570821,45.8182204,L795,_,00070,101
L795__00050.101,9.83315100224648,45.82876297,L795,_,00050,101
L795__00040.102,9.819270968683277,45.828350535,L795,_,00040,102
L795__00150.102,9.847622893020485,45.807726485,L795,_,00150,102
L795__00140.102,9.8494237010168,45.810190004999995,L795,_,00140,102
L795__00130.102,9.85387794727858,45.80800275,L795,_,00130,102
L795__00110.102,9.849059547773962,45.81329623,L795,_,00110,102
L795__00100.102,9.846282630584586,45.817330775,L795,_,00100,102
L795__00090.102,9.840544959187945,45.81509444,L795,_,00090,102
L795__00080.102,9.824274029115626,45.817788975,L795,_,00080,102
L795__00070.102,9.820470863132872,45.817830625,L795,_,00070,102
L795__00050.102,9.832619694333811,45.82662927,L795,_,00050,102
L795__00040.103,9.819895272565358,45.827561745,L795,_,00040,103
L795__00140.103,9.84951396638255,45.810230785,L795,_,00140,103
L795__00130.103,9.85378265236755,45.80794048,L795,_,00130,103
L795__00120.103,9.85617362233669,45.8123355,L795,_,00120,103
L795__00110.103,9.849135640467061,45.813126525,L795,_,00110,103
L795__00100.103,9.846699846435765,45.817398440000005,L795,_,00100,103
L795__00090.103,9.839613614977786,45.814989815,L795,_,00090,103
L795__00080.103,9.826220151706643,45.8195488,L795,_,00080,103
L795__00070.103,9.820360738684762,45.817309675,L795,_,00070,103
L795__00050.103,9.834967452548902,45.827356185,L795,_,00050,103
L795__00040.104,9.821073805620312,45.82739585,L795,_,00040,104
L795__00150.104,9.848992986396109,45.805566245,L795,_,00150,104
L795__00140.104,9.84949688873389,45.810179585,L795,_,00140,104
L795__00120.104,9.856019769364895,45.812196545,L795,_,00120,104
L795__00100.104,9.846457488558308,45.816757085000006,L795,_,00100,104
L795__00090.104,9.839994735410729,45.815135080000005,L795,_,00090,104
L795__00080.104,9.830832202127384,45.813002095,L795,_,00080,104
L795__00070.104,9.820132648889405,45.816864734999996,L795,_,00070,104
L795__00050.104,9.834875298608367,45.82663787,L795,_,00050,104
L795__00040.105,9.82214391639074,45.827048855,L795,_,00040,105
L795__00150.105,9.849568093648523,45.805525994999996,L795,_,00150,105
L795__00140.105,9.849609693685775,45.81024446,L795,_,00140,105
L795__00130.105,9.854419035125703,45.80832801,L795,_,00130,105
L795__00120.105,9.85630622305985,45.812198185,L795,_,00120,105
L795__00110.105,9.849286588147525,45.812951795,L795,_,00110,105
L795__00100.105,9.846739016275276,45.81667467,L795,_,00100,105
L795__00090.105,9.840231479478103,45.815002109999995,L795,_,00090,105
L795__00080.105,9.825947158502565,45.818823460000004,L795,_,00080,105
L795__00070.105,9.822035365442282,45.818348105,L795,_,00070,105
L795__00050.105,9.835798430129975,45.826581045,L795,_,00050,105
L795__00040.106,9.825054803877222,45.82836053,L795,_,00040,106
L795__00150.106,9.849627444566213,45.806340515,L795,_,00150,106
L795__00140.106,9.849651817969882,45.81021414999999,L795,_,00140,106
L795__00130.106,9.85523892256311,45.808650105,L795,_,00130,106
L795__00120.106,9.856007048959494,45.81199705,L795,_,00120,106
L795__00110.106,9.849465067794577,45.813060969999995,L795,_,00110,106
L795__00100.106,9.848476908690472,45.81792517,L795,_,00100,106
L795__00090.106,9.841029387579532,45.815142175,L795,_,00090,106
L795__00080.106,9.82632324630491,45.81866319,L795,_,00080,106
L795__00070.106,9.821951340233127,45.81814459,L795,_,00070,106
L795__00050.106,9.83644235761869,45.82687435,L795,_,00050,106
L795__00050.107,9.837632295543488,45.827316725,L795,_,00050,107
L795__00130.107,9.854818875480769,45.808119345,L795,_,00130,107
L795__00120.107,9.855844181156524,45.811856815,L795,_,00120,107
L795__00110.107,9.848973479015545,45.812813399999996,L795,_,00110,107
L795__00100.107,9.849382916918813,45.81716595,L795,_,00100,107
L795__00090.107,9.835195106852582,45.815077544999994,L795,_,00090,107
L795__00080.107,9.827009950963049,45.818550810000005,L795,_,00080,107
L795__00070.107,9.821293281099155,45.818152995000005,L795,_,00070,107
L795__00050.108,9.8376576957995,45.826845795,L795,_,00050,108
L795__00150.108,9.849816835909692,45.806046609999996,L795,_,00150,108
L795__00140.108,9.849420061379455,45.810074099999994,L795,_,00140,108
L795__00130.108,9.854954123757533,45.808067140000006,L795,_,00130,108
L795__00110.108,9.849063802702638,45.812685970000004,L795,_,00110,108
L795__00100.108,9.849616097023908,45.816883430000004,L795,_,00100,108
L795__00090.108,9.83467559312169,45.81486683,L795,_,00090,108
L795__00080.108,9.826698013959698,45.81850706,L795,_,00080,108
L795__00070.108,9.821272335643231,45.81731995,L795,_,00070,108
L795__00040.109,9.82273511616862,45.827120640000004,L795,_,00040,109
L795__00150.109,9.849670702031794,45.806020515,L795,_,00150,109
L795__00140.109,9.849517083076654,45.810143815,L795,_,00140,109
L795__00130.109,9.854992514968766,45.80820464,L795,_,00130,109
L795__00120.109,9.856592990406499,45.812172935,L795,_,00120,109
L795__00110.109,9.849342759808525,45.812697365000005,L795,_,00110,109
L795__00100.109,9.84941533291135,45.816620855,L795,_,00100,109
L795__00090.109,9.834981522470969,45.814905855,L795,_,00090,109
L795__00080.109,9.827666591812024,45.81832929,L795,_,00080,109
L795__00070.109,9.82170741625098,45.817230205,L795,_,00070,109
L795__00050.109,9.838792624987736,45.827020605,L795,_,00050,109
L795__00010.11,9.788139841687954,45.84566985,L795,_,00010,11
L795__00140.11,9.850358632247683,45.81075761,L795,_,00140,11
L795__00130.11,9.856961261691918,45.81105235,L795,_,00130,11
L795__00120.11,9.852040265675654,45.815347779999996,L795,_,00120,11
L795__00080.11,9.83078826807466,45.82552773,L795,_,00080,11
L795__00070.11,9.812053635400162,45.822251345,L795,_,00070,11
L795__00060.11,9.80606843410155,45.824828915,L795,_,00060,11
L795__00050.11,9.832437932696763,45.83368832,L795,_,00050,11
L795__00040.11,9.827162991524004,45.836161725,L795,_,00040,11
L795__00030.11,9.819421626824441,45.838392305,L795,_,00030,11
L795__00020.11,9.808375424002366,45.83951813,L795,_,00020,11
L795__00040.110,9.82454816511369,45.827486645,L795,_,00040,110
L795__00150.110,9.849867076405406,45.805826075,L795,_,00150,110
L795__00140.110,9.84966842384211,45.810074099999994,L795,_,00140,110
L795__00130.110,9.855155862974746,45.808088165,L795,_,00130,110
L795__00120.110,9.85677657303075,45.812054614999994,L795,_,00120,110
L795__00110.110,9.84969058620407,45.812910865,L795,_,00110,110
L795__00100.110,9.850023408972842,45.816655115,L795,_,00100,110
L795__00080.110,9.826005138950464,45.8178956,L795,_,00080,110
L795__00070.110,9.81101681571997,45.816361224999994,L795,_,00070,110
L795__00050.110,9.839834826143548,45.827237690000004,L795,_,00050,110
L795__00040.111,9.824284082927804,45.827007905,L795,_,00040,111
L795__00150.111,9.850017107439962,45.80583043,L795,_,00150,111
L795__00140.111,9.849481967433874,45.80999034,L795,_,00140,111
L795__00130.111,9.85503089046615,45.80839265,L795,_,00130,111
L795__00120.111,9.856850097584053,45.811963770000006,L795,_,00120,111
L795__00100.111,9.850961000570965,45.817254485,L795,_,00100,111
L795__00090.111,9.834424203652102,45.81497812,L795,_,00090,111
L795__00070.111,9.81118132927314,45.816084105,L795,_,00070,111
L795__00050.111,9.838859478366988,45.82676486,L795,_,00050,111
L795__00040.112,9.824286192429279,45.82671565,L795,_,00040,112
L795__00150.112,9.849773893842464,45.80541647,L795,_,00150,112
L795__00140.112,9.849528472251656,45.80992434,L795,_,00140,112
L795__00130.112,9.855152785854102,45.80829248,L795,_,00130,112
L795__00120.112,9.856732462259696,45.811977784999996,L795,_,00120,112
L795__00110.112,9.850199203196079,45.81288328,L795,_,00110,112
L795__00100.112,9.85097314774195,45.81714843,L795,_,00100,112
L795__00090.112,9.834847580440915,45.8143321,L795,_,00090,112
L795__00040.113,9.826250719974176,45.82676902,L795,_,00040,113
L795__00150.113,9.849586134464523,45.805243610000005,L795,_,00150,113
L795__00140.113,9.849598270260685,45.809930640000005,L795,_,00140,113
L795__00130.113,9.855324496018213,45.808590385,L795,_,00130,113
L795__00120.113,9.851247799435605,45.811940195,L795,_,00120,113
L795__00110.113,9.841334799902363,45.812586815,L795,_,00110,113
L795__00090.113,9.834584471867739,45.8144043,L795,_,00090,113
L795__00070.113,9.812096946248818,45.81677186,L795,_,00070,113
L795__00040.114,9.827876101509384,45.827470755,L795,_,00040,114
L795__00130.114,9.855794552193421,45.808285615,L795,_,00130,114
L795__00120.114,9.85671377711584,45.81191792,L795,_,00120,114
L795__00110.114,9.841362421587363,45.812427025000005,L795,_,00110,114
L795__00090.114,9.83466408335758,45.814115400000006,L795,_,00090,114
