nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L801__00010.1,12.951585956529954,46.401734215000005,L801,_,00010,1
L801__00340.1,12.94580446298129,46.342985525,L801,_,00340,1
L801__00320.1,12.937995543033576,46.355560305,L801,_,00320,1
L801__00310.1,12.906258668771471,46.348121855,L801,_,00310,1
L801__00300.1,12.975026087609496,46.37064436,L801,_,00300,1
L801__00290.1,12.96665705721584,46.37201174,L801,_,00290,1
L801__00280.1,12.958270855670253,46.369927239999996,L801,_,00280,1
L801__00270.1,12.928855050081907,46.35619194,L801,_,00270,1
L801__00260.1,12.918716817380638,46.356710125,L801,_,00260,1
L801__00230.1,12.990160718434094,46.378946185000004,L801,_,00230,1
L801__00220.1,12.98476889225434,46.37539991,L801,_,00220,1
L801__00210.1,12.970501607142264,46.38330933,L801,_,00210,1
L801__00200.1,12.960773254100673,46.38347982,L801,_,00200,1
L801__00180.1,12.939739529153977,46.38967487,L801,_,00180,1
L801__00170.1,13.0063242180899,46.384416040000005,L801,_,00170,1
L801__00160.1,12.996993814710148,46.385689095000004,L801,_,00160,1
L801__00150.1,12.992770943104539,46.387510254999995,L801,_,00150,1
L801__00140.1,12.980179806463799,46.38393864,L801,_,00140,1
L801__00130.1,12.980333026568015,46.38709792,L801,_,00130,1
L801__00120.1,12.976311946373418,46.387344965,L801,_,00120,1
L801__00100.1,12.98425209671227,46.391013985,L801,_,00100,1
L801__00090.1,12.972654953251666,46.391637169999996,L801,_,00090,1
L801__00080.1,12.986773370456786,46.395282545,L801,_,00080,1
L801__00070.1,12.973129312652857,46.396332095000005,L801,_,00070,1
L801__00060.1,12.966531109971587,46.391809315,L801,_,00060,1
L801__00050.1,12.939062872039903,46.395747400000005,L801,_,00050,1
L801__00040.1,13.00277456903148,46.390862105,L801,_,00040,1
L801__00030.1,12.991718152170463,46.39298749,L801,_,00030,1
L801__00020.1,12.972254168079115,46.402121234999996,L801,_,00020,1
L801__00010.10,12.956132040524224,46.401443154999995,L801,_,00010,10
L801__00340.10,12.916839096610994,46.34710227,L801,_,00340,10
L801__00310.10,12.910031789002456,46.3485492,L801,_,00310,10
L801__00300.10,12.97681402335526,46.368362954999995,L801,_,00300,10
L801__00290.10,12.969251142317466,46.37190316,L801,_,00290,10
L801__00280.10,12.958679316234107,46.368137149999995,L801,_,00280,10
L801__00270.10,12.931968725311718,46.35738295,L801,_,00270,10
L801__00260.10,12.925891543230168,46.356026865000004,L801,_,00260,10
L801__00240.10,12.910113754725387,46.350265289999996,L801,_,00240,10
L801__00230.10,12.992089185340479,46.378222969999996,L801,_,00230,10
L801__00220.10,12.98920562633661,46.37881615,L801,_,00220,10
L801__00210.10,12.968723181726023,46.38296033,L801,_,00210,10
L801__00200.10,12.961162348828154,46.382200870000005,L801,_,00200,10
L801__00190.10,12.95170859852317,46.38360978,L801,_,00190,10
