nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L816__00010.1,10.421639344606282,46.3297242,L816,_,00010,1
L816__00480.1,10.412454409745417,46.213749345,L816,_,00480,1
L816__00470.1,10.404328956120853,46.219980930000006,L816,_,00470,1
L816__00460.1,10.413303038770017,46.228372225,L816,_,00460,1
L816__00450.1,10.40446033411314,46.234572805,L816,_,00450,1
L816__00440.1,10.384926990324121,46.228535385,L816,_,00440,1
L816__00430.1,10.396566849255166,46.226577285,L816,_,00430,1
L816__00420.1,10.392688455941064,46.233940625,L816,_,00420,1
L816__00400.1,10.380013015676319,46.232186060000004,L816,_,00400,1
L816__00390.1,10.37977675520538,46.23554281,L816,_,00390,1
L816__00360.1,10.383946118188858,46.237242155000004,L816,_,00360,1
L816__00350.1,10.37611869715273,46.237710155,L816,_,00350,1
L816__00340.1,10.416554297613867,46.24149063,L816,_,00340,1
L816__00330.1,10.404342196372955,46.240771255,L816,_,00330,1
L816__00320.1,10.399133582912459,46.241480815,L816,_,00320,1
L816__00310.1,10.396753300621928,46.241930095,L816,_,00310,1
L816__00300.1,10.392340330066162,46.239635055,L816,_,00300,1
L816__00290.1,10.385985361187629,46.240773015,L816,_,00290,1
L816__00280.1,10.379403466948068,46.24102666,L816,_,00280,1
L816__00270.1,10.413757455716825,46.246901609999995,L816,_,00270,1
L816__00260.1,10.412985570260634,46.246467960000004,L816,_,00260,1
L816__00250.1,10.40882029444381,46.24990928,L816,_,00250,1
L816__00240.1,10.404611883180802,46.245926850000004,L816,_,00240,1
L816__00230.1,10.40677718463493,46.251162835,L816,_,00230,1
L816__00220.1,10.401934236807776,46.245491385,L816,_,00220,1
L816__00210.1,10.39667858769407,46.250000185000005,L816,_,00210,1
L816__00200.1,10.390987401828994,46.243148205,L816,_,00200,1
L816__00190.1,10.389297798076962,46.246452055000006,L816,_,00190,1
L816__00180.1,10.378794604033242,46.242448435,L816,_,00180,1
L816__00170.1,10.413842501850397,46.255289215,L816,_,00170,1
L816__00160.1,10.409070996199244,46.257048420000004,L816,_,00160,1
L816__00150.1,10.387838024207102,46.260208070000004,L816,_,00150,1
L816__00140.1,10.38376702402811,46.258482279999996,L816,_,00140,1
L816__00130.1,10.380260315590602,46.259380535,L816,_,00130,1
L816__00120.1,10.405959009546137,46.268490459999995,L816,_,00120,1
L816__00110.1,10.380875670907155,46.26583653,L816,_,00110,1
L816__00100.1,10.394528478338355,46.278073725,L816,_,00100,1
L816__00090.1,10.373286454861358,46.27366335,L816,_,00090,1
L816__00080.1,10.400686823369362,46.29374066,L816,_,00080,1
L816__00070.1,10.400311114209188,46.29331499,L816,_,00070,1
L816__00060.1,10.377383130616435,46.289468355,L816,_,00060,1
L816__00050.1,10.373949863564185,46.284541505,L816,_,00050,1
L816__00040.1,10.415812262117896,46.31143381,L816,_,00040,1
L816__00020.1,10.411717316649327,46.323601965,L816,_,00020,1
L816__00030.10,10.39418467657266,46.29756219,L816,_,00030,10
L816__00480.10,10.42092343803155,46.212409789999995,L816,_,00480,10
L816__00470.10,10.40732905883013,46.213051225,L816,_,00470,10
L816__00460.10,10.416136310003052,46.2277441,L816,_,00460,10
L816__00450.10,10.40219810110367,46.23285595,L816,_,00450,10
L816__00440.10,10.38497334267029,46.224631485,L816,_,00440,10
L816__00430.10,10.397878587275596,46.226123494999996,L816,_,00430,10
L816__00410.10,10.388764250339364,46.234419475,L816,_,00410,10
L816__00400.10,10.381451927892797,46.231916365000004,L816,_,00400,10
L816__00390.10,10.381905128833122,46.235434575,L816,_,00390,10
L816__00360.10,10.38565298929773,46.23719012,L816,_,00360,10
L816__00350.10,10.378472005068353,46.23794964,L816,_,00350,10
L816__00340.10,10.417879242877653,46.242095775,L816,_,00340,10
L816__00290.10,10.38728969216772,46.241138305,L816,_,00290,10
L816__00280.10,10.382373667157315,46.241003864999996,L816,_,00280,10
L816__00270.10,10.416028418965363,46.24580236,L816,_,00270,10
L816__00260.10,10.413344573310201,46.24676022,L816,_,00260,10
L816__00250.10,10.40990349425005,46.250968415,L816,_,00250,10
L816__00240.10,10.407542603770896,46.246117330000004,L816,_,00240,10
L816__00230.10,10.407606532337219,46.250324635,L816,_,00230,10
L816__00220.10,10.404006242303012,46.24560167,L816,_,00220,10
L816__00210.10,10.397416017599692,46.249214465,L816,_,00210,10
L816__00190.10,10.386313598271268,46.244803905,L816,_,00190,10
L816__00180.10,10.380631640391787,46.24304963,L816,_,00180,10
L816__00170.10,10.412635892727476,46.252746345,L816,_,00170,10
L816__00160.10,10.41100857696853,46.256044535,L816,_,00160,10
L816__00150.10,10.3897874938128,46.258679185,L816,_,00150,10
L816__00140.10,10.38697191927378,46.258117125,L816,_,00140,10
L816__00130.10,10.377176253211225,46.24854353,L816,_,00130,10
L816__00120.10,10.400824463154093,46.25797332,L816,_,00120,10
L816__00110.10,10.382081262172516,46.265647895,L816,_,00110,10
L816__00100.10,10.3963434604116,46.277024095,L816,_,00100,10
L816__00090.10,10.362881815272008,46.27120585,L816,_,00090,10
L816__00080.10,10.407221247222363,46.28360962,L816,_,00080,10
L816__00070.10,10.401563846249356,46.292831155,L816,_,00070,10
L816__00060.10,10.381192392497887,46.280723484999996,L816,_,00060,10
L816__00040.10,10.406773121943953,46.303090714999996,L816,_,00040,10
L816__00070.100,10.402601086363047,46.287353205,L816,_,00070,100
L816__00460.100,10.40733428902415,46.23672595,L816,_,00460,100
L816__00420.100,10.400206685151083,46.233086595,L816,_,00420,100
L816__00410.100,10.390813880830372,46.233280910000005,L816,_,00410,100
L816__00390.100,10.379988813499628,46.233941605,L816,_,00390,100
L816__00380.100,10.4005129212524,46.236922885,L816,_,00380,100
L816__00340.100,10.415585391610843,46.240073535,L816,_,00340,100
