nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L838__00010.1,11.485851068986507,44.030262255,L838,_,00010,1
L838__01200.1,11.438406474942523,43.880071235,L838,_,01200,1
L838__01190.1,11.473113398363108,43.895989994999994,L838,_,01190,1
L838__01180.1,11.463673805991931,43.897957495,L838,_,01180,1
L838__01170.1,11.455399427428441,43.8937818,L838,_,01170,1
L838__01160.1,11.445793905246429,43.896149525,L838,_,01160,1
L838__01150.1,11.438225434426096,43.89751821,L838,_,01150,1
L838__01140.1,11.48961945387692,43.906329755,L838,_,01140,1
L838__01130.1,11.47508354980014,43.90369402,L838,_,01130,1
L838__01120.1,11.458197582666905,43.907865145,L838,_,01120,1
L838__01110.1,11.454168801243636,43.908786945,L838,_,01110,1
L838__01100.1,11.42994555281229,43.904542835,L838,_,01100,1
L838__01090.1,11.495562623681927,43.918003585,L838,_,01090,1
L838__01080.1,11.483994994994017,43.915774395,L838,_,01080,1
L838__01070.1,11.47246280760059,43.916199655,L838,_,01070,1
L838__01060.1,11.456749045271403,43.915301670000005,L838,_,01060,1
L838__01050.1,11.446824791513716,43.919264964999996,L838,_,01050,1
L838__01020.1,11.499507738614248,43.927511835000004,L838,_,01020,1
L838__01010.1,11.4885609425449,43.927638915,L838,_,01010,1
L838__01000.1,11.468212482610907,43.92498544,L838,_,01000,1
L838__00990.1,11.47445837742006,43.93253312,L838,_,00990,1
L838__00960.1,11.435586824164192,43.93375459,L838,_,00960,1
L838__00950.1,11.421305709737668,43.928241785,L838,_,00950,1
L838__00940.1,11.427089550181941,43.937536449999996,L838,_,00940,1
L838__00930.1,11.522977636754188,43.936173025,L838,_,00930,1
L838__00920.1,11.52590515403735,43.944736500000005,L838,_,00920,1
L838__00900.1,11.512946654986031,43.943835715,L838,_,00900,1
L838__00890.1,11.489482895489576,43.93712952,L838,_,00890,1
L838__00880.1,11.491364255067916,43.945931115,L838,_,00880,1
L838__00870.1,11.473418909080472,43.937645255,L838,_,00870,1
L838__00860.1,11.47491894141002,43.946357335,L838,_,00860,1
L838__0085.1,11.468663193901271,43.932907395,L838,_,0085,1
L838__0083.1,11.460233092053215,43.933979574999995,L838,_,0083,1
L838__00820.1,11.44239041062373,43.944658770000004,L838,_,00820,1
L838__00810.1,11.431696842430195,43.947386585000004,L838,_,00810,1
L838__00790.1,11.531992152993846,43.953650374999995,L838,_,00790,1
L838__00780.1,11.5149188586374,43.954606215,L838,_,00780,1
L838__00770.1,11.497707061180563,43.954077420000004,L838,_,00770,1
L838__00760.1,11.477713887554675,43.956110445,L838,_,00760,1
L838__00740.1,11.452577726762852,43.955082239999996,L838,_,00740,1
L838__00730.1,11.4418969410486,43.958773545,L838,_,00730,1
L838__00710.1,11.557208645088597,43.970963325,L838,_,00710,1
L838__00700.1,11.545681479400256,43.96906921,L838,_,00700,1
L838__00690.1,11.532911843313673,43.96217189,L838,_,00690,1
L838__00670.1,11.535454983574729,43.972422445,L838,_,00670,1
L838__00660.1,11.525891033585307,43.969957324999996,L838,_,00660,1
L838__00650.1,11.517879128936093,43.972322489999996,L838,_,00650,1
L838__00640.1,11.505678305542022,43.962214079999995,L838,_,00640,1
L838__00630.1,11.495282713434445,43.965887980000005,L838,_,00630,1
L838__00620.1,11.486898848644593,43.968861015,L838,_,00620,1
L838__00610.1,11.475740410636984,43.967945560000004,L838,_,00610,1
L838__00600.1,11.46569020868235,43.970799244999995,L838,_,00600,1
L838__00580.1,11.44083064974209,43.968270340000004,L838,_,00580,1
L838__00570.1,11.432307973279064,43.969409889999994,L838,_,00570,1
L838__00560.1,11.423262641831593,43.967967375,L838,_,00560,1
L838__00550.1,11.582744683605195,43.982393005000006,L838,_,00550,1
L838__00540.1,11.574208551974536,43.981669155,L838,_,00540,1
L838__00530.1,11.56488283307041,43.97825639,L838,_,00530,1
L838__00520.1,11.554919087737353,43.981380145,L838,_,00520,1
L838__00510.1,11.543248151883812,43.982371695,L838,_,00510,1
L838__00500.1,11.538596707632534,43.98602171,L838,_,00500,1
L838__00490.1,11.517299231820296,43.973883244999996,L838,_,00490,1
L838__00480.1,11.514630388067935,43.981840295,L838,_,00480,1
L838__00470.1,11.510160490133647,43.980798379999996,L838,_,00470,1
L838__00460.1,11.495279717908845,43.98476353,L838,_,00460,1
L838__00450.1,11.487951540602996,43.975221245,L838,_,00450,1
L838__00440.1,11.480742744519677,43.982126765000004,L838,_,00440,1
L838__00430.1,11.477434245676466,43.982375785,L838,_,00430,1
L838__00420.1,11.469126800091935,43.987286885,L838,_,00420,1
L838__00410.1,11.454311086205239,43.980330335,L838,_,00410,1
L838__00400.1,11.437280445331885,43.977168705,L838,_,00400,1
L838__00390.1,11.435110646407885,43.986487010000005,L838,_,00390,1
L838__00380.1,11.579991028447594,43.989301499999996,L838,_,00380,1
L838__00370.1,11.5703584339896,43.99066603,L838,_,00370,1
L838__00360.1,11.580155982018873,44.00230326,L838,_,00360,1
L838__00350.1,11.57200692060543,44.001985765,L838,_,00350,1
L838__00340.1,11.558568184089506,43.9991773,L838,_,00340,1
L838__00320.1,11.549094256155078,43.99503346,L838,_,00320,1
L838__00310.1,11.537786674665401,43.998656374999996,L838,_,00310,1
L838__00300.1,11.52712656333687,43.99506555,L838,_,00300,1
L838__00290.1,11.510661610677445,43.99332785,L838,_,00290,1
L838__00280.1,11.501249149836909,43.989821315,L838,_,00280,1
L838__00260.1,11.493242715760807,43.993390855,L838,_,00260,1
L838__00250.1,11.483604641006979,43.99776655,L838,_,00250,1
L838__00240.1,11.469640128267057,43.992947185,L838,_,00240,1
L838__00230.1,11.46937202665843,44.00046764,L838,_,00230,1
L838__00220.1,11.456446569626502,43.991318605000004,L838,_,00220,1
L838__00210.1,11.446539921042152,43.99395885,L838,_,00210,1
L838__00200.1,11.449803624584725,44.00119909,L838,_,00200,1
L838__00190.1,11.57541264341011,44.009752805000005,L838,_,00190,1
L838__00180.1,11.566588946559024,44.014066705000005,L838,_,00180,1
L838__00170.1,11.558969881482588,44.02012088,L838,_,00170,1
L838__00160.1,11.54903469329938,44.00806722,L838,_,00160,1
L838__00150.1,11.542071180656674,44.010477125,L838,_,00150,1
L838__00140.1,11.527707368883092,44.011018469999996,L838,_,00140,1
L838__00130.1,11.51864311480982,44.00611309,L838,_,00130,1
L838__00120.1,11.50946962244152,44.00888757,L838,_,00120,1
L838__00110.1,11.495552171552344,44.009614335,L838,_,00110,1
L838__00100.1,11.490213632413251,44.006232095,L838,_,00100,1
L838__00090.1,11.47152902946764,44.008382555,L838,_,00090,1
L838__00080.1,11.458092513670355,44.006113535,L838,_,00080,1
L838__00070.1,11.4711398744803,44.014907685,L838,_,00070,1
L838__00060.1,11.518115345788543,44.01961398500001,L838,_,00060,1
L838__00050.1,11.508848378154159,44.022696159999995,L838,_,00050,1
L838__00040.1,11.501938148209959,44.025899315000004,L838,_,00040,1
L838__00030.1,11.484924962948364,44.02198764,L838,_,00030,1
L838__00020.1,11.478834599378974,44.02534738,L838,_,00020,1
L838__00010.10,11.487788230968846,44.0287546,L838,_,00010,10
L838__01200.10,11.44279938524684,43.880668465,L838,_,01200,10
L838__01190.10,11.479593767883038,43.896280605,L838,_,01190,10
L838__01180.10,11.465198431734443,43.897341170000004,L838,_,01180,10
L838__01170.10,11.456856876563158,43.891811575,L838,_,01170,10
L838__01160.10,11.447441887794508,43.89330638,L838,_,01160,10
L838__01150.10,11.436739062569597,43.89161324,L838,_,01150,10
L838__01140.10,11.492809104174015,43.904518519999996,L838,_,01140,10
L838__01130.10,11.478796499586974,43.90278332,L838,_,01130,10
L838__01120.10,11.461515011901135,43.9075131,L838,_,01120,10
L838__01110.10,11.453480899646149,43.905795755,L838,_,01110,10
L838__01100.10,11.435127527461434,43.898524295,L838,_,01100,10
L838__01090.10,11.499272225148875,43.918202550000004,L838,_,01090,10
L838__01080.10,11.488548510745396,43.914923365,L838,_,01080,10
L838__01070.10,11.471741316097452,43.913334500000005,L838,_,01070,10
L838__01060.10,11.459009759275114,43.91260278,L838,_,01060,10
L838__01040.10,11.43061017127355,43.911234415,L838,_,01040,10
L838__01030.10,11.431173832066502,43.917525275,L838,_,01030,10
L838__01020.10,11.499493448151384,43.92567887,L838,_,01020,10
L838__01010.10,11.49566235400983,43.92624637,L838,_,01010,10
L838__01000.10,11.47351770480628,43.92496056,L838,_,01000,10
L838__00990.10,11.471362269218107,43.930265309999996,L838,_,00990,10
L838__00960.10,11.437223925216903,43.930706395,L838,_,00960,10
L838__00950.10,11.423685338003677,43.926602145000004,L838,_,00950,10
L838__00940.10,11.428364873109615,43.936103965,L838,_,00940,10
L838__00930.10,11.520862111305409,43.93308197,L838,_,00930,10
L838__00920.10,11.539217665238406,43.945632465,L838,_,00920,10
L838__00900.10,11.514075751865365,43.945114165,L838,_,00900,10
L838__00890.10,11.493853326694914,43.93593237,L838,_,00890,10
L838__00880.10,11.496389979298034,43.94509472,L838,_,00880,10
L838__00870.10,11.47451652048322,43.93610862,L838,_,00870,10
L838__00840.10,11.464547018714761,43.935648235,L838,_,00840,10
L838__0083.10,11.462147070997528,43.933547875,L838,_,0083,10
L838__00820.10,11.450564643815191,43.946726850000005,L838,_,00820,10
L838__00810.10,11.436499498764952,43.94612272,L838,_,00810,10
L838__00790.10,11.531415251904882,43.95293011,L838,_,00790,10
L838__00780.10,11.517350826165647,43.953257449999995,L838,_,00780,10
L838__00770.10,11.500745385078423,43.954112405000004,L838,_,00770,10
L838__00760.10,11.481713038227888,43.95551342,L838,_,00760,10
L838__00750.10,11.468967960742585,43.957744399999996,L838,_,00750,10
L838__00740.10,11.452935268639816,43.951697325,L838,_,00740,10
L838__00730.10,11.448663755979927,43.95931086,L838,_,00730,10
L838__00720.10,11.421743854533212,43.950668840000006,L838,_,00720,10
L838__00710.10,11.556174690307353,43.96789903,L838,_,00710,10
L838__00700.10,11.546876566249733,43.969999325,L838,_,00700,10
L838__00690.10,11.537392624315135,43.962484265,L838,_,00690,10
L838__00680.10,11.524398093887925,43.962451545,L838,_,00680,10
L838__00670.10,11.538150567628705,43.972460045000005,L838,_,00670,10
L838__00660.10,11.527740315120369,43.96747422,L838,_,00660,10
L838__00640.10,11.513354708660888,43.962959855,L838,_,00640,10
L838__00630.10,11.498608167302127,43.965635315,L838,_,00630,10
L838__00620.10,11.48596173069923,43.963195375,L838,_,00620,10
L838__00610.10,11.478317304229375,43.967318505,L838,_,00610,10
L838__00600.10,11.468755736182572,43.970460735,L838,_,00600,10
L838__00590.10,11.453312456970368,43.964881625000004,L838,_,00590,10
L838__00580.10,11.442775340423593,43.965951705,L838,_,00580,10
L838__00570.10,11.429267729583124,43.966620715,L838,_,00570,10
L838__00560.10,11.422829233680531,43.96451063,L838,_,00560,10
L838__00550.10,11.587914901352061,43.98218312,L838,_,00550,10
L838__00530.10,11.56755537715302,43.97662372,L838,_,00530,10
L838__00520.10,11.558419177483295,43.980538185,L838,_,00520,10
L838__00510.10,11.546696636722526,43.980251190000004,L838,_,00510,10
L838__00500.10,11.544047021393226,43.9871452,L838,_,00500,10
L838__00490.10,11.523320700766376,43.970306985,L838,_,00490,10
