nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L856__00010.1,12.03527967882623,45.88962372,L856,_,00010,1
L856__00130.1,12.036608399337936,45.845991315000006,L856,_,00130,1
L856__00100.1,12.051618025525155,45.86076683,L856,_,00100,1
L856__00090.1,12.053891115880589,45.86993423,L856,_,00090,1
L856__00070.1,12.03616665285456,45.87200328,L856,_,00070,1
L856__00060.1,12.046157317485383,45.87774292,L856,_,00060,1
L856__00040.1,12.065599209328912,45.88847689,L856,_,00040,1
L856__00020.1,12.052091569155671,45.894293815,L856,_,00020,1
L856__00020.10,12.060639863594295,45.891067785000004,L856,_,00020,10
L856__00110.10,12.04890710831216,45.857567375,L856,_,00110,10
L856__00090.10,12.05179494025479,45.86828166,L856,_,00090,10
L856__00070.10,12.035202579834117,45.871460139999996,L856,_,00070,10
L856__00040.10,12.064617192623682,45.8878791,L856,_,00040,10
L856__0003.10,12.046245256282152,45.880184314999994,L856,_,0003,10
L856__00010.100,12.042856451302178,45.889483299999995,L856,_,00010,100
L856__00120.100,12.065240529955396,45.852983155000004,L856,_,00120,100
L856__00090.100,12.052955923073672,45.86362934,L856,_,00090,100
L856__00060.100,12.048861463765812,45.876626169999994,L856,_,00060,100
L856__00050.100,12.035577598584089,45.873104355,L856,_,00050,100
L856__00040.100,12.06058408430906,45.883788235,L856,_,00040,100
L856__00080.1000,12.04197616446826,45.8654212,L856,_,00080,1000
L856__0003.1001,12.04597455875567,45.876309995,L856,_,0003,1001
L856__00070.1001,12.03507775531406,45.865578615000004,L856,_,00070,1001
L856__00060.1001,12.049576897875717,45.87370902000001,L856,_,00060,1001
L856__00060.1002,12.049385700438826,45.87365536,L856,_,00060,1002
L856__00080.1002,12.043748454257216,45.865787855,L856,_,00080,1002
L856__00030.1004,12.032245734497803,45.88093288,L856,_,00030,1004
L856__00080.1004,12.043727566271631,45.86624515,L856,_,00080,1004
L856__00060.1004,12.04658332817862,45.87765488,L856,_,00060,1004
L856__00060.1005,12.04633243822027,45.877701439999996,L856,_,00060,1005
L856__00030.1008,12.037360342486608,45.882561925,L856,_,00030,1008
L856__0007.1008,12.038364973783096,45.86154119,L856,_,0007,1008
L856__00080.1009,12.043431071140143,45.87108381,L856,_,00080,1009
L856__00020.101,12.057425820523008,45.88953381,L856,_,00020,101
L856__00120.101,12.067223762211059,45.85309815,L856,_,00120,101
L856__00110.101,12.05705241707608,45.855507895,L856,_,00110,101
L856__00090.101,12.053239038755223,45.86350523,L856,_,00090,101
L856__00050.101,12.036112477933969,45.873300705,L856,_,00050,101
L856__00040.101,12.060498104270867,45.883186815,L856,_,00040,101
L856__00030.1010,12.043899830921355,45.879621685000004,L856,_,00030,1010
L856__00060.1010,12.050116271556208,45.877966015,L856,_,00060,1010
L856__00030.1011,12.043740866139101,45.879485965,L856,_,00030,1011
L856__00100.1011,12.062329159125012,45.858977155,L856,_,00100,1011
L856__00080.1011,12.04353783271984,45.87146115,L856,_,00080,1011
L856__00060.1011,12.049514662963656,45.87863607,L856,_,00060,1011
L856__00060.1012,12.050431363332635,45.8779197,L856,_,00060,1012
L856__00080.1012,12.043420741949557,45.87125455,L856,_,00080,1012
L856__00070.1012,12.03190717154593,45.86733923,L856,_,00070,1012
L856__00030.1013,12.037570543102706,45.87755505,L856,_,00030,1013
L856__00100.1013,12.050517014686653,45.860142865,L856,_,00100,1013
L856__00080.1013,12.043410269087518,45.871407175,L856,_,00080,1013
L856__00070.1013,12.032015057170387,45.86750242,L856,_,00070,1013
L856__00060.1014,12.049151576524084,45.87768294,L856,_,00060,1014
L856__00100.1014,12.050758519731811,45.860326115,L856,_,00100,1014
L856__00080.1014,12.039014670773293,45.863588985,L856,_,00080,1014
L856__00070.1014,12.034299794696818,45.86912502,L856,_,00070,1014
L856__00060.1015,12.051163476656903,45.878667730000004,L856,_,00060,1015
L856__00100.1015,12.050996314256345,45.860502170000004,L856,_,00100,1015
L856__00070.1015,12.034602155611044,45.86924105,L856,_,00070,1015
L856__00030.1016,12.031560089897003,45.880222515,L856,_,00030,1016
L856__00100.1016,12.051358656656515,45.860755014999995,L856,_,00100,1016
L856__00070.1016,12.033424682430915,45.868416775,L856,_,00070,1016
L856__00060.1016,12.04966162693665,45.87369862,L856,_,00060,1016
L856__00030.1017,12.031062256321913,45.880098450000006,L856,_,00030,1017
L856__00100.1017,12.05151424419028,45.86086239,L856,_,00100,1017
L856__00030.1018,12.031481345463373,45.880782965,L856,_,00030,1018
L856__00100.1018,12.051725230134572,45.861005205,L856,_,00100,1018
L856__00100.1019,12.051834789775306,45.861087325,L856,_,00100,1019
L856__00010.102,12.035135934404316,45.88935446,L856,_,00010,102
L856__00120.102,12.075778489537687,45.85279815,L856,_,00120,102
L856__00110.102,12.05513167175176,45.855849725,L856,_,00110,102
L856__00100.102,12.059684361974446,45.858316385,L856,_,00100,102
L856__00090.102,12.05348550740974,45.862224955,L856,_,00090,102
L856__00080.102,12.04996683800017,45.86828792,L856,_,00080,102
L856__00070.102,12.029595298948765,45.86684871,L856,_,00070,102
L856__00060.102,12.048996566926682,45.876712895,L856,_,00060,102
L856__00050.102,12.03627840830075,45.873285315000004,L856,_,00050,102
L856__00040.102,12.060842274088666,45.88271181,L856,_,00040,102
L856__00020.102,12.057781790998957,45.889495515,L856,_,00020,102
L856__00030.1020,12.031795538726158,45.881127365,L856,_,00030,1020
L856__00100.1020,12.051973432815505,45.86119806,L856,_,00100,1020
L856__00030.1021,12.03140554888639,45.88125635,L856,_,00030,1021
L856__00070.1021,12.04152426727804,45.867027295,L856,_,00070,1021
L856__00030.1022,12.034096195901219,45.877172830000006,L856,_,00030,1022
L856__00100.1022,12.052835021886931,45.861711355,L856,_,00100,1022
L856__00030.1023,12.030710798242325,45.879650605,L856,_,00030,1023
L856__00080.1023,12.046895437709473,45.85807331,L856,_,00080,1023
L856__00030.1024,12.03053176786384,45.879518954999995,L856,_,00030,1024
L856__00100.1024,12.052912780879947,45.861752795,L856,_,00100,1024
L856__00080.1024,12.046797499111886,45.858062880000006,L856,_,00080,1024
L856__00030.1025,12.031609354962391,45.87925195,L856,_,00030,1025
L856__00060.1025,12.050082688049624,45.873793115,L856,_,00060,1025
L856__00030.1026,12.031460852592295,45.879109345,L856,_,00030,1026
L856__00100.1026,12.052978769896788,45.861785389999994,L856,_,00100,1026
L856__00080.1026,12.042496861258574,45.86265039,L856,_,00080,1026
L856__00070.1026,12.041462119002112,45.86692984,L856,_,00070,1026
L856__00060.1026,12.047690141165507,45.876043545,L856,_,00060,1026
L856__00030.1027,12.030864940361372,45.879168645,L856,_,00030,1027
L856__00100.1027,12.053457898860264,45.861295705,L856,_,00100,1027
L856__00060.1027,12.047704188588312,45.87578847,L856,_,00060,1027
L856__00030.1028,12.031139768843154,45.87931552,L856,_,00030,1028
L856__00100.1028,12.053027493528994,45.86180547,L856,_,00100,1028
L856__00070.1028,12.041152217821985,45.867143909999996,L856,_,00070,1028
L856__00060.1028,12.049883702234256,45.87413804,L856,_,00060,1028
L856__00030.1029,12.03141091152612,45.879168645,L856,_,00030,1029
L856__00060.1029,12.050254106720104,45.8739403,L856,_,00060,1029
L856__00010.103,12.036181217425142,45.889322485,L856,_,00010,103
L856__00120.103,12.074951482759836,45.85222007,L856,_,00120,103
L856__00110.103,12.057890192770401,45.855368235,L856,_,00110,103
L856__00100.103,12.059915821364918,45.858445095,L856,_,00100,103
L856__00080.103,12.051220231762688,45.868293495,L856,_,00080,103
L856__00060.103,12.049900806002857,45.876135215,L856,_,00060,103
L856__00050.103,12.037090998506349,45.873266095000005,L856,_,00050,103
L856__00040.103,12.061109547880074,45.883235965,L856,_,00040,103
L856__00020.103,12.058457578139762,45.8891323,L856,_,00020,103
L856__00030.1030,12.031352149489223,45.87872412,L856,_,00030,1030
L856__00100.1030,12.053120646641016,45.86183246,L856,_,00100,1030
L856__0003.1031,12.044133782512288,45.877717855,L856,_,0003,1031
L856__00100.1031,12.053113406039735,45.860371220000005,L856,_,00100,1031
L856__00080.1031,12.04296737679477,45.871599795,L856,_,00080,1031
L856__00070.1031,12.038587831116898,45.86295303,L856,_,00070,1031
L856__00060.1031,12.047982095941535,45.87593151,L856,_,00060,1031
L856__0003.1032,12.044407295491975,45.877783484999995,L856,_,0003,1032
L856__00100.1032,12.055555059849066,45.859263985,L856,_,00100,1032
L856__00060.1032,12.046376579892097,45.877968984999995,L856,_,00060,1032
L856__0003.1033,12.04693659503282,45.876484775,L856,_,0003,1033
L856__00080.1033,12.046485047686163,45.85954243,L856,_,00080,1033
L856__0007.1033,12.038234157470601,45.861830865,L856,_,0007,1033
L856__00060.1033,12.050586351018712,45.875269845000005,L856,_,00060,1033
L856__0003.1034,12.046237388667478,45.87661122,L856,_,0003,1034
L856__00100.1034,12.05323486430834,45.859733895000005,L856,_,00100,1034
L856__00080.1034,12.040312313328133,45.863971365,L856,_,00080,1034
L856__0007.1034,12.038213721504771,45.861733369999996,L856,_,0007,1034
L856__00060.1034,12.050981271765387,45.874921705000006,L856,_,00060,1034
L856__0003.1035,12.046385779600993,45.876577605,L856,_,0003,1035
L856__00100.1035,12.057010731788598,45.85846309,L856,_,00100,1035
L856__00080.1035,12.047799587925187,45.86581625,L856,_,00080,1035
L856__00070.1035,12.041227869177508,45.866350985,L856,_,00070,1035
L856__00060.1035,12.05027269112586,45.87522954,L856,_,00060,1035
L856__0003.1036,12.043667721170372,45.878748545,L856,_,0003,1036
L856__00100.1036,12.062437900290892,45.858078235,L856,_,00100,1036
L856__00080.1036,12.048349198254172,45.86541596,L856,_,00080,1036
L856__00070.1036,12.040728570883882,45.866024785,L856,_,00070,1036
L856__0003.1037,12.046410391108019,45.87636183,L856,_,0003,1037
L856__00100.1037,12.057883212231843,45.858400955,L856,_,00100,1037
L856__00080.1037,12.045929007309109,45.85988381999999,L856,_,00080,1037
L856__00060.1037,12.050068578530583,45.874053814999996,L856,_,00060,1037
L856__0003.1038,12.04652983313181,45.87652609,L856,_,0003,1038
L856__00100.1038,12.067735198794297,45.859249515,L856,_,00100,1038
L856__0003.1039,12.043898585490513,45.878706275,L856,_,0003,1039
L856__00100.1039,12.068161613270483,45.8593529,L856,_,00100,1039
L856__00020.104,12.057183427841181,45.888503404999994,L856,_,00020,104
L856__00120.104,12.075118539999991,45.852089795,L856,_,00120,104
L856__00110.104,12.057571889151536,45.855152905,L856,_,00110,104
L856__00090.104,12.052894393504484,45.864379125,L856,_,00090,104
L856__00070.104,12.030310128608823,45.866509445,L856,_,00070,104
L856__00060.104,12.049438526723344,45.876747005,L856,_,00060,104
L856__00050.104,12.037665601660674,45.873244795000005,L856,_,00050,104
L856__00040.104,12.061279256475544,45.88357758,L856,_,00040,104
L856__0003.1040,12.04374592413501,45.878958600000004,L856,_,0003,1040
L856__00100.1040,12.069134346876698,45.859583055,L856,_,00100,1040
L856__00080.1040,12.04070060509535,45.86410341,L856,_,00080,1040
L856__00060.1040,12.060012392869325,45.875211455,L856,_,00060,1040
L856__0003.1041,12.04403271838736,45.878785269999995,L856,_,0003,1041
L856__00100.1041,12.069500060441811,45.8596688,L856,_,00100,1041
L856__00060.1041,12.060051467028053,45.87525822,L856,_,00060,1041
L856__0003.1042,12.046762671609512,45.876889485,L856,_,0003,1042
L856__00100.1042,12.069931286440816,45.859770575,L856,_,00100,1042
L856__00060.1042,12.06137000738066,45.877461495,L856,_,00060,1042
L856__0003.1043,12.048810806385127,45.88029019,L856,_,0003,1043
L856__00100.1043,12.070260838570432,45.85984863,L856,_,00100,1043
L856__00080.1043,12.040893158477601,45.864161815,L856,_,00080,1043
L856__00070.1043,12.036110266909693,45.863209409999996,L856,_,00070,1043
L856__00060.1043,12.06140075217165,45.87754263,L856,_,00060,1043
L856__0003.1044,12.048728194526209,45.88008959,L856,_,0003,1044
L856__00100.1044,12.070960186146058,45.860015045,L856,_,00100,1044
L856__00080.1044,12.040732780502411,45.864264340000005,L856,_,00080,1044
L856__00060.1044,12.062161983231066,45.877010775,L856,_,00060,1044
L856__0003.1045,12.04361124887893,45.877369115,L856,_,0003,1045
L856__00100.1045,12.071283526323631,45.86009016,L856,_,00100,1045
L856__00060.1045,12.062219469361448,45.877064000000004,L856,_,00060,1045
L856__0003.1046,12.046502054385915,45.87694463,L856,_,0003,1046
L856__00100.1046,12.07161877467524,45.86016926,L856,_,00100,1046
L856__00080.1046,12.04914286971297,45.858770635,L856,_,00080,1046
L856__00070.1046,12.030317987380332,45.86632588,L856,_,00070,1046
L856__00060.1046,12.052450669309831,45.870866379999995,L856,_,00060,1046
L856__00030.1047,12.036106990286317,45.878696585,L856,_,00030,1047
L856__00070.1047,12.032077382109364,45.86318445,L856,_,00070,1047
