nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L872__00010.1,8.791800296279803,45.335149015,L872,_,00010,1
L872__00940.1,8.971669781049417,45.27383244,L872,_,00940,1
L872__00930.1,8.9569459815418,45.27018425,L872,_,00930,1
L872__00920.1,8.959551083744254,45.278578455,L872,_,00920,1
L872__00910.1,8.94479768961207,45.285226925,L872,_,00910,1
L872__00900.1,8.947322813594948,45.28080108,L872,_,00900,1
L872__00890.1,8.93393138204651,45.283460704999996,L872,_,00890,1
L872__00870.1,8.92330785154591,45.292470480000006,L872,_,00870,1
L872__00860.1,8.927193044690421,45.296512045,L872,_,00860,1
L872__00850.1,8.913462222214534,45.30680915,L872,_,00850,1
L872__00840.1,8.912320363919804,45.29495599,L872,_,00840,1
L872__00830.1,8.910328955449783,45.28090732,L872,_,00830,1
L872__00820.1,8.890311794977277,45.274460430000005,L872,_,00820,1
L872__00790.1,8.89213365148305,45.291115645,L872,_,00790,1
L872__00780.1,8.905614065669162,45.295518335,L872,_,00780,1
L872__00760.1,8.894554808440187,45.30438112,L872,_,00760,1
L872__00750.1,8.885020100246361,45.30117581499999,L872,_,00750,1
L872__00740.1,8.877968092647738,45.297136675000004,L872,_,00740,1
L872__00730.1,8.871945767387999,45.297542195,L872,_,00730,1
L872__00720.1,8.853254118641278,45.304881765000005,L872,_,00720,1
L872__00700.1,8.854110859143063,45.28783296500001,L872,_,00700,1
L872__00670.1,8.846792974553043,45.30272742,L872,_,00670,1
L872__00660.1,8.832789280905263,45.298723555,L872,_,00660,1
L872__00650.1,8.822345792105372,45.29910425,L872,_,00650,1
L872__00630.1,8.816260916999763,45.2976752,L872,_,00630,1
L872__00620.1,8.808683247763824,45.29498214,L872,_,00620,1
L872__00610.1,8.817266665370983,45.283677104999995,L872,_,00610,1
L872__00600.1,8.800228669018814,45.282110515,L872,_,00600,1
L872__00590.1,8.797646183494717,45.286237465,L872,_,00590,1
L872__00580.1,8.796334923629315,45.289966495,L872,_,00580,1
L872__00570.1,8.801544737645145,45.304224505,L872,_,00570,1
L872__00550.1,8.809570506515144,45.311163605000004,L872,_,00550,1
L872__00540.1,8.819671135481368,45.31333385000001,L872,_,00540,1
L872__0052.1,8.840519945251824,45.315720025000005,L872,_,0052,1
L872__0051.1,8.853148292806164,45.311825139999996,L872,_,0051,1
L872__00490.1,8.872446188840343,45.313924085,L872,_,00490,1
L872__00460.1,8.900925245511207,45.31873922,L872,_,00460,1
L872__00440.1,8.916201091183979,45.315066849999994,L872,_,00440,1
L872__00430.1,8.929870065045346,45.30935494,L872,_,00430,1
L872__00420.1,8.936922401695957,45.29927669,L872,_,00420,1
L872__00400.1,8.927962919146575,45.316601405,L872,_,00400,1
L872__00390.1,8.904268059725858,45.332538279999994,L872,_,00390,1
L872__00370.1,8.887738519799143,45.318738875,L872,_,00370,1
