nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L917__00010.1,8.78187820090397,45.09728975,L917,_,00010,1
L917__00040.1,8.79208899886424,45.089392675,L917,_,00040,1
L917__00030.1,8.783322321048752,45.087455645000006,L917,_,00030,1
L917__00020.1,8.783827544123533,45.096291825,L917,_,00020,1
L917__00010.10,8.775679619797558,45.095002324999996,L917,_,00010,10
L917__00040.10,8.794214459830908,45.08652549,L917,_,00040,10
L917__00030.10,8.780516231497462,45.080907065,L917,_,00030,10
L917__00020.10,8.78770473370087,45.092187415,L917,_,00020,10
L917__00020.100,8.787552511708798,45.088167215,L917,_,00020,100
L917__00020.102,8.787306603806108,45.090251265,L917,_,00020,102
L917__00020.104,8.789093111204345,45.089236365,L917,_,00020,104
L917__00020.107,8.788693029272196,45.093546274999994,L917,_,00020,107
L917__00020.109,8.78534836064076,45.090097834999995,L917,_,00020,109
L917__00010.11,8.776243337179007,45.095770765,L917,_,00010,11
L917__00040.11,8.795302959396963,45.08580166,L917,_,00040,11
L917__00030.11,8.780402259693853,45.079697769999996,L917,_,00030,11
L917__00020.11,8.789405113269742,45.092458285,L917,_,00020,11
L917__00020.115,8.786694189553145,45.092219455,L917,_,00020,115
L917__00020.116,8.790220320106464,45.0887079,L917,_,00020,116
L917__00020.117,8.790925079438445,45.08951588,L917,_,00020,117
L917__00010.12,8.781873382278544,45.092810305,L917,_,00010,12
L917__00040.12,8.796428233949793,45.08579477,L917,_,00040,12
L917__00030.12,8.780528986503118,45.078046485,L917,_,00030,12
L917__00010.13,8.784122371466783,45.09398119,L917,_,00010,13
L917__00040.13,8.79545522898663,45.086987525,L917,_,00040,13
L917__00030.13,8.779094302093895,45.07554167,L917,_,00030,13
L917__00020.13,8.786191301515096,45.093717185,L917,_,00020,13
L917__00010.14,8.78413474251843,45.093882820000005,L917,_,00010,14
L917__00030.14,8.781773578943536,45.076065595,L917,_,00030,14
L917__00020.14,8.784447532762018,45.09441258,L917,_,00020,14
L917__00040.140,8.801425973445113,45.08888408,L917,_,00040,140
L917__00040.141,8.79862688971016,45.088201325,L917,_,00040,141
L917__00040.142,8.795351612165572,45.0895551,L917,_,00040,142
L917__00040.143,8.79454309558624,45.088673060000005,L917,_,00040,143
L917__00020.144,8.786050252917658,45.087391440000005,L917,_,00020,144
