nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
L947__00010.1,11.764038205910452,45.517965895,L947,_,00010,1
L947__00270.1,11.824657925386397,45.456215935,L947,_,00270,1
L947__00260.1,11.806648258594382,45.45535175,L947,_,00260,1
L947__00250.1,11.806717015247209,45.46228038,L947,_,00250,1
L947__00180.1,11.801785037758155,45.467599969999995,L947,_,00180,1
L947__00170.1,11.793349079761526,45.474422295,L947,_,00170,1
L947__00160.1,11.778650484925443,45.47179735,L947,_,00160,1
L947__00150.1,11.79684364723083,45.478087155,L947,_,00150,1
L947__00140.1,11.78478676932605,45.47852593,L947,_,00140,1
L947__00130.1,11.80291550944185,45.488205905,L947,_,00130,1
L947__00110.1,11.791885670588057,45.484546910000006,L947,_,00110,1
L947__00090.1,11.798839985342966,45.494938805000004,L947,_,00090,1
L947__00050.1,11.783778315043598,45.499551714999996,L947,_,00050,1
L947__00040.1,11.769686740497562,45.501776615,L947,_,00040,1
L947__00010.10,11.768177819383023,45.52061604,L947,_,00010,10
L947__00270.10,11.824642458756093,45.454965439999995,L947,_,00270,10
L947__00240.10,11.79794426764656,45.464146389999996,L947,_,00240,10
L947__00230.10,11.785230421275246,45.46883368,L947,_,00230,10
L947__00190.10,11.765818193461804,45.460599845000004,L947,_,00190,10
L947__00170.10,11.799671019987677,45.47428544,L947,_,00170,10
L947__00140.10,11.789944373059775,45.47353697,L947,_,00140,10
L947__00130.10,11.808040647134405,45.48984556,L947,_,00130,10
L947__00120.10,11.79957021244278,45.483660975,L947,_,00120,10
L947__00110.10,11.778048420533105,45.481083705,L947,_,00110,10
L947__00100.10,11.822583883160679,45.490551804999996,L947,_,00100,10
L947__00060.10,11.77680725869158,45.49008512,L947,_,00060,10
L947__00020.10,11.769737358983175,45.510900835,L947,_,00020,10
L947__00050.100,11.792390841547755,45.49441701,L947,_,00050,100
L947__00250.100,11.806849905869708,45.456615915,L947,_,00250,100
L947__00240.100,11.792821305374176,45.458728245,L947,_,00240,100
L947__00200.100,11.767464296254278,45.448275905,L947,_,00200,100
L947__00170.100,11.79874294976814,45.466278275,L947,_,00170,100
L947__00150.100,11.81291973150796,45.469675815,L947,_,00150,100
L947__00140.100,11.782750030915157,45.47451442,L947,_,00140,100
L947__00130.100,11.803826005232107,45.487254379999996,L947,_,00130,100
L947__00110.100,11.79330725765081,45.476767179999996,L947,_,00110,100
L947__00100.100,11.817557299547296,45.494066495,L947,_,00100,100
L947__00090.100,11.813262365789566,45.49249361,L947,_,00090,100
L947__00070.100,11.779778617894678,45.487061929999996,L947,_,00070,100
L947__00250.1000,11.824195509317018,45.456313425000005,L947,_,00250,1000
L947__00080.1001,11.79667709950587,45.491362280000004,L947,_,00080,1001
L947__00250.1001,11.822275745388255,45.456801975000005,L947,_,00250,1001
L947__00090.1001,11.802050362754745,45.49339544,L947,_,00090,1001
L947__00090.1002,11.802109049087255,45.49322188,L947,_,00090,1002
L947__00250.1002,11.823659407873935,45.45614089,L947,_,00250,1002
L947__00090.1003,11.80271434463944,45.496098175,L947,_,00090,1003
L947__00250.1003,11.82301537981979,45.456416495,L947,_,00250,1003
L947__00080.1004,11.796247958351085,45.491271495,L947,_,00080,1004
L947__00250.1004,11.820298081204278,45.457681695000005,L947,_,00250,1004
L947__00090.1004,11.802980319319282,45.496169945000005,L947,_,00090,1004
L947__00080.1005,11.79561462083438,45.491244685,L947,_,00080,1005
L947__00250.1005,11.82271719944509,45.457581059999995,L947,_,00250,1005
L947__00090.1006,11.802634705411256,45.494491845,L947,_,00090,1006
L947__00250.1006,11.821632724046946,45.45619205,L947,_,00250,1006
L947__00090.1007,11.802706711606001,45.495838219999996,L947,_,00090,1007
L947__00250.1007,11.822233598736942,45.457413599999995,L947,_,00250,1007
L947__00250.1008,11.822615013533742,45.454698555,L947,_,00250,1008
L947__00090.1009,11.802643085736953,45.49551902,L947,_,00090,1009
L947__00250.1009,11.822571360490912,45.456973295,L947,_,00250,1009
L947__00040.101,11.769440069079801,45.4946247,L947,_,00040,101
L947__00270.101,11.820589534209905,45.450925515,L947,_,00270,101
L947__00260.101,11.805669449411521,45.454540385,L947,_,00260,101
L947__00240.101,11.803841190777787,45.455068964999995,L947,_,00240,101
L947__00210.101,11.776128807722724,45.453697425,L947,_,00210,101
L947__00200.101,11.772600110755038,45.448816640000004,L947,_,00200,101
L947__00170.101,11.79183777515404,45.472577625,L947,_,00170,101
L947__00150.101,11.813827039252367,45.470283315,L947,_,00150,101
L947__00130.101,11.804128940609107,45.48668068,L947,_,00130,101
L947__00100.101,11.81775454909156,45.49413373,L947,_,00100,101
L947__00090.101,11.813887190944303,45.491722499999995,L947,_,00090,101
L947__00080.101,11.795647599187836,45.486565405,L947,_,00080,101
L947__00070.101,11.779093048519325,45.48747829,L947,_,00070,101
L947__00050.101,11.790255364074065,45.498643900000005,L947,_,00050,101
L947__00090.1010,11.803144259676746,45.495366905,L947,_,00090,1010
L947__00250.1010,11.821647970180472,45.45930422,L947,_,00250,1010
L947__00090.1011,11.80279090467615,45.495264625000004,L947,_,00090,1011
L947__00250.1011,11.820946542575381,45.457907895000005,L947,_,00250,1011
L947__00250.1012,11.81100765756394,45.460339245,L947,_,00250,1012
L947__00080.1013,11.794969839166818,45.491327694999995,L947,_,00080,1013
L947__00250.1013,11.811162326863958,45.459880049999995,L947,_,00250,1013
L947__00080.1014,11.795461804190284,45.491429645,L947,_,00080,1014
L947__00250.1014,11.820294517323616,45.458232894999995,L947,_,00250,1014
L947__00090.1014,11.80366269129727,45.49521913,L947,_,00090,1014
L947__00250.1015,11.82039450723277,45.45813237,L947,_,00250,1015
L947__00080.1016,11.795433898277668,45.491568744999995,L947,_,00080,1016
L947__00250.1016,11.823342091457889,45.456507755000004,L947,_,00250,1016
L947__00090.1017,11.802599523390203,45.49489778,L947,_,00090,1017
L947__00250.1017,11.823307314297848,45.456736925,L947,_,00250,1017
L947__00080.1018,11.796554427509125,45.49168523,L947,_,00080,1018
L947__00250.1018,11.823736792524986,45.45687877,L947,_,00250,1018
L947__00090.1018,11.800665160026725,45.49449241,L947,_,00090,1018
L947__00080.1019,11.795195854940893,45.49193485,L947,_,00080,1019
L947__00250.1019,11.82243621214587,45.456454120000004,L947,_,00250,1019
L947__00090.1019,11.801397151344577,45.493048645,L947,_,00090,1019
L947A_00280.102,11.79638981786001,45.497908699999996,L947,A,00280,102
L947__00270.102,11.820700932872668,45.45055103,L947,_,00270,102
L947__00240.102,11.805553320138198,45.45475529,L947,_,00240,102
L947__00230.102,11.789253703172308,45.466951370000004,L947,_,00230,102
L947__00210.102,11.781181361717586,45.45282264,L947,_,00210,102
L947__00170.102,11.790732679972226,45.47096469,L947,_,00170,102
L947__00150.102,11.81284995532723,45.472551115,L947,_,00150,102
L947__00130.102,11.811583073697156,45.487875405,L947,_,00130,102
L947__00110.102,11.796533749285892,45.47605069,L947,_,00110,102
L947__00100.102,11.818245557364609,45.494304924999994,L947,_,00100,102
L947__00090.102,11.811202902895895,45.491024155,L947,_,00090,102
L947__00080.102,11.79990814390776,45.486565475,L947,_,00080,102
L947__00070.102,11.779214300416808,45.48521268499999,L947,_,00070,102
L947__00060.102,11.771595640278916,45.482146145,L947,_,00060,102
L947__00050.102,11.7873876161378,45.496950365000004,L947,_,00050,102
L947__00020.102,11.780864802955675,45.507237175,L947,_,00020,102
L947__00090.1020,11.800369277499282,45.494418435,L947,_,00090,1020
L947__00250.1020,11.822752549871755,45.45655898,L947,_,00250,1020
L947__00080.1021,11.795481414204456,45.49157218,L947,_,00080,1021
L947__00250.1021,11.823605141553383,45.45707222,L947,_,00250,1021
L947__00090.1021,11.812441698684662,45.491846835000004,L947,_,00090,1021
L947__00080.1022,11.79557576808216,45.49149643,L947,_,00080,1022
L947__00250.1022,11.823121505375681,45.45736856,L947,_,00250,1022
L947__00080.1023,11.795514764882233,45.49145806,L947,_,00080,1023
L947__00250.1023,11.82284859588868,45.457268060000004,L947,_,00250,1023
L947__00080.1024,11.795612164431835,45.491387505,L947,_,00080,1024
L947__00250.1024,11.823444690086022,45.457416015,L947,_,00250,1024
L947__00250.1025,11.822469790967713,45.4571448,L947,_,00250,1025
L947__00090.1026,11.80755336986431,45.495153540000004,L947,_,00090,1026
L947__00250.1026,11.82324411370544,45.457188245,L947,_,00250,1026
L947__00250.1027,11.822966261639547,45.457094775,L947,_,00250,1027
L947__00090.1028,11.808752315425556,45.494634855,L947,_,00090,1028
L947__00250.1028,11.822030815970884,45.45713206,L947,_,00250,1028
L947__00080.1029,11.795698776268207,45.49191744,L947,_,00080,1029
L947__00250.1029,11.821981746858992,45.457306454999994,L947,_,00250,1029
L947__00090.1029,11.801391982323857,45.494617809999994,L947,_,00090,1029
L947A_00280.103,11.796788435714664,45.49731385,L947,A,00280,103
L947__00260.103,11.815138092191049,45.449267094999996,L947,_,00260,103
L947__00250.103,11.814207761561562,45.454803065,L947,_,00250,103
L947__00240.103,11.801774436368671,45.46480737,L947,_,00240,103
L947__00230.103,11.781054022315502,45.463424485000004,L947,_,00230,103
L947__00210.103,11.7748983813581,45.45362858,L947,_,00210,103
L947__00180.103,11.814963338231948,45.468324565,L947,_,00180,103
L947__00130.103,11.802348339105563,45.488311800000005,L947,_,00130,103
L947__00110.103,11.796709821363546,45.475953755,L947,_,00110,103
L947__00100.103,11.82080770502091,45.494630529999995,L947,_,00100,103
L947__00090.103,11.811425685305627,45.491218135,L947,_,00090,103
L947__00070.103,11.785179598582609,45.4911352,L947,_,00070,103
L947__00060.103,11.772826758731862,45.482010675,L947,_,00060,103
L947__00040.103,11.776183587232232,45.50111665,L947,_,00040,103
L947__00080.1030,11.796261864053657,45.491641709999996,L947,_,00080,1030
L947__00250.1030,11.82247471722965,45.457497875,L947,_,00250,1030
L947__00090.1030,11.801185980388324,45.49171343,L947,_,00090,1030
L947__00090.1031,11.801082357811621,45.491899995,L947,_,00090,1031
L947__00250.1031,11.823103488197159,45.45771171,L947,_,00250,1031
L947__00080.1032,11.796243544688224,45.49209965,L947,_,00080,1032
L947__00250.1032,11.808426980085622,45.45738402,L947,_,00250,1032
L947__00090.1032,11.800421579698881,45.493313245,L947,_,00090,1032
L947__00080.1033,11.795736124688528,45.491486984999995,L947,_,00080,1033
L947__00250.1033,11.810763362861778,45.46055968,L947,_,00250,1033
L947__00090.1033,11.805556413285338,45.49395438,L947,_,00090,1033
